Type,Construction Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments
Retail Space,Monolith,530 sq.m.,"Echmiatsin Highway, Khoronk","$500,000",USD,"340 sq. M. Shop for sale, 225 sq. M. Hall, the rest, warehouse, office, entrance room, bathroom.The building is newly built and capitally renovated.The store has been operating for 1.5 years, Alfa Pharma pharmacy is rented -12 sq. M.The price is without property and without goods only for land and constructionThe total land area is 530 square metersThe front of the store is 23 m from the streetOn the way to the airport, Yerevan-Etchmiadzin route, 100 m away from Zvartnots temple, near Zvartnots residential districtTranslated from Armenian",Nov-24-2022_21-58,By agreement,Not available,Second Line,Separate from the Street,,https://list.am/en/item/14995357,,,,
Functioning Business,Stone,475 sq.m.,"Erevanyan street, Armavir","$350,000",USD,Продается 350000 доллар,Nov-24-2022_21-58,Available,Not available,First Line,Separate from the Street,,https://list.am/en/item/15646529,,,,
Agricultural Space,Stone,7000 sq.m.,Armavir › Echmiadzin,"$43,000",USD,"For sale or rent land + farm, (ferma anasnagom) the area is 300 sq/m with all its utilities, 45 sq/m residential and 45 sq/m storage, and the size of the plot is 7000 sq/m The purpose of the land is agricultural. It has 150 productive trees, 1 year old, drip irrigation system. Constant electricity, drinking water and irrigation water. The farm is located in Zvartnots district. Close to the main road.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18094375,,,,
Functioning Business,Stone,2500 sq.m.,Armavir › Armavir,"$1,500,000",USD,"Wine factory. 2.5 hectares of production area in Armavir city. Eraphaz electricity, deep well. For more information call.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17481568,,,,
Retail Space,Stone,24 sq.m.,"Charents street, Vagharshapat","$17,000",USD,"First line, for questions you can call or write a message.Exchange with a car up to $ 7,000 is possible.Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/14403815,,,,
Functioning Business,Stone,20 sq.m.,Armavir › Echmiadzin,"1,000 ֏",AMD,"Stationery, toys, perfume and cosmetics shop. Showcases are for sale, the product is already sold. Shown in pictures. Call for other details.Translated from Armenian",Nov-24-2022_21-58,Available,Not available,First Line,Common from the Street,OUtdoor parking,https://list.am/en/item/17595601,,,,
Industrial and Manufacturing,Stone,235 sq.m.,"Tairov street, Yerevan","$80,000",USD,"Tairov, near Gai Post, production area, 2 floors, permanent. Hot, cold water, bathroom, air conditioner, small yard.Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Second Line,Separate from the Street,,https://list.am/en/item/17639699,,,,
Functioning Business,Stone,6000 sq.m.,"Echmiatsin Highway, Khoronk","$80,000",USD,"An agricultural area for sale has lakes, barns of 500 square meters and a greenhouse of 2000 square meters. Price negotiableTranslated from Armenian",Nov-24-2022_21-58,Not available,Not available,Other,Separate from the Street,,https://list.am/en/item/18173955,,,,
Retail Space,Stone,150 sq.m.,Armavir › Echmiadzin,"$125,000",USD,Boxer car wash is for sale on Echmiadzin-Yerevan main highwayTranslated from Armenian,Nov-24-2022_21-58,,,,,,https://list.am/en/item/14559707,,,,
Warehouse,Cassette,28 sq.m.,"Araratyan street, Armavir","600,000 ֏",AMD,"An iron house is for sale.It has 2 rooms.The dimensions of the rooms are 1.35x2.8x2.4 m and 5.5x2.8x2.4 m.The house has 3 windows and 1 entrance door, as well as 4 vents.It is in good condition.Translated from Armenian",Nov-24-2022_21-58,Available,Not available,First Line,Separate from the Street,,https://list.am/en/item/17906179,,,,
Functioning Business,Stone,3000 sq.m.,"Երիտասարդության փողոց 1, Մերձավան","$120,000",USD,"Operating stone factory for sale, with all its communal facilities, has its own power with 400kw capacity, water, 3 cutting machines (015, 014, 056), grinding machine (shififovalni), 2 angle cutters (chrome carving), 2 chisels, 120 sq. M. Warehouse administrative area, of which 60 sq. M. Is a furniture workshop. Total 3000 square meters, fenced, divided into two equal parts by a fence, which will allow partial sale. The workshop is located in Merdzavan (Parakar) near the airport road. There are various types of hardware, motors, saws and other materials. If you wish, I will also sell ANI TUFI mine licensed for 50 years. Price: $ 120,000- $ 800,000, depending on which part of the institution you are interested in. Cooperation with a share is possible.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/13231753,,,,
Everything Else,Stone,"12,000 sq.m.",Armavir › Yervandashat,"$74,900",USD,"Address: Yervandashat village, Armavir marzLivestock farm for sale.The total area is 1.2 ha, fully fenced, which includes a cattle shed of 540 sq. M. The cattle shed ceiling is 5 meters high with zinc-sandwich panels. The equipment is new, unused, with feeding troughs, automatic water bottles. Livestocks are segregated. Manure is cleaned with a flow line. It has gravity 25 ton capacity water yard, three-phase current, dressing room. The barn has two large entrances. There is a half-built milk processing plant as well as 200 square meters of zinc sheet covered area for fodder. There is also a guardhouse and a swimming pool.The distance from Yerevan is 80 km / the whole road is paved/.If desired, it can be used as a canning or agricultural products processing workshop.Will exchange for real estate or car in Yerevan.The sale is made by the owner, there are no intermediaries.#ferma#anasnagom#gom#kovigom#ферма#анаснагом#ков#ковигом#ферма#ферма#анаснагом#гомTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/16920612,,,,
Everything Else,Stone,28 sq.m.,Armavir › Metsamor,"$33,000",USD,"Property area in the central street of Metsamor city. Has water, sewerage. Bathroom, rest room. Exchange with a car is possible.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17397658,,,,
Multifunctional Space,Stone,170 sq.m.,"1district, Metsamor","$65,000",USD,"150 square meters for sale. Acreage, 2 storey commercial spaceProvided with all utilities. Can serve as both a shop and office space.️ ️suitable for various activities. Now for rent. It also has a 22 square meter garage. Mk. M:Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18249134,,,,
Retail Space,Monolith,12 sq.m.,"Չարենց փողոց 28, Արմավիր","2,500,000 ֏",AMD,"It has been used as a hairdressing salon for more than ten years. It is completely renovated. The area is visible from Sayat Nova ար Charents street.It is for rent. If you have any questions, call.Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Second Line,Common from the Courtyard,,https://list.am/en/item/16371987,,,,
Retail Space,Stone,190 sq.m.,Armavir › Echmiadzin,"$100,000",USD,"Օդանավակայան տանող ճանապարհի խաչմերուկում կոմերցիոն շինություն, 1-ին հարկ 80 ք, մ,Կիսանկուղ 80 ք, մ, սենյակներ 20 և 10 ք, մ, հողատարածքը 440ք, մ, 1-ին գիծ, ճակատը- 35մ, կա եռաֆազՀոսանք և ավտոկայանատեղ, տրվում է նաև վարձով.",Nov-24-2022_21-58,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/8900314,,,,
Functioning Business,Stone,5600 sq.m.,Armavir › Echmiadzin,"$85,000",USD,"An operating business center is for saleAddress K. Echmiadzin village ShahumyanThe building area is 430 square meters, of which 90 square meters is voluntaryLand 1500 sq. M. Production Has storage There is gas, light, water Three-phase electricity Has air conditioner Has an orchard -3911 sq. M.Fire:Code H095Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17789682,,,,
Agricultural Space,Bricks,1000 sq.m.,Armavir › Bambakashat,"$45,000",USD,"In Bambakashat village of Armavir region, an area of 1000 square meters with a brick building of 500 square meters (10-50 meters) is for sale urgently. The height of the building is 4.5 meters. Call for details. Exchange with car or apartment is possibleTranslated from Armenian",Nov-24-2022_21-58,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/17791742,,,,
Agricultural Space,Stone,500 sq.m.,"Shevchenko 1st Lane, Armavir","$50,000",USD,"Livestock for sale in Jrashen village, Armavir marzTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18339953,,,,
Industrial and Manufacturing,Stone,200 sq.m.,Armavir › Echmiadzin,"$25,000",USD,"A production container is for sale in current use as a furniture outlet. For questions, call the indicated numbers. Address: Echmiadzin (Lenin Sovkhoz)Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Second Line,Common from the Street,,https://list.am/en/item/18125401,,,,
Functioning Business,Stone,1900 sq.m.,Armavir › Tsiatsan,"$160,000",USD,"2 operating businesses are for sale: A shop and a greenhouse together.Store area - 50 square meters, greenhouse - 1650 square meters, separate land area - 1900 square meters.The greenhouse has: Three-phase electricity, gas (medium), cooling system, 2 deep wells, drip system, drinking water, sewage.1000 square meters of roses and 650 square meters of astromeria are cultivated in the greenhouse.The area is located on the central highway.For more information, call...Shop: Greenhouse. Land area.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18170530,,,,
Functioning Business,Stone,67 sq.m.,"Մովսես Խորենացի փողոց 24, Վաղարշապատ","65,000,000 ֏",AMD,"It is located near the city center in front of the bus station. The commercial area has 2 entrances, all utilities are available, call for other questionsTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18185167,,,,
Retail Space,Stone,160 sq.m.,"Hanrapetutyun street 37, Armavir","$50,000",USD,"Operating a business center in the city center. Bread and pastry factory, next to which there is also a refrigerator with a capacity of 40 tons.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/16008576,,,,
Building,Stone,,Armavir › Echmiadzin,"$42,000",USD,"Գազաֆիկացված է, ունի ջուր, կոյուղի, եռաֆազ հոսանք: Հնարավոր է օգտագործել որպես և խանութ և արտադրական տարածք: Ընդհանուր մակերեսը՝ 200մ. Քառ: Հասցեն Ք. Էջմիածին, փ. Վազգեն Ա-ի 45բ, տարածք 10ա:",Nov-24-2022_21-58,,,,,,https://list.am/en/item/12257494,,,,
Functioning Business,Stone,30 sq.m.,Armavir › Echmiadzin,"$30,000",USD,"SHOP FOR SALEPrice $ 30,000In the city of EtchmiadzinThe living area is 30 square metersTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/16763127,,,,
Industrial and Manufacturing,Panels,8051 sq.m.,Armavir › Armavir,"$500,000",USD,"A production area of 0.8051 hectares is for sale, with two entrances, with the possibility of entering the fountain.1. Residential house 70 m2.2. Three-phase current.3. Own solar station 5.2 kW.4. Own artesian water.5. Sewer6. The area is completely surrounded by a panel fence.7. Warehouse pumping station.8. Warehouse cover.9. Cover.10. Pilarama 2 pieces, as a spare part.11. Dryer 6 x 4 m.12. Basement 3 x 5 m for growing mushrooms.13. Basement 5 x 7 m for growing mushrooms.14. To increase the Naves Aryan station.15. Greenhouse 330 m2.16. Warehouse unfinished 6 x 12 m.17. Warehouse-barn-bird house 18 x 6 m, provided with water, sewerage, electricity.18. Warehouse 12 x 6 m, with grass grinder, with electricity.19. Storage-poultry house 6 x 6 m, provided with water, shelter.20. Warehouse unfinished 12 x 6 m.21. There is a water yard 10 t քում in the area, a swimming pool 30 t ․22. Approximately 4000 square meters of garden with different types of trees (grapes, 25 plums, peaches, apricots, 3 almonds, 50 ounabs, 15 cherries, 9 large cherries, 9 nuts, 1 mulberry, 10 white mulberries) 70 pieces of silver poplar)Translated from Armenian",Nov-24-2022_21-58,By agreement,Not available,First Line,Separate from the Street,,https://list.am/en/item/16438902,,,,
Functioning Business,Stone,700 sq.m.,"Երևանյան խճուղի 87, Մերձավան","$63,000",USD,"Commercial space for sale in Merdzavan. Operating business: Grocery store, car wash. Has water, three-phase electricity, gas possibility. Total area: 700 sq/m.Translated from Armenian",Nov-24-2022_21-58,By agreement,Not available,First Line,Common from the Street,,https://list.am/en/item/16313928,,,,
Functioning Business,Stone,6500 sq.m.,Armavir › Echmiadzin,"$350,000",USD,"I am selling a 720 sq. M. Building on 6000 sq. M. Land near the house, it is suitable for a house, a hotel, a recreation area, etc. , a separate three-phase station with a separate drinking water supply, a separate well, the building is located on the central road. For more information call. Owner:Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/11969290,,,,
Industrial and Manufacturing,Stone,150 sq.m.,"Kamo street 2a, Vagharshapat","200,000 ֏",AMD,"A two-storey stone building is for rent. It can be used as a workshop, warehouse, car service. It has 2 entrances. The ceiling height of the first floor is 4.5 m.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17536155,,,,
Functioning Business,Stone,165 sq.m.,Armavir › Echmiadzin,"$145,000",USD,"Վաճառվում կամ տրվում է վարձով երկհարկանի կոմերցիոն տարածք էջմիածնում, (շուկայի դիմաց, Erevan City-ի հարեվանությամբ) 165Մ2 + 75Մ2 հողատարածք։վարձակալության արժեքը-370.000Продаётся или сдаётся в аренду двухэтажная коммерческая недвижимость в центре города Эчмиадзина, рядом с супермаркетом Erevan City (20метров), напротив рынка.Общая площадь 165м2, 2этажа + земельный участок 75м2цена аренды-370.000",Nov-24-2022_21-58,By agreement,Not available,First Line,Separate from the Street,,https://list.am/en/item/13906770,,,,
Retail Space,Stone,120 sq.m.,Armavir › Metsamor,"17,000,000 ֏",AMD,Продаётся помещение 120кв/м. Мецамор напротив 1- ой школы.,Nov-24-2022_21-58,,,,,,https://list.am/en/item/18154423,,,,
Everything Else,Stone,50 sq.m.,Armavir › Echmiadzin,"10,000 ֏",AMD,"For details, call nuber hamarov or viberTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/4907737,,,,
Multifunctional Space,Monolith,500 sq.m.,"Улица Баграмяна 99, Вагаршапат","$210,000",USD,For sale.EtchmiadzinBaghramyan 101/1Baghramyan 101/2Translated from Armenian,Nov-24-2022_21-58,,,,,,https://list.am/en/item/18264533,,,,
Retail Space,Monolith,76 sq.m.,"Էջմիածին փողոց 127, Պտղունք","$100,000",USD,"Capital renovated new buildingsuitable for pharmacy, agricultural medicine storeTranslated from Armenian",Nov-24-2022_21-58,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/17073043,,,,
Restaurant,Stone,1410 sq.m.,"Mesrop Mashtots street, Vagharshapat","$550,000",USD,A bakery with property is for sale. Newly built land-1410 m/s public268m/q shinutyunn e hasarakakanTranslated from Armenian,Nov-24-2022_21-58,Available,Not available,First Line,Separate from the Street,,https://list.am/en/item/15661394,,,,
Industrial and Manufacturing,Stone,405 sq.m.,"Charents street, Vagharshapat","$37,000",USD,"Warehouse, production area, farm for sale, it is possible to build a residential house, capital building with all amenities, 2 under walls, solid foundation, roof, logs, board, metal sheet, land area: 405 sq. M., building 189 sq. M., and living room 30 sq. M.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/13932405,,,,
Retail Space,Stone,20 sq.m.,"Baghramyan street, Armavir","$14,000",USD,"Has permanent drinking water, bathroom, air conditioning area, total 20 sq. M. M pavilion has its own price @ $ 14000 address Baghramyan street 17 pavilion is for rentTranslated from Armenian",Nov-24-2022_21-58,Available,Not available,First Line,Common from the Street,,https://list.am/en/item/17470932,,,,
Agricultural Space,Stone,"10,000 sq.m.",Armavir › Echmiadzin,"$22,000",USD,It has a lot of utilitiesLight drinking waterIrrigation waterFarm:Carriage:UrgentTranslated from Armenian,Nov-24-2022_21-58,,,,,,https://list.am/en/item/17452087,,,,
Multifunctional Space,Stone,80 sq.m.,Armavir › Echmiadzin,"$83,000",USD,Multipurpose property for sale. Vagharshapat Charentsi 1/1 addressTranslated from Armenian,Nov-24-2022_21-58,Not available,Not available,First Line,Separate from the Street,GArage,https://list.am/en/item/18314315,,,,
Retail Space,Stone,1800 sq.m.,"Էջմիածին փողոց 124, Պտղունք","$1,200,000",USD,"Yerevan Etchmiadzin highway near Zvartnots settlement, 3-storey commercial space, warehouse, commercial space renovatedEjmiacin, Musaler, Erevanyan37, Musaler 1140, ArmeniaCode 0103Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18349566,,,,
Retail Space,Panels,104 sq.m.,"Mesrop Mashtots street 22, Vagharshapat","$120,000",USD,"The area is located under the 22 Mashtots building in Etchmiadzin, the front line is a functioning shop, the mentioned price is for the area, if you want the product, the product will be counted at very convenient prices, for details a visit to the area is desirable.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/16568645,,,,
Retail Space,Stone,136 sq.m.,Armavir › Parakar,"$70,000",USD,136 sq. M. For sale. Area.Translated from Armenian,Nov-24-2022_21-58,,,,,,https://list.am/en/item/17791282,,,,
Industrial and Manufacturing,Stone,500 sq.m.,Armavir › Merdzavan,"$42,000",USD,"Armavir, Village. MetsavanIndustrial area-residential house for rentThe total area of 500 square meters350 square meters production area1 storeyWith 4 separate buildingsworked as a furniture factoryIt is possible to make a residential houseCode VM726Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/17035319,,,,
Everything Else,Panels,515 sq.m.,Armavir › Aknalich,"18,000,000 ֏",AMD,"A newly built cattle farm is for sale in the village of Aknalich, Armavir marz.The area of the building is 0.515 square meters, it is provided with water and electricity. The price is AMD 18,000,000.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18056255,,,,
Industrial and Manufacturing,Stone,2800 sq.m.,Armavir › Echmiadzin,"$370,000",USD,"В Армении г. Вагаршапат (Эчмиадзин) на трассе Эчмиадзин-Ереван Продаются или сдаются в аренду коммерческие помещения площадью 2800 кв. М можно увеличить до 3500 кв. МПодходит для любого вида деятельности.Гостиничный ресторанный комплексПроизводствоСкладские помещенияПодходит для мукомольный завод,Есть два офиса под ремонт, летная верандаПисать сообщение, номер не доступна",Nov-24-2022_21-58,By agreement,Not available,First Line,Separate from the Street,,https://list.am/en/item/17702222,,,,
Industrial and Manufacturing,Stone,800 sq.m.,Armavir › Armavir,"40,000,000 ֏",AMD,"The area of the building is 400 square meters, and the land area is 400 square meters.There is three-phase electricity, water and sewage.Call for details.Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/18069288,,,,
Agricultural Space,Stone,"10,000 sq.m.","43-րդ փողոց 26, Արմավիր","20,000,000 ֏",AMD,"The village of Arak is the village of the Sardarapat monumentNewly built cattle barn, 100 cherry trees next to it, 3 years oldApricot 33 pieces 2 years old20 peaches, 2 years old. 1 hectare of separate land near the house. Cattle farm with automated constant water 24 hours. With sewer, electricity. 1 storage room next door, also bedroom, kitchen, bathroom. And about 100 sq. M. The birdwatcher.The length of the livestock barn is 30 m, the width is 9 m. For questions, call the specified number.Translated from Armenian",Nov-24-2022_21-58,Available,Not available,First Line,Common from the Street,,https://list.am/en/item/18135312,,,,
Industrial and Manufacturing,Stone,8500 sq.m.,"1-ին փողոց 42, Նոր Կեսարիա","$500,000",USD,"Armavir region, Shenavan village. Agricultural complex - Farm for sale.1st line, near the asphalt road. Importance of the land: Agricultural, Area 8.5 Ha (85,000 square meters), near the canal, flat, completely fenced, provided with electricity, water and gas. There is a guard post, administrative building, barns, other buildings, e ․ substation, deep water wells.PRICE: Negotiated.CODE S279:For more details, call Smart AgencyTranslated from Armenian",Nov-24-2022_21-58,Not available,Not available,First Line,Separate from the Street,"OUtdoor parking, covered parking, garage",https://list.am/en/item/15121046,,,,
Functioning Business,Stone,100 sq.m.,Armavir › Echmiadzin,"$130,000",USD,"An existing hair salon is for sale in the center of Etchmiadzin. All the necessary property and equipment for work are available, as well as a cab, heated floor, bathroom, back entrance, parking space, etc. Moreover, the price with property/technique and equipment will be 150,000, but buying with equipment will be much more affordable, because they cost incomparably more than the difference in the mentioned price. By the way, an option of exchange with an apartment is also considered.Code 17375Translated from Armenian",Nov-24-2022_21-58,Available,Not available,First Line,Common from the Street,COvered parking,https://list.am/en/item/17793820,,,,
Everything Else,Stone,600 sq.m.,Armavir › Echmiadzin,"$600,000",USD,"Կոդ՝ K-16773Վաճառվում է 4 հարկանի կոմերցիոն տարածք Վազգեն Առաջին փողոցում։ Տարածքը վերանորոգման փուլում է, առաջին գիծ։ Պատուհանները՝ եվրո։ Ունի օդափոխության համակարգ, մշտական ջուր և գազ։ Մուտքը՝ փողոցից։ Տեսարանը՝ դեպի բակ և փողոց։ Վարձը՝ պայմանագրային։ Հնարավոր է նաև մասնակի վարձակալություն։Գործակալության միջնորդավճարը կազմում է 2%: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A commercial area for sale in Vazgen the First Street. The area is in the renovation process and is stationed on the 1st line. The windows are euro-based․The area has a ventilation system and is supplied with constant water and gas. The entrance is from the street. The view is directed towards the yard and street. The rent price is conditional. Partial rent is also possible.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_21-58,,,,,,https://list.am/en/item/13202768,,,,
Agricultural Space,Cassette,320 sq.m.,"Komitas street 3, Parakar","$2,200",USD,"2 greenhouses for sale 210 sq. M., 110 sq. M., mThe land is not for saleTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17389598,,,,
Industrial and Manufacturing,Monolith,2000 sq.m.,"Echmiatsin Highway, Khoronk","$115,000",USD,"A stone workshop is for sale, operating, not for rent, has its own transformer and many orders, for sale urgently.Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/17367725,,,,
Functioning Business,Stone,3500 sq.m.,"Մարգարա խճուղի 24, Վաղարշապատ","$140,000",USD,"There are 5 large swimming pools in the area, including a large number of fish, Ishkhan, Belamor, Sazan, etc. Համար for small fish with 3 small poolsThere are lakes1000 square meters, greenhouse500 sq. M., semi-constructed greenhouseresidential building about 40 sq. M. Մ.Constant drinking water, artisan water, three-phase electricity,he criedpoultry house 30 m. Q. Closed and 30 sq. M. Մ. Open spaceThere are more than 100 different fruit trees in the area. Apricot, Apple, Popcorn, Cherry, PlumThe price also includes 400 Pigs, 70 of which are mothersfish!The total area is 3.5 hectaresfor sale very UrgentlyTranslated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/13066434,,,,
Agricultural Space,Stone,1500 sq.m.,"Ղազարոս Աղայանի փողոց 31, Վաղարշապատ","25,000,000 ֏",AMD,"A functioning greenhouse is for sale in an area of 1100 square meters, there is a stone building of 120 square meters, a refrigerator, three-phase electricity, drinking and artisanal water.Translated from Armenian",Nov-24-2022_21-58,Not available,Not available,Other,Common from the Street,,https://list.am/en/item/18199720,,,,
Retail Space,Stone,100 sq.m.,Armavir › Echmiadzin,"$130,000",USD,Existing business with equipment for saleIn the center of Etchmiadzin cityThe area is 100 square metersAshotHeating SystemFor more information callCode A022Translated from Armenian,Nov-24-2022_21-58,,,,,,https://list.am/en/item/15820215,,,,
Multifunctional Space,Stone,2900 sq.m.,Armavir › Echmiadzin,"$125,000",USD,"Code A0457:OPERATING BUSINESS FOR SALE (HEATERS, WORKSHOP, LAND)Echmiadzin City in Tsaghkunk communityAreas 515 sq. M.Greenhouses 700 sq. M.The current land area is 2700, of which 700 square meters are publicAshotThree-phase currentDeep downThe land is fencedAuxiliary buildingFor more information call:Translated from Armenian",Nov-24-2022_21-58,,,,,,https://list.am/en/item/17268250,,,,
Retail Space,Stone,160 sq.m.,"Ծովակալ Իսակովի պողոտա 1/2, Երևան","$210,000",USD,"Convenient store with a large car park, always full on the way to the airport, suitable for all types of businesses, 1 lineTranslated from Armenian",Nov-24-2022_21-59,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/16102731,,,,
Multifunctional Space,Stone,294 sq.m.,Armavir › Merdzavan,"$90,000",USD,"Commercial space that serves as a workshop, renovated.For more information callNegotiablePayment in installmentsTranslated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17979149,,,,
Multifunctional Space,Stone,160 sq.m.,"1district, Metsamor","$70,000",USD,"Two-story building, suitable for various activities, each floor is 80 square meters, has electricity, water, bathroom on each floor.The first floor functioned as a clothing store, the second floor as a barber shop.It is currently functioning as a children's college.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17741247,,,,
Functioning Business,Stone,9000 sq.m.,"Echmiatsin Highway, Khoronk","$350,000",USD,"Region: ArmavirCity: Etchmiadzin (20 km from Yerevan city, 1 km from Tsaghkunk village)Total land area: 9,000 square metersTotal building area: 210 square metersOPERATING flower greenhouse 2000 square meters (Rose and lisianthus)It is built with modern construction and has a drip irrigation system.OPERATING greenhouse 2000 square meters (Tomatoes and cucumbers)It is built with modern construction and has a drip irrigation system.Orchard 4000 square meters, 220 trees (black plum and cherry)1 Refrigerator 20 square meters (for flowers, fruits or vegetables)Auxiliary building 70 square metersBasement area 60 square meters3 water wells2 boiler houses1 swimming pool (semi-structured)Gas powered (gas heated and high pressure)Land Designation: Residential development (next to the house)The land is privatized.The area is equipped with drinking water, irrigation water, three-phase electricity.The mansion consists of:Total area 90 square meters1 lobby1 living room1 Kitchen2 bedrooms1 Bathroom1 parking space (yard)The house is equipped with gas, permanent water.It has individual heating;The area is completely fenced with a stone wall.PART SALE ALSO POSSIBLE!Code 10672403Translated from Armenian",Nov-24-2022_21-59,Not available,Not available,Second Line,Separate from the Street,"OUtdoor parking, covered parking, garage",https://list.am/en/item/10672403,,,,
Multifunctional Space,Stone,105 sq.m.,"Baghramyan street 27, Armavir","$85,000",USD,"Площадь подходит для офиса. Коммерческих или других целей. Можно использовать как детский сад. Отдельные от подезда, выходы на улицу. Имеется газ, трехфазный счетчик электроэнергии санузел. Подходит под аренду. Цена договорная. Տարածքը հարմար է գրասենյակային, առևտրային և այլ նպատակով օգտագործելու համար։ Հնարավոր է օգտագործել որպես մանկապարտեզ։ Ունի 3 մուտք, Մուտքերը առանձնացված են շենքի մուտքերից, ունի եռաֆազ հոսանք, գազ, սանհանգույց։ Տարածքը վաճառվում է կամ տրվում է վարձով։",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17591609,,,,
Functioning Business,Stone,3470 sq.m.,"Tumanyan street 1, Vagharshapat","$500,000",USD,"Շտապ վաճառվում է կամ տրվում է վարձով գործող բիզնեսներ, ջերմոց, հացի և մակարոնի արտադրամաս, խմորեղենի արտադրամաս և խանութ, ավտոլվացման կետ իր աշխատասենյակներով (ննջարան, սանհանգույց, խոհանոց, հյուրասենյակ) : Տարածքը տեսախցիկներով, սարքավորումները ՝ նոր: Լույս, գազ, ջուր, էլէկտրականություն, (wifi), վառարաններ ֆրանսիական հացի համար։3470m2 sepakanater ՀԱՍՑԵ։ Տերյան 944 Էջմիածին",Nov-24-2022_21-59,,,,,,https://list.am/en/item/15231455,,,,
Retail Space,Stone,62 sq.m.,Armavir › Armavir,"$62,000",USD,"1 c. M - $ 100Price is negotiableThere is an email. Electricity, water supply, bathroom.In case of questions, the mentioned number is available via Viber, Whatsapp.Translated from Armenian",Nov-24-2022_21-59,Not available,Not available,First Line,Separate from the Courtyard,,https://list.am/en/item/17295764,,,,
Multifunctional Space,Stone,312 sq.m.,"Erevanyan street 50, Parakar","$100,000",USD,"A 1-storey building is for sale on the 1st line on the way to Zvartnots airport in Parakar community, which consists of a residential house and a shop.The total area of the land is 400 square meters and the area of the buildings is 312 square meters.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17682873,,,,
Everything Else,Stone,191 sq.m.,Armavir › Merdzavan,"$120,000",USD,"Կոդ՝ B-21817Վաճառվում է կոմերցիոն տարածք Մերձավանում։ Մուտքի դուռը՝ մետաղյա, պատուհանները՝ փայտյա։ Ունի ավտոկայանատեղ, կոյուղի, հոսանք և մշտական ջուր։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։Commercial area for sale in Merdzavan. The entrance door is metal-made, the windows are wooden. The area has a parking, sewage, electricity and is supplied with water.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17494916,,,,
