Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Parking,Links,Construction Type
Retail Space,70 sq.m.,,,,,,,,,"Զորավար Անդրանիկի փողոց 95Մ, Վանաձոր","200,000 ֏",AMD,"70 sq. M. Area of an existing pharmacy is for rent. M. On the surface. The area has all utilities, three-phase electricity, constant hot and cold water, 6 cameras, sound signal (signaling)If desired, the space will be emptied for other purposes. In case of need, the 2nd floor will also be given, with the same area, for details, call the indicated phone number.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18063658,
Hotel,300 sq.m.,,,,,,,,,Lorri › Haghpat,"5,000 ֏",AMD,"Guesthouse in Haghpat village with all amenities, beautiful yardGuesthouse dacha in the village of Ahpat:Hyuratun Haxpatum:Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/16332932,
Multifunctional Space,100 sq.m.,,,,,,,,,"Վահան Տերյանի փողոց 3, Վանաձոր","300,000 ֏",AMD,An unrenovated 60 square meter area on the second floor and a 40 square meter garage are for rent.Translated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/18150092,
Industrial and Manufacturing,500 sq.m.,,,,,,,,,"Nersisyan street, Vanadzor","50,000 ֏",AMD,"There are 2 metal sheds and a covered area in the area.Part of the area is concreted.It has a high fence along the entire area.It is provided with electricity, it is possible to connect water and gas.For more information call.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18173979,
Retail Space,120 sq.m.,,,,,,,,,Lorri › Spitak,"120,000 ֏",AMD,Տրվում է վարձով առեվտրային տարածք 120ք. Մ. ։Հասցե ք. Սպիտակ Շահումյան 6 (ԱԿՎԱ խանութ) ։,Nov-24-2022_22-32,,https://list.am/en/item/17992787,
Office Space,1000 sq.m.,Available,Not available,Second Line,Separate from the Street,Direct Lease,1 month,Without prepayment,By Agreement,Lorri › Vanadzor,"1,500 ֏",AMD,"Сдается офисное помощение, целиком или по частям. В здании есть как большие, так и отдельные маленькие офисы. Есть все удобства (интернет, wi-fi, горячая/холодная вода, электричество, туалет, душевая, кухня со всеми оборудованиями и тд) Свободный вход/выход, охроняемая территория и стоянка для машин. Так же удобно добираться на общественном транспорте. 5-10 минут от центра. Звоните для остальных подробностей.",Nov-24-2022_22-32,"OUtdoor parking, covered parking, garage",https://list.am/en/item/17467575,
Industrial and Manufacturing,"15,000 sq.m.",Available,Not available,First Line,Separate from the Street,Direct Lease,1 month,Without prepayment,By Agreement,Lorri › Vanadzor,500 ֏,AMD,"In 3 parts of Vanadzor, production space is for rent in whole or in part. The total area is 30,000 square meters. M. , of which 12,000 sq. M. The building is complete with telefers, in some parts there are machine tools. The buildings are without columns. The price is indicated for 1 sq. M. For: Large spaces will be more affordable.Translated from Armenian",Nov-24-2022_22-32,"OUtdoor parking, covered parking, garage",https://list.am/en/item/18070998,
Warehouse,"10,000 sq.m.",By agreement,Not available,Second Line,Separate from the Courtyard,Direct Lease,1 month,Without prepayment,By Agreement,Lorri › Vanadzor,500 ֏,AMD,"Small and large production / storage areas.Buildings are for rent in 3 parts of Vanadzor city (in front of the new 7th school), it is convenient as a warehouse. Convenient exit and entry. Due to the large area, nothing will hinder large cars. Telephones and other fixtures are available. The area is videotaped and under 24-hour surveillance. Not all parts in the photos. Will be cleaned and repaired on request. For details, call the mentioned number.Translated from Armenian",Nov-24-2022_22-32,"OUtdoor parking, covered parking, garage",https://list.am/en/item/17447897,
Retail Space,6000 sq.m.,By agreement,Available,First Line,Separate from the Street,Direct Lease,1 month,By Agreement,By Agreement,Lorri › Vanadzor,"1,800 ֏",AMD,It is possible to build a building according to your technology. Requirements before letting.A space is for rent in the 3rd district of the city of Vanadzor (in front of the new 7th school) It looks towards M-6 (Grigor Narekatsi boulevard)View all announcements.Translated from Armenian,Nov-24-2022_22-32,OUtdoor parking,https://list.am/en/item/17443999,
Everything Else,1300 sq.m.,,,,,,,,,"Grigor Lusavorich Street 54/1, Vanadzor",$100,USD,Сдаётся в аренду на длительный срок.Торговый зал 270 квмСклад 350 квмОфисная площадь 650 квм,Nov-24-2022_22-32,,https://list.am/en/item/18153645,
Industrial and Manufacturing,500 sq.m.,Available,Not available,Other,Common from the Street,Direct Lease,1 year,By Agreement,By Agreement,"Նարեկացի փակուղի 3 30Ա, Վանաձոր","140,000 ֏",AMD,For rentSuitable for productionDetails by phoneTranslated from Armenian,Nov-27-2022_19-01,,https://list.am/en/item/18387820,
Retail Space,12 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,1 month,1 month,Not included,"Sayat-Nova Street 5, Alaverdi","30,000 ֏",AMD,Commercial space for rent in Alaverdi.: The total area of the area is 12 m/sq. Suitable for various commercial purposes. It is located in Haypech district.Translated from Armenian,Nov-27-2022_19-01,,https://list.am/en/item/18462670,
Office Space,500 sq.m.,By agreement,Available,First Line,Common from the Street,Direct Lease,1 month,By Agreement,Included,"Տիգրան Մեծի պողոտա 20/1, Վանաձոր","4,000 ֏",AMD,"Գտնվում է Վանաձոր քաղաքի կենտրոնում՝ Գուգարք հյուրանոցի 3-րդ հարկում։ Մուտքը Հայք հրապարակից է։Նոր վերանորոգված, կա ջեռուցում։4000 դրամ/քմНаходится в центре Ванадзора, на 3 этаже гостиницы Гугарк. Вход с площади Айка.Новый ремонт, есть отопление.4000 драм/кв. МIt is located in the center of Vanadzor, on the 3rd floor of Gugark Hotel. The entrance is from Hayk Square.Newly renovated, there is heating.4000 drams/sq. M",Nov-27-2022_19-01,,https://list.am/en/item/18583359,
Everything Else,30 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,Without prepayment,Included,"Vardanants Street, Vanadzor","20,000 ֏",AMD,"A shop area is for rent, it can be used for other purposes as well. For details, call the mentioned phone number or write.Translated from Armenian",Nov-27-2022_19-01,,https://list.am/en/item/17585838,
Multifunctional Space,45 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,"Taterakan street 6, Vanadzor","220,000 ֏",AMD,"Renovated multifunctional commercial real estate is for rent in the center of Vanadzor, next to the theater named after Abelyan. All utilities are available.Translated from Armenian",Nov-27-2022_19-01,OUtdoor parking,https://list.am/en/item/18623146,
Everything Else,40 sq.m.,,,,,,,,,"Տիգրան Մեծ պողոտա 14, Վանաձոր","150,000 ֏",AMD,"A 40 square meter business space is for rent in Vanadzor, Tigran Mets 14 (on Prospect) It is suitable for any activity, it also has three-phase electricity, a 20 square meter basement. The price is 150,000 dinars, negotiable...Translated from Armenian",Nov-27-2022_19-01,,https://list.am/en/item/18441728,
Office Space,50 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,6 months,1 month,Not included,"Shinararneri street 5, Vanadzor","60,000 ֏",AMD,"Տրվում է վարձով առանձին կառուցված քարե շինություն Դիմաց թաղամասի բանուկ հատվածում՝50 քմ, բոլոր կոմունալ հարմարություններով։Հարմար է շահագործել տարբեր նպատակներով՝ խանութ, օֆիս, գեղեցկության սրահ և այլն։Շինության հիմքը տալիս է հնարավություն ցանկության դեպքում նաև 2-րդ հարկ կառուցել։Հնարավոր է նաև վաճառք…Подходит под офис или коммерческую деятельность, так же возможна продажа заОтдельно построенныйЗдание: 50 квадратных метровсо всеми коммунальными услугами.Подходит под любой вид деятельности, МАГАЗИН, ОФИС, ПАРИКМАХЕРСКАЯ и т. Д.",Nov-27-2022_19-01,,https://list.am/en/item/18384116,
Multifunctional Space,140 sq.m.,By agreement,Not available,First Line,Separate from the Street,Direct Lease,1 year,1 month,Not included,"Tigran Mets Avenue 12, Vanadzor","300,000 ֏",AMD,"A separate two-story building is for rent. 70 square meters first floor, 70 square meters basement floor. It is located in the center of the city. At 12 Tigran the Great Street.Translated from Armenian",Nov-27-2022_19-01,,https://list.am/en/item/18606803,
Office Space,130 sq.m.,,,,,,,,,"Բանակի փողոց 10, Վանաձոր","300,000 ֏",AMD,"For rent: 3 rooms, 130 square meters, hot water, kitchenTranslated from Armenian",Nov-27-2022_19-01,,https://list.am/en/item/18567593,
Office Space,550 sq.m.,,,,,,,,,"Улица Московян 50, Ванадзор","1,500,000 ֏",AMD,Сдаётся в арендуОфисная помещенияАдрес Г. Ванадзорул. Московян 50550 кв/мОтоплениеWi FiКухня,Nov-27-2022_19-01,,https://list.am/en/item/18496578,
Office Space,260 sq.m.,,,,,,,,,Lorri › Vanadzor,"800,000 ֏",AMD,Сдаётся в арендуОфисная помещенияАдрес Г. Ванадзор260 кв/мОтоплениеWi FiКухня,Nov-27-2022_19-01,,https://list.am/en/item/18496591,
Multifunctional Space,55 sq.m.,,,,,,,,,"Մյասնիկյան փողոց 12Ա, Վանաձոր","200,000 ֏",AMD,"Տրվող տարածքը ամբողջովին վերանորոգված է, ունի կոմունալ բոլոր հարմարությունները։ Մշտական ջուր, ջեռուցման համակարգ, խոհանոց, լոգարան, սան հանգույց։ Կարելի է օգտագործել որպես գրասենյակ, գեղեցկության սրահ և այլն։ Գտնվում է շենքի առաջին հարկում, մուտքը Վարդանանց փողոցից։Данное помещение полностью отремонтировано, есть все коммуникации. Постоянная вода, отопление, кухня, Можно использовать под офис, салон красоты и т. Д. Находится на первом этаже здания, вход со стороны улицы Вардананц.",Nov-27-2022_19-01,,https://list.am/en/item/18424781,
Office Space,90 sq.m.,,,,,,,,,"Taterakan street 2, Vanadzor","€1,000",EUR,Евроремонт. Сдается на длителни срок. Пишите,Nov-27-2022_19-01,,https://list.am/en/item/18396676,
Retail Space,24 sq.m.,,,,,,,,,"Tigran Mets Avenue 40, Vanadzor","200,000 ֏",AMD,"Newly renovated, also suitable for officeTranslated from Armenian",Nov-27-2022_19-01,,https://list.am/en/item/18454355,
Retail Space,80 sq.m.,,,,,,,,,"Narekaci street, Vanadzor","70,000 ֏",AMD,"Newly renovated, with alarm system.Translated from Armenian",Nov-27-2022_19-01,,https://list.am/en/item/17615257,
Office Space,37 sq.m.,,,,,,,,,"Tigran Mets Avenue 10, Vanadzor","100,000 ֏",AMD,Office space for rent. For more information call.Translated from Armenian,Nov-27-2022_19-01,,https://list.am/en/item/18382996,
Retail Space,140 sq.m.,,,,,,,,,Lorri › Vanadzor,"$35,000",USD,"Vanadzor, Abovyan 1, first floor of a high-rise buildingTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18316335,Stone
Everything Else,60 sq.m.,,,,,,,,,"Jravazani street, Alaverdi","$5,000",USD,"Commercial area for sale, total area 60 square meters, ceiling height 3.3m.Water and electricity are available.Price: $5000Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18585354,Stone
Industrial and Manufacturing,4000 sq.m.,By agreement,Not available,First Line,Common from the Street,,,,,Lorri › Alaverdi,"$110,000",USD,Վաճառվում կամ վարձով է տրվում քարի վերամշակման արտադրամաս բոլոր անհրաժեշտ հաստոցներով և գործիքներով մանրամասների համար զանգահարեք նշված հեռախոսահամարով,Dec-12-2022_20-38,,https://list.am/en/item/15945746,Cassette
Retail Space,140 sq.m.,,,,,,,,,Lorri › Alaverdi,"$7,500",USD,8 km from Alaverdi cityTranslated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/16720733,Stone
Multifunctional Space,5400 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,"Matrosov Street, Stepanavan","$140,000",USD,"A plot of land with immovable properties at the end of Gargar village, on the first line of Stepanavan M-3 road.Suitable for hotel and restaurant industryTranslated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18641154,Stone
Everything Else,175 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,"Tigran Mets Avenue 46, Vanadzor","300,000 ֏",AMD,Տրվում է վարձով։Կոմունալ բոլոր հարմարություններով։Քաղաքի ամենա կենտրոնում։,Dec-12-2022_20-38,,https://list.am/en/item/13160118,Monolith
Office Space,80 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,"Gr. Lusavorich St, Vanadzor","$40,000",USD,"Address: Demirchyan 24, directly in front of the Railway Park.Commercial area, with all utilities.Suitable for any activity.For more information call.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18429924,Stone
Retail Space,36 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,"Garegin Nzhdeh street, Stepanavan","12,000,000 ֏",AMD,"It has the same size plot of land in the rear, the possibility of a 2nd floor, it also has three-phase electricity.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18364644,Stone
Retail Space,167 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,"Sankt Peterburg street 6, Vanadzor","$30,000",USD,"Վաճառվում է 1 հարկանի տարածք ք․ Վանաձոր Սանկտ Պետերբուրգի փողոցում շինությունը 167 քմ․, հողը 181 քմ․։Տարածքը վերանորգված չէ, առաջին գիծ։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո։",Dec-12-2022_20-38,,https://list.am/en/item/14642977,Stone
Office Space,90 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,Lorri › Vanadzor,"200,000 ֏",AMD,"Office space for sale, in the city center, near the shoe factory. Sale is also possible.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18558997,Stone
Multifunctional Space,1000 sq.m.,,,,,,,,,"Վարդանանց փողոց 10, Վանաձոր","145,000,000 ֏",AMD,"The total area is 1000 m2, the building is 3-storey, the area of each floor is 460 m2, the yard is fenced in the back, there are 9 garages in the yard which are suitable for car service, as well as can be reserved for any other type of activity. The building is located 1 km from the city center, in front of the newly built Charles Aznavour Park, it is very convenient for a hotel, restaurant, supermarket or any other type of activity. Communications (gas, electricity, three-phase, water, sewerage) are all available, for sale Urgently negotiable.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/16056901,Stone
Building,300 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,"Բաղրամյան պողոտա 74а, Վանաձոր","65,000,000 ֏",AMD,"Երկհարկանի շինություն, յուրաքանչյուր հարկի մակերեսը 150մ2,երկու հարկում էլ կա սանուզել, կոնդիցիոներներ, ամբողջությամբ վերանորոգված է, էլեկտրոեներգիա եռաֆազ, այժմ առաջի հարկը տրված է վարձով և օգտագործվում է որպես հացաբուլկեղենի արտադրամաս, ցանկության դեպքում այն կարող է շարունակել իր գործունեությունը, հետևի մասից ունի ևս մուտք, հարմար է խանութի, արտադրության, գրասենյակային և սպասարկման ոլորտի այլ գործունեության համար, շինությունը գտնվում է Վանաձոր քաղաքում Երևան-Թբիլիսի մայրուղու վրա, վաճառվում էլ Շտապ սակարկելի:",Dec-12-2022_20-38,,https://list.am/en/item/16057186,Stone
Functioning Business,"10,000 sq.m.",Not available,Not available,First Line,Separate from the Street,,,,,"Surb Nshan street, Stepanavan","$215,000",USD,"An operating basalt mine is for sale, it is also suitable for starting the production of shibin. It is located 5 km from Stepanavan, near Urasar village. It has all necessary long-term licenses. Call for details.#stone quarry, #basalt quarry, #stone mine, #basalt mine, #mining industryQari hanq, qar, basaltTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18079990,Stone
Everything Else,215 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,"Տիգրան Մեծ պողոտա 48Ա, Վանաձոր","$80,000",USD,"The area is located in the city center, in a busy area, next to the first line stop. The area has a semi-basement, needs renovation, is very suitable for any type of business activity, call for other details.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18579515,Monolith
Industrial and Manufacturing,8600 sq.m.,Not available,Not available,Other,Common from the Street,,,,,"Северная улица, Ванадзор","130,000,000 ֏",AMD,"Foundation area, which is very suitable for organizing any type of business activity. It is fenced, has an entrance rail, storage area, boxes, cabinet parts, etc.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18051709,Stone
Office Space,70 sq.m.,Available,Not available,Second Line,Separate from the Courtyard,,,,,Lorri › Vanadzor,"$80,000",USD,"A 2-room apartment converted into 4 is for sale in the center of the city. It is suitable for use as an office in the service sector. It has been completely renovated, it needs light cosmetic repairs. A basement of 15m is provided with the apartment. Call Viber or WatsApp.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/16861230,Stone
Retail Space,1000 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,Lorri › Spitak,"88,000,000 ֏",AMD,Gas station and four commercial containers next to itTranslated from Armenian,Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18632885,Stone
Everything Else,48 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,Lorri › Nor Khachakap,"$13,000",USD,"The building is located on the central street of Nor Khachakap village right in the center in front of the school, it has electricity, gas and water running 1-3 m away from the building. The building is divided into 2 parts, one part was used as a shop, the other part is suitable for a beauty salon or other business activities. The building is one-story, has 2 separate entrances with metal doors and 2 windows. It has a land area of 200 square meters. For more details, call Monday-Saturday from 18:00 to 21:00.Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18614627,Stone
Functioning Business,9 sq.m.,Available,Not available,First Line,Separate from the Street,,,,,Lorri › Vanadzor,"1,150,000 ֏",AMD,"A thermally insulated booth is for sale, along with all its equipment: Grinder racks, grinderSyrian production - 220 volts, I am also considering the option of exchanging with a car, the price is 1 million 150 thousand dramsTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/17707946,Cassette
Retail Space,5000 sq.m.,Available,Not available,First Line,Common from the Street,,,,,Lorri › Mets Parni,"355,000,000 ֏",AMD,"GAS STATION. Complex fuel filling station. It is located on the Vanadzor-Gyumri highway. The gas station is fed by a high-pressure pipeline, there is liquid gas, a filling point, wash yourself. The complex has a grocery store, commercial spaces, and a solar power station.Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18632831,Stone
Restaurant,470 sq.m.,,,,,,,,,Lorri › Vanadzor,"$310,000",USD,"ПРОДАЕТСЯ!Действующий ресторанный комплекс. Включает открытые беседки, банкетные комнаты, зал для церемоний. Продаётся вместе со всем имуществом. Здание построено в 2008 году. Капитальный ремонт производился в 2017 году. Частично ремонтировался в 2021 году. Для подробной информации звонитеԳործող ռեստորանային համալիրՆերառում է բաց տաղավարներ, բանկետնիներ, հանդիսության սրահ։Վաճառվում է ամբողջ գույքի հետ միասինՇենքը կառուցվել է 2008 թվականինԿապիտալ վերանորոգվել է 2017 թվականինՄասամբ վերանորոգվել է 2021 թվականինՄանրամասների համար զանգահարել։Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18079694,Stone
Functioning Business,107 sq.m.,Available,Not available,First Line,Common from the Street,,,,,"Nersisyan district 11, Vanadzor","$63,000",USD,Existing car wash for sale with all the equipment and equipment.Translated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/16440205,Stone
Functioning Business,67 sq.m.,Available,Not available,Other,Separate from the Courtyard,,,,,Lorri › Vanadzor,"$40,000",USD,67 sq/m business space for sale. Area of activity 50.5 sq/m.Address: Saint-Petersburg 5/1.1.For rent.Translated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/10405698,Stone
Restaurant,190 sq.m.,Available,Not available,First Line,Common from the Street,,,,,Lorri › Stepanavan,"24,000,000 ֏",AMD,"A restaurant is for sale in Stepanavan city, there are attached buildings, utilities with all facilities, natural gas, three-phase electricity, constant water, Armenia on the Vrastam highway, 2140 square meters of land + 700 square meters,Also exchange with an apartment in YerevanFor more information callStepanavanin StepanavanStepanavan:StepanavaneRestaurant:I am sellingI am selling territorylandplot of landarboretumPine treeLoriTranslated from Armenian",Dec-12-2022_20-38,Covered parking,https://list.am/en/item/17832301,Stone
Everything Else,20 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,,,,,Lorri › Spitak,"$5,000",USD,Call for detailsTranslated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/15648108,Bricks
Everything Else,18 sq.m.,Not available,Not available,Other,Separate from the Street,,,,,Lorri › Bazum,"300,000 ֏",AMD,"It is in normal condition: 3 m-6 m, iron bar on the window. Carcass iron. Address Lori region village Bazum. Price is negotiableTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/14357732,Wooden
Functioning Business,50 sq.m.,Available,Not available,First Line,Separate from the Street,,,,,"Vardanants Street, Vanadzor","$74,000",USD,"Տրվում է վարձով, կամ վաճառվում է (գույքով) ։Առկա է անվտանգության և տեսանկարահանման համակարգ։Կապիտալ վերանորոգած։Կենտրոնական Գրադարանի հարևանությամբ։",Dec-12-2022_20-38,,https://list.am/en/item/12268124,Stone
Automotive Service,132 sq.m.,Available,Not available,First Line,Common from the Street,,,,,"Խորենացի փողոց 1գ, Վանաձոր","$75,000",USD,"Operating car wash, tire service pointTranslated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18611176,Monolith
Automotive Service,150 sq.m.,Available,Not available,First Line,Common from the Street,,,,,Lorri › Stepanavan,"$65,000",USD,"The total area is 1000 square meters. The area is completely asphalted, there is a three-phase. Call for questionsTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/17798913,Stone
Retail Space,77 sq.m.,,,,,,,,,"Մանուշյան փողոց 2Ա/1, Վանաձոր","$15,000",USD,"The total area is 77 square meters, the building is 20 square meters, electricity is 3 phases, permission to increase the second floor and the building, details by calling, call waths app, if you want 10.2-7.5m area, call whotsappTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18151760,Stone
Restaurant,302 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,"33-րդ փողոց, Արջուտ","35,000,000 ֏",AMD,"A hotel-restaurant complex is for sale on the first line of the Yerevan-Vanadzor highway in the area of Arjut community. The land area is 6,000 square meters and 252 square meters of restaurant space. Available in 132 square meters of hotel complex, has all utilities.Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18693534,Stone
Retail Space,42 sq.m.,,,,,,,,,Lorri › Alaverdi,"5,000,000 ֏",AMD,"The building is located in the city of Alaverdi, in building 1/13 of the Sanahin Plateau. Call for details. You can pay the amount in 2 installments.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/17985859,Stone
Everything Else,1200 sq.m.,By agreement,Available,First Line,Separate from the Street,,,,,Lorri › Vanadzor,"178,000,000 ֏",AMD,"The payment of the cadastral value of the land is made by the seller, the remaining value is subject to discussion.The building of the former printing house of Vanadzor city is for sale or rent.It consists of two floors and one basement floor, high ceiling, the total area is 1200 m2, the building has an adjacent area (it is possible to use it as a parking lot), a garage, there are fir trees.It was built during the USSR, it is earthquake resistant.The building can be operated as an office space, for production purposes, for commercial purposes, as a storage space, as an entertainment center, hotel complex, restaurant complex, etc.It is located at the corner of the intersection of Tpagrichni and Myasnikyan streets, next to the newly built Church.The price is subject to negotiation.Translated from Armenian",Dec-12-2022_20-38,"Outdoor parking, covered parking, garage",https://list.am/en/item/18430077,Stone
Retail Space,90 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,"Viktor Hambartsumyan street 9, Vanadzor","$30,000",USD,"Currently rented, negotiableTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18008461,Stone
Multifunctional Space,208 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,Lorri › Vanadzor,"$51,000",USD,"The area is located in the semi-basement part of the buildings, it has 2 large rooms of 65m each and 4 small drawing rooms. It seems that it used to be a sewing workshop. Three-phase current is provided.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18664555,Stone
Functioning Business,240 sq.m.,,,,,,,,,"Baghramyan Str, Stepanavan","25,000,000 ֏",AMD,"СРОЧНО! В центре города, в Степанавани, по адресу Бахрамян 27, продаю коммерческое недвижимость, магазины с домом, зимельный участок, рялному покупателя не большой Торг имеется... Также можно оформить ипотеку! Магазины в данном время задаются и несут прибыль, Проста так не звание сохраняйте моё и ваше время спасибо зо понимание... Подробно по телефону... ЦЕНА ОКОНЧАТЕЛЬНО. Это цена до конца месяца",Dec-12-2022_20-38,,https://list.am/en/item/13106189,Stone
Retail Space,240 sq.m.,,,,,,,,,"Baghramyan Str, Stepanavan","25,000,000 ֏",AMD,"СРОЧНО! Г. Степанаван! Улица Бахрамян 27 продаю дом и магазины, могазины в данном время ЗДАЮИ приносят прибыли! Также можно оформить в ипотеку! Рялному покупателя ест не большой Торг, подробно по телефону... ЦЕНА ОКОНЧАТЕЛЬНО. Это цена до конца месяца",Dec-12-2022_20-38,,https://list.am/en/item/13234266,Stone
Automotive Service,122 sq.m.,Available,Not available,First Line,Common from the Street,,,,,Lorri › Vanadzor,"$55,000",USD,"A ready and working business car wash (wash yourself) is for sale in the city of Vanadzor.A solid roof (construction), height 4.5 meters, a solar system with a capacity of 6.4 kilowatts per hour is installed on the roof, the current is three-phase. The car wash consists of 3 boxes, all equipment is of high quality Italian production, Wi-fi is available, security, video recording and remote control systems for lights are also installed, a vacuum cleaner with a separate box, car care equipment (interior care, tire blacking, pressurized air, tire inflation, as well as with the possibility of adding another vacuum cleaner.The car wash also has a reserve water tank with a capacity of 4 tons, with its own pump.It is located at the intersection of Bangladesh district, in front of the 24th school.DO NOT RELAX WITH POINTLESS QUESTIONS.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18123599,Panels
Automotive Service,95 sq.m.,Available,Not available,First Line,Common from the Street,,,,,Lorri › Alaverdi,"$60,000",USD,"A multifunctional building that can be used for different types of activities.It is equipped with all utilities, has three-phase electricity, is located in the area adjacent to the main road. It was used as a car box. There is a gas filling station and various car service stations nearby. It has a flat free space in the back. Sold with the property. Equipped with all the tools, devices and fixtures needed to blow up a car.A multifunctional building that can be used for different types of activities.It is equipped with all communications, has three-phase electricity, is located in the area adjacent to the main road. It was used as an automobile box. There is a gas station and various car service centers nearby. There is a flat free space behind him.Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18704987,Panels
Functioning Business,800 sq.m.,Not available,Not available,Other,Common from the Street,,,,,Lorri › Gyulagarak,"$20,000",USD,"Area 800 m, sq. M., there is wooden roof, permanent water, permanent electricity, sewerage, concrete nurseries, water line with half-pipes on the nurseries.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/15490013,Stone
Multifunctional Space,250 sq.m.,Available,Not available,First Line,Separate from the Courtyard,,,,,Lorri › Lermontovo,"17,000,000 ֏",AMD,"Operating business, can be used as a shop, guest house, tea house, etc.Gas, light-three-phase, water, bathroom, kitchen, bedrooms, garage, summer pavilion with barbecue, cellar.The property area is 210 square meters, the building area is 150 square meters.Exchange for an apartment.It is also provided with a monthly fee, the monthly fee is AMD 150,000.Negotiable for cash.Translated from Armenian",Dec-12-2022_20-38,Garage,https://list.am/en/item/13018717,Stone
Industrial and Manufacturing,720 sq.m.,,,,,,,,,Lorri › Vanadzor,"$100,000",USD,"An area of industrial significance is for sale in Shahumyan village. The area is fenced, metal gate land area 4500 sq / m building two-storey each floor 12 * 30 m total 720 sq / mTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/15706202,Panels
Retail Space,70 sq.m.,,,,,,,,,Lorri › Vanadzor,"$60,000",USD,Shop for sale at 5 Tumanyan StreetTranslated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/16841327,Stone
Retail Space,130 sq.m.,Not available,Not available,Second Line,Common from the Street,,,,,"Egishe Charents street, Stepanavan","11,000,000 ֏",AMD,Three-phase current is available for setting up a suitable shop or factoryTranslated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/15520338,Stone
Retail Space,35 sq.m.,Available,Not available,First Line,Common from the Street,,,,,"Baghramyan St 2, Stepanavan","$20,000",USD,"Շինություն Ստեփանավանում, առաջ աշխատել է որպես սրճարան",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/15595580,Stone
