Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,New Construction,Elevator,Ceiling Height,Floor,Balcony,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Furniture,Garage,Amenities,Appliances,Links,Condition,Service Lines,Facilities
House,Stone,45 sq.m.,1,2,1,Designer Renovation,,"Տերյան փողոց 95/6, Գյումրի","15,000 ֏ daily",AMD,"Օրավարձով է տրվում բնակարան քաղաքի կենտրոնական հատվածում՝ Մերկուրովի անվան տուն թանգարանի հարևանությամբ։ Կոմունալ բոլոր հարմարություններով (WI-FI) :Сдается 2х-комнатный дом посуточно в центре города со всеми удобствами, по соседству Музея Меркурова․ В доме есть WI-FI.",Nov-24-2022_23-04,,,,,,4,Yes,No,Included,By Agreement,,,,,https://list.am/en/item/17845437,,,
House,Stone,30 sq.m.,1,1,1,Euro Renovation,40 sq.m.,"Ղորղանյան փողոց 250, Գյումրի","15,000 ֏ daily",AMD,"In the center of Gyumri, the private house is for daily rent, it is completely renovated, it is in perfect condition, it is fully furnished and equipped with the necessary equipment.Daily guest house with all the com. By services. The house is located in the center of the city.The house is available daily and long-termTranslated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17599279,,,
House,Stone,35 sq.m.,1,1,1,Major Renovation,,"Մազմանյան փողոց 228, Գյումրի","12,000 ֏ daily",AMD,"House for daily rent in Gyumri: (12,000 AMD), one room, completely newly renovated, with all utilities. Teryan-Mazmanyan intersection.Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/18224447,,,
House,Stone,35 sq.m.,1,1,1,Major Renovation,,Shirak › Gyumri,"200,000 ֏ monthly",AMD,"The house is located next to the square, on Hakobyan Street in the very center of Gyumri, utility bills are included in the monthly payment.Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/18237249,,,
House,Stone,55 sq.m.,1,3,1,Euro Renovation,45 sq.m.,"Գոգունցի փողոց 4/10, Գյումրի","12,000 ֏ daily",AMD,"For daily rent or short-term house, newly renovated, with a yard and a terrace. It is located near the city center, a 5-minute walk from the railway station, on a quiet and well-maintained street. Sleeps 4 + a comfortable pull-out sofa. Kitchen with all amenities. There is a washing machine, tiled bathroom, television, internet.It is also very convenient for students.Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17863952,,,
Townhouse,Stone,250 sq.m.,2,5,2,Euro Renovation,350 sq.m.,"Улица Теряна, Гюмри","280,000 ֏ monthly",AMD,"Վարձով է տրվում 2 հարկանի քարե տուն ք. Գյումրոյում։ 4 Սենյակ, սեփական տուն, Արիստոն տաքացուցիչով, մշտական ջրով, նկուղով, քարե ավտոտնակով, բակով, կահույքովСдается в аренду собственный дом. Каменный гараж, большой подвал по домой, двор. Аристон обогреватель воды, газ, постоянная вода, отопление.Կոդ MSA096Translated from Armenian",Nov-24-2022_23-04,,,,,,5,Yes,No,Not included,1 month,,,,,https://list.am/en/item/18096660,,,
House,Stone,500 sq.m.,3,8+,3+,Old Renovation,400 sq.m.,"Պուշկինի փողոց 96, Գյումրի","$1,100 monthly",USD,"Գյումրու կենտրոնական հատվածում վարձով է տրվու սև սրբատաշ 2հարկանի սեփական տուն՝ձեռնահարկով, որը շատ հարմար է գրասենյակային կամ հյուրանոցային գործունեություն ծավալելու համար, թաղամասը բարեկարգված է, փողոցնները՝ ասֆալտապատ: ՈՒնի բակ, ավտոտնակ, պատշգամբ:В центральной части Гюмри сдается 2-х этажный частный дом, что очень удобно для офисной или гостиничной деятельности, район благоустроен, улицы заасфальтированы. Есть двор, гараж, балкон.Կոդ AA-009",Nov-24-2022_23-04,,,,,,8+,Yes,Yes,Not included,2 months,Not available,1 spot,,,https://list.am/en/item/17869580,,,
House,Stone,120 sq.m.,1,3,1,Euro Renovation,180 sq.m.,"Ghorghanayn Street, Gyumri","25,000 ֏ daily",AMD,"Օրավարձով է տրվում տուն՝Գյումրու կենտրոնում: Տունը կապիտալ վերանորոգված է, տեղադրված են եվրո պատուհաններ և միջսենյակային փայտյա դռներ: Հատակը սալիկապատված է, ննջասենյակում՝ մանրահատակ: Տունն ապահովված է շուրջօրյա ջրամատակարարմամբ և գազամատակարարմամբ։Տունը նախատեսված է 6-7 անձի համար։Տունն ունի խոհանոց ՝իր բոլոր հարմարություններով, լոգարան և լոգասենյակ։ ՈԻՆԻ 2 ԿԱՅԱՆԱՏԵՂ. «Сдается дом в центре Гюмри посуточно. Дом полностью отремонтирован, установлены евро окна, межкомнатные деревянные двери. Пол выложен плиткой, в спальне - паркет. Дом обеспечен круглосуточной водой и газом. Дом рассчитан на 7-8 человек. В доме есть кухня со всеми удобствами, ванна, душевая. Две парковки",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17948492,,,
House,Stone,100 sq.m.,1,3,1,Euro Renovation,130 sq.m.,"Ghorghanayn Street, Gyumri","400,000 ֏ monthly",AMD,"Վարձով է տրվում տուն՝Գյումրու կենտրոնում: Տունը կապիտալ վերանորոգված է, տեղադրված են եվրո պատուհաններ և միջսենյակային փայտյա դռներ: Հատակը սալիկապատված է, ննջասենյակում՝ մանրահատակ: Տունն ապահովված է շուրջօրյա ջրամատակարարմամբ և գազամատակարարմամբ։Տունն հարմար է իր բոլոր հարմարություններով, ունի լոգարան և լոգասենյակ։Ունի առանձին բակ և՛ բաց և՛ փակ ավտոկայանատեղիներ։Անվճար Wi-fi: Նախատեսված է 6-7 անձի համար ։Сдается дом в центре Гюмри. Дом полностью отремонтирован, установлены евро окна и деревянные межкомнатные двери. На полу плитка, в спальне - паркет. Дом обеспечен круглосуточной подачей воды и газа. Дом благоустроен со всеми удобствами, есть ванна, душевая кабина. Есть отдельный двор, открытая и закрытая парковки. Бесплатный Wi-fi: Дизайнерский. На 6-7 человек.",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17862621,,,
Country House,Stone,700 sq.m.,1,3,1,Partial Renovation,200 sq.m.,"Sayat Nova avenue, Gyumri","10,000 ֏ daily",AMD,"The house is located in the Vard-Bagh recreation area. It is also available with a monthly payment. For questions, callTranslated from Armenian",Nov-24-2022_23-04,,,,,,4,Yes,No,Not included,By Agreement,,,,,https://list.am/en/item/18062845,,,
House,Stone,50 sq.m.,1,1,1,Euro Renovation,100 sq.m.,"Furmanov street, Gyumri","13,000 ֏ daily",AMD,Օրավարձով սեփական տուն կոմունալ բոլոր հարմարություններով քաղաքի կենտրոնում։Посуточный Гостевой дом со всеми ком. Услугами. Дом находится в центре города.Daily Guest house with all utilities. The house is located in the city center.,Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/13140605,,,
House,Stone,28 sq.m.,1,1,1,Euro Renovation,,"Furmanov street, Gyumri","15,000 ֏ daily",AMD,"A house is for daily rent in the center of Gyumri. The house is fully repaired, euro windows are installed. The floor is tiled, in the bedroom - parquet. The house is provided with round-the-clock water and gas supply. The house is intended for 3-4 people. The house has a kitchen with all its amenities, a bathtub, a shower room.Translated from Armenian",Nov-24-2022_23-04,,,,,,3,Yes,No,By Agreement,Without prepayment,,,,,https://list.am/en/item/15144856,,,
House,Stone,50 sq.m.,1,2,1,Euro Renovation,80 sq.m.,"Furmanov street, Gyumri","25,000 ֏ daily",AMD,"Տրվում է Օրավարձով տուն Գյումրի քաղաքի կենտրոնում երկու սենյակ կոմունալ բոլոր հարմարություններով 7 hoku tex В центре города Гюмри сдаются два отличных дома, один на 5-7 человек, две спальни. Кухня со всеми бытовыми приборами, санузел с горячей водой, отопление центральное, газ, вайфай, холодильник, стиральная машина-собственный двор, парковка, мангал, евроремонт-в шаговой доступности все достопримечательности древнего Гюмри-месячная плата",Nov-24-2022_23-04,,,,,,6,Yes,Yes,By Agreement,Without prepayment,,,,,https://list.am/en/item/15699394,,,
Country House,Stone,64 sq.m.,1,3,1,Designer Renovation,1000 sq.m.,"2-й квартал Аэропорта 76, Гюмри","30,000 ֏ daily",AMD,"1-storey house for daily rent, monthly rent in Gyumri. The guest house is located in Shirak marz. There is a furnished kitchen, a rest room, a bathroom, WI FI. It is provided from 10:00 to 22:00, without overnight stay. The price for overnight stays varies, depending on the days and the number of guests. A monthly fee is also possible.#Гюмри#квартира#сдается#посуточно#hotel#Translated from Armenian",Nov-24-2022_23-04,,,,,,5,Yes,Yes,Included,By Agreement,Available,1 spot,,,https://list.am/en/item/18152211,,,
House,Stone,52 sq.m.,1,2,1,Euro Renovation,52 sq.m.,"Rustaveli Street, Gyumri","10,000 ֏ daily",AMD,"Օրավարձով է տրվում մեկ հարկանի քարե տուն Գյումրի քաղաքի կենտրոնում Վարդանանց հրապարակիբ կից, տանը կա հեռուստացույց, Սառնարան, wi fi, անկողնային պարագաներ, Սպասք, Բաքսի. Գնի փոփոխությունը հնարավոր է կախված սահմանված օրերից, ժամերից և բնակվողների քանակից Տուն, տրվում է բոլոր հարմարություններով 4 անձի համար: .Сдается посуточно дом в центре города возле П. Вардананц, в доме есть телевизор, холодильник, газовая плита, wi fi, постельные принадлежности,Посуда, Бакси. Изменение цены возможно в зависимости от установленных дней, часов и количества проживающихДом в Гюмри, со всеми удобствами для 4-х человек...House for rent, the house has a TV, refrigerator, gas stove, wi-fi, bedding, Dishes, Baksi. Price changes are possible depending on the set days, hours and number of residents House in Gyumri, with all amenities for 4 people...",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17878654,,,
House,Stone,46 sq.m.,4+,2,1,Designer Renovation,,Shirak › Gyumri,"12,000 ֏ daily",AMD,"The apartment is located in Gyumri, very beautiful. The apartment is comfortableTranslated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17533821,,,
House,Stone,100 sq.m.,1,3,1,Euro Renovation,130 sq.m.,"Ghorghanayn Street, Gyumri","25,000 ֏ daily",AMD,"Օրավարձով է տրվում տուն՝Գյումրու կենտրոնում: Տունը կապիտալ վերանորոգված է, տեղադրված են եվրո պատուհաններ և միջսենյակային փայտյա դռներ: Հատակը սալիկապատված է, ննջասենյակում՝ մանրահատակ: Տունն ապահովված է շուրջօրյա ջրամատակարարմամբ և գազամատակարարմամբ։Տունը նախատեսված է 6-7 անձի համար։Տունն ունի խոհանոց ՝իր բոլոր հարմարություններով, լոգարան և լոգասենյակ։ ՈԻՆԻ 2 ԿԱՅԱՆԱՏԵՂ. «Сдается дом в центре Гюмри посуточно. Дом полностью отремонтирован, установлены евро окна, межкомнатные деревянные двери. Пол выложен плиткой, в спальне - паркет. Дом обеспечен круглосуточной водой и газом. Дом рассчитан на 7-8 человек. В доме есть кухня со всеми удобствами, ванна, душевая. Две парковки",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17855799,,,
House,Stone,40 sq.m.,1,1,1,Euro Renovation,100 sq.m.,"Furmanov street, Gyumri","250,000 ֏ monthly",AMD,"Сдаётся собственный дом в историческом центре Гюмри, со всеми удобствами на 3 человека-евроремонт-сантехника. Кухня и санузел, комфортная ванна, телевизор, вайфай, стиральная машина, все удобства -в шаговой доступности от центра города-двор, мангал, -парковка-месячная плата-200.000 драмов! ՏՐՎՈԻՄ Է ԱՄՍԱԿԱՆՈՎ",Nov-24-2022_23-04,,,,,,3,Yes,No,Included,By Agreement,,,,,https://list.am/en/item/17482232,,,
House,Stone,300 sq.m.,2,4,1,Major Renovation,1000 sq.m.,Shirak › Gyumri,"60,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LG001Translated from Armenian,Nov-24-2022_23-04,,,,,,8+,Yes,No,Included,By Agreement,,,,,https://list.am/en/item/17707792,,,
House,Stone,50 sq.m.,1,2,2,Designer Renovation,,"Ֆուրմանով փողոց 55, Գյումրի","10,000 ֏ daily",AMD,Օրավարձով սեփական տուն կոմունալ բոլոր հարմարություններով քաղաքի կենտրոնում։Посуточный Гостевой дом со всеми ком. Услугами. Дом находится в центре города.Daily Guest house with all utilities. The house is located in the city center. Ravardzov 2 senya,Nov-24-2022_23-04,,,,,,2,Yes,No,Included,By Agreement,Available,1 spot,,,https://list.am/en/item/16102071,,,
House,Stone,30 sq.m.,1,1,1,Designer Renovation,180 sq.m.,"Ջիվանի փողոց 91, Գյումրի","15,000 ֏ daily",AMD,"Alashkert guest house is located in Gyumri Kumair Reserve, at 91 Jivan Street (in front of the Central Park) The guest house has all the necessary conditions: A large yard, a separate entrance. In the yard there is a small museum of Gyumri lifestyle, besetka, fruit trees, hammock, barbecue facilities.The guest house is designed for 3 people. Price per person per night: 14,000, for 2 persons 19,000, for 3 persons 25,000Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/18096226,,,
House,Stone,250 sq.m.,1,2,2,Major Renovation,30 sq.m.,"Isahakyan street, Gyumri","20,000 ֏ daily",AMD,"A private house in the center of Gyumri city with all its amenities is for rent. It has a game room, table tennis, a very comfortable and beautiful yard, there is a barbecue in the yard. It is very suitable for spending a full vacation. It is given both short-term and long-term.Translated from Armenian",Nov-24-2022_23-04,,,,,,4,Yes,Negotiable,Included,By Agreement,Available,1 spot,"TElevision, internet, air conditioner","FRidge, washing machine, iron",https://list.am/en/item/17983253,,,
House,Stone,56 sq.m.,1,1,1,Major Renovation,70 sq.m.,"Улица Теряна, Гюмри","130,000 ֏ monthly",AMD,"Վարձակալության է տրվում 1 (2) սենյականոց քարե տուն Գյումրիում (Մատնիշյան փողոց) կահավորանքի հետ միասին:Տունը ապահովված է կոմունալ բոլոր հարմարություններով (ջեռուցում, ջուր, Էլեկտրաէներգիա) :Առկա է երկու ննջասենյակ, հյուրասենյակ, խոհանոց և լոգասենյակ, ու սեփական բակ:Տանը առկա է հեռուստացույց, լվացքի մեքենա, սառնարան և ինտերնետ (WIFI) :Այլ մանրամասների համար զանգահարել: Сдается в аренду трехкомнатный каменный дом с мебелью в городе Гюмри (улица Матнишян)Дом оснащен всеми коммунальными услугами (отопление, вода, электричество)Есть две спальни, гостиная, кухня и ванная комната, и собственный двор.Телевизор, стиральная машина, холодильник и интернет (WIFI)Позвоните для получения более подробной информации.Կոդ VS765Translated from Armenian",Nov-24-2022_23-04,,,,,,2,Yes,No,Not included,2 months,Available,Not available,,,https://list.am/en/item/18147006,,,
House,Stone,64 sq.m.,1,2,1,Major Renovation,35 sq.m.,"Հակոբյան փողոց 3, Գյումրի","15,000 ֏ daily",AMD,"The guest house is located in the center of Gyumri, in the most beautiful district, near the oldest and most beautiful architectural buildings of Gyumri city.Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/18059264,,,
House,Panels,90 sq.m.,3,3,1,Euro Renovation,,"Sayat-Nova Ave, Gyumri","5,000 ֏ daily",AMD,Apartments with all available amenities are available for daily rentThe apartments are located in the center and in different parts of the cityWrite and call on viber or WhatsAppTranslated from Armenian,Nov-24-2022_23-04,,,,,,8+,Yes,Yes,Included,By Agreement,Available,3 or more spots,,,https://list.am/en/item/15493792,,,
House,Stone,120 sq.m.,1,3,1,Cosmetic Renovation,,"Paronyan street, Gyumri","120,000 ֏ monthly",AMD,"Сдаю частный дом, с косметическим ремонтом. В центре города на ул. Пароняна. Газ, горячая, холодная вода, стиральная машинка, необходимая мебель, wi-fi, Все условия для нормального проживания. Дом с придомовой территорией и садом в тихом, уютном месте. Развитая инфраструктура, детский сад и школа, магазины и общественный транспорт. Аренда не менее чем на 6 месяцев, если на год и более по цене можно договориться. Оплата наличными или на карту СБ, можно рублями.",Nov-24-2022_23-04,,,,,,4,Yes,No,Not included,1 month,,,,,https://list.am/en/item/17766497,,,
House,Stone,450 sq.m.,1,5,3+,Euro Renovation,140 sq.m.,"26 Komisarneri Street 80, Gyumri","$1,000 monthly",USD,"Сдается дом в центральной части города Гюмри. В доме есть все необходимые для жизни удобства, большой гараж, уютный просторный двор. Также можно будет насладиться игрой в теннис, жарить шашлыки на каменном мангале, отдохнуть от городского шума, находясь в центре:)Также возможна аренда отдельных комнат дома.Цена договорная.Վարձով տուն Գյումրի քաղաքի կենտրոնական մասում: Տունն ունի բոլոր անհրաժեշտ հարմարությունները, մեծ ավտոտնակ, հարմարավետ ընդարձակ բակ։ Կարող եք վայելել ձեր հանգիստը հարմարավետ, կանաչապատ բակում, խաղալ սեղանի թենիս, հանգստանալ քաղաքի աղմուկից՝ լինելով կենտրոնում:)Հնարավոր է նաև տան անհատական սենյակների վարձակալությունը։Գինը սակարկելիHouse for rent in the central part of the city of Gyumri. The house has all the amenities necessary for life, a large garage, a cozy spacious yard. One may also enjoy playing tennis, barbecue, take a break from the city noise being in the center:)It is also possible to rent individual rooms of the house.Price negotiable.",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/18216435,,,
House,Stone,50 sq.m.,1,2,1,Cosmetic Renovation,,"Ghandilyan street, Gyumri","100,000 ֏ monthly",AMD,"Վարձով տրվում է սեփական տուն ք. Գյումրի Ղանդիլյան փողոցում Ոսկե Ծիրան ռեստորանի մոտակայքում։ Կոմունալ բոլոր հարմարություններով, փոքրիկ բակ, կոսմետիկ վերանորոգում։ Сдается частный дом в г. Гюмри улице Гандилян возле ресторана Золотая абрикос (Воске Циран) со всеми коммунальными удобствами, небольшой двор, косметический ремонт. 100.000 тысяч драм в месяц.",Nov-24-2022_23-04,,,,,,3,Yes,No,Not included,2 months,,,,,https://list.am/en/item/18002050,,,
House,Stone,150 sq.m.,1,4,2,Euro Renovation,15 sq.m.,"Улица Дживани 80, Гюмри","25,000 ֏ daily",AMD,There is an option to fully rent the house.Translated from Armenian,Nov-24-2022_23-04,,,,,,8+,Yes,No,Not included,2 months,,,,,https://list.am/en/item/17778105,,,
House,Stone,65 sq.m.,1,2,1,Major Renovation,25 sq.m.,"Հակոբյան փողոց 3, Գյումրի","15,000 ֏ daily",AMD,The guest house is located in the oldest and most beautiful center of GyumriTranslated from Armenian,Nov-24-2022_23-04,,,,,,4,Yes,Yes,Included,Without prepayment,By agreement,1 spot,,,https://list.am/en/item/18055024,,,
House,Wooden,36 sq.m.,1,1,1,Cosmetic Renovation,36 sq.m.,"Haghtanak Avenue, Gyumri","15,000 ֏ daily",AMD,It is located in the city center. Family atmosphere. Calm atmosphere. It is a few steps to go anywhere on foot to Man. It is located in the back of the building on Haghtanaki avenue 1. We have a family atmosphere.We will discuss long-term options.Translated from Armenian,Nov-24-2022_23-04,,,,,,3,Yes,No,Included,By Agreement,Available,3 or more spots,,,https://list.am/en/item/18155583,,,
House,Stone,160 sq.m.,1,4,3+,Major Renovation,350 sq.m.,Shirak › Gyumri,"10,000 ֏ daily",AMD,"Guest house for daily rent in Gyumri city. The guest house is for long-term rent. The price is negotiable. (Attention) the guest house is provided only for guests arriving in Gyumri city. The guest house is located in a busy part of the city, not far from the center, fully renovated, designed for three to four people, and we can also provide a separate suite for two people, k. B. H. Stylish furniture, bathroom, Wifi, cable TV, household appliances, dishes and linen. There are all necessary accessories and conditions for your complete rest. Parking is also provided.Translated from Armenian",Nov-24-2022_23-04,,,,,,7,Yes,No,By Agreement,By Agreement,,2 spots,,,https://list.am/en/item/17802551,,,
House,Stone,120 sq.m.,1,3,1,Designer Renovation,20 sq.m.,"Sundukyan Street, Gyumri","270,000 ֏ monthly",AMD,"Վարձակալության է տրվում 3 սենյականոց քարե տուն Գյումրի քաղաքի կենտրոնում (Աբովյան փողոցում) կահույքի հետ միասին:Տունը ապահովված է կոմունալ բոլոր հարմարություններով (ջեռուցում, ջուր, Էլեկտրաէներգիա) :Առկա է երկու ննջասենյակ, հյուրասենյակ, խոհանոց և լոգասենյակ, ինչպես նաև ընդարձակ բալկոն ու սեփական բակ:Տանը առկա է հեռուստացույց, լվացքի մեքենա, սառնարան և ինտերնետ (WIFI) :Այլ մանրամասների համար զանգահարել: Сдается в аренду трехкомнатный каменный дом с мебелью в городе Гюмри (улица Абовяна), в центре городаДом оснащен всеми коммунальными услугами (отопление, вода, электричество)Есть две спальни, гостиная, кухня и ванная комната, а также просторный балкон и собственный двор.Телевизор, стиральная машина, холодильник и интернет (WIFI)Позвоните для получения более подробной информации.Կոդ XXR030Translated from Armenian",Nov-24-2022_23-04,,,,,,5,Yes,Yes,Not included,By Agreement,Available,Not available,,,https://list.am/en/item/18130960,,,
House,Stone,65 sq.m.,2,3,1,Major Renovation,120 sq.m.,"Abovyan street, Gyumri","20,000 ֏ daily",AMD,"3-room apartment in the city center for daily rent. Euro-renovated. The apartment has utilities, all household facilities: Constant hot and cold water, gas, Internet (Wi-Fi), cable TV, open balcony.The 2nd floor of a 2-story house is for rent, but you can also rent the whole house (as well as partially), it has a luxurious and spacious balcony, a yard full of flowers, where there is a barbecue, a swing, chairs and tables. You can spend your entire vacation right here. For more information call.Code SH342Translated from Armenian",Nov-24-2022_23-04,,,,,,7,Yes,Yes,Included,By Agreement,Available,3 or more spots,,,https://list.am/en/item/18175311,,,
House,Stone,85 sq.m.,1,3,2,Euro Renovation,,Shirak › Gyumri,"20,000 ֏ daily",AMD,"Մեկ հարկանի քարե տուն Գյումրիում, 85 ք. Մ. , 2 սանհանգույց, եվրովերանորոգված25,000 օրականОдноэтажный каменный дом в Гюмри, 85 кв. М. , 2 санузла, евро ремонт25,000 драм в деньՕրավարձով է տրվում վերանորոգված և կոմունալ բոլոր հարմարություններով տուն Գյումրի քաղաքում՝ կենտրոնից 2կմ հեռավորության վրա, Թամանյան փողոց 2։Ունի խոհանոց, 2 սանհանգույց՝ 1-ը լոգարանով, 1 ննջասենյակ, մեծ միջանցք:Տունը նախատեսված է մինչև 6 անձի համար։ Երկտեղանոց սենյակը ամրագրելու դեպքում՝ 15 000 դրամ, ամբողջ տունը ամրագրելու դեպքում՝ 20 000 դրամСдается посуточно отремонтированный дом со всеми коммунальными удобствами в Гюмри, в 2 км от центра, на улице Таманяна 2.В нем есть кухня, 2 санузла, 1 с ванной, 1 спальня, большой коридор.Дом рассчитан на проживание до 6 человек. При бронировании двухместного номера - 15 000 драм, при бронировании всего дома - 20 000 драм",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17483191,,,
House,Stone,20 sq.m.,1,1,1,Cosmetic Renovation,500 sq.m.,"Տերյան փողոց, Գյումրի","100,000 ֏ monthly",AMD,"Сдается отделенная 1 комната /Студия в частном доме со всеми удобствами, кухня. Ванная Дом находится в центре города, автобусная остановка в 5-и метрах.В доме есть холодильник, телевизор, в ванной горячая вода.Во дворе участок с деревьями.Адресс: Ул. Теряня дом 141/5, г. Гюмри.Дом освобождается с 15.11 числа, в настоящем проживает пара из России.",Nov-24-2022_23-04,,,,,,2,Yes,Yes,Not included,By Agreement,,1 spot,,,https://list.am/en/item/13097253,,,
House,Stone,120 sq.m.,1,3,1,Euro Renovation,,Shirak › Gyumri,"12,000 ֏ daily",AMD,"Сдается дом.5 минут ходьбы от центальной площади, поблизости находится рынок, школы, детский сад, центральный парк.Имеется все комунальные условия: Горячая-холодная вода, отопление-теплый пол, Wi-Fi, Smart-TV.",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17095539,,,
House,Stone,50 sq.m.,1,1,1,Cosmetic Renovation,,"Varpetats Street, Gyumri","6,000 ֏ daily",AMD,Օրավարձը մեկ անձի համար կազմում է 6000 դրամ: Ежедневная оплата на одного человека составляет 6000 драм. The cost is 6000 drams for each person daily.,Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/16445114,,,
House,Stone,60 sq.m.,1,1,1,Euro Renovation,,"Խաչատուր Աբովյանի փողոց 134/1, Գյումրի","12,000 ֏ daily",AMD,"Տրվում է օրավարձով 2 սենյականոց բնակարան քաղաքի կենտրոնում: Եվրովերանորոգված է: Բնակարանն ունի կոմունալ, կենցաղային բոլոր հարմարությունները`մշտական տաք և սառը ջուր, գազ, ինտերնետ (Wi-Fi), կաբելային հեռուստատեսություն, բաց պատշգամբ:Գինը ենթակա է փոփոխության` Կախված անձանց քանակից և տոն օրերից:Մանրամասների համար զանգահարել նշված հեռախոսահամարով:Посуточно сдается 2-комнатная квартира в центре города. Евро ремонт. В квартире есть все удобства: Постоянная горячая и холодная вода, газ, интернет (Wi-Fi), кабельное телевидение, открытый балкон.Цена может меняться в зависимости от количества человек и праздников.За подробностями звоните по указанному номеру телефона.Daily rent 2-room apartment in the city center. Euro renovation. The apartment has all the amenities: Constant hot and cold water, gas, internet (Wi-Fi), cable TV, open balcony.The price is subject to change depending on the number of people and holidays.For details, call the indicated phone number.",Nov-24-2022_23-04,,,,,,5,Yes,Yes,By Agreement,By Agreement,,,,,https://list.am/en/item/17679397,,,
Country House,Stone,220 sq.m.,2,2,1,Major Renovation,,"8-րդ փողոց 17, Ձորակապ","200,000 ֏ monthly",AMD,"Сдаётся в аренду 2 этажная Вилла со всеми удобствами, 20км от г Гюмри• 5 комнат• 1 санузел• Постоянная Теплая и холодная вода• Отопление, теплый пол• Быстрый интернет, Wi-Fi• Стиральная машина• Холодильник• Новая мебель• Очень много розеток• Огромный балкон с видом на гора АрагацСад с фруктовыми деревьями• Гараж для 3 машин• Бассейн• Рядом продуктовый магазинчерез 1км г Маралик, где есть банки, супермаркеты фастфуды и почта",Nov-24-2022_23-04,,,,,,3,Yes,Yes,By Agreement,1 month,Available,3 or more spots,,,https://list.am/en/item/17632851,,,
House,Stone,110 sq.m.,1,3,1,Designer Renovation,450 sq.m.,"Lazo street, Գյումրի","30,000 ֏ daily",AMD,"Сдается посуточно одноэтажный каменный частный дом с двумя отдельными входами, имеющий большие и малые участки, рассчитанные на 6 и 3 человека соответственно.По большей части, есть 2 спальни, гостиная, кухня и ванная комната.Небольшая часть состоит из 1 спальни, кухни и гостиной вместе и ванной комнаты.Частный дом обеспечен постоянным водоснабжением, постоянным газоснабжением с горячей и холодной водой.Дом отапливается системой BAXI, бесплатный WI-FI.У дома просторный двор, где есть место для парковки, мангал (мангал) для шашлыка.Նշված գինը՝ 3 անձի դեպքումԿոդ GA565Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/18162218,,,
House,Stone,160 sq.m.,1,5,3+,Euro Renovation,,"Կոմիտասի փողոց 33, Գյումրի","60,000 ֏ daily",AMD,"It is also provided with a monthly rent of AMD 400,000.The house is fully renovated, furnished, equipped with appliances, dishes, bedding. It has individual heating system, security system, constant hot and cold water, garage, garden. There is a bathroom in the yard, a besetka.Translated from Armenian",Nov-24-2022_23-04,,,,,,6,No,No,Not included,2 months,,,,,https://list.am/en/item/18145129,,,
House,Stone,185 sq.m.,1,3,1,Euro Renovation,85 sq.m.,"6-й переулок улицы Карена Демирчяна 16, Гюмри","30,000 ֏ daily",AMD,"Daily rent apartment in Gyumri. The apartment is for rent completely with the yard.2 bedrooms, 1 living room, large kitchen, bathroom, individual heating system. Bedding, dishes, wi-fi, cable TV. The house is furnished.It is for 5 people. It is located 3 km from Vardanants Square.Translated from Armenian",Nov-24-2022_23-04,,,,,,5,Yes,No,Included,By Agreement,Available,Not available,"TElevision, internet, barbecue oven, gazebo","FRidge, stove, microwave, dishwasher, washing machine, water heater, iron, hair dryer",https://list.am/en/item/16152550,,,
