Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking,Links,Construction Type
Hotel,340 sq.m.,"Տանձաղբյուրի փողոց 4/22, Ծաղկաձոր","$4,800",USD,"Комфортная гостиница с 9-и комнатами, у каждой комнаты есть своя отдельная ванная комната.Маленькая кухня, со всеми принадлежностями.Быстрый интернет5-и минутной ходьбы от центра городаохраняемая территорияприятный интерьер",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17496764,
Retail Space,130 sq.m.,"Զորավար Անդրանիկի փողոց 12, Պռոշյան","150,000 ֏",AMD,"An area is for rent in Proshyan village, right in the center, it can serve, a shop, a warehouse, a fast food point, an office space, etc.Translated from Armenian",Nov-24-2022_22-04,By agreement,Not available,First Line,Separate from the Street,Direct Lease,6 months,By Agreement,Included,,https://list.am/en/item/17392389,
Office Space,65 sq.m.,Kotayk › Abovian,$650,USD,"Сдается в аренду офисное помещение в в г. Абовяне на 2-ом этаже нового двухэтажного здания с отдельным входом,Подходит для любого офисного бизнеса, ИТ-персонала,Площадь 65 кв/м, один полный зал, при желании салон можно разделить на комнаты по вашему желаниюНет проблем с парковкойИмеет прекрасную местность и видВыдается только на длительный срок и по контрактуЦена окончательная",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17777506,
Office Space,65 sq.m.,"Russian street, Abovyan","300,000 ֏",AMD,"Office space for rent in c. On the 2nd floor of a new two-storey building in Abovyan, with separate entrance,Suitable for any office business, for IT employees,Area 65 sq / m, one complete hall, if desired, the hall can be divided into rooms of your choiceNo parking problemIt has a wonderful location and viewFor rent only under a long-term contractThe price is finalTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17777484,
Office Space,800 sq.m.,"Arinj 2nd St. 1, Առինջ գյուղ","$1,000",USD,"Տարածքը տրամադրվում է վարձով գրասենյակային գործունեության համար, այն գտնվում է Առինջ-մոլի հարևանությամբ։ Բնակելի կառույցը 3 հարկանի է ամեն հարկը 100 մxմ 3-րդ հարկը տանիքային հարկ է։ Հագեցված է բոլոր կոմունալ հարմարություններով։ Տարածքը գտնվում է վերանորոգման փուլում ցանկության դեպքում դիզայնը կարող է արվել ձեր ընտրությամբ երկարաժամկետ համագործակցության պայմանով։ Ավտոտնակը ունի 20մ երկարություն և 5մ լայնություն հնարավոր է կայանել մինչև 5 ավտոմեքենա: Ընդհանուր հողի մակերեսը 800մxմ որից 400ը այգի։ Հարմար է ցանկացած տիպի բիզնես գործունեության համար։ Հնարավոր է նաև մաս-մաս վարձակալություն։",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17410576,
Retail Space,120 sq.m.,Kotayk › Jrvezh,"550,000 ֏",AMD,The store is currently working as a grocery store. There are all communal facilities. Can I provide an empty container? For questions call:Translated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18254818,
Everything Else,70 sq.m.,"Bagrevand 41 street, Yerevan","280,000 ֏",AMD,"Beauty salon for rent, on Bagrevand street, newly renovated, with new furniture. You can also carry out other work in the area, day, grocery store, office, if you want it as a house, we can furnish it and give it. It is a 2-room apartment, it has all the amenities, hot and cold. Water, air conditioner, heating system, euro windows, iron door.Translated from Armenian",Nov-24-2022_22-04,Available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,,https://list.am/en/item/17951219,
Multifunctional Space,60 sq.m.,Kotayk › Arinj,"200,000 ֏",AMD,"Commercial area is for rent in Arinj village, address: 24 street, 9 housesTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17616783,
Multifunctional Space,120 sq.m.,"Հանրապետության պողոտա 3/1, Աբովյան","200,000 ֏",AMD,"120 sq. M. Is for rent. Commercial area without an intermediaryhas all the utilities: Light gas, water, bathroom heatingIt is suitable as a clinic, hairdressing salon, dental clinic, development center, shop, pastry shop, beauty salon, dance studio, for other activities.I will sign a long-term contract.Translated from Armenian",Nov-24-2022_22-04,Not available,Available,Second Line,Separate from the Street,Direct Lease,1 month,By Agreement,Not included,,https://list.am/en/item/16574458,
Multifunctional Space,68 sq.m.,Kotayk › Proshyan,$350,USD,"Code VT260:Commercial area is for rent in Vanahovit, Kotayk region. It occupies an area of 68 square meters. The area is fully repaired. There are 2 bathrooms, a kitchen area. Suitable for shop. It is given back together with the property.Code VT-260Translated from Armenian",Nov-24-2022_22-04,By agreement,Not available,Other,Separate from the Street,Direct Lease,6 months,By Agreement,Not included,,https://list.am/en/item/16507227,
Functioning Business,75 sq.m.,Kotayk › Hrazdan,"$35,000",USD,ВАЧАРВУМ Э Гехецкутян срайй ев ханути тарацкй миасин гтнвум э Раздани микро шрджанум нахкин зберкассаи тарацкум 22 шенки так / карох эн ашхател 2 варсавир /1 косметолог /1 маникюрчицаТрвум э ир амбохч гуйковГехецкутян срай 40 каракусиеХанутй 35каракуси метрТрвум Э наев ВАРЦОВ ханути тарацкй ев гехецкутян срайй...ТАРАЦКИ КЕСЙ ГОРЦУМ ЭР ВОРПЕС ХАНУТ ЙНДАНУР МАКЕРЕСЙ 75 КАРАКУСИ Эвачарвум э миасин ерку тарацкй ирар эт,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/16153156,
Multifunctional Space,7000 sq.m.,Kotayk › Abovian,"$1,000",USD,"Տրվում է վարձով 1200 քմ շինություն։հարմար է տարբեր տեսակի, բիզնեսի, արտադրության և այլնի համար։ տարածքը հագեցած է գազով, ջրով, եռաֆազ հոսանքով։անսահմանափակ հնարավորություններ։ հնարավոր է նաև մասնակի վարձակալություն։ տարածքը գտնվում է Աբովյանի կոտայք գյուղում։ Երևանի կենրոնից 20 կմ հեռավորության վրա է։ ունի 6500քմ հողատարածք։ հմարավոր է նաև վաճառք։ վարձը կազմում է 1 քմ 1$ Сдается в аренду здание площадью 1200 квадратных метров, подходящее под разные виды бизнеса, производства и т. Д. Участок оборудован газом, водой, трехфазным электричеством. Неограниченные возможности. Возможна частичная аренда. Участок Котайк расположен в селе Абовян. Он находится в 20 км от центра Еревана. Имеет 6500 квадратных метров земли. Можно продать. Арендная ставка составляет 1 доллар за квадратный метр.",Nov-24-2022_22-04,By agreement,Not available,Second Line,Separate from the Courtyard,Direct Lease,5 years,By Agreement,By Agreement,,https://list.am/en/item/17471392,
Multifunctional Space,24 sq.m.,Kotayk › Arzakan,"50,000 ֏",AMD,"Կոտայքի մարզի Արզական գյուղում վարձով տրվում է շինություն։Հարմար է գրասենյակի, խանութի համար։Երկարաժամկետ։",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/14726577,
Retail Space,100 sq.m.,Kotayk › Abovian,"340,000 ֏",AMD,"The area is located in Abovyan city. Suitable for all types of business. He also has 70 square meters. Basement floor with separate entrance, which will also be rented for an additional fee.Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,,https://list.am/en/item/17889613,
Office Space,26 sq.m.,"Hanrapetutian Avenue, Abovyan","70,000 ֏",AMD,"Convenient office space, has a tiled bathroom, rest room, is provided with constant water and electricityTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18054960,
Industrial and Manufacturing,1300 sq.m.,Kotayk › Jrvezh,"1,540,000 ֏",AMD,"Completely closed, newly built, monolithic reinforced concrete walls and monolithic reinforced concrete storage or production area (bunker) in Jrvezh is for rent. It is located right on the main road, at the intersection of two highways.Designed for trucks of any size, to enter the building directly, thanks to the 6 m high ceiling. All the communications are available (sewer, water, electricity and internet)Building design ային layout solutions allow you to have office space next to a warehouse or workshop.The area is 1320 sq. M. M:Сдается в аренду шладское, промышленное и офисное полущение. The mixture is placed in a new building and disposed of on two levels. Completeness is closed and consists of monolithic reinforced concrete walls, columns and overhangs (bunker) Площадь - 1320 sq. M. М.Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Separate from the Street,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/17974612,
Warehouse,1320 sq.m.,Kotayk › Jrvezh,"1,500,000 ֏",AMD,"A fully closed, newly built, monolithic reinforced concrete wall and monolithic reinforced concrete storage or production area (bunker) for rent in Jrvezh. It is located right on the main road, at the intersection of two highways.Designed for trucks of any size, to enter the building directly, thanks to the 6 m high ceiling. All the communications are available (sewer, water, electricity and internet)Building design ային layout solutions allow you to have office space next to a warehouse or workshop.The area is 1320 sq. M. M:Сдается в аренду шладское, промышленное и офисное полущение. The mixture is placed in a new building and disposed of on two levels. Completeness is closed and consists of monolithic reinforced concrete walls, columns and overhangs (bunker) Площадь - 1320 sq. M. М.Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Separate from the Street,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/17918695,
Office Space,132 sq.m.,"Hanrapetutian Avenue 5, Abovyan","270,000 ֏",AMD,The area is renovated and has all facilities.Translated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18038681,
Retail Space,50 sq.m.,"Hanrapetutian Avenue, Abovyan","200,000 ֏",AMD,"Located in the central part of Abovyan city, call for details.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17653357,
Office Space,287 sq.m.,"Սահմանադրության հրապարակ 7/2, Աբովյան","1,300,000 ֏",AMD,"Office space for rent in K. In Abovyan (Constitution Square) on the second floor of Ameria Bank. The total area is 287 square meters. M.: There is a bathroom, hot and cold water, three-phase electricity, gas, two entrances (front and back) Call for details.Translated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/18214774,
Retail Space,160 sq.m.,"Gai Street, Nor Hachin","250,000 ֏",AMD,It is a very comfortable area for commercial or office activities.Translated from Armenian,Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17584229,
Functioning Business,40 sq.m.,"Թևոսյան փողոց 1, Երևան","150,000 ֏",AMD,"Vulcanization equipped with new equipment is for rent.All the necessary accessories are available.Rent:150,000 AMD per month.For more information call:Price is not negotiable.Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17875680,
Agricultural Space,1000 sq.m.,Kotayk › Zar,"130,000 ֏",AMD,"I am giving the farm with a loan, all together, the farm has all the facilities to stay in a cottage, there is everything in the farm, there is internet, 4 cameras, light, water. It is located near Hadis mountain.Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/16402206,
Industrial and Manufacturing,200 sq.m.,Kotayk › Jrvezh,"135,000 ֏",AMD,"It is located in Bagrevand district, a semi-basement is 3.2m high, it has three-phase electricity, water, possibly partial, there is another semi-basement of 60 square meters in the area, it can serve as a production area and as a warehouse. NegotiableTranslated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/18060992,
Multifunctional Space,140 sq.m.,Kotayk › Dzoraghbyur,"200,000 ֏",AMD,"Universal commercial container for rent, which can also be used as a living room. In case of taking it for living, we will carry out the repair and furnishing within 1 week. The container is currently being used as a warehouse.The space is suitable for use as a sewing workshop, bakery, printing house.The apartment has all utilities (gas, water, electricity (three-phase))Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/18306844,
Functioning Business,250 sq.m.,"Hanrapetutian Avenue 20, Abovyan","1,500,000 ֏",AMD,"In case of 2-storey questions, pay 1500000 AMD per monthTranslated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17967365,
Industrial and Manufacturing,250 sq.m.,Kotayk › Zovuni,"250,000 ֏",AMD,It has all the communication facilitiesTranslated from Armenian,Nov-24-2022_22-05,Not available,Not available,Second Line,Common from the Courtyard,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/16933585,
Office Space,500 sq.m.,Kotayk › Kanakeravan,"$1,000",USD,"Production space, warehouse for rent in Kanakeravan.Each floor is 500 square meters, three-phase electricity, constant water, gas, internet.4000 square meters of land available.Code 1000302Translated from Armenian",Nov-24-2022_22-05,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,1 month,Not included,,https://list.am/en/item/18230849,
Industrial and Manufacturing,100 sq.m.,"Mush District, Yerevan","70,000 ֏",AMD,"The area is adjacent to the Red Cross, fenced, electricity (three-phase) gas, permanent waterTranslated from Armenian",Nov-24-2022_22-05,Not available,Not available,Other,Separate from the Courtyard,Direct Lease,6 months,By Agreement,Not included,,https://list.am/en/item/17733036,
Industrial and Manufacturing,130 sq.m.,Kotayk › Kasagh,"70,000 ֏",AMD,"The area is for a greenhouse, I can provide accommodationTranslated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/16034882,
Building,80 sq.m.,Kotayk › Byureghavan,"160,000 ֏",AMD,"1-storey building with 2 entrances, car service point or shop.Located at the beginning of the city...Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/18154848,
Industrial and Manufacturing,1700 sq.m.,"6-րդ փողոց 1, Կոտայք","400,000 ֏",AMD,"1700 square meters of fenced pasture land is for rent, of which 400 square meters is a building, it has electricity (three-phase), drinking water, gas.Partial provision is possible.In case of other questions, call the indicated phone number.Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/18294224,
Office Space,9 sq.m.,"Հատիս փողոց 1/64, Աբովյան","50,000 ֏",AMD,"Classroom for individual, group classes and lectures. The location is very convenient for both students and teachers, close to school, supermarket.Located at the rear of the existing Librum bookstore, it is equipped with utilities and necessary equipment. The minimum rental period is 6 months, with a contract and two months advance payment.Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/18198632,
Office Space,115 sq.m.,Kotayk › Charentsavan,"200,000 ֏",AMD,For rent as an office space (formerly Luna Cafe)Translated from Armenian,Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17001026,
Retail Space,60 sq.m.,"Ազատության փողոց 50, Ձորաղբյուր","80,000 ֏",AMD,"55-60 sq. M. Commercial area is for rent in Dzoraghbyur village, in front of the village municipality. For details, call the mentioned phone numbers.Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17884043,
Retail Space,63 sq.m.,"Սևանի փողոց 2/1, Աբովյան","120,000 ֏",AMD,"There is hot, cold water, gas, three-phase electricity, bathroom. Suitable for use as a manufacturing or commercial activity. It is located in the center, very convenient, right next to the street, next to the Original supermarket.Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17397606,
Retail Space,20 sq.m.,Kotayk › Abovian,"100,000 ֏",AMD,It is given with a rose in the back of the Tsiran supermarketTranslated from Armenian,Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/18279799,
Everything Else,,"Shahumyan street, Charentsavan","800,000 ֏",AMD,"Գործող բիզնես Չարենցավանի կենտրոնում անմիջապես հրապարակին կից: Եռահարկ շինությոնը ամբողջովին նոր վերանորոգված է ոնի՝ 1-ին հարկում սրճարան 120քմ, խոհանոց 30քմ, 2 սանհանգույց, նախասրահ ետնամասից 15քմ, առկա է 3 առանձնասենյակ դրսից մուտքերով և սանհանգույց:2-րդ հարկում 6 հյուրանոցային սենյակներ, 3-րդ հարկում ՝ լվացքատուն, խորդանոց նաև 5 օֆիսային սենյակներ որոնք կարող եք ծառայեցնել այլ գործունեության համար: Շինությունն ապահոված է մշտական ջրով, եռաֆազ հոսանք, բնական գազ, ինտերնետ կապ: Հնարավոր է վաճառք նաև ամբողջ գույքով և տեխնիկայով:",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/9572605,
Retail Space,100 sq.m.,"Улица Атиса 1/89, Абовян","150,000 ֏",AMD,1 line in front of the supermarket is for rent.Translated from Armenian,Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17921161,
Warehouse,1000 sq.m.,"Saralangi street 8, Abovyan","200,000 ֏",AMD,"Apartment for rent in Saralanj district. Fenced with a separate entrance, guard post. Suitable for auto-rickshaw, van parking.Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/18009216,
Restaurant,140 sq.m.,"Zoravar Andranik Street 50/5, Byureghavan","50,000 ֏",AMD,"An object for celebrations and funeral ceremonies is provided for daily rent. The price is negotiable. For details, call the indicated phone number.Translated from Armenian",Nov-24-2022_22-05,Available,Not available,Other,Separate from the Street,Direct Lease,2 years,2 months,By Agreement,,https://list.am/en/item/18161296,
Multifunctional Space,20 sq.m.,"3rd microdistrict 24, Abovyan","100,000 ֏",AMD,"The area is suitable for carrying out various types of activities. It is located on the 1st line, but in the side area. In front of Ma Plaza Ideal. It also has a storage area.Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/18129810,
Retail Space,48 sq.m.,Kotayk › Proshyan,"5,000 ֏",AMD,For more information callDEPOSIT The minimum rental period is 6 monthsTranslated from Armenian,Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17333118,
Office Space,50 sq.m.,"Առինջեցու փողոց 48, Առինջ","100,000 ֏",AMD,"The area is renovated, bathroom, permanent waterTranslated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/18255778,
Warehouse,1100 sq.m.,Kotayk › Zovuni,"1,375,000 ֏",AMD,"Code VT370:Commercial space for rent in Zovuni. The total area is 1100 square meters. There is gas, water, electricity in the area.Code VT-370Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17833057,
Multifunctional Space,170 sq.m.,Kotayk › Proshyan,"600,000 ֏",AMD,"Code VT340:Commercial area for rent in Gheorg Chaush district. There are 2 separate buildings in the area. The area of the first building is 30 square meters, and the area of the second building is 140 square meters, of which 12 square meters is a basement. Stained glass windows are installed. The area will be handed over in a renovated condition. Suitable for any activity.Code VT-340Translated from Armenian",Nov-24-2022_22-05,By agreement,Not available,Second Line,Separate from the Street,Direct Lease,6 months,By Agreement,Not included,,https://list.am/en/item/17562931,
Industrial and Manufacturing,500 sq.m.,Kotayk › Yeghvard,"200,000 ֏",AMD,"Production or multifunctional space for rent in Nati district. The space is located approximately 5 km from Davitashen.For details, call Price ContractTranslated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/18245284,
Multifunctional Space,170 sq.m.,"Grigor Magistros street 4, Ծաղկաձոր","450,000 ֏",AMD,"Commercial area is for rent in the center of Tsakhkadzor, on the second floor of a two stored building, 170 m. Partially renovated. Suitable for office, medical center, fitness, yoga and other activitiesIn the basement of the same building there is 180 m. An area that is also suitable for a gym officer and other similar activitiesTranslated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17446290,
Multifunctional Space,671 sq.m.,"Zoravar Andranik avenue 3, Hrazdan","670,000 ֏",AMD,A multifunctional area is for rent in the center of Hrazdan cityOn the 4th floor of a 4-storey buildingTranslated from Armenian,Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17463955,
Office Space,25 sq.m.,"4th microdistrict 30, Abovyan","150,000 ֏",AMD,"Public space for rent on the first floor of a residential building, renovated and with a separate entrance from the street. There is a bathroom. It has been planned to carry out pharmacy activities and has the appropriate furniture. Meets all requirements for a pharmacy license. At one time the license was granted, but it was not used as a pharmacy. It is also suitable for office and commercial activities or for use as a beauty salon, as well as for storage. A lower price is possible for long-term rentals.Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/18211687,
Functioning Business,50 sq.m.,"Hanrapetutian Avenue 7, Abovyan","500,000 ֏",AMD,"For rent, a functioning shop, in the center of Abovyan, from the first floor, has communal facilities, permanent water, cameras of high quality from outside to inside, electricity-saving appliances, has access from both sides, call for details.Translated from Armenian",Nov-24-2022_22-05,By agreement,Not available,First Line,Common from the Street,Direct Lease,2 years,3 months,Included,,https://list.am/en/item/17684344,
Functioning Business,200 sq.m.,"Տիգրանաձորի փողոց 28, Արամուս","112,233 ֏",AMD,"For rent, on the central crossroads of Aramus, operating market. Area 200 sq / m, capital building, has permanent water, gas, three-phase electricity, irrigation water, utilities, any activity can be organized, has a large parking lot 50 m long. Call for details.Translated from Armenian",Nov-24-2022_22-05,By agreement,Not available,First Line,Common from the Street,Direct Lease,3 years,6 months,Included,,https://list.am/en/item/17684201,
Functioning Business,43 sq.m.,"Garni street 1, Abovyan","$35,000",USD,43 sq. M. Area of Garni street 1 building is for sale or rent.It has three-phase electricity. I will exchange him!With the apartment.Translated from Armenian,Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/16819180,
Automotive Service,150 sq.m.,Kotayk › Kanakeravan,"100,000 ֏",AMD,"For rent: Garage/car service point, car wash/moyka in Kanakeravan (4 km away from Davtashen) near the main road. The boxes are equipped with all necessary equipment, three-phase electricity, water, ventilation system, compressor, wi-fi, bathroom, etc. Security cameras are installed, there is a large parking lot, a recreation room. The rent for one box is AMD 100,000 per month.BoxingAvtotexspaskarkman ket:Avtolvacumboqs:Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/14272431,
Everything Else,12 sq.m.,"Միկրոշրջան թաղամաս 312, Հրազդան","30,000 ֏",AMD,"An area is for rent in the Micro-district of Hrazdan city. The total area is 12 square meters. Մ. E. It is provided with water, electricity, the floor is tiled, the entrance door is iron, the euro window is a door. For more information call.Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17218276,
Agricultural Space,630 sq.m.,"2-րդ փողոց 70, Մրգաշեն համայնք",$350,USD,"It is a stone building, there are cages for pigs, in the middle of the area it is possible to keep cattle, it is provided with drinking water, electricity, the total area is 4600 sq. M., the building is 630 sq. M.Sale is possible.Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17934426,
Retail Space,140 sq.m.,"5-я улица 105, Раздан","220,000 ֏",AMD,"FOR RENT️ two-storey️ Operating building material store140 sq. M.️ 2 bathrooms️ water tank️ heating system️ warm floor️ basementՏես Video surveillance devices are installed and Security system""Near the 105 building near the marketTranslated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17965045,
Warehouse,120 sq.m.,"1-ին փողոց 1, Նոր Գյուղ","85,000 ֏",AMD,"Normal construction, has three-phase resistance, has the possibility of water, 5 m high, suitable for starting production, the roof is thoroughly repaired.Write, I will answer immediately, with a monthly payment, the last price, do not write to cheat the irrelevant price.Translated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/17117368,
Everything Else,20 sq.m.,Kotayk › Dzoraghbyur,"56,000 ֏",AMD,"Area for rent for a mining farm with unprecedented and favorable conditionsThe area is an uninhabited private house, located in the middle of the road between Dzoraghbyur and Mayakovsky villages, near the asphalt factory, near the canal. The area is provided with internet connection, stabilized electricity (10 KVA stabilizer is installed)The mentioned amount of the total monthly rent of the area (56000 AMD) is 1 min per hour for a mining station and includes the cost of electricity consumed and the cost of internet connection (you do not pay extra money for electricity and internet connection) In case of installing a mining station with a cost of more than 1 kilowatt in the area, the mentioned amount of rent will be multiplied by the number of kilowatts spent. For example, the rent for a mining station with a cost of one and a half kilowatts per hour will make 84000 AMD, and for a mining station with a cost of 2 kilowatts - 112000 AMD.Security system and cameras are installed in the building; There is a possibility to install a camera near the mining farm to visually track the work of the farm with a mobile application.Mining for farm, Mining farm, MiningTranslated from Armenian",Nov-24-2022_22-05,,,,,,,,,,https://list.am/en/item/16990546,
Restaurant,1150 sq.m.,Kotayk › Jrvezh,"$640,000",USD,"Operating restaurant complex for sale in Jrvezh, total 1150 sq. M., has 5 unique wooden pavilions (besetka) built for 6-25 people, 6 private rooms for 6-30 people, 1 banquet hall for 100 people with its own kitchen, 300 sq / m two-storey half-built building. The complex has separate entrances from 3 sides, there is a boiler house, a kitchen, 4 bathrooms, service rooms, an office, warehouses, gas, water, three-phase electricity, video surveillance system. The total area of the building is 550 + 300 square meters. The complex has been operating for about 25 years, has many customers, social network and delivery service. For sale with property and equipment.Translated from Armenian",Dec-12-2022_20-23,Available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/17674624,Stone
Retail Space,27 sq.m.,Kotayk › Kanakeravan,"$15,000",USD,"Commercial space for sale, suitable for a shop or office, the building is made of stone, has electricity, water, sewerage. The building and land are privatizedTranslated from Armenian",Dec-12-2022_20-23,,,,,,,,,,https://list.am/en/item/18555967,Stone
Multifunctional Space,685 sq.m.,Kotayk › Hrazdan,"$320,000",USD,"A commercial area of 685 square meters is for sale, which is located in c. Hrazdan: Microdistrict 111 building. The area occupies the entire first floor of a five-story building, has gas, water, three-phase electricity, parking space: 1200 square meters. Office area, shop, office, market, house, apartmentTranslated from Armenian",Dec-12-2022_20-23,Not available,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/18558880,Stone
Industrial and Manufacturing,3061 sq.m.,Kotayk › Charentsavan,"128,740,000 ֏",AMD,"A 4-storey industrial building with a metal roof and a wall is for sale. The building is located on the first line, provided with all communications (electricity, gas, water, sewage)Total area: 3061.4 square meters.Price: AMD 128,740,000 (including VAT)Address: C. Charentsavan, 14/5 Gazaranay streetTranslated from Armenian",Dec-12-2022_20-23,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18288886,Stone
Retail Space,78 sq.m.,"Զորավար Անդրանիկի պողոտա 78, Հրազդան","280,000 ֏",AMD,"The apartment is located on the first floor of building 78. It is for rent, not for sale.Translated from Armenian",Dec-12-2022_20-23,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/16287558,Stone
Agricultural Space,4000 sq.m.,Kotayk › Meghradzor,"$52,000",USD,Livestock farm 260 square meters for saleFenced plot of land 4000 sq. MElectricity and water are provided. It is located 100 meters from the road leading to the mine. It has 2 caravans for livestock keepers.Translated from Armenian,Dec-12-2022_20-23,,,,,,,,,,https://list.am/en/item/18254862,Stone
Retail Space,240 sq.m.,"Քոչինյան փողոց 43/3, Երևան","$174,000",USD,"There is a building with a total area of 130 square meters on the land of public landmark in the busy part of the waterfall. On the surface. And the other part is surrounded by a three-sided fence.It is provided with constant water and electricity, there is also a central sewer, and the gas is located nearby.The total area of the land is 240 sq/m. It is. The plot is corner, has 8.5 meters of frontage on the main road and 28 meters on the other side.Translated from Armenian",Dec-12-2022_20-23,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17819848,Stone
Multifunctional Space,2700 sq.m.,"10-րդ փողոց, Զովք","$80,000",USD,"A multi-family property is for sale, which is located in Zovk village of Jrvezh community.The land area is 2700 sq/m. E (all close to home)In which there is: Total 600 sq/m. A two-story building with an area suitable for various activities.House 110 sq/m. With plot, garage, outbuilding and garden with fruit trees.It is provided with gas, water, electricity, sewage, internet.Translated from Armenian",Dec-12-2022_20-23,Not available,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/18234979,Stone
Industrial and Manufacturing,2200 sq.m.,Kotayk › Proshyan,"$130,000",USD,"0600166In Proshyan, near the former Ministry of Defense, 100 meters from the highway, a 2200 sq/m industrial land with a 500 sq/m half-built building is for sale. Everything about paperwork is legal. For more information call:Translated from Armenian",Dec-12-2022_20-23,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18273922,Stone
Industrial and Manufacturing,508 sq.m.,Kotayk › Nor Geghi,"$60,000",USD,"The total area of the plot is 1400 square meters, of which 508 square meters are buildings, it is very close to the main road, 20m.Translated from Armenian",Dec-12-2022_20-23,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18581311,Bricks
Retail Space,30 sq.m.,Kotayk › Abovian,"5,000,000 ֏",AMD,"Trade pavilion (shop) 2-story floor area 32 square meters. M 1h (4.5×3), m, 2h (6×3) mTranslated from Armenian",Dec-12-2022_20-23,,,,,,,,,,https://list.am/en/item/18502874,Stone
