Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Appliances,Window Views,Parking,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,The House Has
Panels,No,Not available,5,74 sq.m.,3,1,from 2.8 m,3,Open balcony,Euro Renovation,Ararat › Masis,"21,500,000 ֏",AMD,3-room apartment in a new district... Call for details.Translated from Armenian,Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/17348459,,,,,,,
Panels,No,Not available,5,68 sq.m.,3,1,from 2.7 m,4,Open balcony,Partial Renovation,"Araz street 9, Artaxata (Artashat)","18,500,000 ֏",AMD,"Apartment in Artashat, address: Arazi 9.Communal with all facilities.It is sold with a garage.For details, call the number written in the picture. Exchange with own house.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17516963,,,,,,,
Stone,No,Not available,4,50 sq.m.,2,1,from 3 m,2,Not available,Cosmetic Renovation,"Dprocakanner street, Masis","$32,000",USD,Звоните по воцапу! 89629047277 Продаю срочно квартиру в 3-ем микрайоне в городе Масис. Находится в центре города. Хорошие соседи. Торг уместен!,Nov-25-2022_14-06,,,,,https://list.am/en/item/18237235,,,,,,,
Stone,No,Not available,3,70 sq.m.,2,1,from 2.5 m,1,Not available,Old Renovation,"Hrachya Tovmasyan Street 3, Artashat","$45,500",USD,"The apartment is in good condition, has drinking water, gas, new windows, iron doorTranslated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17504458,,,,,,,
Panels,No,Not available,5,62 sq.m.,2,1,from 2.75 m,1,Closed balcony,Cosmetic Renovation,"Նոր թաղամաս 19, Մասիս","$39,000",USD,A 2-room apartment is for sale. Electricity wires have just been changed. Separate water pipes for the sewer are new. Bucks have been drawn. The rest of the questions can be answered by calling.Translated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/18227892,,,,,,,
Panels,No,Not available,5,75 sq.m.,3,1,from 2.8 m,4,Open balcony,Major Renovation,"Azatamartikneri Street 33, Masis","$50,000",USD,"3-room apartment is for sale in Masis city. It is fully renovated. It has an open balcony. Or it will be exchanged with a renovated 1-2 room, for an additional fee.Translated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/15879620,,,,,,,
Panels,No,Not available,5,68 sq.m.,3,1,from 2.8 m,5,Open balcony,Major Renovation,"Օգոստոսի 23 փողոց 66, Արտաշատ","$45,000",USD,". The apartment is located in front of the central bus station. Two bedrooms, one living room with open balcony. Completely renovated. Euro windows, entrance door made of new iron, provided with constant hot and cold water, furniture, appliances, as well as sheets and dishes.Call the phone number mentioned in the last picture.I am the owner.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/16495947,,,,,,,
Panels,No,Not available,5,75 sq.m.,3,1,from 2.8 m,5,Multiple balconies,Euro Renovation,Ararat › Artashat,"$43,000",USD,A fully renovated three-four-room apartment is for sale in Araz 7 building.Translated from Armenian,Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17294761,,,,,,,
Stone,Yes,Not available,4,50 sq.m.,3,2,from 3 m,3,Not available,Major Renovation,Ararat › Argavand,"$65,000",USD,Նորակառույց շենքում վերանորոգման ընթացքի մեջ գտնվող բնակարան։Մնացել է կոսմետիկ հարդարումը և կահույքի տեղադրումը։Գնի մեջ ներառված է վերանորոգումը և կահավորումը։Գինը վերջնական է։,Nov-25-2022_14-06,,,,,https://list.am/en/item/18363940,,,,,,,
Stone,No,Not available,1,110 sq.m.,5,2,from 3 m,1,Not available,Old Renovation,"Araratyan street 2nd Lane, Երևան","$40,000",USD,"The apartment is located in the village of Ararat, Ararat region. Did not post the second numberTranslated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/16838121,,,,,,,
Panels,Yes,Not available,5,60 sq.m.,3,1,from 3 m,1,Closed balcony,Major Renovation,Ararat › Masis,"$50,000",USD,"The apartment is located in the 3rd district, 4th building. The apartment is highly renovated, has a wooden floor (parquet)The apartment has a basement under the whole house, a basement under the stairs, a land plot in the opposite area is privatized.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17110186,,,,,,,
Stone,No,Not available,5,82 sq.m.,4,1,from 2.8 m,5,Open balcony,Partial Renovation,"Նոր թաղամաս 12, Մասիս","$53,000",USD,"Apartment for sale c. On the 5th floor of a 5-story stone building in Masis.The apartment is located in the building adjacent to the center, in the New District 12 building.The apartment is partially renovated.The kitchen and bathroom are renovated, and the living room and 3 bedrooms need renovation.Translated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/18023219,,,,,,,
Stone,No,Not available,4,100 sq.m.,3,1,from 3.2 m,3,Closed balcony,Cosmetic Renovation,"Erebuni street, Yerevan","$68,000",USD,"The apartment does not have gas, it has 3 rooms and 4 closed balconies, it is located in a rose building... For questions, callTranslated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17988588,,,,,,,
Stone,No,Not available,4,60 sq.m.,2,1,from 2.7 m,1,Open balcony,Cosmetic Renovation,"Khanjyan street 56, Ararat","$20,000",USD,"‼️URGENT‼️ 2-room apartment for sale (60 sq. M.) price: $20,000 ‼️NEGOTIABLE‼️1st floorEntrance is separate‼️All amenities are available‼️The apartment is privatizedIt is not only gasified.Address: M. Ararat, c. Ararat, Khanjyan 56/2 PUBLIC (next to the hospital)Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18031994,,,,,,,
Panels,No,Not available,5,60 sq.m.,2,1,from 2.8 m,1,Closed balcony,Major Renovation,"Mkhitar Heratsi 2-nd alley, Masis","$53,000",USD,"VERY URGENT // 2-room apartment for sale in Masis city. The apartment is completely renovated with high-quality materials, the windows are new, the room doors are modern, the floor is heated. The apartment has a heating system.The ceiling in the living room, bedroom, corridor and bathroom is made in French style, and the floors in the living room and bedroom are made of high quality laminate /C1/ class. It has a basement, the apartment is located in the 3rd district, near the hospital, the court, the kindergarten, and a little further up, the school.In case of questions, in addition to calling, you can also write to angelamasis@mail.ru. To the address: Only genuine buyers please call or write. SALE IS ALSO POSSIBLE WITH MORTGAGE, BANK.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/13337180,,,,,,,
Stone,No,Not available,2,3999 sq.m.,8+,2,from 3.5 m,2,Not available,Old Renovation,Ararat › Ararat,$300,USD,Продаётся участок в Село Воскетап в Араратском облсте. Есть возможность создать жительское здание. В случая покупки можете деньги отдавать по частям. По другим вопросам свяжитесь с номер.Просим звонить только реальным покупателям,Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17538893,,,,,,,
Stone,Yes,Not available,1,200 sq.m.,5,2,from 2.8 m,1,Multiple balconies,Major Renovation,Ararat › Nor Kharberd,"$70,000",USD,"The apartment is located in New Harput, 2 street 52/2, all the water lines have been changed, both the street and the apartment are asphalted, the street is completely. The apartment is capitally renovated, has a basement, a garage, a baxi system of the latest generation, a concierge, everything is nearby, a school, a kindergarten, a supermarket, shops. The street is at the beginning of the main road.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17164974,,,,,,,
Panels,No,Not available,5,64 sq.m.,2,1,from 2.6 m,1,Closed balcony,Major Renovation,Ararat › Artashat,"$55,000",USD,"Newly renovated, it has a bedroom and the land is also available for rent, the price is 150,000Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18074576,,,,,,,
Stone,Yes,Not available,1,70 sq.m.,3,1,from 3 m,1,Not available,Major Renovation,Ararat › Masis,"$27,000",USD,"House for sale in Masis, has all the communal facilities, we can build it with the project you wantTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17596335,,,,,,,
Panels,No,Not available,5,62 sq.m.,2,2,from 2.75 m,2,Multiple balconies,Major Renovation,"Ռափայել Պատկանյանի փողոց 62/4, Արտաշատ","$40,000",USD,"Fully renovated, bathroom corridor and kitchen tiled, euro doors and windows, closed and open balcony, BAXI, kitchen furniture, iron door, natural gasFor sale 25 sq. M. BASEMENT and 20 sq. M.Code 2-098Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17734068,,,,,,,
Stone,No,Not available,1,1500 sq.m.,2,1,from 2.5 m,1,Not available,Euro Renovation,"Masis highway, Marmarashen","$50,000",USD,"The house is located in the new village of Halberd, it has been completely renovated, it has basement floors with safe hot and cold water from the bathroom.With orchards and vineyards, there are various types of tsars, very well maintained and well maintained, giving very good harvests.It has several barns for keeping different types of livestock.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18329406,,,,,,,
Panels,No,Not available,5,75 sq.m.,3,1,from 2.8 m,1,Closed balcony,Major Renovation,"Նոր թաղամաս 20, Մասիս","$60,000",USD,"A three-room fully renovated apartment is for sale in c. In Masis, for details call and visit our office.Code 230152ujTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18002304,,,,,,,
Panels,No,Not available,5,68 sq.m.,3,1,from 2.7 m,5,Closed balcony,Old Renovation,Ararat › Masis,"$45,000",USD,"The entrance door and windows are in normal condition, call for detailsTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17965974,,,,,,,
Panels,No,Not available,5,61 sq.m.,2,1,from 2.8 m,4,Closed balcony,Major Renovation,"Dprocakanner alley, Masis","$51,000",USD,"A two room apartment is for sale, fully renovated, with property, all the communal facilities are available, it is a very comfortable apartment. Call for details and visit our office.Code 2307021Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17186873,,,,,,,
Stone,No,Not available,4,74 sq.m.,3,1,from 2.8 m,1,Closed balcony,Partial Renovation,"Շահումյանի փողոց 16, Արտաշատ","$53,000",USD,The apartment has been completely renovatedTranslated from Armenian,Nov-25-2022_14-06,Available,,,,https://list.am/en/item/16553520,,,,,,,
Panels,No,Not available,4,18 sq.m.,1,1,from 2.5 m,4,Open balcony,No Renovation,Ararat › Masis,"3,000,000 ֏",AMD,"1 room for sale in building 37 of the 3rd district of Masis city. The building is located in front of the 3rd school.The room has electricity and no other utilities, but it has the possibility to create them.It has permission to expand up to 4 m.For more information call.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18254735,,,,,,,
Panels,No,Not available,5,43 sq.m.,2,1,from 2.8 m,5,Closed balcony,Cosmetic Renovation,"Ծովակալ Իսակովի փողոց 115, Արտաշատ","$29,000",USD,"Clean house, there are all the necessary communications around (gas, electricity, water?, tank) Nearby there is a market, schools, kindergartens, supermarkets... The view to Mount Ararat. The bathroom is tiled, hot and cold water is constant, the windows are euro, the outer door is iron, the floor is laminate. It is possible to exchange with a more spacious house from my side for an additional fee.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18279789,,,,,,,
Stone,No,Not available,5,82 sq.m.,3,1,from 2.75 m,3,Multiple balconies,Euro Renovation,"Dprocakanner street 1, Masis","$68,000",USD,"The apartment is located in the very center of the city of Masis, in the immediate vicinity of the square, the municipality and the post office, transport, kindergarten, schools and the church are a few steps away. On the first floor of the building there are grocery, clothing stores, bookstore and pharmacy, ATMs, terminals, currency exchange 24 hours. In front of the building is a beautiful, spacious, cool garden. Despite all that, it is not noisy at night. The building has two entrances, the apartment has two open balconies, a basement. For other details, call the indicated phone number.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18226144,,,,,,,
Panels,No,Not available,5,61 sq.m.,2,2,from 3 m,2,Open balcony,Cosmetic Renovation,"Patkanyan street, Artaxata (Artashat)","$47,000",USD,"Apartment for sale on Patkanyan street, Artashat city, cosmetically renovated, heated by Baxi system, has. Basement 50 sq. M. For details callTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17795201,,,,,,,
Panels,No,Not available,5,76 sq.m.,3,1,from 3 m,5,Multiple balconies,Partial Renovation,"Duryan Street 10, Artaxata (Artashat)","$40,000",USD,"A large, bright 3-room apartment is for sale in the city of Artashat, next to the Araks fair. It has all the utilities. There is also a large space to go forward, with 2 open balconiesCode 1276Translated from Armenian",Nov-25-2022_14-06,Not available,,"YArd view, street view, city view, view of ararat",OUtdoor parking,https://list.am/en/item/18314723,,,,,,,
Panels,Yes,Not available,5,58 sq.m.,1,1,from 2.8 m,3,Closed balcony,Cosmetic Renovation,"Կոմիտասի փողոց 2, Արարատ","$20,000",USD,"Well renovated, has hot and cold water, gas, European-made windows and entrance door. Address: Ararat Komitas 4. Call for details.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/18098145,,,,,,,
Panels,No,Not available,5,76 sq.m.,3,1,from 3 m,4,Open balcony,Euro Renovation,Ararat › Ararat,"$26,000",USD,The apartment is located. Qaxaq Ararat vokf banavan zod:Translated from Armenian,Nov-25-2022_14-06,Available,,,,https://list.am/en/item/16518141,,,,,,,
Panels,No,Not available,5,62 sq.m.,2,1,from 2.7 m,3,Closed balcony,Major Renovation,"August 23 St., Artashat","$1,000",USD,"The apartment has two rooms, but you can use it as a three-room apartment. It has a heating system.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/15634226,,,,,,,
Stone,No,Not available,3,85 sq.m.,4,2,from 3 m,1,Not available,Old Renovation,Ararat › Artashat,"8,000,000 ֏",AMD,"The apartment has a separate entrance with a metal door, Euro windows, all utilities (hot and cold water) The apartment is located in Araksavan village, Ararat region. For more details, call the indicated phone number.A plot of land is for sale near the house, 1,250 square meters, 5 greenhouses, a cattle barn, a garage. Only with the housePrice 12000000.00. It is negotiable.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/16658702,,,,,,,
Stone,No,Not available,2,210 sq.m.,5,1,from 2.7 m,2,Open balcony,Partial Renovation,Ararat › Ayntap,"$85,000",USD,"The total area of the house is 210 square metersFirst floor,GarageLarge room that can be used as a commercial spaceBathroom corridor2nd floor:3 bedroomsKitchenLiving room:Large open balconyThe house in the corner has the opportunity to BUILD a 2nd HOUSE!The land is 750 sq. M. OWNER OF THE HOUSE!Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17269882,,,,,,,
Stone,No,Not available,5,74 sq.m.,3,1,from 2.8 m,5,Open balcony,Euro Renovation,Ararat › Vedi,"$35,000",USD,"Urgent sale of an apartment in the city of Vedi at 41 Araratyan 40, with all utilities.NegotiableOnly Real buyers should call.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/15974502,,,,,,,
Panels,No,Not available,5,62 sq.m.,2,1,from 2.6 m,2,Multiple balconies,Cosmetic Renovation,"August 23 street, Artaxata (Artashat)","$55,000",USD,"Продается срочно квартира отремонтированная, на 2 этаже.+ ГАРАЖ",Nov-25-2022_14-06,,,,,https://list.am/en/item/13860881,,,,,,,
Stone,Yes,Not available,1,340 sq.m.,3,1,from 3 m,1,Not available,Euro Renovation,Ararat › Geghanist,"$63,000",USD,1-storey euro renovated bathroom tiled floor laminate house area 79.2 sq. M.Translated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/16040377,,,,,,,
Stone,No,Not available,2,100 sq.m.,4,1,from 3 m,2,Open balcony,Euro Renovation,Ararat › Ararat,"$60,000",USD,"Fully renovated apartment in C Ararat, Spandaryan 5/7, call for detailsTranslated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/18282822,,,,,,,
Stone,No,Not available,5,48 sq.m.,2,1,from 2.5 m,5,Closed balcony,Old Renovation,Ararat › Masis,"$32,000",USD,"Apartment for sale c. In Masisi, European windows, gas, water, and all other questions, call the telephone number indicated on the websiteTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18180239,,,,,,,
Panels,No,Not available,5,76 sq.m.,3,1,from 2.8 m,2,Open balcony,No Renovation,"Նոր թաղամաս 39, Մասիս","$43,000",USD,"The apartment is sunny, has an open balcony.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17888169,,,,,,,
Stone,No,Not available,5,76 sq.m.,3,1,from 2.7 m,1,Closed balcony,Partial Renovation,Ararat › Ararat,"$18,500",USD,"Apartment for sale in Ararat welding (zod) 9-sh apt-25The apartment is partially renovated. It has hot and cold water, gas supply. It is close to shops, school, kindergarten.It is convenient to enlarge the house from the front to the back.It is possible that in exchange for a car I will hear offers from you or me for an additional fee.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/17947997,,,,,,,
Stone,No,Not available,5,54 sq.m.,2,1,from 2.8 m,5,Open balcony,Old Renovation,Ararat › Artashat,"$43,500",USD,"I am selling a 2-room apartment in the center of Artashat. All facilities are available. For details, write or callVery urgent. NEGOTIABLETranslated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/18127121,,,,,,,
Stone,No,Not available,5,75 sq.m.,3,1,from 2.75 m,4,Multiple balconies,Euro Renovation,"Erevanyan street 5, Artaxata (Artashat)","$60,000",USD,"All utilities and a 24 sq m garage, you can also use the basement. Call for details. It would be good if you could see it with your own eyes, there is nothing to do. The house is warm in winter, we heat it with a stove, not a stove. It is close to everything. The hall, the kitchen, the corridor, the balcony, metallakh, and the rooms laminate. $63,000. AvtotnakovTranslated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/17513858,,,,,,,
Panels,No,Not available,5,68 sq.m.,2,1,from 2.75 m,1,Closed balcony,Partial Renovation,"Մխիթար Հերացու փողոցի 3-րդ նրբանցք 19, Մասիս","$42,499",USD,"A two-room apartment is for sale. It is in good condition. All utilities are available. For details, call and visit our office.Code 23638484Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18259867,,,,,,,
Panels,No,Not available,5,61 sq.m.,2,1,from 2.8 m,3,Closed balcony,Partial Renovation,"Նոր թաղամաս 35, Մասիս","$34,000",USD,A two-room apartment is for sale URGENTLY. All utilities are available in Masi for details call and visit our office and visit our office.Code 23926362Translated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/18145465,,,,,,,
Panels,No,Not available,5,77 sq.m.,3,1,from 2.8 m,2,Open balcony,Partial Renovation,"Ծովակալ Իսակովի փողոց 109, Արտաշատ","19,000,000 ֏",AMD,"3-room apartment for sale in Artashat, 76.8 square meters. M. ,The apartment is in a clean, partially renovated state, it is sunny. The windows and doors have been changed. The pipes have been changed.With partial property.Is provided with all utilities.Heating SystemThere is a cloakroom at the entranceTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18335560,,,,,,,
Stone,No,Not available,2,2000 sq.m.,5,1,from 3 m,2,Not available,Partial Renovation,Ararat › Artashat,"$70,000",USD,"Gas, electricity and water providedTranslated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/18097637,,,,,,,
Panels,No,Not available,5,75 sq.m.,3,1,from 2.8 m,5,Open balcony,Partial Renovation,"Isakov street, Artaxata (Artashat)","$37,000",USD,"Urgently 3-room apartment for sale in Artashat, Isakov 72 building, 75 sq. M.The apartment is located on the 5th floor of a 5-story building, call for details.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18253746,,,,,,,
Stone,No,Not available,5,50 sq.m.,1,1,from 2.7 m,3,Closed balcony,Old Renovation,"Stepan Shahumyan Street 45/1, Ararat","$15,000",USD,The apartment is located in the 11th building of the Ararat gold mining factory in Banavan.Translated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/16898662,,,,,,,
Stone,No,Not available,5,36 sq.m.,2,1,from 2.8 m,2,Open balcony,Partial Renovation,"Dprocakanner street 1, Masis","$34,000",USD,"1 room turned into 1, the floor is tiled, hot and cold water, gas, electricity, boiler, the windows are partially changed (euro), iron door. It has an open balcony, next to the church, the city hall, a view to Monte Melkonyan Park opens from the balcony. You can call for other details.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/16696333,,,,,,,
Panels,No,Not available,5,89 sq.m.,4,1,from 2.7 m,4,Multiple balconies,Partial Renovation,Ararat › Ararat,"8,500,000 ֏",AMD,"The apartment is locatedK. Ararat, AraratianMass building 5,In the solder mass,On the 4th floor of a 5-story building, middle entrance.4 rooms, 3 bedrooms, 2 living rooms, 1 living room1 kitchen, 1 bathroom.1 closed penitentiary, 2 chulans.The building is gasified.The apartment is not.The building was built in 1985.In the courtyard of the building there is a parking place, a playground, 2 shopsSchool and kindergartenThey are very close, 5 minutes on foot.For details, write to e-mail or viber,or call the indicated number, we will make an agreement.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/16707614,,,,,,,
Panels,No,Not available,5,70 sq.m.,2,1,from 2.8 m,3,Open balcony,No Renovation,"Khanjyan Street, Artaxata (Artashat)","$40,000",USD,"The apartment is in normal condition, the windows are changed, call for questionsTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17184153,,,,,,,
Stone,Yes,Not available,3,600 sq.m.,4,1,from 3.2 m,3,Multiple balconies,Partial Renovation,"28-րդ փողոց 26/1, Նոր Խարբերդ","$185,000",USD,"The house is half-built, built with high quality, nothing was spared in building the house, the house has 3 floors, the first floor is partially renovated, the 2-3 floors are not done, the land is 620 sq. M. M. The house on 16-11 is 176 square meters. M.There is water, electricity, gas, and it passes in front of the housePrice negotiable to real buyerTranslated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/18032152,,,,,,,
Stone,No,Not available,5,40 sq.m.,1,1,from 2.8 m,2,Closed balcony,Euro Renovation,"Dprocakanner alley, Masis","14,000,000 ֏",AMD,"A one-room apartment with a total area of 40 square meters on the 2nd floor of a 5-storey building is for sale in Masis. For details, call and visit our office.Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/15075494,,,,,,,
Stone,No,Not available,2,1200 sq.m.,7,2,from 3 m,2,Open balcony,Old Renovation,"Kirov Street, Gorgoch","$35,000",USD,Շտապ վաճառվումէ։ Ունի բոլոր կոմունալ հարմարություններ։ Տաք եվ սառ ջուր։ Գառաժ նկուղ։ 1500մ Պտղատու ծառներ։ Ունի վերանորոգման կարիք։ Սակարկելի։ դիտեք իմ բոլոր հայտարարությունները,Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/12220952,,,,,,,
Stone,Yes,Not available,4,64 sq.m.,3,1,from 3 m,2,Not available,Major Renovation,"Dprocakanner street, Masis","350,000 ֏",AMD,"A 3-room apartment is for rent in the city of Masis on the 2nd floor of a 4-story building (residential ground floor)The apartment is lined with two floors of stone, due to which it is warm in winter and cool in summer.Has all utilitiesThe pipes and wiring have been changed, the floor has been completely changed, the apartment is sunny and bright, it has the possibility to add a basement from the kitchen and living room.The windows are of European production, the heating system is fondital, the bedroom and kitchen furniture are new. Used since August 2020.There are many shops nearby.A school, a bus stop and a kindergarten, as well as a newly reopened development center for children, a beauty salon and an entertainment center on the first floor of the building.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/18154537,,,,,,,
Panels,No,Not available,5,80 sq.m.,4,1,from 3 m,5,Open balcony,Partial Renovation,"Квартал Нор 28, Масис","$40,000",USD,Продаётся 4-ёх ком. Квартира в г. Масисе с мебелью. Срочно или обмен на собственный дом.,Nov-25-2022_14-06,,,,,https://list.am/en/item/16231890,,,,,,,
Stone,No,Not available,3,110 sq.m.,4,1,from 2.7 m,1,Not available,Cosmetic Renovation,Ararat › Lusarat,"$22,000",USD,"The apartment is located on the 1st floor of a 3-story stone building, the apartment is added from the front, the entrance is separate from the private entrance, a general heating system (BAXI) is installed, as well as a ventilation system (Kanditsyaner), it is provided with constant gas and water, it has a basement, a garage and two cattle farm, has a plot of about 300m^2 in the yard. The apartment is located next to the Khor Virap church. Do not call brokers.Translated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/18261686,,,,,,,
Stone,No,Not available,1,130 sq.m.,4,1,from 3 m,1,Not available,Partial Renovation,Ararat › Artashat,"$40,000",USD,"Village in Berkanush, a half-built house is for sale, it has permanent water, light 1400 m, land needs cosmetic repairs, for details callTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17284417,,,,,,,
Stone,No,Not available,5,120 sq.m.,4,1,from 2.7 m,2,Multiple balconies,Major Renovation,"Erevanyan street, Artaxata (Artashat)","$80,000",USD,An apartment is for sale. It is located next to a church in Artashat. The apartment is completely renovated. Electricity and water pipes are changed. With Bax system. It has constant hot and cold water. It has 2 open balconies. NegotiableTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/15702024,,,,,,,
Stone,No,Not available,5,101 sq.m.,3,3+,from 2.5 m,4,Closed balcony,Old Renovation,Ararat › Artashat,"$48,000",USD,"The apartment has 4 rooms, 101 square meters, all the conditions are large balcony, the apartment is on both sides of the sunny side, the building can be located next to the lake. URGENTTranslated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/16411696,,,,,,,
Panels,No,Not available,5,70 sq.m.,3,1,from 3 m,4,Multiple balconies,Old Renovation,"Նոր թաղամաս 9, Մասիս","$47,000",USD,"Very urgent, an apartment is for sale without a mediator, normal condition, there are no problems with papers. Kara can be sold together with the property, for some money. Do not call agents.Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/16556610,,,,,,,
Panels,No,Not available,5,85 sq.m.,4,1,from 2.7 m,5,Closed balcony,No Renovation,"Նոր թաղամաս 10, Մասիս","17,000,000 ֏",AMD,"The bathroom is renovated, the rest is in good condition. The price is final.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18142422,,,,,,,
Stone,Yes,Not available,3,265 sq.m.,8+,2,from 3.5 m,3,Multiple balconies,Cosmetic Renovation,"Aghbyur Serop street, Ararat","$99,000",USD,"An apartment with 1200 square meters of land with 320 square meters of living space is for sale in Avshar village. Has a cultivated plot of land with a garage garageThere is gas light water three-phase electricityArarat, AvsharTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/16787829,,,,,,,
Stone,No,Not available,4,45 sq.m.,2,1,from 3 m,4,Not available,Partial Renovation,"Mkhitar Heratsi 3-rd alley, Masis","$23,000",USD,"2-room apartment is for sale in the 3rd district of Masis city. It needs cosmetic repairs. It is provided with hot-cold water, gas. It has the ability to increase 3.5 meters from the front.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17258783,,,,,,,
Panels,No,Available,5,79 sq.m.,3,1,from 2.8 m,2,Open balcony,Old Renovation,Ararat › Ararat,"$34,000",USD,"3-room apartment with an area of 79 square meters on the 2nd floor of a 5-storey building is currently for saleArarat, Masisdouble-sided balconygas waterHead condition:Code BB558Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/16558325,,,,,,,
Panels,No,Not available,5,78 sq.m.,3,1,from 2.8 m,2,Multiple balconies,Cosmetic Renovation,"3-րդ թաղամաս 12, Մասիս","$48,000",USD,"3 սենյականոց վերանորոգվաց բնակարան. Կա նաև նկուղ և կլադովկա. Г. Масис, центр, 3 участок, 3-х комнатная квартира, 2 этаж. Торг уместен.",Nov-25-2022_14-06,,,,,https://list.am/en/item/14061113,,,,,,,
Panels,No,Not available,5,74 sq.m.,3,1,from 2.8 m,2,Open balcony,No Renovation,"Նոր թաղամաս 19, Մասիս","$40,000",USD,State Status Call for questionsTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/17668426,,,,,,,
Stone,No,Not available,2,58 sq.m.,3,1,from 2.75 m,2,Not available,Major Renovation,Ararat › Darakert,"13,000,000 ֏",AMD,"Ararat Marz village Darakert / 1 km away from Yerevan /2/2 floor /stone building/58 square meters3 roomscontact Renovated, heating1 km from YerevanCode BB1086Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18111266,,,,,,,
