Type,Land Area,Service Lines,Address,Price,Currency,Description,Datetime,Links
Agricultural,1350 sq.m.,,Armavir › Merdzavan,"$10,500",USD,Urgent sale of land orwe will exchange for a carTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/17487190
Agricultural,"10,000 sq.m.","Electricity, water supply",Armavir › Echmiadzin,"$20,000",USD,"Located near the road, call or write for questionsTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18651914
Agricultural,"22,000 sq.m.",,Armavir › Armavir,"$45,000",USD,Продаю земельный участок6000кв виноград5000 кв цел11000кв абрикосовые деревьяВсе в одном местеВсе информацию по телефону.,Dec-12-2022_18-20,https://list.am/en/item/18608931
For Residential Development,1000 sq.m.,,Armavir › Echmiadzin,"$3,500",USD,"I am selling a house 1000 m. Q I also exchange with the car, I will listen to offers.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/13373429
Agricultural,"12,000 sq.m.",,Armavir › Armavir,"$160,000",USD,"12000 sq. M. It has its own artisan, about 400 yards, the front is 64 meters, it is located on the Armavir-Yerevan highway, suitable for business.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/13308570
Agricultural,4500 sq.m.,,Armavir › Armavir,"$62,000",USD,"The land is located between M5 of Armavir Yerevan main road, between Metsamor and Maisyan.4500 square meters,24m front,Charged about 500 square meters2 tons of orange juice, with drip dressing.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18407802
For Residential Development,300 sq.m.,,"Улица Еритасардутян, Мердзаван","$9,500",USD,A plot of land near the house is for salethere is a strong water currenton a two-way roadresidential blockTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/18516051
For Residential Development,700 sq.m.,,Armavir › Parakar,"$24,000",USD,"There is a half-built building on the land, Urgent sale!Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18481081
Agricultural,"40,000 sq.m.",,Armavir › Echmiadzin,"$110,000",USD,"40,000 m. Q. (4 hectares) of arable land near the Yerevan-Armavir M5 highway, 200 m from the highway. Inside, 2nd line. Has its own (certified) road to the land. Communications are available. Suitable for any agricultural work. Negotiable:Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17812347
For Residential Development,600 sq.m.,,"Barekamutian street, Parakar","$85,000",USD,"A 600 square meter plot of land is for sale in Pharakar. The plot has a swimming pool, a summer kitchen, a chat room, a bathroom, the plot is completely fenced, there is water, electricity, and sewerage in the plot, call for details, negotiable.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18077529
For Residential Development,1500 sq.m.,,"7-րդ փողոց 13, Այգեկ","$12,500",USD,"The total area of the land is 1500 square meters, of which 150 square meters are for residential construction, 1350 square meters for agricultural purposes.Land @ flat is located 12 km from YerevanTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17266456
For Residential Development,1500 sq.m.,"Electricity, sewerage","7-րդ փողոց , Այգեկ","$12,500",USD,"The total area of the plot is 1500 square meters, of which 150 square meters are for residential construction and 1350 square meters are for agricultural purposes.The land is flat and is located 12 km from YerevanTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18645388
For Residential Development,700 sq.m.,,"5th Street 13, Musaler","$20,000",USD,The land is for sale or exchange with a 2-3 room apartment in Achlanyak with an additional fee from us. It is also sold closed.Translated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/17925640
For Industrial Use,"15,000 sq.m.",,Armavir › Tairov,$50,USD,Next to CargoTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/18306418
For Residential Development,1000 sq.m.,,Armavir › Echmiadzin,"$37,000",USD,"The land is in PtghunkThere is water, electricityPartly fencedAutoFoundation of the houseTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/15610278
For Residential Development,1000 sq.m.,,Armavir › Echmiadzin,"$10,000",USD,Ровное места электричество рядом находится в населенном пункте,Dec-12-2022_18-20,https://list.am/en/item/10840510
For Residential Development,860 sq.m.,"Electricity, water supply, natural gas","Սուրբ Փրկչի փողոց 1, Մուսալեռ","$16,000",USD,"A plot of land near the house is for sale in the village of Musaler (20 km from Yerevan)It has a very good location, as well as the possibility of water, gas and electricity. One side of the plot is fenced.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18022946
Agricultural,3000 sq.m.,,Armavir › Echmiadzin,"$28,000",USD,Շտապ վաճառվում 3000մք հողատարածք էջմիածին չհասած զվարդնոցոմ։ ունի նաև 40մք 2֊սենյականոց տուն լողավազան և պտղատու այգի 700մք խաղողի այգի։ մանրամասների համար զանգահարել։,Dec-12-2022_18-20,https://list.am/en/item/13813210
For Residential Development,600 sq.m.,,Armavir › Tairov,"$50,000",USD,Land near the house 600 sq. M. Both sides of the land are fenced. Call for questionsTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/16793118
For General Purpose,900 sq.m.,,"Erevanyan street, Armavir","$12,000",USD,The land is for rentTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/18257487
Agricultural,2200 sq.m.,,Armavir › Tairov,"$50,000",USD,"A very flat agricultural land of 2200 square meters is for sale very urgently. There are 70 fruit trees in the land. With all utilities. Suitable for any business activity. The land is located in Tairov village. For more details, call the listed phone numbers.Code RA 11Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/16886557
Agricultural,2200 sq.m.,,Armavir › Tairov,"$50,000",USD,"A very flat agricultural land of 2200 square meters is for sale very urgently. There are 70 fruit trees in the land. With all utilities. Suitable for any business activity. The land is located in Tairov village. For more details, call the listed phone numbers.Code 0090Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/16652868
Agricultural,2200 sq.m.,,Armavir › Tairov,"$50,000",USD,"A very flat agricultural land of 2200 square meters is for sale very urgently. There are 70 fruit trees in the land. With all utilities. Suitable for any business activity. The land is located in Tairov village. For more details, call the listed phone numbers.Code 9700Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17936309
For Residential Development,1600 sq.m.,,Armavir › Echmiadzin,"$23,000",USD,"The land is located in Baghramyan village, 5 km away from Parakar.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/16426652
For Residential Development,610 sq.m.,,Armavir › Tairov,"$25,000",USD,"I am selling a plot of land very urgently, it has a road on 3 sides, in the community of Tairov, details are available on the phone, please callTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18241816
Agricultural,"15,000 sq.m.",,"Հաղթանակի փողոց 24, Ամբերդ","$30,000",USD,"15000 sq / m land is for sale in Amberd community of Armavir region, of which 8000 sq / m is productive, 5-year-old play garden, remaining 7000 sq / m arable land. It has no problem with irrigation. Yield up to 25 tons.It is also possible to sell in parts.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/16935079
For Residential Development,2000 sq.m.,,Armavir › Echmiadzin,"$23,500",USD,Universal real estate for sale in one of the villages near the road from Etchmiadzin to Yerevan.Land area of 2000 square meters1000 square meters near the house1000 square meters of rural land23 sq. M. Stone houseGenerally fencedIrrigation system: CanalsDrip irrigationDrinking water is legalE-energyFruit gardenCode T362Translated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/16986201
For Residential Development,405 sq.m.,,Armavir › Echmiadzin,"$8,500",USD,Code H169A plot of land near the house is for saleAddress K. Etchmiadzin Charents district Land 405 square metersCall for details#Echmiadzin#land:#Vagharshapat#Real_Property:#Land for saleTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/18558909
For Residential Development,3500 sq.m.,,Armavir › Apaga,"7,000,000 ֏",AMD,"3500 square meter plot of land near the house in the central part of Apaga village of Echmiadzin.There is drinking water, electricity,Artesian irrigation water 3 inches newly dug, there is possibility to connect gas.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18524931
For Residential Development,405 sq.m.,,Armavir › Echmiadzin,"$26,000",USD,"A semi-detached house is for sale in the Charents district of Echmiadzin.Has water, electricityThe surfaceCode T452Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18046786
For Residential Development,405 sq.m.,,Armavir › Echmiadzin,"$14,500",USD,"Land for sale (near the house)Etchmiadzin city, Charents districtThe area is 405 square meters of landAshotFor more information callCode A053Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18059414
For Residential Development,730 sq.m.,,Armavir › Echmiadzin,"$39,500",USD,2 plots of land near the house are for saleEtchmiadzin city at the beginning of Aram Manukyan districtArea 730Water stuckAshotFor more information callCode A084Translated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/17449901
Agricultural,2500 sq.m.,,Armavir › Parakar,"$40,000",USD,"There are productive trees on the land. There are apple, peach, plum, almond, cherry, walnut and apricot trees.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18019083
For Residential Development,500 sq.m.,,Armavir › Echmiadzin,"$37,000",USD,Unfinished for saleIn the city of EtchmiadzinThe area is 500 square meters of landFloor 1_1All utilities are nearbyFor more information callCode A035Translated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/14620501
Agricultural,"10,000 sq.m.",,Armavir › Echmiadzin,"$125,000",USD,"Agricultural thief for saleof which:2400 sq. M. Greenhouse (three-phase electricity, ventilation system, drip irrigation, etc.New seedlings of 4000 square meters1000 sq. M. Gardenartisanal water is availableCity of EtchmiadzinThe current area is 10000 square meters.AshotCall for detailsCode A398Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/13886423
For Residential Development,930 sq.m.,,Armavir › Aygek,"$21,000",USD,"A plot of land near the house is for sale in the village of Aygek, which is the next village of Merdzavan. About 8 km away from HAT. Aygek can be reached by route number 205, which goes from Erebuni.The land area is 930 square meters, it is located at the very beginning of the village, on the second line from the main road. It is privately owned. Electricity and drinking water runs right next to the road. Irrigation water passes through the soil. There are newly built houses in the neighborhood.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/12389601
For Industrial Use,"30,000 sq.m.",,"Baghramyan street, Armavir","$80,000",USD,"Total 3 hectares 14 units 1000 sq. M. M lakes, made of earth, the rest is earth.The area is fenced with a net, has a 9-meter caravan, completely renovated, bisedka, brazier, etc.It is suitable for breeding fish and crayfish, it can also become a recreation area, it has a very beautiful nature, it is on a newly constructed road, it is possible to rent it, I will also exchange it.There is a large supply of sand, if you wish, you can turn it into a sand pit.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18227221
For Residential Development,1650 sq.m.,,Armavir › Echmiadzin,"$11,500",USD,"In Voskehat, Etchmiadzin, it is very suitable for a recreation area, it has drinking water, gas, irrigation water, electricityTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/12814659
For Residential Development,1100 sq.m.,"Electricity, water supply, natural gas",Armavir › Echmiadzin,"$9,000",USD,"A plot of land near the house is for sale in the village of Echmiadzin, it is located in a very good place, near Shoshin, gas, light and water.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/14037574
For Residential Development,1310 sq.m.,,"Մեսրոպ Մաշտոցի փողոց, Մուսալեռ","$55,000",USD,"A plot of land is for sale in the village of Musaler, Armavir region, about 200 meters from the road.~ The land has 1310 sq. M. Area and importance of residential buildings.~ Front: 20 meters.~ There is an old residential building, cattle shed and pantry in the area.To get detailed information, write or call the specified number.The land is shown with a real estate showing contract.The service commission is 2% of the sales price.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18574108
For Residential Development,500 sq.m.,,Armavir › Parakar,"$25,000",USD,"VM1003:A plot of land near the house is for saleArmavir, Parakar• 500 square meters area_• gas, electricity, water• fenceda gate• Asphalt roadTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18383602
For Residential Development,700 sq.m.,,Armavir › Tairov,"$36,000",USD,"VM863:• Land near the house for sale• Armavir, Parakar, Tairov• 700 square meters• district under construction• All communications are availableCode 41861Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17804622
For Residential Development,880 sq.m.,,Armavir › Merdzavan,"$20,000",USD,"Կոդ-BB510 Վաճառվում է 880քմ տնամերձ հողատարածքԱրմավիր, Մերձավանկոմունիկացիաները հասանելի ենTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/16457100
For Residential Development,2400 sq.m.,"Electricity, water supply, natural gas","Baghramyan street, Vagharshapat","$12,000",USD,"CodeEE01Land for saleTaronik, Baghramyan str.• 2400 square meters area_• in the house• 1st lineTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18633188
For Residential Development,1250 sq.m.,,Armavir › Echmiadzin,"2,400,000 ֏",AMD,Հողամասը գտնվում է Էջմիածնին կից գյուղում Գեղակերտ (Սամաղար),Dec-12-2022_18-20,https://list.am/en/item/18347550
For Residential Development,300 sq.m.,,Armavir › Parakar,"$27,000",USD,"Narekatsi district, 3rd str. Frontage 20m: Fruit trees and communications in the area, as well as sewerage.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18365629
Agricultural,2000 sq.m.,,Armavir › Arevashat,"$10,000",USD,"Land near the house for sale, 1000 sq. M. Մ. + 1000 sq. M. Մ. Call for private details. The place of the land is marked in red in the picture.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/9655189
Agricultural,1650 sq.m.,,"Հովհաննես Շիրազի փողոց, Փարաքար","$25,000",USD,"Privatization is for sale, which is suitable for livestock farming. There is a barn of 60 square meters. With the possibility of electricity and water, we will make an agreement with a real buyer.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18481239
For General Purpose,1000 sq.m.,"Electricity, water supply, natural gas","Տիգրան Անդրեասյանի փողոց 7, Մուսալեռ","$30,000",USD,"A plot of land near the house, 5 km from Yerevan. In the distance, fenced, with fruit trees, there is also a building for animals, with communal facilities in addition to sewage.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18071865
Agricultural,17 sq.m.,,Armavir › Argina,"$25,000",USD,3.2 ha own 13.8 ha leased long termThe land is of agricultural significance in total 17 haThere is an open stone mine on the landTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/18705023
For Residential Development,600 sq.m.,,Armavir › Armavir,"$8,000",USD,"Urgently negotiable. Located in the city of Armavir, 108 district, Three-Ord Street. It is also possible to exchange with a car; urgentlyTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18522818
For Residential Development,1000 sq.m.,,Armavir › Shahumyan,"$16,000",USD,Located in Eshahumyan villageAll communications are availableTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/16649115
For General Purpose,360 sq.m.,,Armavir › Metsamor,"19,000,000 ֏",AMD,"The area was located in front of the Leader gym, next to school No. 1. 24m front 24m/15m, + 4 meters forward ability. Boat for sale in parts, call for detailsTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18117907
For Residential Development,400 sq.m.,,Armavir › Armavir,"$15,000",USD,"The plot next to the house is located in such an area of the city where it is planned to build a second market and a park. There is a working school, a kindergarten, a children's water park in the vicinity of the plot... In the adjacent area is the ""Черёмушки"" apartment complex of the city.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18704879
Agricultural,6000 sq.m.,,Armavir › Echmiadzin,"4,000,000 ֏",AMD,"I am selling a privatized 6000 m/sq. , an orchard with 2 types of dambuli and a low type of walnut trees. The road is smooth, irrigation water pumps and electricity are nearby. The land is very convenient to go from Yerevan to Echmiadzin, turning right before reaching Echmiadzin to Norakert village, or enter from Zvartnots district. More than 300 bales of hay are harvested per season. Price negotiable. You can also pay in installments.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/12806695
Agricultural,6200 sq.m.,,"Մեսրոպ Մաշտոցի փողոց 22, Գեղակերտ","2,000,000 ֏",AMD,"Arable land for sale, sown with high-quality SUPER ELITA HA. 13 TON of wheat with ready fruit in the village of Samaghar, there is no water problem, the price is final, 2,000,000 dr. , with a certificate, 6200 sq. M.There is no open closing. Only real buyers should call. Do not call to drop a priceTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17624395
Agricultural,"10,000 sq.m.",,Armavir › Echmiadzin,"$17,000",USD,"On the main road from the first stream, on the track, suitable for any activity, close to the newly opened market, YEREVAN, on the October track, with the possibility of gas, irrigation water, M5, that's why this price is urgent.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/16313084
Agricultural,8000 sq.m.,,Armavir › Echmiadzin,"$18,000",USD,A car exchange for any business is convenient for the newly opened Etchmiadzin market on the highwayTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/16349558
Agricultural,5600 sq.m.,,Armavir › Musaler,"$16,800",USD,The land is right next to the water. Call Vaiber or WhatsApp for details. Exchange is possible.Translated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/16329382
For Residential Development,1500 sq.m.,,Armavir › Haykashen,"2,000,000 ֏",AMD,"1,500 Karakus near the house, near the main road, there is light and waterTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18170722
Agricultural,"22,000 sq.m.",Water supply,Armavir › Yeraskhahun,"$30,000",USD,"Urgent sale of arable land for rural purposes, has permanent irrigation water, is completely planted with alfalfa, for details call FOR SALETranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18704764
For Industrial Use,2300 sq.m.,,Armavir › Parakar,"$20,000",USD,"Arable land for sale. There is irrigation water in Parakar, near Zvartnots airport. In Parakar village... It is also possible to exchange with a car for an additional fee...Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/14516069
For Residential Development,1110 sq.m.,,Armavir › Merdzavan,"$30,000",USD,"200 meters away from the main road from Parakar to Merdzava, close to the house, connected to communications, exchange for a car (also in Russia) or an apartment in Yerevan for an additional fee, the additional fee can be given in Russia as well.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18571270
Agricultural,5000 sq.m.,,"Բարեկամության փողոց, Ոսկեհատ","$3,000",USD,URGENT Privatized arable land for sale in the beginning of Voskehat village.Translated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/17125300
For Residential Development,1000 sq.m.,,Armavir › Voskehat,"$12,000",USD,"1000 sq / m land near the house is for sale in Voskehat village, Armavir region.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17638294
For Residential Development,400 sq.m.,,"Abovyan street, Armavir","$2,800",USD,Քաղաք Արմավիր 110ա թաղամաս (դաչեք) 63 հողամաս լույս գազ ջուր արդեն լինումա։ 400 քմհողամաս կողքեր կան բն տներ,Dec-12-2022_18-20,https://list.am/en/item/17723117
For Residential Development,880 sq.m.,,Armavir › Musaler,"$21,000",USD,"Земельный участок в мусалер-птхунке с двух сторон огороженКоординаты 40.169332,44.360762",Dec-12-2022_18-20,https://list.am/en/item/18407684
Agricultural,1000 sq.m.,,Armavir › Arevashat,"$12,000",USD,It is convenient to make a land adjacent to the house next to the green and a residential area with an agricultural tasteTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/17013507
Agricultural,3700 sq.m.,,"Հոկտեմբերյան փողոց 1, Շահումյան","800,000 ֏",AMD,"Arable land is for sale in Echmiadzin Jrarat village, 3700 sq. M. Մ.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/16043944
For General Purpose,400 sq.m.,,Armavir › Armavir,"$2,200",USD,"Land plot area, Armavir, Baghramyan B district 71there are 2 pieces of land for saleTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/15363290
For General Purpose,1200 sq.m.,,Armavir › Armavir,"1,000,000 ֏",AMD,"Land near the house for sale in Mrgashat village, call for detailsTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/16201790
Agricultural,"20,000 sq.m.",,Armavir › Nalbandyan,"$33,000",USD,"In Nalbandyan village of Armavir marz, 2ha of land is for sale, 1ha of which is a high quality varietal vineyard. 05ha of fruits, 05ha of berries, raspberries and blackberries. For details, call under the same number, WhatsApp & Viber are availableTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18261786
Agricultural,4500 sq.m.,,Armavir › Tairov,"$500,000",USD,"It is located near Tairo Cargo, the meaning is agricultural, it has two streets, there is an entrance, electricity, water, gas, it is close, there is a half-built building, it is possible to exchange with Tairov in TairovTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17462419
For Residential Development,66 sq.m.,,"Erevanyan street 42, Armavir","$19,999",USD,"It is suitable for any business activity, it has the possibility to expand 130 sq/m, 2nd line, for details call the indicated numbers, thank you in advance...Code 030333Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18124484
Agricultural,9500 sq.m.,,Armavir › Mrgashat,"$10,000",USD,The land is located in the area of Mrgashat-Norapat roadNot processing nowThe wheat was harvested a month ago and now the land is cleanNo water problem!Call for detailsTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/18180642
Agricultural,3300 sq.m.,,Armavir › Sardarapat,"$9,000",USD,"Irrigated land is for sale in Sardarapat village, near the road, accessible to cars, the surface is flat, there are apricot fruit trees. I will exchange it for a car or a plot of land in the capital Yerevan and the surrounding area.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17610914
For Residential Development,500 sq.m.,,Armavir › Parakar,"$55,000",USD,"Sakarkevi, located on the airport road in Parakar, the plot has a house plan and a separate building, there is electricity, gas and water, fenced, cultivated garden.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18531986
Agricultural,"280,000 sq.m.",,Armavir › Echmiadzin,600 ֏,AMD,"280,000 square meters (27ha) of flat, high-quality arable land is for sale in Etchmiatsin, 50-60 meters from the asphalt road. The height is 850 meters above sea level, it has 2 deep wells, irrigation water, medium pressure gas is nearby. 1 square meter - 600 AMD.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/14881103
Agricultural,"1,200,000 sq.m.",,Armavir › Echmiadzin,170 ֏,AMD,"2,000,000 square meters (200ha) of rural land in Etchmiadzin region is for sale, it has irrigation water. It is suitable for cultivating vegetable crops and establishing an intensive orchard. 1 square meter - AMD 170.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17619422
Agricultural,7900 sq.m.,,"Արարատյան փողոց, Բաղրամյան","1,600,000 ֏",AMD,"Significance vineyards can carry out any agricultural activityEchmiadzin village, 5 km from the back of the Baghramyan cliffTo the village. Also exchange for equivalent vehicle7900 square metersTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/11375873
Agricultural,9000 sq.m.,,Armavir › Armavir,"$20,000",USD,"The trees are in good condition, the plot is located not far from the Mother stream, 1.5 km from the main road, and has no water problems, the trees are 5 years old, very well cultivated, 280 medium-sized peaches, 80 Ono, 30 early-ripening peaches.: The 3 mentioned cultivars yield very large and tonnage peaches. Demanded in market conditions, a total of 380 productive trees are for sale VERY URGENTLY... Village Araks. URGENT: URGENT:Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18130159
Agricultural,6000 sq.m.,,Armavir › Getashen,"2,500,000 ֏",AMD,"There is a separate house that is rented for 35,000 per month, there is 3,000 meters of land with the house, and the land for sale is 6,000 meters, of which 3,000 meters is a vineyard.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18622976
For Residential Development,820 sq.m.,,Armavir › Parakar,"12,500,000 ֏",AMD,"Անմիջապես սեփականատիրոջ կողմից, առանց միջնորդի, վաճառվում է բնակելի կառուցապատման գործառնական նշանակության հողատարածք Փարաքարում:Հողատարածքը գտնվում է Գրիգոր Լուսավորչի փողոցի վրա, որի տարբեր հատվածներում ներկայումս ընթանում են ակտիվ շինարարական աշխատանքներ:Հողատարածքն ուղղանկյունաձև է և հարթ, մակերեսը 820 քառակուսի մետր է, ճակատային հատվածի լայնությունը՝ 16,8 մետր:Հողատարածքն ապահովված է մշտական խմելու ջրով, անհատական ջրագծով և ջրաչափով:Գազի և էլեկտրական հոսանքի գծերը, ինչպես նաև ոռոգման ջուրն անցնում են անմիջապես հողատարածքի կողքով:Հողատարածքի մի կողմը պարսպապատ է:Հողատարածքի վրա առկա է տան հիմքի համար նախատեսված քար՝ մեկ բեռնատարի չափով:Հողատարածքի վրա չկա շինարարական թույլտվությանը խոչընդոտող որևէ սահմանափակում:Ցանկության դեպքում անվճար կտրվի մեկ հարկանի անհատական բնակելի տան ամբողջական ավարտված նախագիծ՝ շինարարության թույլտվություն ստանալու համար:Напрямую от собственника, без посредников, продается земельный участок под жилую застройку в Паракаре.Участок находится на улице Григора Лусаворича, на разных участках которой в настоящее время ведутся активные строительные работы.Участок прямоугольный и ровный, площадь 820 квадратных метров, ширина фасадной части 16,8 метра.Участок обеспечен постоянной питьевой водой, индивидуальной водопроводной линией и водомером.Линии газо- и электроснабжения, как и поливная вода, проходят непосредственно рядом с участком.Одна сторона участка огорожена.На участке есть камень для фундамента дома размером с одну фуру.На участке нет никаких ограничений, которые могли бы препятствовать разрешению на строительство.При желании будет бесплатно предоставлен полный готовый проект одноэтажного частного дома для получения разрешения на строительство.",Dec-12-2022_18-20,https://list.am/en/item/17613973
For Residential Development,1800 sq.m.,,Armavir › Echmiadzin,"4,300,000 ֏",AMD,Home price negotiable or exchange with car.Translated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/18627329
For Residential Development,1884 sq.m.,,Armavir › Armavir,"2,000,000 ֏",AMD,"Շտապ վաճառվում է Ջանֆիդա գյուղում (46-րդ փողոց 152 հողամաս) 1884 քմ․ սեփականաշնորհված հողատարացք կիսաշար շինությունով, հիմքը բետոնյա, երկու տակ, երեք շար շարած։ Հողատարածքում առկա է պտղատու ծառեր, ոռոքման ջրի խնդիր չկա։ Շատ շտապ է։ Արմավիր, Հոկտեմբերյան, Ջանֆիդա, Հողատարածք, Տուն, Այգի",Dec-12-2022_18-20,https://list.am/en/item/16751447
Agricultural,2900 sq.m.,,Armavir › Armavir,"$18,000",USD,"Land near the house, fenced, there are 4 apricot trees of 10 years, 10 trees of 3 years. 15 trees of 2 years. 5-year-old grapevine, 20 red raisins, 15 golden raisins, 1 million drams worth of harvest per year, irrigation water, drinking water, gas, electricity. It is convenient to build a greenhouse. To establish a farm. To build a greenhouse. With the rest of the call. Land is located in TANDZUT Village. NegotiableTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17181553
Agricultural,8500 sq.m.,,Armavir › Mrgashat,"5,000,000 ֏",AMD,Land for sale in Mrgashat village with an area of 8500 square metersthe area is emptyTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/17543748
Agricultural,"60,000 sq.m.",,Armavir › Janfida,"65,000,000 ֏",AMD,"6 hectares of land for sale, most of them are productive trees of different types, the size of one hectare are two-year-old trees, irrigation water is attached to the land.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18598788
Agricultural,700 sq.m.,,Armavir › Merdzavan,"$5,500",USD,"700 sq. M. Agricultural land for sale in Merdzavan, call me, I will answer all the questionsTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17378866
For Residential Development,1750 sq.m.,,"Բարեկամության փողոց, Ոսկեհատ","$15,000",USD,Utilities are nearbyThe land will be located in Voskehat villageTranslated from Armenian,Dec-12-2022_18-20,https://list.am/en/item/18279589
For Residential Development,680 sq.m.,,Armavir › Tairov,"$37,000",USD,"Privatized land near the house in Tairov village.18 m front. Convenient location.Flat area. 2nd line from Isakov Highway.There are new houses in the area.Asphalt starts from 200 meters.It is 400 meters away from the main road.(tayrov, parakar, tayrov, parakyar, parakar)Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/18123324
Agricultural,6000 sq.m.,,Armavir › Margara,"$70,000",USD,"The area is located on the Echmiadzin-Margara road, near the highway, near the cement concrete factory near the cemetery, there used to be a production greenhouse areaTranslated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17706341
Agricultural,"100,000 sq.m.",,"Karakert Roadway, Argina","$200,000",USD,"The land (13 hectares) is located in the middle of Karakert Argina highway. The land is a completely orchard (apricot, plum, apple, peach, pear, cherry, walnut, almond, acorn, rosemary, grape, cherry...) It passes through the land The main canal (always plenty of water) has individual electricity. The garden has a three-storey stone euro area.Translated from Armenian",Dec-12-2022_18-20,https://list.am/en/item/17697257
