Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links,Parking,Construction Type
Office Space,180 sq.m.,Shirak › Gyumri,"400,000 ֏",AMD,"Վարձով է տրվում Գյումրիում գրասենյակ գույքով և կոմունալ բոլոր հարմարություններով ։ Մանրամասների համար զանգահարել նշված համարով։ Сдается офис в Гюмри со всеми коммунальными удобствами. Звоните по номеру, чтобы узнать подробности.",Nov-24-2022_22-32,Available,Not available,Other,Separate from the Street,Direct Lease,6 months,2 months,Not included,https://list.am/en/item/17468979,,
Office Space,25 sq.m.,"Նիկոլայ Ռիժկովի փողոց 5/1, Գյումրի","150,000 ֏",AMD,"Office space is for rent in the center of Gyumri, on Ryzhkov (Kirov) street, the area is 25 square meters. Մ. Details on the phone.Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17660864,,
Automotive Service,"11,111 sq.m.","Akhuryan Highway, Gyumri","50,000 ֏",AMD,For more information callTranslated from Armenian,Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/16760666,,
Industrial and Manufacturing,1200 sq.m.,Shirak › Azatan,$200,USD,"Տրվում է վարձով 1200 մ շնություն, կից 16000 մ (1.6հա) հողատարածքով։Շինությունը գտնվում է Գյումրի Երևան (M1) 4րդ կմ_ում։Сдается в аренду здание 1200 м, с прилегающим участком 16000 м (1,6 га) Здание расположено на 4 км Гюмри Ереван (М1)",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17480353,,
Office Space,85 sq.m.,"Akhuryan Highway, Gyumri","100,000 ֏",AMD,"It is for rent with a mandatory long-term deposit. For details, call the mentioned number. It is convenient for the office, shopping center. There are residential buildings all around.Sold by long term, with deposit, convenient for offices, and for trade. For details the bells…Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17504479,,
Multifunctional Space,325 sq.m.,"Rustaveli Street, Gyumri","$3,800",USD,"Commercial area is for rentQ ․ Gyumri, Rustaveli street325 sq. M. Total area:Hot առը cold waterWith partial propertySecurity number:Provision of designer lightsWith all utilitiesIt is also possible to install equipmentThe cost of the rent is $ 3-800Code 6646Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17909125,,
Office Space,23 sq.m.,"Garegin Nzhdeh Avenue, Gyumri","70,000 ֏",AMD,"Commercial area is for rentQ ․ Gyumri, Garegin Nzhdeh Avenue23 sq. M. Total area:Hot առը cold waterWith partial propertyWith all utilitiesCan be used as an office spaceThe cost of the rent is 70․000 AMDCode 7647Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17904823,,
Functioning Business,115 sq.m.,"Garegin Nzhdeh Avenue, Gyumri","200,000 ֏",AMD,"Existing business for rentQ ․ Gyumri, Garegin Nzhdeh115 sq. M. Total area:With property and equipmentIt is also given on separate floorsWith all utilitiesThe cost of the rent is 200,000 AMDCode 4493Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17904598,,
Retail Space,100 sq.m.,"Տերյան փողոց 118, Գյումրի","130,000 ֏",AMD,"A two-storey commercial area is for rentQ ․ Gyumri, Teryan street100 sq. M. Total area:With partial propertyIt is also given on separate floorsWith all utilitiesThe cost of the rent is 130,000 dramsThe cost of rent for one floor is 70,000 AMDCode 7493Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17904483,,
Multifunctional Space,90 sq.m.,"Լալայան փողոց 1, Գյումրի","100,000 ֏",AMD,"Commercial space for rentc. Gyumri Lalayan street90 square meters of living spaceCosmetically refurbishedUtility with all amenitiesOn the sunny sideRental price: AMD 100,000Code 8771Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/17616643,,
Everything Else,30 sq.m.,"Pushkin Street, Gyumri","70,000 ֏",AMD,"Commercial space for rentc. Gyumri, Pushkin street30 square meters: Total areaUtility with all amenitiesOn the sunny sideMultipurpose propertyRental price: 70,000 AMDCode 5611Translated from Armenian",Nov-24-2022_22-32,,,,,,,,,https://list.am/en/item/18143752,,
Multifunctional Space,100 sq.m.,Shirak › Gyumri,"120,000 ֏",AMD,"8-ой городок is located, the building has 4 body car wash points, attached commercial area, and 2 large basements, with all utilities, partial and full rent is possible, suitable for profit center, beauty salon and other activitiesTranslated from Armenian",Nov-27-2022_19-01,By agreement,Not available,First Line,Separate from the Street,Direct Lease,3 months,1 month,Not included,https://list.am/en/item/18623157,OUtdoor parking,
Warehouse,12 sq.m.,Shirak › Gyumri,"20,000 ֏",AMD,"2 basements are for rent in the building on Teryan Street. It is very convenient to use as a warehouse. You can carry out your own activities. It is a very dry and warm basement. If possible, you can even have light and water. Call for details.Translated from Armenian",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18523107,,
Retail Space,55 sq.m.,"Sayat-Nova St 4, Gyumri","50,000 ֏",AMD,For sale or rent.Translated from Armenian,Nov-27-2022_19-01,Not available,Not available,Second Line,Separate from the Courtyard,Direct Lease,6 months,2 months,Not included,https://list.am/en/item/18624971,OUtdoor parking,
Office Space,73 sq.m.,"Խրիմյան Հայրիկ մայրուղի 41, Գյումրի","200,000 ֏",AMD,"The cost of electricity, gas and internet is included in the price.First line, next to Turvand shopping hall. It is renovated, it has 1 hall, 1 room, 1 bathroom, the floor is tiled, there is a heating system.Convenient to use for various purposes.Call for detailed information.Translated from Armenian",Nov-27-2022_19-01,Available,Not available,First Line,Separate from the Street,Direct Lease,3 months,By Agreement,Included,https://list.am/en/item/18613899,OUtdoor parking,
Retail Space,150 sq.m.,"Պարույր Սևակի փողոց 3, Գյումրի","220,000 ֏",AMD,A commercial space with all facilities is for rent in front of the pedagogical universityTranslated from Armenian,Nov-27-2022_19-01,Available,Not available,First Line,Separate from the Street,Direct Lease,6 months,1 month,By Agreement,https://list.am/en/item/18562909,,
Office Space,1200 sq.m.,"Բելինսկու փողոց 1/1, Գյումրի","30,000 ֏",AMD,"Վարձով է տրվում արտադրական տարածք Գյումրիում ընդհանուր 1200քմ, որը գտնվում է Նորավան թաղամասում. Տարածքը բաղկացած է 18 առանձնացված քարե շինություններից, որը կարող եք օգտագործել առանձին-առանձին։ Ունի կոմունալ բոլոր հարմարություները (եռաֆազ հոսանք) տարածքը հարմար է օգտագործել ոչ միայն արտադրական նպատակներով այլ ցանկացած ուրիշ գործունեության համար։Տարածքում գործում է և հացի արտադրամաս, և լինոնադի արտադրամաս բոլոր սարքավորումների հետ միասին։Տեղադրված է երկաթյա դարպասներ, առկա է պահակակետի և սանհագույցի համար նախատեսնված տարածք։",Nov-27-2022_19-01,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/10720884,,
Office Space,25 sq.m.,"Հաղթանակի պողոտա 4, Գյումրի","80,000 ֏",AMD,"A small and very comfortable space with a renovated open balcony is for rent in the heart of the city. As the owner, I will also cooperate with those companies who would like to open a branch in Gyumri... As well as reasonable business proposals... For all other questions, call the indicated phone numberTranslated from Armenian",Nov-27-2022_19-01,Available,Not available,First Line,Separate from the Street,Direct Lease,6 months,Without prepayment,Not included,https://list.am/en/item/18506790,,
Everything Else,22 sq.m.,"Gorki Street, Gyumri","90,000 ֏",AMD,"Euro booth for rent near the 4th pharmacy, Lady & Gentelman store.Translated from Armenian",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18381631,,
Retail Space,"12,345 sq.m.","Baghramyan street, Artik","250,000 ֏",AMD,"Վարձով է տրվում տարածք Արթիկի շրջան գյուղ Պեմզաշենում, մանրամասների համար զանգահարելСдаётся торговое помешение на первом и втором этаже. Размер большого зала на первом этаже 10.30 метр на 8 метр, склад 6.50 метр на 3 метр. Зал 82.4 квадрат + склад 20.5 квадрат с задным ходом. На данный момент находится в рабочем состояние под магазином. Аренда за большого зала со складом состоит 250 000 драм за месяц. Второй зал на первом этаже 7.10 метр на 6.50 метр. Здание имеет в себе все комунальные преимушествия. Здания находится в центре посёлка, напротив парка. Второй этаж большой зал 14 метр на 8 метр. 110.5 кв. Второй зал 10.30 метр на 6.50 метр. Есть еще подвал примерно 65 кв.Translated from Armenian",Nov-27-2022_19-01,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,By Agreement,https://list.am/en/item/18455297,,
Multifunctional Space,48 sq.m.,"Shirakatsi street 58բ, Gyumri","150,000 ֏",AMD,The area is located on the front line of Shirakatsi Street in the VEGAI NeighborhoodSUITABLE FOR EVERY ACTIVITYA spare part is availableNewly renovated tiled floorIt has two entrancesHot and cold constant water security system internetCheck for detailsAddress K Gyumri Shirakatsi 58b area 5/1Translated from Armenian,Nov-27-2022_19-01,Available,Not available,First Line,Separate from the Street,Direct Lease,6 months,By Agreement,Not included,https://list.am/en/item/18464883,OUtdoor parking,
Automotive Service,124 sq.m.,"Պարույր Սևակի փողոց 15/3, Գյումրի","99,000 ֏",AMD,"2 spaces with separate entrances, boxes are for rent, you can also use them for other purposes. For more information callTranslated from Armenian",Nov-27-2022_19-01,Not available,Not available,First Line,Common from the Street,Direct Lease,6 months,By Agreement,By Agreement,https://list.am/en/item/18427744,,
Automotive Service,80 sq.m.,"Կարեն Դեմիրճյան փողոց 39/1, Գյումրի","100,000 ֏",AMD,It is located in Gyumri. Without noiseTranslated from Armenian,Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18437189,,
Warehouse,306 sq.m.,"Улица Левона Мадояна 342/2, Гюмри","122,400 ֏",AMD,"Склад на ул. Левона Мадояна в Гюмри, 306 кв. М.Сдается в аренду складское помещение с железнодорожной веткой, со всеми коммуникациями. Охраняемая территория.",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18437600,,
Hotel,45 sq.m.,"Ղանդիլյանի փողոց 25/1, Գյումրի","200,000 ֏",AMD,Very suitable for office or residenceTranslated from Armenian,Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18427728,,
Multifunctional Space,100 sq.m.,Shirak › Maralik,"180,000 ֏",AMD,"Տրվում է վարձով 'կոմերցիոն անշարժ գույք (տարածք) 100ք. Մ քարից, նորակառույց- ունի կոմունալ բոլոր հարմարությունները։ Կենտրոնական փողոցի դիմաց ։ մոտակայքում գտնվում են ՝ դատարանի շենքը- և բազմաբնակարան շենքեր։ երկարաժամկետ վարձակալության դեպքում սակարկելի։ Հաս. Շիրակի մարզ. Ք. Մարալիկ. Сдам в аренду коммерческую недвижимость 100кв. М. С ремонтом, есть туалет. Здание каменное. Адр. Ширакская область -г. Маралик.",Nov-27-2022_19-01,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 month,By Agreement,Not included,https://list.am/en/item/18556557,OUtdoor parking,
Automotive Service,50 sq.m.,"Akhuryan Highway, Gyumri","40,000 ֏",AMD,"Car service garage for RENT. For more information, WRITE, I WILL REPLY or send an empty garage.Translated from Armenian",Nov-27-2022_19-01,By agreement,Not available,First Line,Common from the Street,Direct Lease,1 month,By Agreement,By Agreement,https://list.am/en/item/18541607,,
Multifunctional Space,125 sq.m.,"Հրանտ Շահինյան փողոց, Մարալիկ","280,000 ֏",AMD,"Առանց միջնորդի տրվում է վարձով հասարակական բազմաֆունքցիոնալ տարածք Քաղաք Մարալիկի կենտրոնական փողոցում առաջին գիծ:Հարմար է ցանկացած գործոնեության համար: Կապիտալ վերանորոգված, կոմունալ բոլոր հարմարություններով: Երկհարկանի + նկուղ ընհանուր 125քմ:ԵՐԿԱՐԱԺԱՄԿԵՏ ՎԱՐՁԱԿԱԼՈՒԹՅԱՆ ԴԵՊՔՈՒՄ ԿԱՐՈՂ Է ՍԱԿԱՐԿՎԵԼ:Сдается в аренду без посредника Общественное многофункциональное помещение на первой линии центральной улицы города Маралик.Подходит для любого профиля деятельности.Евроремонт, со всеми коммуникациями. Двухэтажный + подвал общей площадью 125 кв.ПРИ ДОЛГОСРОЧНОЙ АРЕНДЕ МОЖНО ДОГОВОРИТЬСЯTranslated from Armenian",Nov-27-2022_19-01,Not available,Not available,First Line,Common from the Street,Direct Lease,1 month,Without prepayment,Not included,https://list.am/en/item/18391536,,
Industrial and Manufacturing,90 sq.m.,"P. Sevak street 4, Gyumri","80,000 ֏",AMD,"The area is located next to the Pedagogical Institute, a convenient commercial area, has all the amenities.Translated from Armenian",Nov-27-2022_19-01,Not available,Not available,First Line,Separate from the Courtyard,Direct Lease,6 months,By Agreement,Not included,https://list.am/en/item/18396449,,
Office Space,40 sq.m.,"Tigran Mets Avenue, Gyumri","140,000 ֏",AMD,The area is in very good condition.Translated from Armenian,Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18416171,,
Functioning Business,112 sq.m.,Shirak › Maralik,"1,200,000 ֏",AMD,"A hot water heater is for sale. It was built 6 months ago. It's very urgent, that's whyTranslated from Armenian",Nov-27-2022_19-01,Not available,Not available,Other,Common from the Courtyard,Sublease,2 years,By Agreement,By Agreement,https://list.am/en/item/18525196,,
Everything Else,8 sq.m.,"Երևանյան խճուղի 141Ա, Գյումրի","30,000 ֏",AMD,It is in very good conditionsuitable for business activitiesCall for detailsTranslated from Armenian,Nov-27-2022_19-01,Available,Not available,First Line,Common from the Courtyard,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/18575233,,
Office Space,400 sq.m.,"Ստեփան Շահումյանի փողոց 184, Գյումրի","250,000 ֏",AMD,"UTILITY PAYMENTS ARE INCLUDED IN THE RENT... A three-storey commercial space is for rent in the heart of the city, behind the Most Savior Church. The total area of the space is 400 sq/m, a total of 6 rooms with 12-55 sq/m areas are provided. The space is completely renovated, tiled, installed is a centralized heating system. Each room has a tiled bathroom. Glass doors, euro windows are installed. The space is provided for various activities, particularly office.Translated from Armenian",Nov-27-2022_19-01,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Included,https://list.am/en/item/18625004,OUtdoor parking,
Industrial and Manufacturing,25 sq.m.,"Yerevan Highway, Gyumri","45,000 ֏",AMD,"Production space for rent. It used to be a bakery, it is also suitable for organizing other production. There is a bathroom with all utilities.Translated from Armenian",Nov-27-2022_19-01,Available,Not available,First Line,Separate from the Courtyard,Direct Lease,1 month,By Agreement,By Agreement,https://list.am/en/item/18623147,OUtdoor parking,
Everything Else,130 sq.m.,"Պարույր Սևակի փողոց 11, Գյումրի","149,000 ֏",AMD,The 2nd floor of a newly built building is for rent. It can be used for various purposes. Call for details.Translated from Armenian,Nov-27-2022_19-01,Not available,Not available,First Line,Separate from the Street,Direct Lease,6 months,By Agreement,By Agreement,https://list.am/en/item/18427818,,
Office Space,40 sq.m.,"Գայի փողոց 8/2, Գյումրի","150,000 ֏",AMD,"The area is located on the left side of the one-way road going up from the central square to the park. It has a separate entrance from the street. The 2nd and 3rd floors of the building serve as a beauty salon. The area has a separate bathroom, it is heated, all utilities are included in the price.Translated from Armenian",Nov-27-2022_19-01,Not available,Not available,First Line,Separate from the Street,Direct Lease,3 months,By Agreement,Included,https://list.am/en/item/18596974,OUtdoor parking,
Everything Else,20 sq.m.,"Garegin Nzhdeh Avenue 18, Gyumri","70,000 ֏",AMD,"It is for rent. Pavilion with utility facilities, suitable for office, shop and any other activity.Translated from Armenian",Nov-27-2022_19-01,Not available,Not available,Second Line,Common from the Courtyard,Direct Lease,1 month,1 month,Not included,https://list.am/en/item/18532797,,
Retail Space,180 sq.m.,"Պավլովի փողոց 26, Գյումրի","80,000 ֏",AMD,"The area is also suitable for a workshop, it has a large storage room and a large refrigerator. It is provided with all utilities.Translated from Armenian",Nov-27-2022_19-01,Not available,Not available,Other,Common from the Street,Direct Lease,6 months,Without prepayment,Not included,https://list.am/en/item/18608936,OUtdoor parking,
Multifunctional Space,150 sq.m.,"Շիրակացի փողոց 1, Գյումրի","420,000 ֏",AMD,"CODE—8445For rent, operating shopc. Gyumri, Shirakatsi first line150 sq. M. Total areaUtility with all amenitiesOn the sunny sideMultipurpose propertyFirst lineStorage basement: 40 square meters.Separate warehouse, 20 square meters.Two separate entrancesSeparate utilitiesIt has a yardHeating SystemHeated floorRental price: 420,000 AMDTranslated from Armenian",Nov-27-2022_19-01,Available,Not available,First Line,Separate from the Street,Direct Lease,3 months,By Agreement,Not included,https://list.am/en/item/18606066,,
Office Space,100 sq.m.,Shirak › Maralik,"200,000 ֏",AMD,"Office, commercial or commercial space for rent in Maralik city.Translated from Armenian",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18556945,,
Retail Space,80 sq.m.,Shirak › Gyumri,"180,000 ֏",AMD,"Commercial space for rent.It is equipped with refrigeration storage and food display facilities for food, it has a bathroom and storage room, gas heating system, cameras, it is ready to expand as a grocery and thrift store. Call for specific price details.Translated from Armenian",Nov-27-2022_19-01,Available,Not available,First Line,Common from the Street,Direct Lease,6 months,By Agreement,Not included,https://list.am/en/item/18603551,,
Everything Else,223 sq.m.,"Պուշկինի փողոց 4-րդ նրբանցք 16, Գյումրի","250,000 ֏",AMD,"Երկու հարկանի քարե շինություն Գյումրի քաղաքի կենտրոնում՝ Պուշկինի փողոցում: Նախատեսվում է շինությունը տրամադրել երկարաժամկետ վարձակալության իրավունքով: Այն կարող է օգտագործվել տարբեր նպատակային նշանակություններով և տրամադրվել նաև մասնակի:Двухэтажное каменное здание в центре города Гюмри, на улице Пушкини. Зданию планируется предоставить право долгосрочной аренды. Здание может использоваться для различных целей, а также может быть предоставлено частично.",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18515970,,
Everything Else,18 sq.m.,"Գարեգին Նժդեհի պողոտա 20/4, Գյումրի","100,000 ֏",AMD,"A 18 sq. M. Business space is for rent at 22/4 Garegin Nzhdeh Street. The apartment is renovated, has a bathroom, and a security system.Translated from Armenian",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18500784,,
Office Space,20 sq.m.,Shirak › Gyumri,"20,000 ֏",AMD,"Office spaces are available in the central part of the city (at the back of the decor furniture hall) 15-40 square meters. The price starts from AMD 20,000.Translated from Armenian",Nov-27-2022_19-01,Not available,Not available,Other,Common from the Courtyard,Direct Lease,6 months,By Agreement,By Agreement,https://list.am/en/item/18494115,,
Functioning Business,40 sq.m.,"Karen Demirchyan street, Gyumri","80,000 ֏",AMD,"It is suitable for use as a grocery or economic or clothing store. There are ready-made shelves, a display refrigerator and freezers. There are all conditions ready to work. Those who wish can adapt it as a beauty salon. Also, the area has a video surveillance system.Translated from Armenian",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18381599,,
Multifunctional Space,200 sq.m.,"Vazgen Sargsyan street, Gyumri","350,000 ֏",AMD,"CODE—8826Commercial space for rentc. Gyumri, V. Sargsyan200 square meters. Total areaStoneOn the sunny sideUtility with all amenitiesHeating SystemRental price: AMD 350,000Translated from Armenian",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18564239,,
Everything Else,405 sq.m.,"Հովհաննես Թումանյանի փողոց 143/4, Գյումրի","500,000 ֏",AMD,"A commercial space of 405 m2 is for rent in front of the PEGAS store on Tumanyan street, adjacent to the gas station, both in full and in parts. The space is provided for various activities, it has 2 separate entrances. There is also a basement of 150 m2, height 2.70, the roof is newly renovated. About 250 m2 per user. And in the back there is a plot of land of 400m2. The price is negotiable. For more information callTranslated from Armenian",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18536545,,
Office Space,80 sq.m.,"Улица Руставели 66, Гюмри","160,000 ֏",AMD,It is given as an office. Centrally located on 14th streetTranslated from Armenian,Nov-27-2022_19-01,Available,Not available,First Line,Common from the Street,Direct Lease,1 month,By Agreement,By Agreement,https://list.am/en/item/18546483,OUtdoor parking,
Retail Space,294 sq.m.,Shirak › Pemzashen,"200,000 ֏",AMD,"Сдаётся торговое помешение на первом и втором этаже.Размер большого зала на первом этаже 10.30 метр на 8 метр, склад 6.50 метр на 3 метр. Зал 82.4 квадрат + склад 20.5 квадрат с задным ходом. На данный момент находится в рабочем состаяние под магазином. Аренда за большого зала со складом состоит 250 000 драм за месяц.Второй зал на первом этаже 7.10 метр на 6.50 метр.Здание имеет в себе все комунальные преимушествия. Здания находится в центре посёлка, напротив парка.Второй этаж большой зал 14 метр на 8 метр. 110.5 кв.Второй зал 10.30 метр на 6.50 метр.Есть еще подвал примерно 65 кв.",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18444855,,
Office Space,150 sq.m.,"Movses Khorenatsi Street, Gyumri","150,000 ֏",AMD,"Office space for rent, call for details.Translated from Armenian",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18420593,,
Everything Else,72 sq.m.,"Ստեփան Շահումյանի փողոց 143, Գյումրի","250,000 ֏",AMD,A space for rent in the center of Shahumyan-Teryan crossroad in the vicinity of the photo is suitable for any businessTranslated from Armenian,Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18529909,,
Multifunctional Space,200 sq.m.,Shirak › Arapi,"90,000 ֏",AMD,"Сдаю помещение со всеми коммуникациями. В 2ух километрах от города Гюмри. На данный момент в нем функционирует автосервис, имеются некоторое оборудование (компресор сварочное оборудование) можно разместить 8 машин",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18380976,,
Agricultural Space,3000 sq.m.,Shirak › Byurakn,"300,000 ֏",AMD,"A 3 ha agricultural plot is for long-term rent. The borders of the plots are defined. A plot of regular rectangular shape, without modifications.A green, environmentally friendly place.Location near road and canal. Easy to water. The land is productive, cultivated and fertilized every year.It is possible to conduct a personal auxiliary economy in the field, crop cultivation, cultivation of cereals and other agricultural crops, vegetable cultivation, cultivation, medicinal, flower crops, preservation and processing of agricultural products. Hurry - beautiful place, close to the city.Write on Viber or WhatsAppTranslated from Armenian",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18519739,,
Multifunctional Space,314 sq.m.,"Akhuryan Highway, Gyumri","80,000 ֏",AMD,"CODE 4826Commercial premises for rentc. Akhuryan Highway, Gyumri314 square meters. Total areaStoneOn the sunny sideWith propertyUtility with all amenitiesHeating SystemThe cost of renting a bakery:The cost of renting a small shop: AMD 80,000The cost of renting a large area:Rent price basement:Rent price for two rooms:Translated from Armenian",Nov-27-2022_19-01,,,,,,,,,https://list.am/en/item/18507868,,
Retail Space,100 sq.m.,"Ստեփան Շահումյանի փողոց 242, Գյումրի","200,000 ֏",AMD,"A functioning and completely reconstructed shop is for rent, there is a spare partTranslated from Armenian",Nov-27-2022_19-02,,,,,,,,,https://list.am/en/item/18463315,,
Multifunctional Space,60 sq.m.,"Լևոն Մադոյան փողոց 1, Գյումրի","150,000 ֏",AMD,"Commercial space for rentc. Gyumri, L. Madoyan60 square meters. Total area40 square meters. Living spaceThoroughly reconstructedWith propertyHeating SystemLightUtility with all amenitiesWith hot and cold waterSecurity systemParking lotThe rental price is AMD 150,000Code 8159Translated from Armenian",Nov-27-2022_19-02,,,,,,,,,https://list.am/en/item/18459022,,
Multifunctional Space,50 sq.m.,"Մազմանյան փողոց 3, Գյումրի","250,000 ֏",AMD,"On a long-term basis, the 1st or 2nd floor of a newly constructed two-story building is for rent, possibly 2 floors together, 50 square meters of commercial space, k. B. H, privatized.Translated from Armenian",Nov-27-2022_19-02,Available,Not available,First Line,Separate from the Street,Direct Lease,6 months,2 months,By Agreement,https://list.am/en/item/17960845,OUtdoor parking,
Industrial and Manufacturing,850 sq.m.,Shirak › Gyumri,"$189,000",USD,"Own production space with all facilities for sale or exchange. The area includes a stone building of 850 square meters, 5ha of land, 4ha of which is a village. Nsh lands, 07 ha residential development plots, 03 ha swimming pool for lease (with the right to privatize) There is three-phase current, irrigation system. At present, there are 2000 pieces of broiler mini mud in operation 0-45 days. For:Also exchangeable.Price negotiable.5/1, Akhuryan, Shiraz (on the road to the Sugar Factory)Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18003543,,Stone
Retail Space,1200 sq.m.,Shirak › Artik,"$57,000",USD,"Stone structure, two-story, three-phase electricity, gas, waterTranslated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17498185,,Stone
Multifunctional Space,40 sq.m.,"Gorki Street, Gyumri","300,000 ֏",AMD,"It is for rent in the very heart of Gyumri, on the first floor of a stone building, the area is first line, has a nine-meter front part, south-bright side, separate entrance with entrance, with the possibility of outdoor advertising, is provided with night lighting.The area is 40 square meters, the height is 3.2 m, it is provided with all the communal facilities, heating, free unlimited internet, video surveillance devices are installed.The area is located in the historical and cultural center of Gyumri, next to the Technopark, Florence restaurant complex, Araks hotel complex and other tourist infrastructures.4 minutes walk from the central square to the building.Currently, the area is under renovation, it will be handed over to the new business in a convenient way, according to the agreement.The multifunctional area is suitable for various commercial activities.PRICE is 300,000 AMD per monthIt is given without a mediator, with a one-year contract, with the possibility of extension.Business entities, representatives of the investment organization can immediately contact to see, discuss financial or other issues.# CONSULTING_ OFFICE#Design_Studio, #Photo_Studio, #Office, #Pharmacy, #Fashion_Salon, #Service_Salon#Office, #office, #business, #lease, #lease, #lease, #area, #Arming, #Hot, #Luminous, #Price, #commercial, #area, #center #Armenia, #real estate, #home. #Marketing_Management#Management_Office, #Social_Media_Marketing_Office, #Accounting_Company, #BRANDING_ AGENCY, #FORMAL_ ADVERTISING_ COMPANY, #PRINTING_THE_DIFFERENCE#Real_Real_Office, #Interior_Design_Study#BUSINESS_CONSULTING_ AGENCY_ COMPANY# TRAVEL_ AGENCY # OUTGOING_ TOURISM_ (TOURISM)#Support_Insurance_Office, #Driver_Human_Car_Rental_Rental_Office, # INTERNATIONAL_ CARGO TRANSPORTATION COMPANY, #Translation_Office#Insurance_Company, #Medical_Equipment_Sale_Service_Office #Legal_Lawyer_Office_Office, #Jewelry_Shop, #Natural_Stone_Floor_Office,# INVESTMENT_ SERVICES_ OFFICE# Intermediary_Services_Investment_CompanyTranslated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17886904,,Stone
Retail Space,12 sq.m.,"3rd street, Gyumri","$3,500",USD,"An existing shop with an area of 12 square meters is for sale, together with its property. If you wish, you can move the shop.Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18634214,,Wooden
Everything Else,3500 sq.m.,Shirak › Akhurik,"$62,000",USD,"Կոմերցիոն անշարժ գույք Ախուրիկում, որը գտնվում է Գյումրի քաղաքից 5 կմ հեռավորության վրա՝ Ղարսի խաչմերուկում։Ընդհանուր մակերեսը - 3500 քմԿոմերցիոն տարածք - 660 քմՄանրամասների համար զանգահարել նշված համարով (միայն Viber)Комерционный недвижимость в Ахурике, находится 5 км от города Гюмри на Харском перекрестке.Общий площадь - 3500 квмКоммерческий площадь - 660 квмЗвоните для подробности (только Viber)Commercial real estate in Akhurik, located 5 km from the city of Gyumri on the Khars crossroads.Total area - 3500 m2Commercial area - 660 m2Call for more details (only Viber)",Dec-12-2022_20-39,Not available,Not available,Other,Separate from the Courtyard,,,,,https://list.am/en/item/18712217,,Stone
