Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links,Service Lines,Condition,Facilities
House,Stone,633 sq.m.,3,8+,3+,By agreement,3 or more spots,Designer Renovation,,8+,Yes,Yes,Not included,By Agreement,Lorri › Vanadzor,"600,000 ֏ monthly",AMD,"Built after the earthquake, walled, has a monolithic basement, 3 bathrooms, 3 kitchens, a playroom, 6 bedrooms - all rooms have parquet floors, a built-in garage for 2 cars, a shed, wooden doors, living room, 3 balconies, windows with bars, entrance doors (3 units), there is a heating system and there is constant water.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/18091818,,,
House,Stone,300 sq.m.,2,4,1,,,Major Renovation,120 sq.m.,,,,,,"Forest Street, Stepanavan","20,000 ֏ daily",AMD,"A private house is for daily rent in Gyulagarak with all communal facilities. It is completely renovated ահ furnished with modern furniture. By the way, the house is very close to Dendropark. For more information, call the mentioned phone number.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17727668,,,
Country House,Stone,150 sq.m.,2,7,2,,,Euro Renovation,2200 sq.m.,,,,,,Lorri › Dsegh,"6,000 ֏ daily",AMD,"Guest house in Dsegh. Affordable and quality rest, we provide a car if desired... Dsex DseghTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17845283,,,
House,Stone,100 sq.m.,1,3,2,,,Major Renovation,100 sq.m.,7,Yes,No,Included,Without prepayment,"Կամոյի փողոց 46, Ստեփանավան","18,000 ֏ daily",AMD,"Located in the city of Stepanavan at Kamoi 58, Hnameni Guest House consists of two rooms. Each room has a separate entrance and a separate bathroom.Therefore, you can reserve a separate room /half of the house with a separate entrance/ or the whole house.First:A family room can host up to 4 adults and one child(There is one double bed, two single beds and one sofa. Total 55 square meters.The room has a kitchen (kitchen utensils, refrigerator, kettle, etc.), a separate bathroom, two rooms, one of which is a corridor.The room is also suitable for people with disabilities and the elderly (wheel access)It is possible to make a booking. ComCost: 25,000 per dayIt is possible to order breakfast, lunch or dinner.There is a barbecue, a small yard with a table and chairs.There is high speed internet WiFi throughout the houseThe pictures in this issue are pictures #1 - 14The other number has a separate entrance.2 single beds (moving closer and further away), small sofa.There is a kettle. There is a separate bathroom.Price: Starting from AMD 18,000 / dayIt is possible to make a booking. ComIt is possible to order breakfast, lunch or dinner.There is a barbecue, a small yard with a table and chairsThere is high speed internet WiFi throughout the houseThe pictures in this issue are pictures #15-23The cost of reserving the whole house starts from AMD 40,000Location:41°00'20.6""N 44°23'46.1""Ehttps:///maps/DgD5CqbZNRB5fVK36The distance1. 100 meters from the nearest store2. 1 km from Majori Dzor cave3. Nearest Post Office: 500m4. 1 km from the city center5:00 6 km from Arboretum7. 3 km from the Russian Church in Amraksit8. 4 km from Lori Berd CastleLong-term rental with flexible pricing policy is possibleWE HAVE ANOTHER GUESTHOUSE SEE MY OTHER ADSGuest house hotel in Stepanavan, guest house 8 km from Arboretum Arboretum, 5 km from Lori Berd CastleTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17845447,,,
House,Stone,95 sq.m.,1,1,1,,,Major Renovation,3000 sq.m.,5,Yes,Yes,Included,Without prepayment,Lorri › Stepanavan,"25,000 ֏ daily",AMD,"Located 5 km from Stepanavan, at the beginning of Bovadzor village, Hnameni Bovadzor Guest House / Hotel can host a maximum of 4 adults and one child. It has a completely separate entrance, a yard, there is a kitchen and a bathroom in the house.LONG-TERM RENTAL IS POSSIBLE(There is one double bed, two single beds and one sofa. Total 80 square meters.The house has a kitchen (kitchen utensils, refrigerator, heater, kettle, etc.), separate bathroomCost: 25,000 AMD per day - at least 2 days in case of stay. In the case of a one-day stay, the price is AMD 28,000There is an opportunity to order country dishes, soups, etc. (breakfast, lunch or dinner)There is a barbecue, a spacious yard, a table with chairs, a fireplace. There is a sauna for an additional fee.The house has a view of the Bazumi mountains.Internet WiFi is available throughout the houseVIDEO:Hnameni Bovadzor Hotel Lodge Additional pictures:Hnameni Bovadzor on Facebook pageLocation:41°02'15.0""N 44°24'01.4""Ehttps:///maps/rXmCgX4UTuC6qbVc8THE DISTANCE1. 100 meters from the nearest store2. 5 km from Stepanavan city3. 5 km from Dorbant Monastery4. 400m from Urut river5:00 9 km from Arboretum7. 7 km from the Russian Church of Amraksit8. From Lori Berd Castle - 5 km by car, 3 km on foot9. 6 km from the Russian Church of Privolnoye village10. Sunrise valley: 29 km11. Odzuni Monastery: 35 kmWE HAVE ANOTHER GUESTHOUSE SEE MY OTHER ADSGuest house guest house hotel in Stepanavan near Arboretum Arboretum near Lori Berd CastleTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17845877,,,
House,Stone,120 sq.m.,2,5,1,Available,Not available,Cosmetic Renovation,1000 sq.m.,2,Yes,Yes,Included,By Agreement,"Pushkin Street, Stepanavan","25,000 ֏ daily",AMD,"The whole second floor of the guest house is for rent in Gargar village of Stepanavan region, it has 4 bedrooms, 1 living room, a kitchen, a bathroom, two big and small balconies. 3 km away from the guest house is the Dendropark Botanical Garden, with its unique plant species and wonderful deer. The village has beautiful sights. Kindergarten, through which the river flows, artificial lakes, where there are large and comfortable pavilions. St. Hovhannes Church operates in the village. Enjoy your vacation in the lap of Lori nature. The house also has UNLIMITED HIGH SPEED INTERNET (WiFi) The daily fee is 25,000 drams. The house is located in Gargar village of Lori region, 10 km away from Stepanavan, and 3 km from the arboretum.Payment is possible from the mentioned options in a convenient way for you: Cash, card transfer, Idram, Easy Pay, TelCell.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/15646346,,,
House,Stone,110 sq.m.,2,3,1,Available,Not available,Cosmetic Renovation,,2,Yes,Yes,Included,By Agreement,"Pushkin Street, Stepanavan","25,000 ֏ daily",AMD,"The whole guest house is for rent in Gargar village of Stepanavan region, it has 3 bedrooms, 1 living room, kitchen, bathroom, balcony. 3 km away from the guest house is the Dendropark Botanical Garden, with its unique plant species and wonderful deer. The village has beautiful sights. Kindergarten, through which the river flows, artificial lakes, where there are large and comfortable pavilions. St. Hovhannes Church operates in the village. Enjoy your vacation in the lap of Lori nature. The house also has an ""UNLIMITED HIGH SPEED INTERNET (WiFi) "" TV. The daily fee is 25,000 drams.Payment is possible from the mentioned options in a convenient way for you: Cash, card transfer, Idram, Easy Pay, TelCell.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/11875115,,,
Country House,Stone,110 sq.m.,2,3,1,Available,Not available,Cosmetic Renovation,,2,Yes,Yes,Included,By Agreement,"Pushkin Street, Stepanavan","25,000 ֏ daily",AMD,"The whole guest house is for rent in Gargar village of Stepanavan region, it has 3 bedrooms, 1 living room, a kitchen, a bathroom, a balcony. 3 km away from the guest house is the Dendropark Botanical Garden, with its unique plant species and wonderful deer. The village has beautiful sights. Kindergarten, through which the river flows, artificial lakes, where there are large and comfortable pavilions. St. Hovhannes Church operates in the village. Enjoy your vacation in the lap of Lori nature. The house also has UNLIMITED HIGH SPEED INTERNET (WiFi) The daily fee is 25,000 drams.Payment is possible from the mentioned options in a convenient way for you: Cash, card transfer, Idram, Easy Pay, TelCell.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/11873924,,,
House,Stone,200 sq.m.,1,4,1,,,Euro Renovation,300 sq.m.,,,,,,Lorri › Stepanavan,"30,000 ֏ daily",AMD,"Հյուրատուն 《Կապույտ տուն》օրավարձով կապիտալ վերանորոգված, բակում կա նաև տաղավար։Կարող է տրվել նաև երկարաժամկետ։Համեցեք լոռվա չքնաղ բնություն։Сдается дом в аренду ежедневно также можно на длительный срок, в доме капитальный ремонт, во дворе есть бесетка всеми удобствами. Дом находится в центре Степанавана. Добро пожаловать.",Nov-24-2022_23-03,,,https://list.am/en/item/16306561,,,
House,Stone,200 sq.m.,1,3,1,,,Euro Renovation,100 sq.m.,,,,,,Lorri › Stepanavan,"150,000 ֏ monthly",AMD,"Euro-renovated private house in the city center, with all amenities, also has a pavilion in the yardTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/18296279,,,
House,Stone,90 sq.m.,2,2,2,Available,1 spot,Cosmetic Renovation,120 sq.m.,8+,Yes,Yes,Not included,2 weeks,"Surb Nshan street, Stepanavan","80,000 ֏ daily",AMD,"Сдаю 2 этаж собственного дома в Степанаване со всеми удобствами.В доме З комнаты. Газ, постоянная вода, Wi-fi, чистая постель, вся необходимая посуда. Находится в прекрасном для отдыха месте.",Nov-24-2022_23-03,,,https://list.am/en/item/17811634,,,
House,Stone,70 sq.m.,2,2,2,,,Cosmetic Renovation,120 sq.m.,4,Yes,Yes,Not included,By Agreement,"Surb Nshan street, Stepanavan","70,000 ֏ monthly",AMD,"Сдаю 1 этаж собственного дома в Степанаване со всеми удобствами. Газ, постоянная вода, Wi-fi, чистая постель, вся необходимая посуда. Нахрдится в прекрасном для отдыха месте.",Nov-24-2022_23-03,,,https://list.am/en/item/17811635,,,
House,Stone,60 sq.m.,2,2,2,,,Euro Renovation,,4,Yes,Yes,Included,By Agreement,"Sankt Peterburg street, Vanadzor","6,000 ֏ daily",AMD,"The stone house is for daily rent right on the river bank, well furnished, provided with all utilities), has free parking and free WiFi. If you have a barbecue, there is a barbecue and a kitchen.The house is located at 2 Saint Petersburg, Vanadzor, Lori region.The price for one room is 6000 AMD / daily rent)Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/14594289,,,
House,Stone,60 sq.m.,1,2,1,,,Major Renovation,,6,Yes,Yes,Included,By Agreement,"Sankt Peterburg street, Vanadzor","12,000 ֏ daily",AMD,"The stone house is for daily rent right on the river bank, well furnished, provided with all the communal facilities (hot water, cold water, heating), has free parking and free WiFi. If you want to organize a barbecue, there is a barbecue and a kitchen.The private house is located at 2 St. Petersburg, Vanadzor, Lori region.The price for one room is 6000 AMD (daily rent), and for two room - 12000 AMD (daily rent)Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/14533895,,,
House,Stone,100 sq.m.,1,3,1,,,Major Renovation,,6,Yes,Yes,Included,By Agreement,"Sankt Peterburg street, Vanadzor","18,000 ֏ daily",AMD,"The stone apartment for daily rent is located right on the river bank, well furnished. It is provided with all the communal amenities (hot water, cold water, heating), has free parking and free WiFi. In case of organizing a barbecue, there is a barbecue and a kitchen. The apartment is located at 2 Saint Petersburg, Vanadzor, Lori region.The price for a three-room cottage is 18,000 AMD (daily rent), for a one-room cottage is 7,000 AMD (daily rent)Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/14593900,,,
House,Stone,400 sq.m.,2,5,1,,,Cosmetic Renovation,2500 sq.m.,,,,,,Lorri › Vanadzor,"150,000 ֏ monthly",AMD,"Сдам дом со всеми комуникациями, в хорошые руки. Сад 25 сот с плодовимы деревями.",Nov-24-2022_23-03,,,https://list.am/en/item/18358691,,,
House,Stone,100 sq.m.,2,4,2,Available,2 spots,Major Renovation,,8+,Yes,Negotiable,Not included,By Agreement,Lorri › Vanadzor,"235,000 ֏ monthly",AMD,The house is provided with all communal and household amenities.Code LV001Translated from Armenian,Nov-24-2022_23-03,,,https://list.am/en/item/13994196,,,
House,Stone,100 sq.m.,1,4,1,Available,Not available,Cosmetic Renovation,600 sq.m.,4,Yes,No,Included,Without prepayment,Lorri › Tumanyan,"15,000 ֏ daily",AMD,"Օրավարձով է տրվում ամառանոց Լոռու մարզի Թումանյան քաղաքում․Շատ գեղեցիկ սարերի տեսարան, մաքուր օդ։️ 4 սենյակ️ 1սանհանգույց️ 100 քմՎայելեք Ձեր խաղաղ հանգիստը լեռնային գեղեցիկ մթնոլորտում, Գտնվում է Երևանի կենտրոնից 150 կմ հեռավորության վրա, Վանաձորից 30 կմ։Նախատեսված է մինչև 10 մեծահասակի և 1-2 փոքրահասակի համար։Նոր վերանորոգված, շուրջօրյա տաք և սառը ջուր, առկա է՝ սառնարան, լվացքի մեքենա, թեյնիկ, սրճեփ, սպիտակեղեն, սպասք։ Հանգստի զոնա բաց պատշգամբ 20 քմ, խորոված պատրաստելու հարմարություններ, ճոճվող կամուրջ։2 անձը 15.000 դր.4 անձը 20.000 դր.6 անձը 30.000 դր.Օրավարձի գինը կախված է վարձակալած օրերի քանակից և անձանց քանակից, սեզոնից։ Մոտակայքում են գտնվում Դսեղը, Ալավերդի քաղաքը, Քոբայրի վանքը, Սանահինը, Օձունը, Աղթալայի վանքը։Լոռի ամառանոց#Lori amaranocСдается посуточно летний дом в городе Туманян Лорийской области.Очень красивый вид на горы, свежий воздух.️ 4 комнаты️ 1 санузел️ 100 квадратных метровНаслаждайтесь спокойным отдыхом в красивой горной атмосфере, расположенной в 150 км от центра Еревана, в 30 км от Ванадзора.Рассчитан на 10 взрослых и 1-2 детей.Новый ремонт, круглосуточно горячая и холодная вода, в наличии: Холодильник, стиральная машина, чайник, кофеварка, постельное белье, посуда. Зона отдыха, открытая терраса 20 кв. М, мангал, разводной мостик.2 человека 15 000 др.4 человека 20 000 др.6 человек 30 000 др.Цена посуточной аренды зависит от количества арендуемых дней и количества человек, сезона.",Nov-24-2022_23-03,,,https://list.am/en/item/18275153,,,
House,Cassette,60 sq.m.,1,3,1,,,Old Renovation,100 sq.m.,,,,,,"Sankt Peterburg street 3, Vanadzor","35,000 ֏ monthly",AMD,"Բնակելի, տնակներից հավաքված տուն, գազաֆիկացված, մշտական ջուր, լույս։Գույքը՝ սառնարան, լվացքի մեքենա, անհրաժեշտ կահույք, հեռուստացույց և այլն։",Nov-24-2022_23-03,,,https://list.am/en/item/18259554,,,
Country House,Wooden,1000 sq.m.,1,6,2,,,Old Renovation,500 sq.m.,,,,,,Lorri › Dsegh,"15,000 ֏ daily",AMD,"The pavilion is located in Lori region, in the village of Dsegh, right next to Hovhannes Tumanyan's house-museum, bisetka ․ All the amenities for your rest are created.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17958172,,,
House,Stone,1000 sq.m.,1,2,2,,,Old Renovation,600 sq.m.,,,,,,Lorri › Dsegh,"15,000 ֏ daily",AMD,"A pavilion is available for rent, there are all facilities for your stay: The price shown on the bisetka is the price of the pavilionTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17958124,,,
Townhouse,Stone,30 sq.m.,1,1,1,,,Designer Renovation,30 sq.m.,,,,,,Lorri › Tashir,"20,000 ֏ daily",AMD,Daily rent Hostel for 8-10 people overnight and entertainment room. There are also 2 types of Russian baths in the areaTranslated from Armenian,Nov-24-2022_23-03,,,https://list.am/en/item/18287003,,,
House,Stone,80 sq.m.,2,2,1,,,Cosmetic Renovation,40 sq.m.,4,Yes,Yes,Included,By Agreement,"Улица Мовсеса Хоренаци 5, Степанаван","4,000 ֏ daily",AMD,"4-5 beds, Wi-Fi, refrigerator, hot and cold water, bathroom, dishes, linen, yard, parking, barbecue, located 14 km from the Arboretum, there is a supermarket directly in front of the house, located between the city park and Alea.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17891496,,,
House,Stone,120 sq.m.,2,4,2,,,Major Renovation,500 sq.m.,,,,,,"Улица Максима Горького 56, Степанаван",100 ֏ daily,AMD,"Сдается в аренду жилой дом с посуточной и ежемесячной арендной платой. Дом находится в городе Степанаване, рядом с лесом. Капитально отремонтирован, имеется газовая система отопления.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/18357575,,,
House,Stone,100 sq.m.,1,4,1,,,Cosmetic Renovation,1000 sq.m.,,,,,,Lorri › Stepanavan,"3,500 ֏ daily",AMD,"Private house is for daily rent in Vardablur village, Lori regionThe house is located near the lakes of Vardablu.The house is 3 km from Dendropark.Only 3500 AMD per person.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17719047,,,
Country House,Bricks,153 sq.m.,1,3,1,Available,Not available,Major Renovation,600 sq.m.,7,Yes,No,By Agreement,By Agreement,"Улица Чайковского 24, Степанаван","80,000 ֏ daily",AMD,"The mansion has all the conditions to organize a full and comfortable vacation for every guest. We offer;Beautiful, newly built, with all utilities.The house has 3 bedrooms, 1 spacious and bright living room, fully equipped kitchen.It is provided with constant hot and cold water, electrical equipment.The house has round-the-clock water supply. BAXI system installed, Wi-Fi goodMaximum capacity is 7 people.Renting a private house with a family is only 80,000 AMD per month (2,500,000 AMD per month)There is a park nearby. Close to shops, banks.Quite affordable compared to hotels.We look forward to welcoming you to Stepanavan.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17472755,,,
House,Stone,180 sq.m.,2,4,2,,,Euro Renovation,,,,,,,"Forest Street, Stepanavan","50,000 ֏ daily",AMD,"In Gyulagarak, 2 km away from Dendropark Botanical Garden, a summer house with all communal amenities is for daily rent. The house has 3 bedrooms, a large living room, a kitchen, a bathroom, 2 bathrooms, a spacious yard with a summer kitchen (hot water is available) and a large garden. For 15 people. Up to 10 people - 50,000 AMDGyulagarak, dendropark, Гюгларак, Gyulagarak, house for rent, house for daily rent, hyuratun Gyulagarakum, guest house in Gyulagarak, Dendropark resort in Stepanavan, apartments for daily rent.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17706316,,,
House,Stone,200 sq.m.,2,8+,2,,,Cosmetic Renovation,,,,,,,Lorri › Vanadzor,"150,000 ֏ monthly",AMD,"Տունը գտնվում է քաղաքի ծայրամասում, կենտրոնից 15 րոպե հեռավորություն ։Գինը սակարկելի: Տրվում է նաև օրավարձով ։Ջեռուցումը ` Էլեկտրական: Կա նաև բուխարի առաջին հարկում ։Առկա են գազ, ջուր, Wi fi ։Ունի հողատարածք և ավտոտնակ:___Дом расположен на окраине города, в 15 минутах от центра.Цена договорная. Также сдаётся посуточно.Отопление: Электрическое. Также на первом этаже есть камин.Газ, вода, Wi-Fi есть.Есть земельный участок и гараж",Nov-24-2022_23-03,,,https://list.am/en/item/18356215,,,
House,Stone,100 sq.m.,1,4,1,,,Major Renovation,200 sq.m.,,,,,,"Եղիշե Չարենցի փողոց 51, Ստեփանավան","25,000 ֏ daily",AMD,A private house for daily rent in Lori Mari c. Near the Arboretum in Gulagarak. It has all the facilities to organize a family vacation.Translated from Armenian,Nov-24-2022_23-03,,,https://list.am/en/item/15975754,,,
Country House,Wooden,32 sq.m.,2,3,1,By agreement,2 spots,Old Renovation,555 sq.m.,7,Yes,Yes,By Agreement,Without prepayment,Lorri › Vanadzor,"90,000 ֏ monthly",AMD,"Сдаётся дача в ущелье Ванадзора, рядом с рекой Ванадзор, 7 км от центра города Ванадзора.Домик находится на ровном, огороженном участке, из четырёх сторон открываются красивые горные пейзажи.Нуждается в косметическом ремонте поскольку давно не кто не жил (ремонт могу сделать я, можете вы, можем вместе, как договоримся)Транспорт не ходит туда, надо иметь свою машину или на такси.Подходит тем кто с природой на ты, кто хочет уединится, кому нужна тишина для сердца и души.Удобно с детьми поскольку територия огорожена и ровная, удобно для посиделок, перед домом есть навес.При вашем желании можно и с животными.Цена написанна за месяц в летний период, если на круглый год то цена будет гораздо ниже.По всем интересующим вопросом, про что не написал, звоним, не стесняемся.",Nov-24-2022_23-03,,,https://list.am/en/item/17915328,,,
Country House,Stone,200 sq.m.,2,4,1,,,Euro Renovation,500 sq.m.,,,,,,Lorri › Dsegh,"35,000 ֏ daily",AMD,On the table for a dayTranslated from Armenian,Nov-24-2022_23-03,,,https://list.am/en/item/16457962,,,
House,Stone,100 sq.m.,1,5,2,,,Major Renovation,1000 sq.m.,,,,,,Lorri › Gyulagarak,"45,000 ֏ daily",AMD,"A newly renovated guest house is for rent in Stepanavan, near Dendropark, in Gyulagarak.It is a wonderful place to spend unforgettable time with friends and families.The house has:4 bedroomskitchen-living roomspacious balcony with a fairy-tale view2 bathroomsgarage for 2 carsLarge fenced yard with barbecueThe guest house is designed for 8 people. There is a crib in one room.Stepanavan, private house, Dendropark, Gyulagarak, big houseTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17845979,,,
House,Stone,300 sq.m.,2,5,2,Available,2 spots,Euro Renovation,600 sq.m.,8+,Yes,No,Not included,2 weeks,"Անտառային փողոց 2-րդ նրբանցք 3, Ստեփանավան","20,000 ֏ daily",AMD,"A two-story private house is for daily rent on Antarai street in Stepanavan city. The private house is located right on the threshold of the forest, it is provided with all utilities, constant gas, hot and cold water, Wifi. The house is furnished, there are dishes and necessary appliances in the kitchen. There is also a parking space, a balcony, a garden.Come Stepanavan:)The price is from 20,000 to 40,000 AMD.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17788045,,,
House,Stone,800 sq.m.,2,3,2,,,Euro Renovation,650 sq.m.,,,,,,"2-й тупик Улицы Маяковского 15, Степанаван","15,000 ֏ daily",AMD,"Сдается посуточно частный дом со всемы удобствами. Цена договорная. Дом находится в тихом, уютном месте, во дворе обустроена детская площадка с домиком, есть тандыр, мангал, мягкий уголок, где можно прекрасно проводить прекрасное время в семейном и дружеском кругу. С ночовкой до 18 человек Цена от 15000драм смотря сколько человек и на сколько дней в доме 5 комнат, 2 гостевых комнат, 3 сенузела здаетсья и на длительный срок",Nov-24-2022_23-03,,,https://list.am/en/item/16255788,,,
House,Stone,160 sq.m.,1,8+,3+,,,Major Renovation,900 sq.m.,,,,,,Lorri › Stepanavan,"10,000 ֏ daily",AMD,"The house is newly built.It is located near the forest (next to Alea recreation area)It has communal facilities, wi-fi, pavilion (bisetka)The area is fenced.Call for detailed questions.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17829135,,,
House,Stone,361 sq.m.,2,3,1,,,Cosmetic Renovation,400 sq.m.,,,,,,"Խնձորուտ 5-րդ փողոց 1-ին փակուղի 13, Վանաձոր","30,000 ֏ daily",AMD,"Сдается частный дом с прекрасным видом.Дом расположен в г. Ванадзоре. С прекрасным видом на высокие горы Лорийской области.Гостевой дом полностью отдельный /1 этажный/. Имеет отдельный вход, огороженную территорию, отдельный большой двор, сад с плодововитами деревьями.Дом сдается целиком.4-комнатыИнтернет: Вай-фай,Smart TV,постоянная горячая и холодная вода,индивидуальная система отопления (baxi),тарелки,постельные принадлежности.Закрытые и открытые балконы вместимостью до 20 человек.Дом имеет отдельный вход: 3 спальни, гостиная, санузел, телевизоры, холодильник, диван.2 балкона.Цена начинается от 40 000 драм/суткиВозможна аренда на длительный срок.Вход после 12:00 /в любое время/Выезд до 12.00Проведите свой отпуск в прекрасном Лори",Nov-24-2022_23-03,,,https://list.am/en/item/17936006,,,
House,Stone,100 sq.m.,1,3,1,,,Major Renovation,,7,Yes,Yes,Not included,1 month,"Telman Street 22, Stepanavan","15,000 ֏ daily",AMD,"A house for daily rent near the center of Stepanavan, in a wonderful and quiet place, with a view of the valley, the beautiful Dzoraget, availableall facilities for a comfortable vacation, located very close to the city center, up to 8 people can enjoy the vacation, the daily rent will be determined from that.15,000 for booking 3 or more days. For sale on a long term basis.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/15761646,,,
House,Stone,70 sq.m.,2,2,1,Not available,Not available,Major Renovation,250 sq.m.,6,Yes,No,By Agreement,By Agreement,Lorri › Debet,"100,000 ֏ monthly",AMD,"The house is for rent, 100,000 AMD per month for long-term residence.Daily wage: 10,000 AMD per day, minimum two daysThe house is newly renovated.The kitchen and bathroom are newis built and furnished.Constant hot and cold water.The house has a garden, yard, recreation area, parking space.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/18320193,,,
House,Stone,30 sq.m.,1,1,1,,,Euro Renovation,50 sq.m.,,,,,,"Sos Sargsyan Street 1, Stepanavan","20,000 ֏ daily",AMD,"Private house for daily rent in the forest, with all communal facilities.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17805323,,,
House,Stone,70 sq.m.,1,2,1,Available,Not available,Cosmetic Renovation,800 sq.m.,6,Yes,Yes,Included,By Agreement,Lorri › Alaverdi,"10,000 ֏ daily",AMD,"Ahnidzor village, Alaverdi region. Spend your vacation in the wonderful village of Ahnidzor in Lori. The great writer Hrant Matosyan was born in this village. The house is very close to the forest; The bathroom is renovated.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17748504,,,
House,Stone,120 sq.m.,1,3,1,,,Major Renovation,2000 sq.m.,,,,,,"Forest Street, Stepanavan","20,000 ֏ daily",AMD,"The house is located in the picturesque village of Gargar, Lori region, which is famous for its healthy nature. The house is far from the noise, surrounded by deer and other trees.The house is provided with all the communal and household amenities.The house is located near the famous Dendropark (Sochut)In May-June, the pollination of pines begins. Peaceful and pleasant rest is provided.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17773878,,,
Country House,Stone,700 sq.m.,1,5,3+,,,Designer Renovation,,,,,,,Lorri › Dsegh,"40,000 ֏ daily",AMD,"The guest house is ""An Lori gorge"". Price on working days up to 6 people - 40,000 AMD, additional + 4,000 AMD for each person. And on non-working days 60,000 (Saturday + Sunday - 100,000 AMD) If you wish, you can order food.It is located in Dsegh, Hovhannes Tumanyan's birthplace. It is provided with all the necessary conditions for rest.For details, please write a letter or call the indicated phone number.Հյուրատուն Դսեղ գյուղում  Hyuratun Dseghum  Гостевой дом ... Dsegh, Dsex, House, Hyuratun, Vanadzor, Վանաձոր, Լոռի, Lori, Vanadzor hyuratunTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/14201996,,,
Country House,Stone,450 sq.m.,1,6,3+,,,Designer Renovation,,,,,,,Lorri › Dsegh,"15,000 ֏ daily",AMD,"Guesthouse ""An Lori Dzor"".The guest house is located in Dsegh, H. 50 m away from Tumanyan's house-museum. It is provided with all the necessary conditions for rest. There is a pavilion, a barbecue, a swimming pool.Price list:On weekdays,Cottage for 2 people - 15․000 AMD (there are 3 cottages)The house for 6 people - 30․000 AMDOn weekends:Cottage for 2 people - 20․000 AMD (there are 3 cottages)The house for 6 people - 40․000 AMDDiscounts will apply for a few days or if you take them all together. For details, please call.Dsegh, Dsex, House, Hyuratun, Guesthouse, B & B, Vanadzor, Lori, Վանաձոր, Լոռի, Vanadzor HyuratunTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/16443366,,,
House,Stone,140 sq.m.,2,5,1,Available,2 spots,Euro Renovation,,8+,Yes,Yes,By Agreement,By Agreement,Lorri › Vanadzor,"35,000 ֏ daily",AMD,"Dream house in Vanadzor.A private house with all communal amenities is for daily rent in the central part of Vanadzor. The guest house can accommodate 10 people at the same time.The price can be changed depending on the number of people կապված related days.Here you can fulfill your dream ceremonies, birthdays, surprise your loved one, have a nice time with the team.WE WORK WITH PREVIOUS PACKAGE.The craziest and kindest ideas will come true with us.Many years later you want to meet your classmates, classmates, you have guests, you do not know where to accommodate them, if there is an idea to gather as a team and have a good time, or you are looking for a place where you can have fun and memorable, it will be available. Us.Dream apartments for daily rentTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/14538716,,,
House,Stone,140 sq.m.,1,3,1,,,Cosmetic Renovation,,7,Yes,No,Not included,By Agreement,Lorri › Tsater,"130,000 ֏ monthly",AMD,"Guest house in Lorva marz is for long-term leaseIn the village of Tsater.The house is located right on the edge of the valley, with a wonderful view of Dsegh and Debed in front. It is surrounded by monasteries and places of interest such as Arevaysagi (Ghachagan) Valley, Hermit Chapel, Horomayr, Tufenkyan, Haghpat, Sanahin, Odzun, Ardvi, Akhtala, Kobayravank, Lori Fortress, Arboretum and others. Guided walks to the indicated destinations are also organized. Horseback riding is also organized upon request.There is a large garden, a wooden pavilion for 40 people with all its facilities, a barbecue and a corner for a campfire.Designed for 6-8 people. All utilities are available.For other details, call the indicated phone number.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17145846,,,
