Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
Country House,Stone,120 sq.m.,2,4,3+,3 or more spots,Major Renovation,100 sq.m.,Tavush › Dilijan,"$1,300 monthly",USD,"Частный дом в аренду, Дом в аренду, Частный дом в аренду в Дилижане, Дом в аренду в ДилижанеՎարձով առանձնատուն, Վարձով տուն, Վարձով առանձնատուն Դիլիջանում",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17832288,,8+,Yes,Yes,Not included,By Agreement
House,Stone,85 sq.m.,1,2,1,Not available,Designer Renovation,270 sq.m.,Tavush › Dilijan,"30,000 ֏ daily",AMD,2 bedroomsLarge living roomkitchenbathroompaviliongreen yardnear the groundRiver bank pavilionbarbecue**8 people**check in 14:00:Check out 12:00:Code zoryTranslated from Armenian,Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17313860,,6,Yes,No,Included,By Agreement
House,Stone,74 sq.m.,1,2,1,Not available,Designer Renovation,150 sq.m.,Tavush › Dilijan,"40,000 ֏ daily",AMD,Զանգահարելիս նշել Alik house...**2 ննջասենյակսանհանգույցհյուրասենյակխոհանոցբակային հատվածմանղալ**7-9 անձ**check in 14:00check out 12:00Կոդ Alik houseTranslated from Armenian,Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17273140,,8+,Yes,No,By Agreement,By Agreement
House,Stone,130 sq.m.,1,5,2,Not available,Euro Renovation,750 sq.m.,"Օրջոնիկիդզե փողոցի 3-րդ նրբանցք, Դիլիջան","400,000 ֏ monthly",AMD,"Տունը գտնվում է շատ հանգիստ թաղամասում, անտառային տարածքից 150 մ. Է հեռու: Տարածքը ամբողջությամբ պարսպապատ է, կան պտղատու ծառեր և նորատունկ եղևնիներ, բակում բացօդյա կարող է կանգնել 3 մեքենա: Կա բուխարի իր տաղավարով ՛ 25 ամրդու համար, դրսի զուգարան: Տանը կից օժանդակ սենյակ: Տան տակ կա նկուղ, չոր: Տունը շատ չոր է, խոնավության հոտ չի գալիս: Ամբողջությամբ կահավորված է. Խոհանոցը - տաք սառը ջուր, սառնարան, սպասք, հյուրասենյակ - բազմոց, մեծ սեղան 3.5 մ. , հեռուստացույց, պահարան, 3 ննջասենյակ - մահճակալներ, օրորոց: Առանձին բաղնիք ու զուգարան, միջանցքում լվացքի մեքենա, ապահոված է պահուստային ջրի բաքով 1500 լ.: Ապահոված է ջեռուցման համակարգով: Կա internet գիծ: Մնացած հարցերը հեռախոսով:Дом расположен в очень тихом районе, в 150 м. От леса. Территория полностью огорожена, есть фруктовые деревья и недавно посаженные ели, во дворе можно поставить 3 машины, специального гаража нету. Есть камин с павильоном на 25 человек, туалет во дворе. Подсобное помещение пристроено к дому. Под домом есть сухой подвал. В доме очень сухо, сыростью не пахнет. Он полностью меблирован. Кухня - горячая и холодная вода, холодильник, посуда, гостиная - диван, большой стол 3,5 м. , телевизор, шкаф, 3 спальни - кровати, детская кроватка. Ванная и туалет раздельные, стиральная машина в коридоре, оборудован запасной бак для воды на 1500 л. Оборудован системой отопления. Есть интернет-линия. Остальные вопросы по телефону.",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/18500866,,7,Yes,No,Not included,3 months
House,Stone,130 sq.m.,2,3,1,1 spot,Cosmetic Renovation,2000 sq.m.,Tavush › Dilijan,"100,000 ֏ monthly",AMD,"Сдаются 2 комнаты из трехкомнатного собственного дома с большим балконом и огромным садом. 1 из дух спален на выбор и большой зал с мягкой мебелью, обеденым столом, компьютерным столиком с комьютером, огромным смарт телевизором и большим сервандом. Дом с хозяйкой, которая занимается уборкой, стиркой и кухней по желанию гостей за дополнительную оплату. Ванная комната оборудована душевым отделом, рукомойником и унитазом. В ванной комнате также установлена стиральная машина. Постоянная горячая и холодная вода. Имеется предбанник. Кухня оборудована 4-х камфорной газо-электрической плитой с духовкой. Большой, вместимый холодильник. Рабочий столик. Мойка для мытья и сушки посуды. Полный комплект посуды и утвари. Комнаты могут обогреваться газом и электричеством. Имеется безпроводной интернет (WiFi) Двери дома выходят на широкий, длинный балкон с прекрасным видом на сад и горы. Балкон оснашен двумя выходами: В цветник и нижний двор, и в верхний сад с множеством плодовых деревьев и кустов смородины, ежевики и малины. С улицы имеется вьезд во двор.",Dec-12-2022_21-46,Available,,"Fridge, coffee maker, washing machine, water Heater, iron, hair dryer",,https://list.am/en/item/18575244,"Television, internet, barbecue oven",2,Yes,No,Not included,2 months
House,Stone,100 sq.m.,1,2,1,,Designer Renovation,100 sq.m.,Tavush › Dilijan,"400,000 ֏ monthly",AMD,"Bisetta pendulum bed for sale in different shapes, I will makeTranslated from Armenian",Dec-12-2022_21-46,,,,,https://list.am/en/item/16486695,,,,,,
Country House,Stone,1200 sq.m.,2,5,2,3 or more spots,Euro Renovation,,Tavush › Ijevan,"90,000 ֏ daily",AMD,"Daily rent and short-term rentpermanent hot-cold water supply is provided,gas supply, individual bax heatingsystem, windows and doors are Europeanproduction, 2 bathrooms, swimming pool, sauna,pavilion, barbecue, 4 bedrooms, open balconies,washing machine, refrigerator, TV, cable,internet, dishes, bedding, parking,garage, fresh air, beautiful view. If desiredWe can provide cars for 5-12 people for an additional fee.Not less than 2 days on Fridays, Saturdays and Sundays.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/12875509,,8+,Yes,Yes,Included,2 weeks
House,Stone,50 sq.m.,2,3,1,1 spot,Major Renovation,300 sq.m.,"Orjonikidze Street, Dilijan station","130,000 ֏ monthly",AMD,"The first floor of a private house is for rent. The house has been completely renovated, it is equipped with all utilities, there is necessary property and equipment. Bedding and dishes are available. The house has a beautiful yard and a parking space.Translated from Armenian",Dec-12-2022_21-46,Available,,"Fridge, stove, washing machine",,https://list.am/en/item/18546468,Television,3,Yes,Yes,Not included,1 month
House,Stone,80 sq.m.,2,2,1,Not available,Euro Renovation,140 sq.m.,Tavush › Dilijan,"300,000 ֏ monthly",AMD,"CODE DJ111Agent:Mila ---Address: Dilijan, Shahumyan street.A 2-room renovated two-story detached house for rent in Dilijan, Yeghevniner Street.==== (2 rooms, 80 sq/m) ====The house has all the necessary utilities:• Permanent hot and cold water,• Gas stove, gas oven,• Baxi heating system,• TV, Wi-Fi,• Refrigerator, washing machine, microwave oven,• Iron door, open balcony.On the 1st floor: Bathroom, kitchen, corridor,On the 2nd floor: Living room, bedroom, open balcony.==== Monthly salary: 300.000- 400.000 amd ====Dear Customer, you can also contact us:Viber, WhatsApp.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/18484562,,3,Yes,No,Not included,By Agreement
Country House,Stone,800 sq.m.,3,6,3+,1 spot,Major Renovation,,Tavush › Dilijan,"150,000 ֏ daily",AMD,Four Seasons Guest Dilijan house:Spend your vacationComfortable three-storey private house in DilijanTo enjoy your complete rest.The house can accommodate 10-12 people* Sauna* Swimming pool (inside or outside the house)* 4 - bedroom* 3 - bathroom* 2 - Living room where there is a fireplace* Summer kitchen with all its amenities* WI-FI-internetGreat for spending fun with family or friends.The daily fee varies depending on the number of daysCode 7860Translated from Armenian,Dec-12-2022_21-46,Available,,,,https://list.am/en/item/14165867,,8+,Yes,No,By Agreement,By Agreement
House,Stone,1000 sq.m.,2,5,3+,Not available,Designer Renovation,,"Kalinini street, Dilijan station","130,000 ֏ daily",AMD,"Luxury Villa Dilijanum:Spend your perfect vacation in DilijanLuxurious house for daily rent with a wonderful viewRent / daily or long-term /The house has all the communal facilities:• spacious living room• kitchen / refrigerator, washing machine /• 4 bathrooms and shower room,• 4 spacious bedrooms• Spacious balcony• heating system, constant hot: Cold water• Internet / Wi-Fi /• Cable TV• pavilion, barbecue,• Large parking lotThe house is suitable for up to 12-16 people to spend the weekend.One day rent costs 150,000 AMD.In case of long-term lease, the price is negotiable.To make a reservation and For more information call the indicated phone number.Description:• 1) 4 bedrooms with double size • beds (3x180x200, 1x200x200) + bed linen• 2) 1 extra bed (armchair bed) + bed linen• 3) 3 bathrooms with pavilion and sink + towels• 4) Bathrooms (hygienic shower) and sink• 5) Fully equipped kitchen with first-class modern appliances (Bosch) - dishwasher, gas / electric stove, stove, extractor fireplace, refrigerator with separate refrigerator, table for 8 people, best quality kitchen utensils (juicer, kettle, shaker), dishes• 6) Living room: Sofa, TV, table for 12-16 people• 7) Large balcony with fantastic views (table / 4 chairs)• 8) Room for laundry and ironing;Washing machine (Bosch)• 9.) Fireplace in the living room: Large tables• 10) Mattress is provided• 11) ParkingOravardz /// Hangsti goti.Villa /// Dilijan //// shqex.Amaranoc /// Dilijan.Shqex Villa /// dilijan. Guesthouse /// Dilijan.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/14551610,,8+,Yes,No,By Agreement,By Agreement
House,Stone,887 sq.m.,1,3,2,2 spots,Designer Renovation,800 sq.m.,Tavush › Dilijan,"450,000 ֏ monthly",AMD,"Beautiful one-story private house for rent in DilijanThe surface of the house is 87 square meters, the surface of the land is 800 square meters2 bathrooms2 bedroomsprovided with hot and cold waterall conditions for residence are providedround-the-clock security systemoutdoor pavilionfireplaceThe mansion has a spacious and comfortable yard, bright rooms, the furnishing and renovation is very positive, it has a wonderful view of the nature of Dilijan.Code E2001Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/18306183,,5,Yes,No,By Agreement,By Agreement
Country House,Monolith,500 sq.m.,2,4,2,3 or more spots,Designer Renovation,1000 sq.m.,Tavush › Dilijan,"55,000 ֏ daily",AMD,"A luxurious two-story house is for daily rent in Dilijan.Attention... The house is for rent both as a whole and on separate floors.The cost of the 1st floor: AMD 30,000The cost of the 2nd floor: AMD 30,000If you want to rent only the first or second floor and want the other floor to remain empty, then according to your wish, the 1st or second floor will be closed and the daily price for 1 floor will be AMD 30,000.On the 1st floor of the house there is:2 bedroomsInternet: Wi-fi,smart tv,willconstant hot and cold water,central heating (baxi),dishesbedding.On the 1st floor: 1 bedroom, living room, bathroom, wardrobe, TV, refrigerator and sofa.On the 2nd floor: 1 bedroom, living room, bathroom, TV, refrigerator, TV, sofa.If the whole house is rented, it can accommodate up to 10 people overnight.Check in (entrance) – 14:00Check out - 12:00Enjoy your vacation in beautiful Dilijan.Call in advance to reserve.Code AghstevTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17773879,,8+,Yes,No,Included,By Agreement
Country House,Monolith,500 sq.m.,2,4,1,3 or more spots,Designer Renovation,1000 sq.m.,Tavush › Dilijan,"120,000 ֏ daily",AMD,"Super luxurious villa, private house for daily rent in Dilijan.* 3 bedrooms* 2 bathrooms* Dishes* Bedding* Mangal, barbecue bottle* Fireplace* Sauna* Swimming pool* Internet wi-fiThe house can accommodate up to 7-8 people with overnight stay, 12 people without overnight stay.Check in (entrance) – 14:00Check out - 12:00The price depends on the contract, the week, the number of days and the number of persons.Enjoy your vacation in beautiful Dilijan.Code JrhogherTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17773880,,8+,Yes,No,Included,By Agreement
Country House,Monolith,800 sq.m.,2,7,3+,3 or more spots,Designer Renovation,1000 sq.m.,Tavush › Dilijan,"100,000 ֏ daily",AMD,"A luxurious villa, a private house in the center of Dilijan is for daily rent.* 6 bedrooms* 3 bathrooms (on the 1st floor, on the 2nd floor and outside)* 2 fireplaces (on the 1st and 2nd floors)* Bukhari, Mangal (barbecue bottle)* Booth (for up to 30 people)* dishes, bedding* internet wi-fiCheck in (entrance) – 14:00Check out - 12:00The house can accommodate 25-30 people without overnight accommodation.The house can accommodate up to 15-20 people overnight.Call in advance to reserve.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/18412842,,8+,Yes,No,Included,By Agreement
Country House,Monolith,1000 sq.m.,2,4,2,3 or more spots,Designer Renovation,500 sq.m.,Tavush › Dilijan,"55,000 ֏ daily",AMD,"A luxurious two-storey house is for daily rent in Dilijan.Attention ․․․ The house is given both as a whole and on separate floors.The cost of the 1st floor is 30,000 dramsThe cost of the 2nd floor is 30,000 dramsAppendix ․ (the yard is common)If you want to rent only the first or second floor and you want the other floor to be empty, then in your wish, the first or second floor will be just closed and the cost of the day for one floor will be 30,000 AMD.On the 1st floor of the house there is:2 bedroomsInternet: Wi-fi,smart tv,they wantconstant hot and cold water,central heating (baxi),dishes,bedding.1st floor: 1 bedroom, living room, bathroom, kamen, TV, refrigerator and sofa.On the 2nd floor: 1 bedroom, living room, bathroom, TV, refrigerator, TV, sofa.If you rent the whole house, it can accommodate up to 10 people per night.Check in - 14:00:Check out - 12:00:Spend your vacation in beautiful Dilijan.Call in advance to make a reservation.Code AxstevTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17674992,,8+,Yes,No,Included,By Agreement
Country House,Monolith,800 sq.m.,2,4,3+,3 or more spots,Designer Renovation,1500 sq.m.,Tavush › Dilijan,"120,000 ֏ daily",AMD,"A magnificent villa is for daily rent, a private house in Dilijan.* 3 bedrooms* 2 bathrooms* Tableware* Bedding* Barbecue, barbecue bottle* Fireplace* Sauna* Swimming pool* Internet wi-fiThe house can accommodate up to 7-8 people with accommodation, 12 people without accommodation.Check in - 14:00:Check out - 12:00:Price depends on the contract, week, days քանակ number of people.Spend your vacation in beautiful Dilijan.DachaDilijandaily rentprivate houseTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17345648,,8+,Yes,No,Included,By Agreement
Country House,Monolith,1000 sq.m.,2,4,3+,2 spots,Designer Renovation,1500 sq.m.,Tavush › Dilijan,"60,000 ֏ daily",AMD,"Newly built luxurious cabin in Dilijan is for daily rent.* 3 bedrooms (intended for 6-7 people)* 1 bathroom* 1 living room with kitchen* Mangal (barbecue bottle)* WI-FI-internet* parking lot* dishes, beddingCheck in (entrance) – 14:00Check out - 12:00* The price is different on Friday, Saturday, Sunday and non-working days.* Call in advance to book.Code DiliHousTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17675017,,7,Yes,No,Included,By Agreement
Country House,Monolith,1500 sq.m.,2,6,3+,3 or more spots,Designer Renovation,4000 sq.m.,Tavush › Dilijan,"200,000 ֏ daily",AMD,"A villa for daily rent in Dilijan, Gosh village.* 5 bedrooms* 3 bathrooms* Living room with fireplace* Game room* Steam bath (sauna)* Outdoor swimming pool* Outdoor and heated jacuzzi* Pavilion (23-30 persons)* Mangal (barbecue bottle)* Campfire sectionCheck in (entrance) – 14:00Check out - 12:00The house can accommodate 13-15 people with overnight accommodation, 25-30 without overnight accommodation.FRIDAY-SUNDAY price is different.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/18483841,,8+,Yes,No,Included,By Agreement
Country House,Monolith,1500 sq.m.,3,8+,3+,3 or more spots,Designer Renovation,1000 sq.m.,Tavush › Dilijan,"70,000 ֏ daily",AMD,"A luxurious private house is for daily rent in the beginning of Dilijan, after the bends.* 3 floors* 8 bedrooms* 3 bathrooms* 2 booths, each for 25 people (chat room)* dishes, dish washing. Car* bedding* mangal (barbecue bottle)* Internet wi-fi* next to the forest* parking lot* heating (BAXI system)Check in (entrance) – 14:00Check out - 12:00The house can accommodate 18 people with overnight stay, 50 people without overnight stay.* 1st floor (2 bedrooms: Double (4 persons)), kitchen, living room with fireplace (fireplace)* 2nd floor (4 bedrooms, 2 triples, 2 doubles (10 people)), sofa bed* 3rd floor (2 bedrooms, 2 double (4 persons) living room, bathroom, sofa-bedPrice variable depending on number of days and season.Call in advance to reserve.Code GoloviTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/18412646,,8+,Yes,No,Included,By Agreement
Country House,Monolith,2000 sq.m.,2,6,3+,3 or more spots,Designer Renovation,6000 sq.m.,Tavush › Dilijan,"200,000 ֏ daily",AMD,"A villa for daily rent in Dilijan, Gosh village.* 5 bedrooms* 3 bedrooms* 3 bathrooms* Living room with fireplace* Game room* Steam bath (sauna)* Outdoor swimming pool* Outdoor and heated jacuzzi* Pavilion (23-30 persons)* Mangal (barbecue bottle)* Campfire sectionCheck in (entrance) – 14:00Check out - 12:00The house can accommodate 13-15 people with overnight accommodation, 25-30 without overnight accommodation.FRIDAY-SUNDAY price is different.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/18440166,,8+,Yes,Yes,Included,By Agreement
Country House,Monolith,1500 sq.m.,2,4,2,3 or more spots,Designer Renovation,800 sq.m.,Tavush › Dilijan,"120,000 ֏ daily",AMD,"A magnificent villa is for daily rent, a private house in Dilijan.* 3 bedrooms* 2 bathrooms* Tableware* Bedding* Barbecue, barbecue bottle* Fireplace* Sauna* Swimming pool* Internet wi-fiThe house can accommodate up to 7-8 people per night.Check in - 14:00:Check out - 12:00:Price depends on the contract, week, days քանակ number of people.Spend your vacation in beautiful Dilijan.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/16673887,,8+,Yes,No,Included,By Agreement
Country House,Wooden,54 sq.m.,2,3,1,,Major Renovation,1000 sq.m.,"9-я улица, Техут","45,000 ֏ daily",AMD,The cottage is located in Tezut village of Dilijan city in Nature.It is unique with its calm atmosphere and beautiful view.2 bedroomsLiving room:Kitchen with all its amenities.Wi-Fi:Parking:Pavilion (besetka) with its amenities.Write or call for details. The cost depends on the number of peopleWe look forward to seeing youTranslated from Armenian,Dec-12-2022_21-46,,,,,https://list.am/en/item/17902252,,,,,,
Country House,Stone,60 sq.m.,1,3,1,3 or more spots,Major Renovation,200 sq.m.,Tavush › Dilijan,"20,000 ֏ daily",AMD,"A capitally renovated private house is for daily rent in the heart of Haghartsin. Fully furnished, with constant hot and cold water, kitchen and bedding. Has heating system. The guest house is located next to the salt land and has a pavilion right on the river bank.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/16461183,,7,Yes,Yes,By Agreement,By Agreement
House,Stone,80 sq.m.,2,4,3+,1 spot,Euro Renovation,1000 sq.m.,"Կամարինի փողոց, Դիլիջան","380,000 ֏ monthly",AMD,Private house for rent in Dilijan.It is equipped with all utilities.For more information call.Translated from Armenian,Dec-12-2022_21-46,Available,,"Fridge, stove, microwave, washing machine, water Heater, iron, hair dryer",,https://list.am/en/item/18488481,"Television, internet, swimming pool",8+,Negotiable,Negotiable,By Agreement,2 months
Country House,Stone,500 sq.m.,2,7,3+,1 spot,Designer Renovation,1000 sq.m.,Tavush › Dilijan,"100,000 ֏ daily",AMD,"A luxurious villa is for daily rent, a private house in the center of Dilijan.* 6 bedrooms* 3 bathrooms (1st floor, 2nd floor and outside)* 2 fireplaces (on the 1st and 2nd floors)* Fireplace, Barbecue (barbecue bottle)* Pavilion (up to 30 people)* tableware, bedding* wi-fi internetCheck in - 14:00:Check out - 12:00:The house can accommodate 20-30 people without accommodation.The house can accommodate up to 15-18 people per night.Call in advance to make a reservation.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/16877804,,8+,Yes,No,Included,By Agreement
Country House,Monolith,1000 sq.m.,2,5,2,Not available,Designer Renovation,1500 sq.m.,Tavush › Dilijan,"60,000 ֏ daily",AMD,"A newly built magnificent cottage is for daily rent in Dilijan.* 3 bedrooms (for 6-7 people)* 1 bathroom* 1 living room with kitchen* Barbecue (barbecue bottle)* WI-FI-internet* parking* tableware, beddingCheck in - 14:00:Check out - 12:00:Call in advance to make a reservation.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/16676173,,8+,Yes,No,Included,By Agreement
Country House,Stone,1000 sq.m.,3,8+,3+,3 or more spots,Designer Renovation,2000 sq.m.,Tavush › Dilijan,"70,000 ֏ daily",AMD,"A luxurious private house is for daily rent in the beginning of Dilijan, after the bends.* 3 floors* 8 bedrooms* 3 bathrooms* 2 booths, each for 25 people (chat room)* dishes, dish washing. Car* bedding* mangal (barbecue bottle)* Internet wi-fi* next to the forest* parking lot* heating (BAXI system)Check in (entrance) – 14:00Check out - 12:00The house can accommodate 18 people with overnight stay, 30 people without overnight stay.* 1st floor (2 bedrooms: Double (4 persons)), kitchen, living room with fireplace (fireplace)* 2nd floor (4 bedrooms, 2 triples, 2 doubles (10 people)), sofa bed* 3rd floor (2 bedrooms, 2 double (4 persons) living room, bathroom, sofa-bedPrice variable depending on number of days and season.Call in advance to reserve.Code LernayinTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/16877732,,8+,Yes,No,Included,By Agreement
Country House,Monolith,1500 sq.m.,2,6,3+,1 spot,Designer Renovation,1000 sq.m.,Tavush › Dilijan,"150,000 ֏ daily",AMD,"For daily rent is this luxury, classy private house, located in the heart of Dilijan.* 5 bedrooms (each with its own private toilet and bathroom)* Bunk bed available in 1 bedroom* arena, lezhanka* 6 bathrooms* Swimming pool 4x5 1.80 deep (heated)* sauna* Fireplace* Mangal (barbecue bottle)* Dishes, bedding (hygiene accessories)* WI-FI + TV* Up to 30 people can dine inside the house* Up to 50 people in the open-air booth (there is tableware for the number of people)* The house can accommodate up to 13 people with overnight accommodation, without overnight accommodation - 50 people.From Monday to Thursday: 150,000 AMD.From Friday to Sunday: 150,000-170,000 AMD.Check-in: From entry 14:00Check-out: Until exit 12:00Enjoy your vacation in beautiful Dilijan.Call in advance to reserve.Code panoTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/18440184,,8+,Yes,Yes,Included,By Agreement
Country House,Stone,500 sq.m.,2,3,2,3 or more spots,Designer Renovation,2000 sq.m.,Tavush › Dilijan,"80,000 ֏ daily",AMD,"A newly built, magnificent cottage is for daily rent in Dilijan.* 1 living room* 2 bedrooms* 2 bathrooms* spacious yard* children's playroom* seal table* PlayStation:* tableware, bedding* wi-fi, smart tv TV* ParkingCheck in - 14:00:Check out - 12:00:! ATTENTION ․ This price is for working days, Monday-Friday.It can accommodate up to 6 people per night.It is located after the bends of Dilijan, right at the beginning.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/16877766,,8+,Yes,No,Included,By Agreement
Country House,Monolith,500 sq.m.,2,4,2,3 or more spots,Designer Renovation,1000 sq.m.,Tavush › Dilijan,"45,000 ֏ daily",AMD,"A luxury private house, cottage in Dilijan is for daily rent.* 3 bedrooms* bathroom* Internet: Wi-fi* dishes* grill, grill bottle* bedding* Smart TV TV* fireplaceThe house can accommodate 6-8 people overnight.The price is contractually dependent on the week, days and number of persons.Make your stay comfortable in this house.Call in advance to reserve.Thank you for choosing us.Check-in: From 14:00:Check-out: Until 12:00Code NareTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17208664,,7,Yes,No,Included,By Agreement
Country House,Monolith,1000 sq.m.,2,6,3+,3 or more spots,Designer Renovation,4000 sq.m.,Tavush › Dilijan,"200,000 ֏ daily",AMD,"A villa for daily rent in Dilijan, Gosh village.* 5 bedrooms* 3 bathrooms* Living room with fireplace* Game room* Steam bath (sauna)* Outdoor swimming pool* Outdoor and heated jacuzzi* Pavilion (23-30 persons)* Mangal (barbecue bottle)* Campfire sectionCheck in (entrance) – 14:00Check out - 12:00The house can accommodate 13-15 people with overnight accommodation, 25-30 without overnight accommodation.FRIDAY-SUNDAY price is different.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/18467233,,8+,Yes,No,Included,By Agreement
Country House,Monolith,1000 sq.m.,2,4,2,Not available,Designer Renovation,2000 sq.m.,Tavush › Dilijan,"60,000 ֏ daily",AMD,"Newly built luxurious cabin in Dilijan is for daily rent.* 3 bedrooms (intended for 6-7 people)* 1 bathroom* 1 living room with kitchen* Mangal (barbecue bottle)* WI-FI-internet* parking lot* dishes, beddingCheck in (entrance) – 14:00Check out - 12:00* The price is different on Friday, Saturday, Sunday and non-working days.* Call in advance to book.Code LightTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17737259,,7,Yes,No,Included,By Agreement
Country House,Stone,1000 sq.m.,2,4,2,3 or more spots,Designer Renovation,500 sq.m.,Tavush › Dilijan,"120,000 ֏ daily",AMD,"A magnificent villa is for daily rent, a private house in Dilijan.* 3 bedrooms* 2 bathrooms* Tableware* Bedding* Barbecue, barbecue bottle* Fireplace* Sauna* Swimming pool* Internet wi-fiThe house can accommodate up to 7-8 people with accommodation, 12 people without accommodation.Check in - 14:00:Check out - 12:00:Price depends on the contract, week, days քանակ number of people.Spend your vacation in beautiful Dilijan.Villa for daily rent in Jrhogher village of Dilijan.Translated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17646966,,8+,Yes,No,Included,By Agreement
Country House,Monolith,500 sq.m.,2,4,2,3 or more spots,Designer Renovation,1000 sq.m.,Tavush › Dilijan,"55,000 ֏ daily",AMD,"A luxurious two-storey house is for daily rent in Dilijan.Attention ․․․ The house is given both as a whole and on separate floors.The cost of the 1st floor is 30,000 dramsThe cost of the 2nd floor is 30,000 dramsAppendix ․ (the yard is common)If you want to rent only the first or second floor and you want the other floor to be empty, then in your wish, the first or second floor will be just closed and the cost of the day for one floor will be 30,000 AMD.On the 1st floor of the house there is:2 bedroomsInternet: Wi-fi,smart tv,they wantconstant hot and cold water,central heating (baxi),dishes,bedding.1st floor: 1 bedroom, living room, bathroom, kamen, TV, refrigerator and sofa.On the 2nd floor: 1 bedroom, living room, bathroom, TV, refrigerator, TV, sofa.If you rent the whole house, it can accommodate up to 10 people per night.Check in - 14:00:Check out - 12:00:Spend your vacation in beautiful Dilijan.Call in advance to make a reservation.Luxurious two-storey cottage.Code AghstevTranslated from Armenian",Dec-12-2022_21-46,Available,,,,https://list.am/en/item/17646984,,8+,Yes,No,Included,By Agreement
House,Stone,180 sq.m.,2,5,1,3 or more spots,Euro Renovation,1000 sq.m.,"Orjonikidze Street, Dilijan station","5,000 ֏ daily",AMD,"ԱՄԱՆՈՐԻ ՀԱՄԱՐ ՏՈՒՆԸ ԶԲԱՂՎԱԾ Է։Տրվում է վարձով տուն Թախտա թաղամասում, Օրջոնիկիձե փողոց:1 անձը5000 դրամ:Տունն ապահովված է կոմունալ բոլոր հարմարություններով, զանգահարել նշված հեռախոսահամարներովԵլքը՝ մինչև 12,00, մուտքը՝ 13,00-ից հետո:Сдается полностью дом. В доме 5 комнат, 4 спальни и 1большая гостиная и санузел. Он обеспечен всеми коммунальными удобствами, системой отопления Baxi, есть wi-fi. Также есть парковка. За подробностями звоните по указанному телефону. Заезд в 14.00 выезд в 12.00.В случае любого гостья вы должны заплатить дополнительно.",Dec-12-2022_21-46,Available,,"Fridge, stove, microwave, coffee maker, washing machine, drying machine, water Heater, iron, hair dryer",,https://list.am/en/item/17303262,"Television, internet, air conditioner, swimming pool, barbecue oven, gazebo, alarm system",8+,Yes,No,By Agreement,By Agreement
