Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking,Links,Construction Type
Functioning Business,9000 sq.m.,"3-րդ փողոց, Մխչյան","$370,000",USD,"In the Mkhchyan community of Ararat marz, not far from the north-south highway, an operating greenhouse is for sale.The total area of the land is 9000 sq/mThe meaning of settlementsThe land has:residential building (160 sq/m), which consists of: 3 offices, kitchen, 2 bathrooms and a storage roomrefrigerator: 6.5 x 5.5 x 3.5 m. Size3 greenhouses with a total area of 4500 sq/m (possibility of expansion)The greenhouse is provided with all communications, there is a separate substation, three-phase electricity, a separate gas pipeline, 3 water wells with their reserve tanks. Irrigation is done by a drip system, a wet cooling system is installed. Greenhouse covers are under warranty.The territory is fenced, a video surveillance and video recording system is installed.• Kind Regards #AsatryanConsulting teamThe best for you!Best for you!Best for you!The best for you!The best for you!Most suitable for you!Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Second Line,Separate from the Street,,,,,Outdoor parking,https://list.am/en/item/18694409,Stone
Industrial and Manufacturing,3000 sq.m.,Ararat › Masis,"$380,000",USD,"Can serve as a production area, currently operates as a vodka factory. All documents are available.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17914513,Stone
Office Space,12 sq.m.,"Կենտրոնական հրապարակ 17, Մասիս","$25,000",USD,"Team Armenia operates nearby, H13 road of Republican significance passes behind the areaThe size25 sq. M:Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,Outdoor parking,https://list.am/en/item/18380029,Cassette
Functioning Business,1890 sq.m.,"15-րդ փողոց 10, Ղուկասավան","$470,000",USD,"‼️Վաճառվում է գործող բիզնես Ջերմոց 17000 հոլանդական վարդերով (1400 մ), շինշիլաների աճեցման 2 հարկանի նոր քարե շինություն, բնակելի 1 հարկանի տուն բոլոր հարմարություններով ։ Կա 3 ֆազ ճոսանք, ջեռուցում, հովացման համակարգ, առանձին ջրագիծ, արևային էներգիայի սարքավորումներով և այլն ։ ‼️Շատ հարմար է որպես Մայնինգ Ֆերմա ‼️Իրական գնից անհամեմատ ցածր գնով վաճառք ։Հնարավոր է փոխանակում անշարժ գույքի հետ Երևանում, կամ մեքենայի հետ հավելավճարով։Продается готовый бизнес (комплекс, земельный участок 1890 кв м, земля в собственности, парник застекленный 1400 кв метров, с 17000 голандскими розами, 1 этажный домик, 2 спальни кухня зал санузел, проведено отопление, газ кондиционер, вода, есть склад, холодильная камера, 2 этажное новое строение, ‼️Можно использовать как Майнинг ферму, ‼️на всех строениях есть солнечные панели, вся территория огорожена каменной оградой, камеры видеонаблюдения, 2 линии воды, газ, все необходимое, Продается ниже себестоимости, Возможен обмен частично на недвижимость в Ереване, или автомобили, Торг Есть.Կոդ 562611",Dec-12-2022_20-37,Available,Not available,First Line,Separate from the Street,,,,,Garage,https://list.am/en/item/14797471,Stone
Industrial and Manufacturing,240 sq.m.,"9-я улица 12, Нор Харберт","200,000 ֏",AMD,"Сдаётся два Каменное здания для производства Нор Харберд (зонал) один 240 кв, второе 80 кв",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/16737419,Stone
Functioning Business,2000 sq.m.,Ararat › Artashat,"$395,000",USD,"1300075Monolithic House for sale with its greenhouses (1000 sq. M.), luxurious yard and front line shop area (200 sq. M.) Sold fully furnished and equipped. Call for more information.Translated from Armenian",Dec-12-2022_20-37,By agreement,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/18470922,Monolith
Industrial and Manufacturing,1100 sq.m.,Ararat › Nor Kharberd,"$800,000",USD,"Կոդ` B-18326Վաճառվում է արտադրական տարածք Նոր Խարբերդում, շինության մակերեսը 3500քմ է: Ունի 2 անգար 1400քմ և 800քմ մակերեսով, պահեստային տարածք, պահակակետ, եռաֆազ հոսանք, մշտական ջուր, գազ: Անգարները տրվում են նաև վարձակալությամբ (1քմ 800դր և 1000դր) :Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A production area for sale in Nor Kharberd, the area of the building is 3500 sq. M. It has 2 hangars with an area of 1400 sq. M and 800 sq. M, storage area, guard post, three-phase electricity and is supplied with constant water and gas. The hangars are also being rented (800 AMD և 1000 AMD per square meter)The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_20-37,Not available,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/14833413,Stone
Everything Else,1300 sq.m.,Ararat › Masis,"22,000,000 ֏",AMD,A 1300 square meter rose greenhouse with cooling and heating system is for urgent sale. The total area of the plot is 1 ha (1.5 ha with the sep. Certificate) The plants are placed in bags filled with fertilized special soil.Heated by powerful air heaters.Exchange with an apartment in Yerevan.Translated from Armenian,Dec-12-2022_20-37,Not available,Not available,Second Line,Separate from the Courtyard,,,,,,https://list.am/en/item/12250388,Stone
Everything Else,3030 sq.m.,Ararat › Azatashen,"$120,000",USD,3030 sq. M. Area is for sale in Azatashen villageTranslated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16456280,Wooden
Industrial and Manufacturing,1700 sq.m.,Ararat › Artashat,"$185,000",USD,"Code ID3516Production area for sale in Artashat, total 1700 square meters, 420 square meters building.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17414782,Stone
Everything Else,970 sq.m.,Ararat › Masis,"$450,000",USD,"Վաճառվում է ձկնաբուծարան Մասիսի Զորակ գյուղում։Տարածքը ամբողջությամբ պարսպապատ է; / 9700քմ /Վաճառվում է ձկներով և առանց (ձկնատեսակներ՝ ստերլետ, իշխան) ։Ընդհանուր մակերեսը 9700քմ է, 11 լողավազան-5000քմ, 50լ/վ-ջուր։Ունի մանրաձուկ ստանալու առանձին սենյակ, 3 ավազային արտիզան, անասնագոմ, պահեստ, վարչական շենք, աշխատողների համար նախատեսված սենյակ, օդորակիչ;Առկա է անվտանգության համակարգ։Մանրամասների համար զանգահարեք․Կոդ H-0002",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/13093570,Stone
Retail Space,100 sq.m.,"Ծովակալ Իսակովի փողոց, Արտաշատ","40,000,000 ֏",AMD,"Commercial area in the regional center of Ararat region, Artashat, Isakov street, beginning of line 1, building 1Shosh առաջին The first building on the main road near Artashat Isakov Animal MarketHas semi-basement natural gas 2 points light lamb drinking water hot water bath bathroom separate room commercial area storage basementShosh has entrance through 2 doors, entrance doors from the courtyard, windows, eurobright box shopwill work dental clinic hairdresser pawn cocktail bistro and etc.Translated from Armenian",Dec-12-2022_20-37,By agreement,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/16265969,Panels
Everything Else,42 sq.m.,"Araratyan street, Artaxata (Artashat)","$11,000",USD,Newly made mobile cottageLength -12 m (we also have a length of 6 m)Width -3.5 mHeight -2.6 m.Walls of your preferred size and design are accepted: 1 sq. M. Starting from $ 300Made of sandwich panels (with polyurethane core)Translated from Armenian,Dec-12-2022_20-37,By agreement,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/15853583,Cassette
Building,5000 sq.m.,"3-rd street, Masis","35,000,000 ֏",AMD,"Farm barn Masis town village Shorakyan (Noramarg) with an area of 5000 square meters, has all the amenities, there is also an apartment in the areaTranslated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17211705,Stone
Industrial and Manufacturing,8084 sq.m.,Ararat › Mrganush,"$80,000",USD,"ATTENTION URGENTLY, a plot of industrial land with a private house in Mrganush village of Ararat marz is for sale at half its value. The area also has a cattle shed, a greenhouse with stone walls and one auxiliary building, the house has 3 bedrooms, one living room and one kitchen, the area is rich in tree species, in particular, it has more than 140 peach trees, 60 of which are newly planted, it has permanent water, electricity and internet, the total area is 8084 sq/m. It is located only 20 km from Yerevan. The price is negotiable. Call for details.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/17244885,Stone
Everything Else,2200 sq.m.,Ararat › Azatashen,"45,000,000 ֏",AMD,"The land is 2200 sq. M., the farm is 500 sq. M., it is provided with constant water and electricity, the windows are euro, the inside of the farm is furnished with necessary accessories (water pacifiers, ventilation system, video recording system) The farm has been operating for 4 years. No similar farm, the building is made entirely of stone and reinforced concrete, the roof is built in such a way that the inside of the farm is provided with lighting, it has the ability to expand. It is located 4 km away from Yerevan. The cost of the building is 40,000,000 AMD, It is for sale together with the animals, the cost of the animals is negotiable.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/11962602,Stone
Automotive Service,100 sq.m.,Ararat › Masis,"$30,000",USD,"City Masis, in the yard of the former farm, 2 areas, 100 sq. MIt is possible to sell it separately, it has a different certificate.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Second Line,Common from the Street,,,,,Garage,https://list.am/en/item/18630143,Stone
Agricultural Space,450 sq.m.,Ararat › Masis,"3,600,000 ֏",AMD,"I am selling a greenhouse, very suitable for any kind of products, 8000 drams per square meter, standard size 9x50m (450 square meters), disassembled, assembles without welding (bolts and drills), call for detailsTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18465209,Cassette
Office Space,240 sq.m.,Ararat › Ararat,"$150,000",USD,2 floor house with 240 sqm area can be use as an office,Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,Outdoor parking,https://list.am/en/item/18709240,Bricks
Agricultural Space,6000 sq.m.,Ararat › Masis,"$21,000",USD,"A plot of land for sale in the village of Masis Noramarg, 6000 square meters, there is a house of 103 square meters, a garage, a cattle yard, constant water and electricity.Translated from Armenian",Dec-12-2022_20-37,By agreement,Not available,Other,Separate from the Courtyard,,,,,,https://list.am/en/item/18405366,Stone
Functioning Business,"15,000 sq.m.",Ararat › Jrashen,"$135,000",USD,"Livestock farm for sale. (ferma anasnagom) The area has three-phase electricity for drinking and irrigation water, a bathroom, a stone house for the staff of 40 square meters. Automated milking parlor, 1'5 ha, land with its own apricot and plum trees. The total area consists of two plots, 10,000 for production and 5,000 for village. All with certificate and cadastre registrationgom ferma. Xelaci anasnagom:Smart farm. Farm farm. AnasnagomTranslated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/16211255,Stone
Functioning Business,42 sq.m.,"3-րդ փողոց, Մասիս","200,000,000 ֏",AMD,"An operating fish farm in the village of Sis in Masisi is for sale. It is secondary water, 1000l, substation 160kv, engine 75kv, water surface is 7000 square meters. The fish farm is operational, has lighting, a building, shacks, cameras, 5 concrete pools. The total area is 4.2 ha.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18530462,Stone
Functioning Business,"15,000 sq.m.","4th Street, Masis","$570,000",USD,"Dzknabucaran fish farm for saleThe annual production is from 300 + tons to 400 tons, the amount of feed can be increased by 1000 kg per day, all pastas are legal, they are legally allowed in 100 liter containers.I am currently working on a large volumehas a mailroom2 state power line, VIP line. It has 2 generators, automatic reverse pump, 140 liters of water per second. 60 cases with new serdi camerasAn ideal employeeFish Farm Lakesand wholesale retail fish salesDzknabucaran:Lcher:IshxanAsetrinaKarmraxayt:GexarqunikReasonable Price The fish farm pays for itself in just 1 year of breedingTranslated from Armenian",Dec-12-2022_20-37,Available,Available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/17967364,Stone
Functioning Business,340 sq.m.,Ararat › Hayanist,"$69,000",USD,"Продается готовый и очень прибыльный бизнес. Самомойка! Бизнесу 2 года, вся техника итальянская с гарантией, имеет две комнаты одна для офиса а в другой можно жить! , продаю в связи с выездом из страны! По всем остальным вопросам звоните или пишите! Exchange is possible! Цена не окончательная!Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/17081495,Stone
Industrial and Manufacturing,1400 sq.m.,"Kentronakan street, Argavand","$350,000",USD,"Existing business, production area for saleAvailable: 1. Furniture production2. Production of doors and windows.3. Shop: Sale of furniture materialsThe business has a stable market and regular buyers.We have many years of experience in the field of furniture and many customers.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Second Line,Separate from the Street,,,,,,https://list.am/en/item/14259586,Stone
Everything Else,10 sq.m.,"Artashat Highway, Yerevan",250 ֏,AMD,"Fodder, drumsticks, for silageTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/15762841,Monolith
Industrial and Manufacturing,"15,000 sq.m.","Մասիս փողոցի 3-րդ նրբանցք, Երևան","$300,000",USD,"Fish farm for sale, Dzknabucaran, I will pay in 2 parts, price $600,000-$3,000,000, the other half, short termThe annual production is from 300 + tons to 400 tons. At the moment, the amount of feed has room to increase by 1000 kg per day, all documents are legal. Legal water usage permit 100l/secondI am currently working on a large volumehas a mailroom2 state power line, VIP line. It has a generator, 3 automatic return pumps, 140 liters of water per second. With cameras of the new age60 pcsIdeal employeeFish Farm Lakesalso wholesale small fishDzknabucaran:Lcher:IshxanAsetrinaKarmraxayt:GexarqunikReasonable Price In just 1 year of breeding, the fish farm makes its money backI want to sell 2 fish farms. I am selling oneTranslated from Armenian",Dec-12-2022_20-37,Available,Available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/16975541,Stone
Multifunctional Space,2000 sq.m.,"Զորավար Անդրանիկի փողոց 27, Բյուրավան","$41,000",USD,"I am selling a barn building with an area of 10×25=250m, on a private plot of 2000m.The building was built in 2007-2008, it is built with tuff under two floors with an air layer in the middle (thermos), it is located 15 km from Yerevan, it has not been used in particular, it can be used for other purposes (workshop, warehouse, etc.)The price is negotiable.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,Outdoor parking,https://list.am/en/item/18651635,Stone
Industrial and Manufacturing,8100 sq.m.,"Yerevan-Meghri highway, Ararat Province","$295,000",USD,Near the city of Artashat (on the Yerevan-Meghri highway) industrial area on which construction is allowed is suitable for a gas and gas station. First line.Translated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18155619,Stone
Building,317 sq.m.,"Խարբերդի 13-րդ փողոց 2/2, Երևան","$10,000",USD,"1-storey building with its land plot is for sale or exchange with a car, the external area of the building is 68.3 square meters, and the total area of the building is 316.8 square meters. The land is privatized, given the right of residential construction. Possibility of drinking water and electricity. In case of sale the price is negotiable. It is also exchanged with a land plot in Ararat region or Aparan region.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/11372609,Stone
Building,72 sq.m.,"Երևանյան փողոց 1, Արտաշատ","$65,000",USD,"A 3-room apartment is for sale in the city of Artashat, on the first floor of a 5-story stone building, central, Yerevanyan street. It has all utilities, it is newly renovated, the doors and windows have been changed, it has a separate storage room in the house, there is an open balcony, the price includes a garage. The price is 68,000 dollarsCode 11111Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Courtyard,,,,,"Outdoor parking, garage",https://list.am/en/item/15906459,Stone
Industrial and Manufacturing,2000 sq.m.,Ararat › Artashat,"$65,000",USD,"• The total area is 2,000 square meters, of which the residential part is 100 square meters.• Has a barn (100 sq m), other buildings, artesian water, single phase current, swimming pool and fruit trees.It is located 400 meters from the Yerevan-Yeraskh highway, at 47 Aivazovsky Street, Artashat city.Google Maps coordinates - 39.9468919, 44.5543620CALL ONLY if you have any questions.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16630756,Stone
Functioning Business,600 sq.m.,Ararat › Artashat,"$1,500,000",USD,"Спортивный комплекс, который включает в себя: Гостевой дом рассчитанный на 20 человек, площадка для стрельбы 3 видов: Стендовая, трап, спортинг; собственный трансформатор, собственный источник воды (артезианский источник) + питьевая (Гарни), сауна, зона для готовки, абрикосовые, персиковые поля, виноград, футбольное поле, пляжный волейбол, бассейн, 1,5 км освещение дорогиТорг уместен",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/15713041,Stone
Functioning Business,1000 sq.m.,"Artashat roadway, Dimitrov","15,000,000 ֏",AMD,Operating farm \ 100 sq. M. A barn made of stone is provided with water and sewerage. There is 200 sq. M. Greenhouse and poultry house. There is a stone basement on the 2nd floor with a Finnish house with a bathroom and toilet. It is possible to exchange with an apartment happily. It is possible for rent.Translated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/12978097,Stone
Retail Space,50 sq.m.,"Նոր թաղամաս 35, Մասիս","$20,000",USD,The price is negotiable. Can be converted into an apartment. Call for details.Translated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16734387,Stone
Industrial and Manufacturing,9000 sq.m.,"Արտաշատի խճուղի 1/1, Երևան","$550,000",USD,It is located on the highway leading to Yerevan Yeraskh. There is 9850 square meters of land in the Artashat part of the city.He is also provided with a partial rentTranslated from Armenian,Dec-12-2022_20-37,Not available,Not available,Second Line,Common from the Street,,,,,,https://list.am/en/item/16029312,Stone
Agricultural Space,1000 sq.m.,Ararat › Artashat,"4,000,000 ֏",AMD,"A ready-made greenhouse for sale, 1000 m, without roof space, is in very good conditionTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18536898,Bricks
Functioning Business,3100 sq.m.,"Araratyan street, Masis","$535,000",USD,"URGENT gas station on the Masis-Echmiadzin road without an intermediary.Gas, gasoline, liquefied gas, car wash, futcort.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/15335020,Stone
Functioning Business,8000 sq.m.,Ararat › Vedi,"$450,000",USD,"Travertine mine for sale with an area of 8 hectares. The mine is operating. There is a very large supply of stoneAll the necessary documents and licenses are included in the price of the equipment2 housesկռան կռազ 20 տ.1 word. Car 2 m.2 pieces of truss1 bulldozer T1701 haf Persian buravo1 three-phase compressorseparate pastetachylo swing machine and other equipmentThe mine has constant electricity and lamb waterAlso exchange with real estatesold all together, not sold separatelyTranslated from Armenian",Dec-12-2022_20-37,By agreement,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/17352446,Stone
Industrial and Manufacturing,2790 sq.m.,"Արարատյան փողոց, Վեդի","50,000,000 ֏",AMD,"Land of industrial significance is for sale. The land area is 0.279 hectares. , Araratyan street 1st line, front length 54.8 m.It is a convenient area for implementing business projects.There is also a warehouse in the area...Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/17438639,Stone
Functioning Business,1000 sq.m.,"Խաչատուր Աբովյանի փողոց 6, Արտաշատ","$140,000",USD,"Ready-made business space for sale, which includes three types of business, 24-hour market, do-it-yourself, and carpet cleaning service. The area is located on the first line of Mrgavan community, on the road to Upper Artashat, next to the railway line. There is three-phase electricity, drinking water and sewage in the area. ONLY REAL BUYERS CALL.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,Outdoor parking,https://list.am/en/item/17539349,Cassette
Restaurant,450 sq.m.,"Main Square, Masis","$180,000",USD,"Վաձառվում է կոմերցոն տարցք, գտնվում է կիսակառույց վիճակում, հողամասի չափս 900քմ շինություն 450քմ, շենքը երեք հարկանիե: Նաղագծով ռեստորանային համալիր, առաջի հարկը, (խոհանոց և պահեստային տարացքներ) երկրորդ հարկ մանկական սրճարան և խաղասրահ, երրորդ հարկը հյուրասրհա, մանրամասների համար զանգահարել կամ այցելել մեր գրասենյակ:Կոդ 2318",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/15716689,Stone
Retail Space,1200 sq.m.,"Ул. Абовян 45, Արտաշատ","$125,000",USD,"1200 square meters area with its building (120 square meters) It is located in V. On the way to Artashat, the railroad has not yet reached. UrgentTranslated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18016747,Stone
Industrial and Manufacturing,"11,200 sq.m.",Ararat › Vosketap,"$99,000",USD,"A residential house and barns are available as a production container. Communication, three-phase current, water supply.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/18038280,Panels
Retail Space,900 sq.m.,Ararat › Aygavan,"$55,000",USD,"Address - Vedi community, village Aigavan Araratyan 5. Total area - 900 sq. M., Shop - 213 sq. M., 2 warehouses, iron garage, drying room 45 sq. M., Bisetka, on Artashat-Ararat roadTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18511634,Stone
Retail Space,300 sq.m.,"Արտաշատի խճուղի, Երևան","700,000 ֏",AMD,"It is for rent. It has a gas oven, a grill, an electric stove, a shawarma machine, refrigerators. The outdoor area is 200 square meters.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Separate from the Courtyard,,,,,Outdoor parking,https://list.am/en/item/17597747,Stone
Retail Space,109 sq.m.,"1-я улица 11, Гетапня","$39,000",USD,"For details, call either Viber or Whatsapp...I will listen to your suggestions.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/13352613,Stone
Functioning Business,500 sq.m.,"20-th street, Ayntap Border","$9,500",USD,Operating business garden (cardboard) press with all facilitiesFor more information callTranslated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18434296,Stone
Industrial and Manufacturing,822 sq.m.,"Garegin Nzhdeh Street, Arevabuyr village","$80,000",USD,"Production area in Mrgavet (Tsakhkashen) total area 822 square meters of which 347 square meters buildingceiling height 3 m, land significance for productionI will listen to reasonable exchange options. Suitable for refrigeration and other businessesTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16767074,Panels
Industrial and Manufacturing,1750 sq.m.,Ararat › Artashat,"$150,000",USD,"Կոդ՝ B-21777Վաճառվում է արտադրական տարածք Արտաշատ քաղաքում։ Շինության մակերեսը՝ 430քմ։ Ունի եռաֆազ հոսանք, ավտոկայանատեղ, արտեզյան ջուր, գազի հնարավորություն։ Հարմար է արտադրամասի և այլ նպատակային աշխատանքների համար։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A production area for sale in Artashat. The area of the building is 430 sq. M. The area has three-phase electricity, parking, artesian water, possibility of gas installation. It is suitable for purposeful works of the workshop.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/17448068,Stone
Industrial and Manufacturing,2500 sq.m.,Ararat › Nor Kharberd,"$400,000",USD,"Կոդ՝ B-18041Վաճառվում է գործող արտադրական տարածք Նոր Խարբերոդում։ Տարածքը միջին վիճակում է (շինության մակերեսը՝ 720քմ) ։ Մուտքի դուռը՝ մետաղյա, պատուհանները՝ եվրո։ Ունի նկուղ-սառնարան, պահեստ, չրերի արտադրության համար նախատեսված սարավորումներ, խոհանոց, սանհանգույց, հոսանք, մշտական ջուր և գազ։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։An active production area for sale in Nor Khatberd. The area is in the middle condition (the area of the building is 720sq. M) The entrance door is metal-made, the windows are euro-based. The area has a basement-refrigerator, storage, equipment for dried fruits production, kitchen, bathroom, electricity, and is supplied with water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/14585240,Stone
Restaurant,870 sq.m.,"3-րդ փողոց 1, Մասիս","90,000,000 ֏",AMD,"Public construction area for sale, land area 870 sq. M., of which 350 sq. M. Building, 3-storey building, each floor 350 sq. M. Was intended for a restaurant or children's cafe, but you can change the order on Yerevan-Artashat highway (North-Haraf highway) address c. Masis 6th district, 1st street 33. Three-phase light, gas must be passed through the street, water documents must be pulled, there is sewerage, a separate water well has been drilledTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/17488883,Stone
Industrial and Manufacturing,250 sq.m.,"Noramarg Roadway, Yerevanashen","$80,000",USD,Mushroom Operating business. Call for details. Sunk. Kaxasunk. VeshenkaTranslated from Armenian,Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/18547163,Cassette
Office Space,72 sq.m.,Ararat › Masis,"35,000,000 ֏",AMD,The real estate is located next to Masis Municipality. The building was built in 2008 with the possibility of rebuilding up to 3 floors.Translated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18112456,Stone
Retail Space,70 sq.m.,Ararat › Ararat,"$15,000",USD,"I am selling commercial space, details by phone, please don't call idle people againTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,Second Line,Common from the Street,,,,,,https://list.am/en/item/18579985,Stone
Industrial and Manufacturing,1730 sq.m.,Ararat › Masis,"$450,000",USD,"Production land area 12000 sq/m.Tent building 1730 sq/m. Building dimensions, width 24m.The length is 72 mThe height is 11 mThe area is asphalted.The building has high pressure gasStreamSewerageWaterTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18008348,Stone
Office Space,40 sq.m.,"Արարատյան փողոց 43, Վեդի","6,000,000 ֏",AMD,"Non-residential area, can be changed as an apartment.There is a main air duct, toilet line, drinking water line, ceiling height 3.20It's viva for meTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,Second Line,Common from the Courtyard,,,,,,https://list.am/en/item/18667347,Stone
Retail Space,3000 sq.m.,Ararat › Ararat,"$400,000",USD,"Urgently for sale, restaurant, bistro, pub, car wash, land, orchard. A ready-made business is possible with all the furniture and equipment.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17758757,Stone
Industrial and Manufacturing,"10,000 sq.m.","Արամի փողոց, Ղուկասավան","$1,000,000",USD,Greenhouse business farm for saleFor more information call.Translated from Armenian,Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18484578,Stone
Retail Space,53 sq.m.,"Kentronakan street 100, Darakert","$30,000",USD,In the village of DarakertTranslated from Armenian,Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,Outdoor parking,https://list.am/en/item/16405905,Stone
