Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments
Office Space,Stone,65 sq.m.,Not available,Available,First Line,Common from the Street,Kotayk › Byureghavan,"$38,000",USD,"The area has access from the back, permanent water and electricityTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17925607,,,,
Retail Space,Stone,200 sq.m.,By agreement,Not available,First Line,Common from the Street,Kotayk › Charentsavan,"$35,000",USD,"1-storey commercial area for sale in Charentsavan. ․ ե ․ 15 m ․ is. Building area 100 square meters ․ It has euro windows, tiled floor, metal entrance door. It is provided with constant water and gas, there is a water heater.You can call the mentioned phone numbers for details.Code A-427Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17512480,,,,
Multifunctional Space,Stone,1227 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Nor Hachen,"$255,000",USD,Kotayk regionCity Nor-HachnMultifunctional commercial area for sale in Nor-HachnThe area is completely fencedIt consists of 2-storey 3-stone buildings2 of the buildings are 300 sq. M.1 building 600 sq / mIt has a green yard with about 800 square metersSuitable for various business activitiesAll communication facilities are available.Code 30289Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/17809219,,,,
Multifunctional Space,Monolith,2700 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Verin Ptghni,"$89,900",USD,"It is located right on the Sevan-Yerevan road, has a 55-meter front near the road, is suitable for commercial activities. The adjacent part of the road is about 1000 m flat area, then about 500 m slope, and the remaining 1200 m is in a higher position. The upper part is fenced, has a basement area of about 300 m, with high quality monolithic roofs. The semi-finished building is suitable for building a house for commercial activities. A beautiful view opens. It has an asphalt road, three-way entrance, drinking water, electricity and gas.Ptghni, Ptghni, Ptxni, Eagle, Abio, Shangri-LaTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17866064,,,,
Functioning Business,Stone,3470 sq.m.,,,,,"Վանատուր թաղամաս 1, Հրազդան","$153,000",USD,"K. A stone workshop is for sale in the Vanatur district of Hrazdan. The workshop has all the working conditions and equipment. A building with dimensions of 36x12m has been built, in which there are 2 pieces of tile cutting equipment, 1 piece of tile edge straightening equipment and a crane (10 ton load capacity) There is another building, it is used as a warehouse and occupies an area of 60 square meters. A basin is dug on 7×3, where the used water is filled, filtered and reused. The factory is located near the main road, it occupies an area of 3470 square meters, completely It is fenced. Call for details.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18325359,,,,
Retail Space,Stone,70 sq.m.,,,,,"Kentron block, Hrazdan","$27,500",USD,"A commercial area for sale in In the center district of Hrazdan, near the governor's office. The area is located in a very busy area, suitable for various business activities (office, grocery store, beauty salon, etc.) The area is located on the 1st floor of a stone building, covers an area of 70 square meters, consists of 2 parts. , there is also a bathroom. The price is negotiable.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18314658,,,,
Multifunctional Space,Monolith,120 sq.m.,Available,Not available,First Line,Common from the Street,"Sedrak Jalalyan street, Kasakh","$45,000",USD,Renovated area for sale in Kasakh. Suitable for any business.Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/16906411,,,,
Multifunctional Space,Monolith,130 sq.m.,Available,Not available,First Line,Separate from the Street,"Paruir Sevaki street, Kasakh","$45,000",USD,"Suitable for any business. Workshop, beauty salon, sewing workshop, shop, hostel, bakery, etc. The area is fully renovated, has 2 bathrooms, kitchen area, 2 entrances. There is also internet.Price is negotiable.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17770972,,,,
Retail Space,Stone,10 sq.m.,,,,,"1ая закрытая улица, Մեղրաձոր","$7,000",USD,"Life support house in Meghradzor village, separate room with corridor. It is possible to open a separate entrance. It is suitable for a shop, beauty salon... To open. Adjacent to the area (6 m in front, 3 m on the side) there is an allocated plot of land. The final price is half the price estimated by the bank. Urgent sale for medical purposesTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18309215,,,,
Agricultural Space,Stone,1000 sq.m.,,,,,Kotayk › Zar,"$100,000",USD,"It is for sale all together, the apartment has a half-built building of 200 square meters, a cattle shed of 300 square meters, a pig house of 70 square meters, a 3-piece farm for large animals, pigs, sheep. The farm has electricity, water, internet. 100,000 AMD is also given as a loan. Located near Hadis mountainTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16419997,,,,
Everything Else,Stone,67 sq.m.,,,,,Kotayk › Abovian,"$70,000",USD,"Վաճառվում կամ տրվում է վարձով կոմերցիոն շինություն քաղաք Աբովյանում, որը գտնվում է 3-րդ միկրոշրջան՝ Հատիսի փողոցում:",Nov-24-2022_17-55,,https://list.am/en/item/15013358,,,,
Automotive Service,Stone,300 sq.m.,,,,,"Խաչատուր Աբովյանի փողոց 1, Գառնի","$55,000",USD,"Existing car service points for sale in the central part of Garni village, with his property.Two dangrats with five points, one yama, a penny moika + a vacuum cleaner room, etc.Welding machines (autogen, co, two-phase electro), brake caliper, clutches, sverlen and etc.Carpet washing equipment.Bucks, boxer, operating business.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16418597,,,,
Office Space,Stone,42 sq.m.,Not available,Not available,Other,Separate from the Courtyard,"Erevanyan street 8, Yeghvard","60,000 ֏",AMD,"On the ground floor of a stone building, has all the communal facilities, permanent water, electricity is connected from two substations, for saleTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/14877646,,,,
Retail Space,Stone,40 sq.m.,Not available,Available,Other,Common from the Street,"August 23 Street 11, Abovyan","$75,000",USD,"Commercial area in the center of Abovyan city, has a basement floor of 30 square meters, which can serve as both a production and a storage area.At the moment it operates as a Grand Candy brand store. Suitable for any type of store.It is a very busy area, there is a parking lot only 20 meters away.Nearby there is a market, a supermarket, a change shop, a clothing store, etc.The area is privatized, we only sell, do not offer rent or exchange. It is not an organization, I am not a broker, I am the owner of the areaPRICE WILL BE BARGAINED FOR A REAL BUYERTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16715724,,,,
Functioning Business,Stone,100 sq.m.,,,,,"6 district, Charentsavan","$75,000",USD,For sale with property.Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/17526416,,,,
Everything Else,Panels,200 sq.m.,,,,,Kotayk › Solak,"$6,500",USD,Call for questions about the panel bunkTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18299636,,,,
Everything Else,Wooden,30 sq.m.,,,,,Kotayk › Hrazdan,"$1,700",USD,Domik is in good conditionKrish is newly changedTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/16513299,,,,
Multifunctional Space,Stone,395 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,Kotayk › Hrazdan,"$39,500",USD,"Address: Microdistrict, building 21, basement area. Former sports school.Zero condition. $100 per square. Call 10-17:00, except Sunday.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16743003,,,,
Retail Space,Stone,70 sq.m.,,,,,"Oghakain street 28, Charentsavan","$29,000",USD,"It has gas and electricity, the price is 40,000 drams. Located in the city of Charentsavan.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/11608590,,,,
Retail Space,Panels,26 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,"2-րդ փողոց 24, Հրազդան","$9,900",USD,"1. Has a new ownership certificate,2. Has its own current (electricity),3. Capital renovated,4. The floor is tiled.5. The roof is covered with tin,6. It has 6 square meters. Meter basement,7. Has a handstand,8. It has the possibility to go up to the 2nd floor, which can be used as the first floor,9. It does not have its own water and sewage.It is also possible to exchange with a state-owned 1-4-room apartment (in the case of a 3-4-room apartment with an additional fee from me)COMMERCIAL AREA IS IN HAZDA CITY,ONLY REAL WANTS CALLPRICE IS FINAL AND NON-NEGOTIABLE.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16122929,,,,
Industrial and Manufacturing,Panels,157 sq.m.,,,,,Kotayk › Abovian,$100,USD,"In the central part of Abovyan, a production area is for sale on the first floor of a building. It is suitable for any activity of public importance, as well as suitable for living. There is also a business in the area (we can cooperate if you wish)Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17051354,,,,
Retail Space,Stone,100 sq.m.,,,,,Kotayk › Hrazdan,"$60,000",USD,"Թոնրատունը գտնվում է ք. Հրազդան, Կենտրոն թղմ. , Ավտոկայարանի հարևանությամբԹոնրատունը կապիտալ վերանորոգված է, ունի եռաֆազ հոսանք և ջուրԹոնրատունն ունի 2 առանձին սենյակ (կուպե), կամին, մեծ խոհանոց և 2 թոնիր (դրսում և ներսում)Վաճառքի դեպքում 60.000 $Վարձակալության դեպքում գինը պայմանագրային",Nov-24-2022_17-55,,https://list.am/en/item/17091045,,,,
Industrial and Manufacturing,Stone,2200 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Proshyan,"$130,000",USD,"In Proshyan, near the former Ministry of Defense, 100 meters from the highway, a 2200 sq/m industrial land with a 500 sq/m half-built building is for sale. Everything about paperwork is legal. For more information call:Code 0600166Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18273922,,,,
Industrial and Manufacturing,Stone,"10,000 sq.m.",,,,,"2nd Street 34, Aramus village","$900,000",USD,"Operating workshops, warehouses, orchard. Suitable for business.Price negotiableTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18357025,,,,
Retail Space,Stone,40 sq.m.,Available,Not available,Second Line,Common from the Street,"Kotayq street, Abovyan","$55,000",USD,A commercial space is available for rent in Abovyan city. The apartment building is 40 square meters in the back and has a land area of 50 square meters. Call for details.Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18141933,,,,
Retail Space,Stone,75 sq.m.,Not available,Not available,First Line,Common from the Street,"Yeritasardakan street, Abovyan","$58,000",USD,"A public area of 75 sq. M. Is for sale, the ceiling height is 3.2 m, there are communal facilities, it is in good condition. Price is negotiable.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17516762,,,,
Agricultural Space,Stone,300 sq.m.,By agreement,Not available,First Line,Common from the Street,Kotayk › Arzni,"$180,000",USD,"Very urgentlyLivestock farm 300 square meters for sale. Building,10,000 square meters Land area.It is possible to partially sell the plot of 1 sq. M. For $15.There is water, electricity and sewageAll the necessary conditions have been created.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17806936,,,,
Industrial and Manufacturing,Stone,1200 sq.m.,,,,,Kotayk › Hrazdan,"$200,000",USD,Production area bakery 400 sq. M. Warehouse 1200 sq. M. 10000 sq. M. Industrial land Has gas three-phase electricity Water is very suitable for production ExchangeTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/17861179,,,,
Everything Else,Stone,12 sq.m.,Not available,Not available,Other,Common from the Street,"3-րդ միկրոշրջան 46, Աբովյան","$1,000",USD,Normal condition boutique for sale with sweatersTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/17401913,,,,
Automotive Service,Stone,1400 sq.m.,,,,,"Ստեփան Շահումյանի փողոց 48, Հրազդան","$50,000",USD,"Car service station with its own substation, water, 10 car garage, dryer (dryer) can also serve close to home, urgently.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18309768,,,,
Everything Else,Monolith,60 sq.m.,,,,,Kotayk › Abovian,"$19,900",USD,The area is suitable for starting various businesses.Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18217981,,,,
Industrial and Manufacturing,Stone,160 sq.m.,,,,,Kotayk › Abovian,"$80,000",USD,"Urgently for sale, a building with industrial significance, 160 square meters + 1000 square meters of asphalted area. The building is built of tuff under two floors, lined with khas. The height is 5 meters. Roof with panels. The communications are all available: Three-phase electricity from own substation, gas, two drinking water lines with high pressure from the best water lines of Katnaghbyur, internet, sewerage, irrigation canal. Separate entrance with newly made asphalt 20 meters from the main route. Fenced on three sides, there are very tall, beautiful willow trees and walnuts. 10 km from Yerevan. The main track is very busy and on the track going to Katnaghbyur fish restaurants. Suitable for any production activity. I also offer an area of 700 square meters with a 25-meter front part on the main road. The remaining issues will be discussed on the spot. I am the owner. See also my other announcements.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17270887,,,,
Everything Else,Stone,150 sq.m.,Not available,Not available,First Line,Common from the Street,"Ploshchad Sakhmanadrutyan 1, Hrazdan","$80,000",USD,"Built on the 3rd floor of the capital, three-phase electricity, 3.60 m ceiling, 3 bathrooms separately renovated with 3 different entrances, 150 sq. M. Public, on the central street, next to the regional administration, lease is possible.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17005637,,,,
Retail Space,Stone,240 sq.m.,Not available,Not available,First Line,Common from the Street,"Qochinyan street, Yerevan","$174,000",USD,"In the center of Jrvezh, on a public land located in a busy area, there is a building, a total of 130 sq. M. Surface. The other part is fenced with a three-sided fence.It is provided with constant water and electricity, there is also a central sewer, and gas is nearby.The total area of the land is 240 square meters. E. The land is angular, has a 8.5-meter front on the main road, and 28 meters on the other side.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17819848,,,,
Everything Else,Panels,200 sq.m.,Not available,Not available,Other,Common from the Street,Kotayk › Garni,$100,USD,"Cattle with cattle for sale in Garni, sheep, ready business place, very good for cattle breeding, price for the contract, for details, call the mentioned numberTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/13716817,,,,
Multifunctional Space,Stone,2700 sq.m.,Not available,Not available,Other,Common from the Street,"10-րդ փողոց 6, Զովք","$80,000",USD,"A multi-family property is for sale, which is located in Zovk village of Jrvezh community.The land area is 2700 sq/m. E (all close to home)In which there is: Total 600 sq/m. A two-story building with an area suitable for various activities.House 110 sq/m. With plot, garage, outbuilding and garden with fruit trees.It is provided with gas, water, electricity, sewage, internet.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18234979,,,,
Building,Stone,64 sq.m.,Not available,Not available,Other,Common from the Courtyard,"Շահումյան փողոց 5, Նոր Հաճն","$55,000",USD,"I will also exchange it with the apartment or the land near the house. For details, you can call for a surcharge.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/15979662,,,,
Hotel,Stone,400 sq.m.,Available,Not available,First Line,Separate from the Street,Kotayk › Aghveran,"$250,000",USD,"A guest house is for sale in Aghveran, the building is 400 square meters, the total land is 5000 square meters, it has 5 separate rooms, a kitchen, it is renovated, it has a swimming pool, a well-maintained yard, etc. , for details, call.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18064361,,,,
Restaurant,Stone,250 sq.m.,,,,,Kotayk › Abovian,"$300,000",USD,"A building is for sale on the Yerevan-Arzni-Sevan highway. On the central road. 10 km from YerevanCompletely renovated, has a three-phase plant, solar system on the top, constant water750 meters of separate land (Included in the price) Only Real buyers call to know more (Negotiable)Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18240361,,,,
Office Space,Monolith,80 sq.m.,,,,,"Geghard street 5, Abovyan","$45,000",USD,The area is commercial. Located on the ground floor of an apartment building. Equipped with all utilities. Suitable for almost any type of activity.Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/17342964,,,,
Office Space,Stone,80 sq.m.,,,,,Kotayk › Abovian,"$50,000",USD,Two-storey building near the 4th micro market. Each floor is 40 square meters. The first floor is renovated. It is for sale in parts. Exchange with a car or land is possible. For more information call.Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/15846074,,,,
Multifunctional Space,Stone,233 sq.m.,,,,,Kotayk › Abovian,"$212,000",USD,"VD158Multi-functional commercial space for saleKotayk, c. Abovyan• 233 square meters area•6/1st floor_•thoroughly reconstructed• euro windows•Heating System• the bathroom is tiled•kitchenTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18143971,,,,
Multifunctional Space,Stone,50 sq.m.,,,,,"Saralangi street 11, Abovyan","$32,000",USD,"URGENT! Price negotiable. Two-story service point on the main street. The first floor can serve as a garage, the second floor as a Trade Hall. (You can also make it a residential building) It is also sold separately. The price is negotiable.Call for details.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17616993,,,,
Industrial and Manufacturing,Stone,250 sq.m.,Not available,Not available,Other,Separate from the Street,Kotayk › Arzakan,"$68,000",USD,"For sale or rent, 2 separate buildings of industrial and other purpose with land and more than 50 fruit treesFor more information callTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18318864,,,,
Retail Space,Stone,50 sq.m.,,,,,"Լևոն Ավետիսյան փողոցի 1-ին նրբանցք 4, Բալահովիտ","$19,000",USD,"It is located in front of the school, used and the cupboard has a big storage behind it. It can be renovated to turn it into an apartment.Tukht does not have a contract yetI will also exchange it for landTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16140795,,,,
Everything Else,Stone,266 sq.m.,Not available,Not available,First Line,Common from the Courtyard,"Սպանդարյան փողոց 1, Հրազդան","$50,000",USD,"Commercial real estate on Spandaryan street in Hrazdan, 266 sq. M. Մ. Suitable for any activityTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/10765853,,,,
Agricultural Space,Stone,3830 sq.m.,,,,,"Ashtarak highway, Yerevan","$170,000",USD,"3830 m2 land is for sale, cadastral code 07-053-0322-0053 in Proshyan village, near the new American district.2000 m2 of industrial significance, 1830 m2 of agricultural significance.On the production part there is a 204 m2 pigsty with all its necessary buildings, attached to the pictures.There is also a small slaughterhouse. On a legal basis, to refrigerate meat in advance.The pigsty has a bathroom, a stove, a barn for heating, a small room for a worker. The barn is also equipped with a ventilation system.We built the building in 2019, the walls are under two.The barn is built in accordance with all construction norms. There is also a 140 m2 auxiliary roof.The land is located 400 m2 directly from the Yerevan-Ashtarak highway, there is also permanent drinking and irrigation water. The electricity is three-phase.The farm also has a special machine for transporting meat.The pigsty can be sold with or without pigs.The documents are in legal condition.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17367685,,,,
Retail Space,Stone,80 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Balahovit,"$105,000",USD,"An existing shopping hall is for sale on the main road in the village of Balahovit.Capital renovated permanent water, bathroom, three-phase current, air conditioner, security system, camera, internet connection, fire protection systemTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18135984,,,,
Multifunctional Space,Stone,259 sq.m.,By agreement,Not available,First Line,Common from the Street,"5-րդ փակուցի 1, Բալահովիտ","$60,000",USD,"An existing store on the central road of Balahovit is for sale. Shop 33 sq/m, total area 259 sq/mThe area also has a residential building permitTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18135331,,,,
Functioning Business,Stone,72 sq.m.,,,,,"Միկրոշրջան թաղամաս 50, Հրազդան","15,000,000 ֏",AMD,"For sale shop ․ Hrazdan, micro-district, 55/4. The area is 72.66 square meters.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17673599,,,,
Agricultural Space,Stone,5800 sq.m.,,,,,Kotayk › Ptghni,"$300,000",USD,"Operating greenhouse for sale, total land area 5800 square meters, greenhouse 3000 square meters, located in Ptghni, price is negotiableTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17498205,,,,
Multifunctional Space,Panels,4540 sq.m.,,,,,"Նոր Թաղի 1-ին փողոց 6, Վերին Պտղնի","$195,000",USD,"Ptghni, near the GAI post, 2nd line. The area of the fenced industrial land is 4100 square meters, the total area of the 1-story warehouse-production and administrative buildings is 440 square meters. Three-phase current, gas, water, sewage, fury approach.Price: $195,000 USD.CODE S329For more details, call SMART AgencyTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16219756,,,,
Industrial and Manufacturing,Monolith,1000 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Tsakhkadzor,"$795,000",USD,"A multifunctional commercial area is for sale in one of the most picturesque places in Armenia, Tsakhkadzor. It is located on the edge of the main crossroads entering the city, on the front line.The total area of the land is 1000 square meters (it has the possibility of expansion 220 square meters)Front part - 30 m ․The total area of the building is 560 square metersThe front part of the building is tiled, high quality stained glass windows with aluminum frames are installed. The building is illuminated by brand lamps.All the main construction works are done, the bathrooms are tiled with high quality tiles, doors.During the construction all the construction norms and rules were observed, all the infrastructures are individual, permanent water, sewerage, there is an individual substation. Three-phase electricity is provided. Heating and cooling are carried out by means of fan-chiller devices.A security system is installed, video recording cameras are installed, there are fire-sensing systems.There is about 400 sq / m parking lot.• Kind Regards #AsatryanConsulting team:The best for you!Best for you!Luchshee for you!Lo mejor para ti!The best for you!最 适合 您Code 17970915Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17970915,,,,
Building,Stone,230 sq.m.,,,,,"Saralangi street, Abovyan","$80,000",USD,The area is located on the ground floor of a 5-storey stone buildingNot renovatedHas all the utilitiesTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/17700039,,,,
Office Space,Panels,34 sq.m.,Not available,Not available,Second Line,Common from the Courtyard,"Hanrapetutian Avenue 26, Abovyan","$49,000",USD,"Վաճառվում է գրասենյակային տարածք ։Հարմար է վարսավիրանոցի, խանութի և այլ գործունեության համար։Առկա են բոլոր կոմունալ հարմարություները։ Տաշիր պիցցայի հսրևանությամբ։Սակարկելի",Nov-24-2022_17-55,OUtdoor parking,https://list.am/en/item/16043804,,,,
Industrial and Manufacturing,Stone,112 sq.m.,Not available,Not available,First Line,Separate from the Street,"Shahumyan street, Charentsavan","10,000,000 ֏",AMD,"Capital constructionThe land area is 82 square metersThe building area is 112 square metersAvailable:Two garages, each 5.30-6.5m *** 21 sq. M. + 21 sq. M. - 42 sq. M.AvailableProduction building 4 m-9 m * 36 sq. M.ԵՒ 40 sq. M. Open balconyIt is possible to expand the land up to 20 square metersIron gateland and building ownI will listen to suggestionsI will exchange it with a car, land, apartment for an additional fee.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/13959728,,,,
Industrial and Manufacturing,Stone,360 sq.m.,,,,,Kotayk › Hrazdan,"30,000,000 ֏",AMD,"Վաճառում եմ արտադրական տարածք 360մ/քՉաբսերը 12*30 առանց միջնասյուներիԲարձրությունը 4,5մ էՇատ հարմար է թեթեվ արդյունաբերությսն, մեխանիկական եվ այյ ծառայությունների համար։Հնարվոր է նաեվ փախանակում",Nov-24-2022_17-55,,https://list.am/en/item/14001606,,,,
Functioning Business,Stone,120 sq.m.,,,,,Kotayk › Hrazdan,"$127,000",USD,"An operating business is for sale. On the 1st floor there are 6 operating sections (cosmetologist; doctor cosmetologist; manicure; pedicure; hairdresser.)The 2nd floor is residential; It is possible to rent or change the profile.If the number is unavailable, call WhatsApp number.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17947792,,,,
Retail Space,Stone,47 sq.m.,,,,,"Երևանյան փողոց 14, Հրազդան","$23,000",USD,"Operates as a clothing store, rentedThe shop is furnished, there are cupboards and shelvesTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17599810,,,,
Restaurant,Stone,700 sq.m.,,,,,Kotayk › Abovian,"$320,000",USD,"San Arzni highway, next to the road, it is comfortably furnished, from the 3rd floor, the bakery with its 4 rooms, motel 2 bedrooms + 2 bedrooms, it is newly furnished...Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17723372,,,,
Multifunctional Space,Stone,415 sq.m.,Not available,Not available,Second Line,Common from the Street,"9-րդ փողոց 1-ին փակուղի 1, Բալահովիտ","$80,000",USD,There are 2 offices 2 storage rooms 1 large production area has a basement 180 sq. M. Operating mushroom total 415 sq. M. Building 415 landTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/17690672,,,,
Retail Space,Stone,162 sq.m.,,,,,Kotayk › Abovian,"$100,000",USD,"Gas, electricity, water drawn, operating market, negotiable, possible exchange with an apartment, only in Yerevan, with additional payment from you.Code 1100229Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18113032,,,,
Industrial and Manufacturing,Bricks,"15,000 sq.m.",Available,Not available,Other,Common from the Street,"Gortsaranain street 2, Dimitrov","$85,000",USD,"Վաճառվում է հողատարածք Կարենիս գյուղում, ունի անասնագոմ, գործող սնկի արտադրամաս, պտղատու ծառեր (200 հատ), 25,000 քոլ մալինա, ունի նաև 2 սենյականոց կացարան",Nov-24-2022_17-55,,https://list.am/en/item/15766523,,,,
Hotel,Monolith,343 sq.m.,,,,,"Տանձաղբյուրի փողոց 4/22, Ծաղկաձոր","$505,000",USD,Land area 400 m Building area 343 m. Each of the three floors with 9 rooms has its own bathroom. Unused. The price includes the property. Technique. Tableware աները Bedding (pictures are not for sale) Entrance from the Marriott Hotel.Booking-Elis Hotel:Facebook Elis Hotel:Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/10447616,,,,
Retail Space,Stone,48 sq.m.,,,,,Kotayk › Proshyan,"$12,000",USD,"Kotayk, Proshyanbusiness area48 sqm / 6 × 8 /1st lineCode VM786Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17383946,,,,
Automotive Service,Stone,162 sq.m.,,,,,Kotayk › Hrazdan,"$18,500",USD,"Code: ID3610A commercial space is for sale in Hrazdan. There is three-phase current, constant water, private sewer, basement.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17639787,,,,
Office Space,Stone,18 sq.m.,,,,,"Hanrapetutian Avenue 28, Abovyan","10,000,000 ֏",AMD,"The area is located under the building of Republic 30, it has a bathroom, the price is negotiable.For more information callTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18228601,,,,
Industrial and Manufacturing,Panels,140 sq.m.,Not available,Not available,First Line,Common from the Street,"3-րդ փողոց 33, Գեղաշեն","1,100 ֏",AMD,2-storey building for sale urgentlyTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18342683,,,,
Retail Space,Stone,20 sq.m.,,,,,"3-րդ թաղամաս 17, Չարենցավան","6,000,000 ֏",AMD,"Urgent sale of commercial space in c. Charentsavan 3rd district. Next to Viva Sel. Amenities: Drinking water, electricity, etc. For questions, call the number in the picture.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18309110,,,,
Industrial and Manufacturing,Monolith,415 sq.m.,Available,Not available,Second Line,Separate from the Street,Kotayk › Abovian,"$68,000",USD,"Without an intermediary. A multi-functional production space is for sale in the beginning of Balahovit. Land and buildings are property. 27 meters front. Operating furniture factory. Separate sewing room 15 square meters, varnishing room 45 square meters, storage room 44 square meters, assembly hall 90 square meters, ceiling 4.80. There is also a basement of 180 square meters, ceiling height 3.10, with functioning mushroom ventilation system. Three-phase current. It has a newly renovated office, internet connection, security system. Beautiful pavilion in the yard, barbecue. Briquette panel roof. It has a 46 square meter semi-detached building that can be used as a garage and storage. If desired, I will provide all the tools for making laminate furniture, an Italian grigio grinder, a Makita saw and various electric hand tools. Space production space workshop production space business Also for rent 350,000 drams. Call the WhatsApp of the specified numberTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/15848685,,,,
Industrial and Manufacturing,Monolith,1300 sq.m.,,,,,Kotayk › Byureghavan,"$15,000",USD,"Վաճարվում է արտադրական տարածք ք. Բյուրեղավան: -շինություն 1300 ք/մ (ավազի հոր), հողամաս 1300 ք/մ:ՀԵՌԱՎՈՐՈՒԹՅՈՒՆԸ ԵՐԵՎԱՆ - ՍԵՎԱՆ ՄԱՅՐՈՒՂԻԻՑ 5 կմ: Հնարավոր է փոխանակում ավտոմեքենայի հետ։ԻՄ բոլոր հայտարարությունները դիտելու համար սեղմեք - АРМЕН - անվան վրա: ՀԵՌԱԽՈՍԱՀԱՄԱՐԸ ՈԻՆԻ VIBER և VHATSAPP",Nov-24-2022_17-55,,https://list.am/en/item/18166474,,,,
