Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Address,Price,Currency,Description,Datetime,Land Area,Service Lines,Facilities,Appliances,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
House,Stone,600 sq.m.,1,4,1,,,Old Renovation,"Paronyan street, Gyumri","$105,000",USD,"A private house with all the communal facilities is for sale. The house has a large yard with fruit trees, a swimming pool, a large comfortable basement. There is a stone garage in the yard. The house has an old renovation and old heating system.Translated from Armenian",Nov-25-2022_00-23,450 sq.m.,,,,https://list.am/en/item/17983353,,,,,,
House,Stone,100 sq.m.,1,3,1,,,Partial Renovation,Shirak › Zuygaghbyur,"6,000,000 ֏",AMD,"It has a barn, a garage, a barn, negotiable. There is also an exchange optionTranslated from Armenian",Nov-25-2022_00-23,300 sq.m.,,,,https://list.am/en/item/18053066,,,,,,
House,Monolith,200 sq.m.,2,5,1,Not available,1 spot,Partial Renovation,Shirak › Gyumri,"$45,000",USD,"Վաճառվում է երկհարկանի առանձնատուն ։Առաջին հարկում կա 5սենյակ, խոհանոց, նկուղ վերանորոգված լոգարան ։Ունի մշտական գազ և ջուր։Հարակից ունի քարաշեն ավտոտնակ և քարաշեն շինություներ ։Երկրորդ հարկը կիսակառույց։",Nov-25-2022_00-23,,,,,https://list.am/en/item/13749544,,,,,,
House,Stone,300 sq.m.,2,5,1,,,Euro Renovation,"Պավլովի փողոցի 1-ին նրբանցք 4, Գյումրի","45,000,000 ֏",AMD,"Urgent Two-storey private house for sale, euro-renovated, with all communal facilities,Living area 262 sq. M.The area of the park is 200 square meters. With fruit trees,Large balcony 65 sq. M. Area,Euro doors and windows, three-layer windows and barred,Iron entrance door, blacksmith work,Location of the house East-West,Has individual heating system,Spacious kitchen with furnitureThree stone garagesWe will agree on the final price on the spotUrgent!Exchange with a smaller and affordable homeTranslated from Armenian",Nov-25-2022_00-23,200 sq.m.,,,,https://list.am/en/item/16121473,,,,,,
House,Stone,210 sq.m.,2,8+,3+,Available,Not available,Cosmetic Renovation,"Աճեմյանի փողոց 7, Գյումրի","$175,000",USD,"The house is located in the center of Gyumri, near Vardanants Square (400 m away), not far from the Tumo center, Albert Mkrtchyan's films (Song of the Old Days) and other films were shot on the same street. The house is located in Kumayr reserve. A part of the house is a functioning guest house (Kumayri Guest House), the house has a big yard with fruit trees, a big chat room. It is very convenient to turn the whole house into a guest house with 7 separate rooms, with their separate entrances. There is permanent gas, water. The house is on the other side.Translated from Armenian",Nov-25-2022_00-23,436 sq.m.,,,,https://list.am/en/item/17569126,,,,,,
House,Monolith,200 sq.m.,1,4,2,,,Cosmetic Renovation,Shirak › Arapi,"$26,000",USD,"URGENTLY needed sepak house, I want to buy it, I will tell you in detail, URGENT) I will bargain, I will bargain well) ;) The house with all utilities is more beautiful on the inside, don't be surprised by the outer walls.Translated from Armenian",Nov-25-2022_00-23,1200 sq.m.,,,,https://list.am/en/item/17666621,,,,,,
House,Stone,110 sq.m.,2,8+,1,,,Partial Renovation,"Միխայիլ Սալտիկով-Շեդրինի փողոց 1, Գյումրի","$11,000",USD,A two-storey stone house is for sale. Each floor is 110 square meters. 60 sq. M. Of the first floor is renovated. The bathroom is completely renovated. It has water and sewage. The rest is not repaired. He does not have a property certificate. Please do not call those who really want to call in vainTranslated from Armenian,Nov-25-2022_00-23,400 sq.m.,,,,https://list.am/en/item/17898353,,,,,,
House,Stone,159 sq.m.,1,4,1,,,No Renovation,Shirak › Gyumri,"9,200,000 ֏",AMD,"It is located 2 km from Gyumri (on the road to Marmashen village) It has a basement of 53 square meters, a garage, and a game room of 24 square meters on the roof.IT IS ALSO AVAILABLE UNDER THE INCOME TAX REFUND ACT.Translated from Armenian",Nov-25-2022_00-23,1000 sq.m.,,,,https://list.am/en/item/18175184,,,,,,
House,Stone,1000 sq.m.,1,4,1,Available,3 or more spots,Partial Renovation,Shirak › Gyumri,"$45,000",USD,"Սեփական տունը գտնվում է Գյումրի Շիրվանզադե 26-26/1 հասցեով, տարածքի ճակատը 36 մ։ բնակելի տան մակերեսը 91մ, 4 մեծ լուսավոր սենյակ։ Գարաժի տարածքը 70մ։ առկա է մանսարդային տարածք։ Առկա է` Գազ, ջուր, հոսանք, հեռախոս։ Զանգահարել մինչև 22:00",Nov-25-2022_00-23,900 sq.m.,"ELectricity, water supply, natural gas, sewerage",,,https://list.am/en/item/15497346,,,,,,
House,Stone,120 sq.m.,1,3,1,,,Old Renovation,Shirak › Mayisyan,"$11,000",USD,"‼️ URGENTLY for sale 3 s. Own house in Mayisyan village, the house needs cosmetic repairs, land area 1000 m/sq with fruit trees. PRICE: $11,000‼️Translated from Armenian",Nov-25-2022_00-23,1000 sq.m.,,,,https://list.am/en/item/18273978,,,,,,
House,Stone,104 sq.m.,1,3,1,,,Old Renovation,Shirak › Mayisyan,"$11,000",USD,Fruit treesPrice negotiableTranslated from Armenian,Nov-25-2022_00-23,1000 sq.m.,,,,https://list.am/en/item/18017907,,,,,,
House,Stone,70 sq.m.,2,3,1,,Not available,Old Renovation,"Խրիմյան Հայրիկ մայրուղի 35, Գյումրի","$16,000",USD,"For details, please call 2nd tel. By numberTranslated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/18014712,,,,,,
House,Stone,530 sq.m.,1,7,1,By agreement,3 or more spots,Partial Renovation,"Մյասնիկյան փողոց 191, Գյումրի","$75,000",USD,"Private house for sale, 1 km away from the center, has a garage for 3 cars made of stone, has a basement of 30 square meters, roof of the house @ wooden roof, permanent gas, water, electricity. Has no heating system, fruit trees, garden. Negotiable...Translated from Armenian",Nov-25-2022_00-23,400 sq.m.,,,,https://list.am/en/item/17836048,,,,,,
House,Stone,92 sq.m.,1,4,1,Available,Not available,Partial Renovation,"Աթարբեկյան փողոց 131, Գյումրի","$35,000",USD,"Own house for sale in the heart of Gyumri, it has a basement, it has a garage, the price is negotiableVery urgentBehind Phaeton RestaurantTranslated from Armenian",Nov-25-2022_00-23,92 sq.m.,,,,https://list.am/en/item/18332843,,,,,,
House,Stone,160 sq.m.,1,3,1,Not available,1 spot,No Renovation,"Կուրղինյան փողոց 1-ին փակուղի 10/2, Գյումրի","$33,000",USD,"A semi-detached house for sale in the rear of the Milk Factory, near the Basin, all building permits are available, the floor plans are available. The total area of the building is 224 sq/m, of which the living area is 160 sq/m, the area planned for the garage is 20 sq/m. The house consists of 3 rooms, of which 1 room is renovated, there is a tiled bathroom, euro door, euro windows. The area is separated by stone walls and is newly built, there is a basement area. A kindergarten, a school and many shops are nearby...Translated from Armenian",Nov-25-2022_00-23,224 sq.m.,,,,https://list.am/en/item/15472488,,,,,,
House,Stone,293 sq.m.,1,5,1,Not available,1 spot,Old Renovation,"Sargsyan 2nd row, Gyumri","$55,000",USD,"Վաճառվում է Առանձնատուն Հին Քաղաքապետարանի հետնամասում ։Շինության ընդհանուր մակերեսը կազմում է 338քմ, որից բնակելի մակերեսը 293ք/մ է։ Տունը բաղկացած է 5 սենյակներից։ Ապահովված է բոլոր անհրաժեշտ կոմունիկացիաներով։ Տունը պարսպապատված է։ Բակում նախատեսված է տարածք ամառային հանգստի համար, որտեղ կան ծառեր և ծաղիկներ։ Մուտքին տեղադրված են փայտյա դռներ, փայտյա պատուհաններ, տեղադրված են երկաթյա դարպաս, ինչպես նաև նկուղային հատված ողջ տան երկայնքով։Առկա է քարե ավտոտնակ նախատեսնված 2 մեքենայի կայանման համար։Հարևանությամբ են գտնվում մանկապարտեզ, դպրոց և բազմաթիվ խանութներ",Nov-25-2022_00-23,338 sq.m.,,,,https://list.am/en/item/14496468,,,,,,
House,Stone,400 sq.m.,2,8+,2,,,Partial Renovation,Shirak › Sarnaghbyur,"$40,000",USD,Шираки марз г. Сарнахбюр предаётся двух этажный дом все комуналние условиях газ. Вада гарячи холодной фруктовое деревя около 200 штук все плодосние + 2 помишение для хозяйство,Nov-25-2022_00-23,2020 sq.m.,,,,https://list.am/en/item/17156574,,,,,,
House,Stone,420 sq.m.,1,5,1,By agreement,Not available,Cosmetic Renovation,"Abovyan street, Gyumri","$85,000",USD,"Two private houses in one yard for saleք ․ Gyumri Abovyan street420 square meters - total areaThe area of the first house is 80 square meters ․The area of the second house is 100 square meters ․5 roomsCosmetically renovatedKarashenYard:The sale price is $ 85,000Code 3586Translated from Armenian",Nov-25-2022_00-23,420 sq.m.,,,,https://list.am/en/item/17843199,,,,,,
House,Stone,160 sq.m.,1,6,1,,,Partial Renovation,Shirak › Kamo,"$10,000",USD,"Shirak marz village Kamo. The house is for sale with a garage and cattle shed, there is gas, electricity, water, call for detailsTranslated from Armenian",Nov-25-2022_00-23,650 sq.m.,,,,https://list.am/en/item/18046770,,,,,,
House,Stone,200 sq.m.,2,6,1,Available,Not available,Partial Renovation,Shirak › Artik,"$35,000",USD,"Վաճառվում է երկհարկանի առանձնատուն քաղաք Արթիկ Տեր-Գաբրիելյան փողոցում, կոմունալ բոլոր հարմարություններով, տաք և սառը ջրով: ։ Երկրորդ հարկը միայն գաջած։ ՈՒնի այգի պտղատու ծառերով, նկուղ, ձեղնահարկ և առանձին շինություն (անասնագոմ) ։Գյումրի քաղաքից 22 կմ։Ռեալ գնորդի դեպքում գինը սակարկելիПродается двухэтажный частный дом по улице Артика Тер-Габриеляна со всеми коммунальными удобствами, горячей и холодной водой. На первом этаже евро ремонт, санузел выложен плиткой. Европейские окна. Итальянская система отопления, fondital котел с алюминиевыми радиаторами. Второй этаж только оштукатурен. Он имеет сад с фруктовыми деревьями, подвал, чердак և отдельное здание (сарай) 22 км от Гюмри.",Nov-25-2022_00-23,650 sq.m.,,,,https://list.am/en/item/17976514,,,,,,
House,Stone,120 sq.m.,1,3,1,,,No Renovation,Shirak › Aygabats,"$15,000",USD,"Fenced private house, no interior decorationIron gate gateTranslated from Armenian",Nov-25-2022_00-23,1800 sq.m.,,,,https://list.am/en/item/18222576,,,,,,
House,Bricks,250 sq.m.,3,4,2,Available,Not available,Partial Renovation,"2-րդ թաղամաս 12, Արթիկ","$25,000",USD,Negotiable for a real buyerTranslated from Armenian,Nov-25-2022_00-23,158 sq.m.,,,,https://list.am/en/item/17656313,,,,,,
House,Stone,103 sq.m.,1,3,1,,,Partial Renovation,"Խաչատուր Աբովյանի փողոց 272, Գյումրի","$39,900",USD,"The house is located in the center with communal facilities, east-west position, has a large fenced yard, a partial building that can be used for different purposes. For details, call the mentioned phone number. NEGOTIABLE.Code 3003Translated from Armenian",Nov-25-2022_00-23,434 sq.m.,,,,https://list.am/en/item/17605298,,,,,,
House,Stone,177 sq.m.,1,3,2,Not available,Not available,Partial Renovation,"Դերենիկ Դեմիրճյան փողոց 28, Գյումրի","$49,500",USD,"The house is in a very favorable position which can be used for different purposes, for example, office, workshop, guest house, etc. With communal facilities Own individual heating system. It is a very dry and warm house. NEGOTIABLECode 1717Translated from Armenian",Nov-25-2022_00-23,210 sq.m.,,,,https://list.am/en/item/17635209,,,,,,
House,Stone,100 sq.m.,2,6,2,,,Cosmetic Renovation,Shirak › Artik,"$80,000",USD,"2-storey private house is for sale in Artik, it has a basement, a garage for 2 cars.Translated from Armenian",Nov-25-2022_00-23,130 sq.m.,,,,https://list.am/en/item/17859700,,,,,,
House,Stone,450 sq.m.,1,2,1,,,No Renovation,Shirak › Gyumri,"$20,000",USD,"2-room apartment for sale. 3 _ is a half-built sepia house. On Kutasyan Street, price negotiable (Negotiable)Translated from Armenian",Nov-25-2022_00-23,90 sq.m.,,,,https://list.am/en/item/18084715,,,,,,
House,Stone,100 sq.m.,1,4,1,Available,Not available,No Renovation,Shirak › Anushavan,"$30,000",USD,"A private house with all communal facilities is for sale in Anushavan community.The house has a large basement and an attic. There is a 0.15 hectare land adjacent to the house, a barn, a bakery, a barn in good condition.The house is for sale together with the whole property.Translated from Armenian",Nov-25-2022_00-23,1600 sq.m.,,,,https://list.am/en/item/17949003,,,,,,
House,Stone,160 sq.m.,2,4,1,,Not available,No Renovation,Shirak › Mets Mantash,"$26,000",USD,"Newly built, unrenovated house with land, water, gas in the area is not connectedTranslated from Armenian",Nov-25-2022_00-23,1800 sq.m.,,,,https://list.am/en/item/16704753,,,,,,
House,Stone,114 sq.m.,1,5,1,By agreement,1 spot,Partial Renovation,"Տեքստիլագործների փողոց 62, Գյումրի","$85,000",USD,"A one-story stone house in the central part of Gyumri, the building area of which is 114 square meters. M. The total land near the house: 450 sq. M.: It is partially renovated, an iron entrance door is installed. All communications have been completed. There is a living room, 4 bedrooms, kitchen and 1 bathroom, basement. In the yard there is a garage (the area is 46.96 sq. M), an additional building (the area is 25 sq. M) There are fruit trees in the yard.Translated from Armenian",Nov-25-2022_00-23,450 sq.m.,,,,https://list.am/en/item/18136051,,,,,,
House,Stone,250 sq.m.,1,5,1,,,Cosmetic Renovation,"Լևոն Մադոյան փողոց 233, Գյումրի","$60,000",USD,"House for sale in Gyumri. There is a yard, a garage, a basement. Or exchanged with a 1-room apartment for an additional fee.Translated from Armenian",Nov-25-2022_00-23,100 sq.m.,,,,https://list.am/en/item/17410844,,,,,,
House,Monolith,162 sq.m.,2,7,2,,,Partial Renovation,"15th Street 11, Gyumri","$42,500",USD,"Two-storey house for sale with a living area of 162 sq/m, 7 rooms, located in the Ani district, at the end of Yeghrishe Charents street, near the Austrian district. An iron door is installed, interior doors and windows are Euro. It is provided with round-the-clock water supply and gas supply. An individual heating system is installed, there are 2 bathrooms in the private house. It has a closed and open economic balcony, a basement section along the whole house. A space in front of the building, a parking space and a garage are allocated for the car. There is an orchard in the yard. All necessary shops, recreation and entertainment places, etc. Are nearby.Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/18348410,,,,,,
House,Stone,60 sq.m.,1,3,1,,2 spots,Old Renovation,Shirak › Gyumri,"$20,000",USD,"A private house with all utilities is for sale, it also has a basement. Address c. Gyumri Goguntsi 5 bd. 3, next to the 4th pharmacy, call for details.Translated from Armenian",Nov-25-2022_00-23,45 sq.m.,,,,https://list.am/en/item/18241947,,,,,,
House,Stone,765 sq.m.,1,4,3+,,,Old Renovation,Shirak › Gyumri,"$17,000",USD,"The total area of 765.7 sq/m, a bathroom is for sale in the meat processing plant; in addition For sewerage details, write to meTranslated from Armenian",Nov-25-2022_00-23,765 sq.m.,,,,https://list.am/en/item/17096038,,,,,,
House,Stone,95 sq.m.,1,3,1,By agreement,1 spot,Cosmetic Renovation,"Ղորղանյան փողոց 24, Գյումրի","$55,000",USD,"In the center of the city (Мост), a private house with a total area of 95, built of black hewn stone, is for sale.Garden 85 square meters, fruit trees, attic, auxiliary building in the yard, stone garage, k. B. H, gas, light, hot and cold water, privatized.Translated from Armenian",Nov-25-2022_00-23,100 sq.m.,"ELectricity, water supply, natural gas, sewerage",SAuna,,https://list.am/en/item/18111859,,,,,,
House,Stone,80 sq.m.,1,3,1,Available,Not available,Partial Renovation,"Դաշտենցի փողոց 63, Գյումրի","$36,000",USD,3-room private house for sale in Gyumri city. For more information call.Translated from Armenian,Nov-25-2022_00-23,,,,,https://list.am/en/item/18114661,,,,,,
House,Stone,120 sq.m.,1,4,1,,,No Renovation,Shirak › Artik,"$25,000",USD,C. Meghrashen Apply to RuzanTranslated from Armenian,Nov-25-2022_00-23,,,,,https://list.am/en/item/18261501,,,,,,
House,Stone,440 sq.m.,1,5,1,,,No Renovation,Shirak › Artik,"6,500,000 ֏",AMD,"For details call viber, whatsAppTranslated from Armenian",Nov-25-2022_00-23,360 sq.m.,,,,https://list.am/en/item/18295976,,,,,,
House,Stone,75 sq.m.,1,2,2,,,Old Renovation,"Վահան Տերյան փողոցի 1-ին նրբանցք 1/2, Գյումրի","$15,500",USD,"$15,500A 2-room private house for sale in the city center, 75 square meters, there is a summer kitchen, a bathroom, a toilet in the yard.Address: Teryan Street.Translated from Armenian",Nov-25-2022_00-23,90 sq.m.,,,,https://list.am/en/item/18346188,,,,,,
House,Stone,139 sq.m.,2,4,1,,,Old Renovation,"Մուշ 2 թաղամաս 23/2, Գյումրի","$16,000",USD,"Two-storey house for sale in Sheram district. The total area of the building is 139 square meters, of which the basement is 30 square meters, the living area is 109 square meters. The house needs cosmetic renovation. There are iron and wooden doors and wooden windows at the entrance. The house consists of 4 rooms, 2 bathrooms and 2 open balconies. The place is calm and quiet.Translated from Armenian",Nov-25-2022_00-23,139 sq.m.,,,,https://list.am/en/item/14610187,,,,,,
House,Stone,308 sq.m.,2,6,1,,,Cosmetic Renovation,"Վ. Սարգսյան փողոց 1-ին թաղամաս 88/1, Գյումրի","$115,000",USD,"In the Back of the Old Ambulance 2 Two-Storied Houses For Sale, which is addressed to V. Sargsyan street, 1st district 88/1. The total area of the first building is 393 square meters, the living area is 308 square meters. It is provided with all the necessary communications. Iron doors are installed at the entrance, there are iron gates, wooden windows, cosmetic repairs. The house has a water heater, it is heated with a central gas system. The private house consists of 7 rooms, the kitchen and the bathroom is tiled. The private house has a stone garage, a yard with a stone fence, an orchard and a basement area. The private house has 3 open balconies.According to the same project, in front of the building there is երկ this two-storey private house without interior decoration. The sale price includes 2 two-storey houses together ․․․It is possible that the private houses will serve 2 independent separate houses ․․․Kindergarten, school, numerous shops are nearby. The place is quiet and quiet.Translated from Armenian",Nov-25-2022_00-23,393 sq.m.,,,,https://list.am/en/item/12843526,,,,,,
House,Stone,390 sq.m.,2,7,2,,,Old Renovation,Shirak › Artik,"$33,500",USD,"Двухетажный каменный дом, есть подвал по всему дому…",Nov-25-2022_00-23,,,,,https://list.am/en/item/15299046,,,,,,
House,Monolith,280 sq.m.,2,5,2,Available,2 spots,Cosmetic Renovation,Shirak › Artik,"$75,000",USD,"2-storey private house for sale in Artik. 100 m from the central square. On. Has central heating. And with gas and electricity and wood. Garage for 2 cars, barn, bakery, tonir, fuel storage.Translated from Armenian",Nov-25-2022_00-23,980 sq.m.,,,,https://list.am/en/item/17866671,,,,,,
House,Stone,105 sq.m.,1,4,1,,,Old Renovation,"Karen Demirchyan street, Gyumri","$32,000",USD,"Private house with garage for saleGas and water in the houseToilet, bathroom inside the houseIn case of a real buyer, the price is negotiableURGENT!Translated from Armenian",Nov-25-2022_00-23,130 sq.m.,,,,https://list.am/en/item/17831602,,,,,,
House,Stone,643 sq.m.,1,4,1,,,Cosmetic Renovation,Shirak › Maralik,"$55,000",USD,"A 4-room house is for sale in the city of Maralik (with partial ownership) The house is cosmetically renovated.It is fenced on 4 sides (11.3/22.6), in addition to the building, there is a plot of land suitable for gardening.Along with the house, an adjacent plot of land measuring 40 square meters is for sale.Translated from Armenian",Nov-25-2022_00-23,40 sq.m.,,,,https://list.am/en/item/18249835,,,,,,
House,Stone,223 sq.m.,2,5,2,,,Partial Renovation,"Jambul street, Gyumri","$41,500",USD,"The house is ready. Except for the bathroomJambul street. House 52/1It is also available for rent, for more information, call Armen at 8-991-666-26-55 (WhatsApp)Translated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/16898891,,,,,,
House,Stone,125 sq.m.,1,5,1,,,Partial Renovation,"Ghandilyan street, Gyumri","30,000,000 ֏",AMD,Private large house for sale. There are two garages. There is also a two-room house and a wooden pavilion in the yard.Translated from Armenian,Nov-25-2022_00-23,,,,,https://list.am/en/item/18122907,,,,,,
House,Stone,125 sq.m.,1,3,1,,,No Renovation,"Վազգեն Սարգսյան փողոց 26/1, Գյումրի","$30,500",USD,"130 square meters is for sale in Gyumri city (Leningradyan) Own house with living area, yard 350 square meters. Fruit trees, warehouse, central heating, gas, light, water, concrete roof, privatized.Translated from Armenian",Nov-25-2022_00-23,450 sq.m.,,,,https://list.am/en/item/17995412,,,,,,
House,Stone,110 sq.m.,1,4,1,,,Partial Renovation,"Կոմսոմոլի փողոց 16-րդ նրբանցք 2, Գյումրի","$60,000",USD,"It is provided with all the communal facilities, heating system, permanent water. Location southwest. In the yard there are fruit trees, a large garage.Translated from Armenian",Nov-25-2022_00-23,80 sq.m.,,,,https://list.am/en/item/16250036,,,,,,
House,Stone,220 sq.m.,2,4,2,,,Euro Renovation,Shirak › Artik,"$98,000",USD,"NEWLY RENOVATED DOUBLE HOUSE FOR SALE IN ARTIK CITY.It is located on the right side of the road leading to the colony.Address: Gr. Zohrap street, house 44.The total land is 1200 square meters, fenced with tuff stone.Has a 400 square meter orchard with 18 trees.The total area of the building is 220 square meters. Each floor is 110 square meters, has a spacious balcony on the garden side, under which an entrance is built.All the windows and doors of the house are of European production. The house is heated by a 30 kW boiler of the Italian company BERETTA EXCLUSIVE, the heating radiators are 192 pieces, the connection parts are again Italian, the pipes are made of FIRAT fiberglass.On the first and second floors there is a living room with an area of about 27 square meters, 4,8x5,6 meters.The living room on the second floor can be divided into 2 rooms.There are bathrooms on the first and second floors, with all the amenities, tiled with Spanish tiles, there is a plastic water container with a capacity of 300 liters with its automatic water supply system.On the first floor there is also a parking lot, a kitchen tiled with Spanish tiles, with built-in quality furniture.On the second floor, in addition to the spacious and large living room, there are also two spacious rooms.The roof is covered with aluminum sheets, the roof is soundproofed.All rooms in the house ներն bathrooms have ventilation holes built into the walls rising to the roof.There is a basement under the kitchen, the entrance to which is from the parking room.The house also has a separate auxiliary building, which can be used as appropriate.You can see the other pictures of the house in my other announcement.Translated from Armenian",Nov-25-2022_00-23,1200 sq.m.,,,,https://list.am/en/item/11902295,,,,,,
House,Stone,210 sq.m.,2,4,2,,,Euro Renovation,Shirak › Artik,"$98,000",USD,"Հասցե: Ք. Արթիկ Գր. Զոհրապ փողոց, տուն 44ՎԱՃԱՌՎՈւՄ Է ԵՐԿՀԱՐԿԱՆԻ ՆՈՐ ՎԵՐԱՆՈՐՈԳՎԱԾ ԱՌԱՆՁՆԱՏՈւՆ ԱՐԹԻԿ ՔԱՂԱՔՈւՄ:Գտնվում է Գ. Նարեկացի փողոցից մոտ 25մ հեռավորության վրա`դեպի գաղութ բարձրացող ճանապարհ:Հասցեն` Գր. Զոհրապ փողոց, տուն 44:Ընդհանուր հողատարածքը 1200քմ, պարսպապատված տուֆ քարով:Ունի 400քմ բերքատու այգի` Թվով 18 ծառ:Շենքի ընդհանուր մակերեսը 220քմ է` Յուրաքանչյուր հարկը 110քմ, այգու կողմից ունի ընդարձակ պատշգամբ, որի տակ կառուցված է նախամուտք:Առանձնատան և նախամուտքի բոլոր պատուհաններն ու դռները եվրոպական արտադրության են: Առանձնատունը ջեռուցվում է իտալական BERETTA EXCLUSIVE ֆիրմայի 30Կվտ հզորության կաթսայով, ջեռուցման մարտկոցները` Թվով 192 հատ և կցորդման մասերը կրկին իտալական են, խողովակները ապակեմանրաթելային FIRAT ֆիրմայի:Առաջին և երկրորդ հարկերում կա մոտ 27քմ տարածքով մեկական հյուրասենյակ` 4,8x5,6 մետր:Երկրորդ հարկի հյուրասենյակը հնարավոր է բաժանել 2 սենյակների:Առաջին և երկրորդ հարկերում կան սանհանգույցներ, բոլոր հարմարություններով և սալիկապատված իսպանական սալիկներով, առկա է 300 լիտր տարողությամբ ջրի պլաստմասե տարա իր ջրամղման ավտոմատ համակարգով:Առաջին հարկում է գտնվում նաև ավտոկայանատեղին և խոհանոցը` Սալիկապատված իսպանական սալիկներով, ներկառուցված որակյալ կահույքով:Երկրորդ հարկում բացի ընդարձակ ու մեծ հյուրասենյակից կա նաև երկու ընդարձակ սենյակներ:Տանիքը պատված է ալյումինե թիթեղներով, տանիքի ծածկը ձայնաջերմամեկուսացված է:Տան բոլոր սենյակները և սանհանգույցներն ունեն դեպի տանիք բարձրացող պատերի մեջ ներկառուցված օդափոխանակության անցքեր:Խոհանոցի տակ է գտնվում նկուղը, որի մուտքը ավտոկայանատեղի սենյակից է:Առանձնատունը ունի նաև առանձին օժանդակ շինություն, որը կարելի է օգտագործել ըստ նպատակահարմարության:Առանձնատան մյուս նկարները կարող եք դիտել իմ մյուս հայտարարությունում:",Nov-25-2022_00-23,,,,,https://list.am/en/item/11903308,,,,,,
House,Stone,200 sq.m.,2,4,1,Available,Not available,Euro Renovation,"Rustaveli Street, Gyumri","50,000,000 ֏",AMD,"Two-story house for sale in Gyumri4 rooms, Rustaveli street.Thoroughly reconstructedAlong with property and appliancesFor details, call the indicated phone number.Code 4470Translated from Armenian",Nov-25-2022_00-23,200 sq.m.,,,,https://list.am/en/item/18197716,,,,,,
House,Stone,45 sq.m.,1,2,1,Not available,1 spot,Old Renovation,"Ախուրյանի խճուղի 20, Գյումրի","$10,000",USD,"Շտապ Վաճառվում է 2 սենյականոց սեփական տուն. Տունն ունի մեծ բակ, մրգատու ծառներ, մանրամասների համար զանգահարելПродается 2-х комнатный частный дом. У дома большой двор, фруктовые деревья, подробности по телефону",Nov-25-2022_00-23,1500 sq.m.,,,,https://list.am/en/item/17569276,,,,,,
House,Stone,45 sq.m.,1,2,1,Not available,Not available,Old Renovation,"Ախուրյանի խճուղի 3, Գյումրի","$10,000",USD,"Շտապ Վաճառվում է 2 սենյականոց սեփական տուն. Տունն ունի մեծ բակ, մրգատու ծառներ, մանրամասների համար զանգահարեՍակարկելСрочно продается 2-х комнатный частный дом. У дома большой двор, фруктовые деревья, подробности по телефонуоборотный",Nov-25-2022_00-23,1500 sq.m.,,,,https://list.am/en/item/17569265,,,,,,
House,Stone,660 sq.m.,3,8+,3+,Not available,1 spot,Cosmetic Renovation,Shirak › Akhuryan,"$61,000",USD,"This beautiful luxurious newly built private house with all utilities is for sale urgently 660 m residential 1200 m totalThe house has a big yard, a garden with different fruit trees, a tonratun, a sauna, a swimming pool, a sports hall, a big garage, a workshop with a basement, a barn, the house is fully heated, each floor has its own bathroom and toilet. Call the mentioned phone number for details.Negotiable.Code 0024Translated from Armenian",Nov-25-2022_00-23,1000 sq.m.,,,,https://list.am/en/item/9874410,,,,,,
House,Stone,180 sq.m.,1,4,1,,,No Renovation,"Չեխովի փողոց 2, Գյումրի","$35,500",USD,"This newly built house was completely renovated after the earthquake and was not finished. The completion of cosmetic repairs is left to the buyer's taste and discretion. For details, call the indicated phone number.Code 5373Translated from Armenian",Nov-25-2022_00-23,400 sq.m.,,,,https://list.am/en/item/17326150,,,,,,
House,Stone,60 sq.m.,3,4,1,,Not available,Cosmetic Renovation,Shirak › Hovuni,"$20,000",USD,"Շիրակի մարզի Հովունի գյուղում վաճառվում է Լիտվական 3 հարկանի տուն։ Ապահովված է կոմունալ բոլոր հարմարություններով։ Տանիքը կատարյալ վիճակում է։ Տնամերձ հողատարածքը մշակելի է, տան հարակից կան ծառներ։Անասնագոմը գտնվում է բավարար վիճակում, առկա է տանիքի վերանորոգման կարիք։Գինը՝ սակարկելի",Nov-25-2022_00-23,1100 sq.m.,,,,https://list.am/en/item/18183592,,,,,,
House,Monolith,100 sq.m.,1,4,1,,,Designer Renovation,"Ղուկասյան փողոց 1-ին և 2-րդ շարքեր 28, Գյումրի","$30,000",USD,"An apartment is for sale in the square near the station, the apartment has permanent water, gas, electricity. It is very close to 26 schoolsTranslated from Armenian",Nov-25-2022_00-23,,,,,https://list.am/en/item/17132651,,,,,,
House,Stone,250 sq.m.,2,5,2,By agreement,Not available,Partial Renovation,Shirak › Marmashen,"$35,000",USD,"There is a need for interior decoration.Large yard, fenced, with fruit trees.I will exchange it with another apartment in c. In Gyumri, it is desirable to have a red cross.I will exchange with the car for a surcharge.Call for details.Translated from Armenian",Nov-25-2022_00-23,1200 sq.m.,,,,https://list.am/en/item/17187862,,,,,,
