Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links,Condition,Service Lines,Facilities
House,Stone,1000 sq.m.,1,1,1,,,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Parakar,"60,000 ֏ daily",AMD,A summer house is for daily rent in ParakarAt a distance of 12 kilometers from YerevanThe summer house has all the amenitiesRest roomSwimming poolGreen yardPavilion for 20 peopleSummer kitchenATTENTION no dishesCall to make a reservationCode 50243Translated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/17909738,,,
House,Stone,100 sq.m.,1,1,1,,,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Echmiadzin,"85,000 ֏ daily",AMD,A private house is for daily rent in Etchmiadzin3-4 people for the nightSummer pavilionSwimming poolTablewareSpeakers:Overnight and without overnight the value is the sameFor more information callCode 50260Translated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/17964506,,,
House,Stone,30 sq.m.,1,2,1,,,Major Renovation,,,,,,,"Նալբանդյան փողոց 1/65, Վաղարշապատ","10,000 ֏ daily",AMD,"The first floor of a private house is for short-term rent. Has a separate entrance, parking, yard.The house is provided with all the utilities and necessary accessories.The furniture and equipment is completely new.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/16849559,,,
House,Stone,800 sq.m.,2,5,1,Not available,Not available,Old Renovation,200 sq.m.,5,Yes,No,Not included,1 month,Armavir › Argavand,"180,000 ֏ monthly",AMD,"VM083 2-storey, 5-room detached house for RENT, 800/200 sq. M.Uteruscommunications are availablepossible with and without furnitureyardgarden80 square meters of storage spaceTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18098956,,,
House,Stone,130 sq.m.,1,2,1,Available,1 spot,No Renovation,70 sq.m.,4,Yes,Yes,Not included,By Agreement,Armavir › Echmiadzin,"90,000 ֏ monthly",AMD,"AS089:K. A 2-room private house is for rent on Mashtots Street in Etchmiadzin. The house is not renovated, but it is provided with utilities, property, appliances, hot and cold water. The cost is AMD 90,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18138905,,,
House,Stone,300 sq.m.,1,8+,1,,1 spot,Partial Renovation,,2,Yes,Yes,Not included,2 months,Armavir › Echmiadzin,"350,000 ֏ monthly",AMD,"Կոդ VՏ01 լինում է նաև տալ մասնակիՎարձով Է տրվում Սեփական ՏունԷջմիածին Քաղաքում Շուկայի մոտՀարկ 1-2Մակերեսը 300քմՏՈւնը ունի կոմունալ բոլոր հարմարություններ պատուհաններն փոխված, տաք սառը ջուր, արևկողմ բնակարան Տրվում է գույքի, տեխնիկայի հետ` Ունի լողավազան և այլն:",Nov-24-2022_22-59,,,https://list.am/en/item/14029582,,,
Country House,Stone,1000 sq.m.,1,1,1,,Not available,Designer Renovation,,8+,Yes,No,Included,By Agreement,Armavir › Armavir,"60,000 ֏ daily",AMD,"Օրավարձով է տրվում Առանձնատուն Արմավիրի մարզում Երևանի Կենտրոնից 14 կմ հեռավորության վրա։Առանձնատունը ունի բոլոր հարմարությունները՝• Մեծ բակ• Լողավազան• Մանղալ,• 1 սենյակ• Սանհանգույց• Լոգարան• ԽոհանոցՏրվում է միայն ընտանեկան առիթների համար։",Nov-24-2022_22-59,,,https://list.am/en/item/14652917,,,
House,Stone,800 sq.m.,1,1,1,,,Designer Renovation,800 sq.m.,8+,Yes,No,Not included,By Agreement,Armavir › Musaler,"70,000 ֏ daily",AMD,A private house is for daily rentIt is located 20 minutes away from the cityIS GIVEN WITHOUT NIGHTNecessary dishes are availableSummer pavilionSwimming poolBeautiful yardFor more information callCode 50187Translated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/17712561,,,
House,Stone,100 sq.m.,2,3,1,Available,Not available,Major Renovation,,5,Yes,Yes,Not included,By Agreement,Armavir › Echmiadzin,"200,000 ֏ monthly",AMD,"AS077:K. A 3-room two-story private house is for rent on Baghramyan Street in Etchmiadzin. The house is provided with all communal conditions, there is property, equipment and air conditioner. The cost is AMD 200,000Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_22-59,"TElevision, internet, air conditioner","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron",https://list.am/en/item/18285630,,,
House,Stone,560 sq.m.,2,8+,2,Available,2 spots,Partial Renovation,600 sq.m.,8+,Yes,Yes,Not included,1 month,"Մեսրոպ Մաշտոցի փողոց 19, Արմավիր","500,000 ֏ monthly",AMD,"The house is for rent on 1 or 2 floors, it is possible together. It has all utilities, the garage can also be provided. There is a heating system on the 1st floor, the total rent is 500,000.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18211733,,,
House,Stone,1500 sq.m.,3,1,2,Available,Not available,Designer Renovation,3000 sq.m.,8+,Yes,No,By Agreement,By Agreement,Armavir › Echmiadzin,"140,000 ֏ daily",AMD,"Ejmiacin GARDEN invites you to hold birthday, wedding, wedding or other events with us.We have 3000 square meters! An area that can be provided on other terms for large events (up to 300 people)ATTENTION!In the yard of his house is St. George Church, which is consecrated by the priest of the Mother See of Holy Etchmiadzin. Built in 2020.ATTENTION! We have no restrictions on music, loud voice.Distance from Yerevan 25 km.* Swimming pool on 8x5 (filtered)* Luxurious night lighting* Pavilion (designed for 32 people)* Tableware (same, high quality)* Possibility of making barbecue, tonir, khashlama with wood (barbecue bottle)* Powerful speakers (bluetooth, aux)* 1 rest roomThe price is different on Fridays, Saturdays and Sundays.The house is provided without accommodation.Check in (entrance) - 10:00Check out - 10:30Code 8138Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/16561494,,,
House,Stone,1000 sq.m.,1,1,1,,,Major Renovation,800 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Armavir,"60,000 ֏ daily",AMD,"A private house is for daily rent in Armavir region, 15 km away from Yerevan.The house has all the amenities:• Large yard• Swimming pool• Mangal,• 1 room• Bathroom• Bathroom• KitchenIt is given only for family occasions.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/14663601,,,
Country House,Stone,2000 sq.m.,1,2,3+,,,Designer Renovation,2000 sq.m.,,,,,,"Բարեկամության փողոց 22, Ոսկեհատ","60,000 ֏ daily",AMD,"A wonderful place for family vacations and events is available for daily rent.Has all the facilities:2 bathrooms2 bathroomshot waterGas:TV:Air conditionerwi-fiaudio packageDishes for 50 people are providedThe entire area will be at your disposal from 11:00 to 23:00The price starts from 60,000 on Saturdays and 70,000 on SundaysIt is located on the Etchmiadzin-Voskehat roadTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/16550349,,,
House,Stone,1000 sq.m.,2,6,2,,,Major Renovation,500 sq.m.,,,,,,"Ալավերդյան փողոց 39, Վաղարշապատ","500,000 ֏ monthly",AMD,A two-storey capitally renovated private house is for rent.The area of the private house is located in the central part of the city.There are areas in the yard that can be used as a shop or lavash oven.The house is for sale. CostContractual.Translated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/17706236,,,
House,Stone,120 sq.m.,1,3,2,,,Euro Renovation,500 sq.m.,6,Yes,Yes,Not included,1 month,Armavir › Echmiadzin,"250,000 ֏ monthly",AMD,"Code AV010 price 250000 per monthCommission 40%3 bedroom house for rentEtchmiadzin city in Zvartnots districtFloor 1_1The area is 100 square meters, 460 square meters of landAshotComes with all property appliancesFor more information call...Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/14658355,,,
House,Stone,144 sq.m.,1,5,1,,2 spots,Major Renovation,2000 sq.m.,6,Yes,Yes,Not included,2 months,"Улица Анрапетутян 49, Армавир","250,000 ֏ monthly",AMD,"Приветствую.Начиная с января в Армавирском марзе (45 км от Еревана) освобождается шикарный дом: 3 спальни, столовая, гостинная, кухня, ванная. Входная дверь железная. Все окна металлопластиковые. Все комнаты обогреваются. Дизайнерский, капитальный ремонт был сделан 2 года назад. Есть большой двор и сад.Постоянная горячая-холодная вода. Скоростной интернет с WiFi-ом.Сейчас в доме проживают ребята из России, контракт заканчивается 31 декабря.Контакты: Если интересует, пожалуйста отправьте сообщение в лист. Ам-е или в эл. Почту sadoyanh@gmail.com. Я вам сам позвоню",Nov-24-2022_22-59,,,https://list.am/en/item/17945938,,,
Country House,Stone,1000 sq.m.,1,1,1,,,Designer Renovation,,8+,Yes,No,Included,By Agreement,Armavir › Armavir,"60,000 ֏ daily",AMD,"Օրավարձով է տրվում Առանձնատուն Արմավիրի մարզում Երևանից 16 կմ հեռավորության վրա։Առանձնատունը ունի բոլոր հարմարությունները՝• Մեծ բակ• Լողավազան• Մանղալ, խորովածի շիշ• 1 սենյակ• Սանհանգույց• Լոգարան• ԽոհանոցՏրվում է միայն ընտանեկան առիթների համար։",Nov-24-2022_22-59,,,https://list.am/en/item/14737396,,,
House,Stone,200 sq.m.,1,4,1,Available,1 spot,Designer Renovation,100 sq.m.,4,Yes,Yes,By Agreement,Without prepayment,Armavir › Echmiadzin,"400,000 ֏ monthly",AMD,"AS090:K. A 4-room private house is for rent in Etchmiadzin. Comes with furniture, appliances, linens and dishes. The house has a beautiful garden, garage, heating system and air conditioner. The cost is AMD 400,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17651522,,,
House,Stone,200 sq.m.,1,4,2,Available,1 spot,Major Renovation,120 sq.m.,4,Yes,Yes,Not included,By Agreement,Armavir › Echmiadzin,"250,000 ֏ monthly",AMD,"AS076:A 3-room private house is for rent in Zvartnots. The house is provided with all utilities, furniture and appliances. The cost is AMD 250,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18109397,,,
Country House,Stone,110 sq.m.,1,4,1,,,Euro Renovation,1000 sq.m.,,,,,,Armavir › Lukashin,"200,000 ֏ monthly",AMD,"Օրավարձով կամ ամսավարձով 4 սենյականոց ամառանոց Արմավիրի. Լուկաշին գյուղում։Կա՝ԼողավազանԳեղեցիկ բակ.ՍանհանգույցՄշտական տաք և սառը ջուրСдается одноэтажный каменный дом в Армавире с. Лукашенко. Дом полностью отремонтирован, санузел и кухня выложены плиткой, оборудованы качественной сантехникой. Комнаты красиво обставлены и оборудованы бытовой техникой...Есть красивый сад, басейн.",Nov-24-2022_22-59,,,https://list.am/en/item/18199747,,,
Townhouse,Stone,140 sq.m.,1,6,3+,,,Designer Renovation,480 sq.m.,,,,,,"3-րդ թաղամաս 1, Վաղարշապատ","$1,500 monthly",USD,"Townhouse for daily rent in Andranik district for family gatherings, evening events, birthdays and other occasions. The price is variable according to the number of guests. It is also available on a monthly basis.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17917023,,,
House,Stone,2000 sq.m.,1,1,1,,,Designer Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Armavir › Echmiadzin,"60,000 ֏ daily",AMD,Daily rent for summer family and eventsAll utilities are providedTV:Air conditionerwi-fi:Audio systemDishes are provided for 40-50 peopleThe whole area will be at your disposal from 11:00 to 23:00Located on the Etchmiadzin-Voskehat roadCode 50215Translated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/17741456,,,
House,Stone,110 sq.m.,1,3,1,,Not available,Euro Renovation,350 sq.m.,1,Yes,No,Included,2 weeks,Armavir › Echmiadzin,"10,000 ֏ daily",AMD,"A hotel-restaurant complex with a total area of 3.5ha, or any part of it or a room with all its facilities, 2 banquet halls, an indoor swimming pool, a sauna, guest houses, hotel rooms, with a waterfall and large and small besedkas with a pool, etc. The area is located on the shore of a 14ha pond. It is also for sale with an initial price of 1 million dollars.The closed area with swimming pool, living room and sauna (without sauna use) is rented for 5000 per hour. Guest houses cost 5-10,000 per day, pavilions - 5-10,000.Code 7384Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/13396483,,,
House,Stone,100 sq.m.,1,3,1,,,Cosmetic Renovation,3000 sq.m.,,,,,,Armavir › Arshaluys,"100,000 ֏ monthly",AMD,"On the central road of Arshaluys village, a 3-4-room detached house with a large facade and 2000 square meters of cultivated land is for rent. It has a garage, a huge shed, a bakery, a cellar, a closed shed, 2 wells, etc. The walls are newly painted, the bathroom is inside, the toilet is in the yard, it is mostly furnished.Code 7651Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18141852,,,
House,Stone,400 sq.m.,2,5,2,Available,2 spots,Old Renovation,500 sq.m.,5,Yes,Yes,Not included,1 month,Armavir › Echmiadzin,"450,000 ֏ monthly",AMD,A two-story full house is for rent near the center in Etchmiadzin.Code 7954Translated from Armenian,Nov-24-2022_22-59,"TElevision, internet, air conditioner, swimming pool, fireplace, barbecue oven, gazebo","FRidge, stove, washing machine, water heater",https://list.am/en/item/15324094,,,
House,Stone,265 sq.m.,1,6,2,,2 spots,Old Renovation,150 sq.m.,,,,,,"Улица Петразаводск, Вагаршапат","$135,000",USD,"Продается дом и швейный цех, подробности по телефону.",Dec-12-2022_21-10,,,https://list.am/en/item/18575408,,,
House,Stone,1500 sq.m.,2,5,2,Not available,2 spots,Partial Renovation,,,,,,,Armavir › Armavir,"$95,000",USD,"Total: 1500 square meters, Residential 320 square meters + Auxiliary buildings 108 square metersConstant hot/cold waterThe windows are EuropeanLandscaped yardStone wallCall for more informationTranslated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18392911,House is Unfinished,,
House,Stone,120 sq.m.,1,4,1,,,Old Renovation,790 sq.m.,,,,,,Armavir › Parakar,"$69,000",USD,"A house with a land is for sale in Parakar village. The total area of the house is 120 m /, the land area is 780 m /. The garden has fruit trees. The house has gas, drinking and irrigation water, a basement. For more information callTranslated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/17946164,,,
House,Stone,130 sq.m.,2,4,2,Available,Not available,Major Renovation,726 sq.m.,,,,,,"4-րդ փողոց 13, Մուսալեռ","$125,000",USD,"A large private house is for sale in the village of Musaler. Land: 726 square meters, house: 130 square meters.The mansion is fully renovated, equipped with modern property and equipment, European windows, iron entrance door, interior doors are installed. It has 3 bedrooms, a large dining room, a kitchen, a balcony with a beautiful view of Mount Ararat, 2 bathrooms, a basement of 12 square meters. It has a large yard and garden with fruit trees. The house has sewer, permanent drinking water, natural gas, heating system, solar water heater. The area is completely fenced with a height of 2.4 m.For other details, write or call the specified phone number or viber.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18224497,House is Finished,,
House,Stone,90 sq.m.,1,3,1,By agreement,1 spot,Cosmetic Renovation,1000 sq.m.,,,,,,Armavir › Metsamor,"$60,000",USD,"Constant drinking water, individual heating system, irrigation waterTranslated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18259918,House is Finished,,
House,Stone,284 sq.m.,2,6,1,Not available,1 spot,Old Renovation,600 sq.m.,,,,,,"Գասպարյանի փողոց 36, Փարաքար","$118,000",USD,A 2-storey capital house for sale. The house is corner. It has entrances from both sides. It has a greenhouse with its own pit.Translated from Armenian,Dec-12-2022_21-10,,,https://list.am/en/item/18069063,House is Finished,,
House,Monolith,99 sq.m.,1,4,1,Not available,Not available,Partial Renovation,600 sq.m.,,,,,,Armavir › Parakar,"$39,900",USD,"3 ննջարան, հյուրասենյակ, խոհանոց, բաղնիք-զուգարան, միջանցք: Պատերը գաջած են, հատակը նոր տախտակ, լուսամուտները եվրո, դռները փայտե, դրսի դուռը երկաթից, 800 մետր հող։",Dec-12-2022_21-10,,,https://list.am/en/item/17780601,House is Finished,,
House,Stone,290 sq.m.,2,5,2,By agreement,1 spot,No Renovation,600 sq.m.,,,,,,"Հովհաննես Թումանյանի փողոց, Փարաքար","$152,000",USD,"In Armavir region, in one of the quietest parts of Parakar, a newly built beautiful private house is for sale.• The house consists of 2 floors.On the first floor there is a living room, 1 bedroom, kitchen, bathroom.On the 2nd floor: 3 bedrooms, laundry room and bathroom.• The interior walls of the mansion are plastered, the floors are leveled.• Installation of power lines and pipes is done.• European windows are installed, there is a stained-glass window in the living room, from which a view of the yard and the pool opens.• All communications are available: Gas, water, electricity.• The house is completely fenced, has a garage for 2 cars.• It will have a beautiful green yard with a swimming pool and a chat room.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service commission: 2% of the sale price.Code N001Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18278394,House is Finished,,
House,Stone,250 sq.m.,1,4,1,Available,3 or more spots,Major Renovation,2000 sq.m.,,,,,,"Շինարարների փողոց, Արտիմետ","$50,000",USD,"A 4-room apartment is for sale in the city of Etchmiadzin, call the indicated. (vibr) or (whatsapp) with the indicated phone number. There is (watsap) or (vibr)1. 2000 meters of land2. THE FRONT OF THE HOUSE IS ABOUT 40 METERS3. European windows4. Natural gas5. It also has a 20-meter well6. It also has a swimming pool7. It also has cold water under itAround the clock8. Vineyard9. Garage10. HostThe apartment is for sale onlyCall only the specified viberi or vatsapTranslated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/17928360,House is Finished,,
House,Stone,200 sq.m.,1,4,1,Not available,1 spot,Old Renovation,400 sq.m.,,,,,,Armavir › Armavir,"$23,000",USD,"Own house for sale, total area 600 square meters, negotiable, URGENT, house 20 Isahakyan Street (Hoktemberyan), old renovation, needs renovation.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/17658107,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Monolith,290 sq.m.,2,4,2,Not available,2 spots,No Renovation,450 sq.m.,,,,,,Armavir › Parakar,"$167,000",USD,"Newly built, uninhabited private house for sale in Parakar.2 storey5 rooms290 square meters450 square meters fencedswimming poolgarageThe mansion is located very close to the Yerevan-Echmiadzin highway.ALL THE NECESSARY INFRASTRUCTURE IS AVAILABLE.Special note! Call only those buyers who want to buy the house through an agency /2% commission/Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/14253608,House is Finished,,
House,Stone,120 sq.m.,2,5,2,By agreement,Not available,Major Renovation,500 sq.m.,,,,,,"Tamantsineri street, Parakar","$100,000",USD,"2-storey stone house for sale, Parakar.The house is fully renovated, has permanent water, gas, sewer, garden, is close to the main road.700m from the airport intersection, next to the highway.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/17976571,House is Finished,,
House,Stone,170 sq.m.,2,6,1,,,Partial Renovation,300 sq.m.,,,,,,Armavir › Arshaluys,"30,000,000 ֏",AMD,"It is provided with drinking water, irrigation possibility. There is a 300 sq. M. Greenhouse with a separate gas supply to the house or greenhouse. 22 sq. M. Garage, there is a 20 sq. M. Storage room next to the house.Price is negotiableTranslated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/17834841,,,
House,Stone,610 sq.m.,1,4,1,Not available,1 spot,No Renovation,610 sq.m.,,,,,,"Սիամանթոյի փողոց, Փարաքար","$73,000",USD,"For sale, a newly built private house in Pharakar community. 2 lanes very close to the main road. There is a school and 24-hour shops nearby. The house has 3 bedrooms and one bathroom. The surface of the house is 120 square meters, the surface of the land is 610 square meters. Available water, sewage, electricity, gas. (cash from owner only) non-negotiable. 73000 i mej mtnume stashka... Pateri bajanum@... Gaj:Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18266282,House is Under Construction,"Electricity, water supply, natural gas, sewerage","Swimming pool, sauna, fireplace, barbecue oven, gazebo"
House,Stone,85 sq.m.,1,2,1,Not available,Not available,Euro Renovation,40 sq.m.,,,,,,"Երևանյան խճուղի 15, Մերձավան","$43,000",USD,"It is in normal condition. Euro windows and doors, Small yard, constant water, gas is in the pipeline, very close to the main road, there is a supermarket, shops, pharmacy, kindergarten nearby.School... Urgent... NegotiableTranslated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/16557273,House is Finished,"Electricity, water supply, sewerage",
House,Stone,160 sq.m.,2,6,3+,By agreement,1 spot,Cosmetic Renovation,5600 sq.m.,,,,,,"10-րդ փողոց, Նորակերտ","$110,000",USD,"A 2-storey stone house for sale (uninhabited newly built building) 300 meters from the Norakert village of Etchmiadzin, the last stop of public transport No. 205; 15 km. From Yerevan, 2 floors, 6 rooms, 6 bathrooms and an open flat roof. The walls are made of tuff stone, mostly 60 cm thick, the ceiling is a monolithic reinforced concrete cover. With metal wheels, one-piece tape bases. The house is semi-circular in plan. There is drinking and irrigation water, as well as electricity, the area of each floor is 80 square meters. Long-term lease is also possible, 150 thousand. , deposit 50/, Cosmetic repairs are possible at the expense of rent.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18030743,House is Finished,,
House,Stone,220 sq.m.,2,5,3+,Not available,1 spot,Partial Renovation,350 sq.m.,,,,,,"Նալբանդյան փողոց 111Ա, Արմավիր","€80,000",EUR,"Stone, 2nd floor, 3 bedrooms, 1 dining room, kitchen, shower room, laundry room, balcony. General floor, large room, car room. 350 square meters of land, irrigation and drinking water,electricity, gas and heating.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/16988117,House is Finished,,
House,Stone,164 sq.m.,2,4,1,Available,Not available,Major Renovation,300 sq.m.,,,,,,Armavir › Echmiadzin,"$103,000",USD,"New capital renovation, new tin roof, water lines, electricity, sewage lines completely new, heating, air conditioner + furniture, located in the central part of the city.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18195937,House is Finished,,
House,Monolith,92 sq.m.,1,3,1,Not available,1 spot,Major Renovation,165 sq.m.,,,,,,Armavir › Parakar,"$89,000",USD,"The house is newly built, monolithic.Corner plot with 10 and 18 meter fronts. All communications are available.The area of the building is a little more than 91 square meters, hall, kitchen, living room, bathroom and 2 bedrooms. The ceiling height is 3.20 meters. The house will be handed over with a fully landscaped yard, the gate painted. The first 8 pictures are his, the last 5 are of another mansion as an example of renovation.The location is quite close to the center, about 15 minutes by car.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18380449,House is Finished,,
House,Stone,267 sq.m.,2,5,2,Not available,1 spot,No Renovation,954 sq.m.,,,,,,"Արարատյան փողոց, Երևան","$210,000",USD,"A private house is for sale in Etchmiadzin, near the Mother See Church of Saint Etchmiadzin.central locationlocated on the 2nd line from the main street,land area: 954 square metersresidential house - 267.2 square meters - not renovatedresidential house - 60.6 square meters - not renovatedthe land is fenced,gates are installedTarget meaning: Settlementsoperational significance: Residential developmentAll communications are available: Gas, water, electricity.Suitable for business useTranslated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/17295792,House is Unfinished,,
House,Stone,250 sq.m.,2,4,2,By agreement,2 spots,Major Renovation,600 sq.m.,,,,,,"Mashtots Street, Armavir","$165,000",USD,"Own house for sale (Hoktemberyan, Mashtots Street), 2-story stone building, the second floor is completely renovated, the first floor is in a good condition, ready for 2 rooms. There is a parking lot, a garden, a storage room in the yard, gas, constant water, near the bus stop, there are shops nearby. Etc. , for details call the mentioned numbers.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18517741,House is Finished,,
House,Stone,700 sq.m.,2,5,2,Not available,Not available,Major Renovation,500 sq.m.,,,,,,"2nd Street 1, Azatashen village","$120,000",USD,"Code K1162-storey private house for sale in Azatashen; Will be handed over to the buyer in a fully repaired condition; The total area is 700 square meters. The living area is 200 square meters. Has 5 rooms, 2 bathrooms, garage, garden; It is fenced;Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18428620,House is Unfinished,,
House,Stone,160 sq.m.,1,4,1,Available,1 spot,Major Renovation,650 sq.m.,,,,,,Armavir › Parakar,"$190,000",USD,"KOD-62210A 4-room house for sale in Parakar, on Aram Khachatryan street.^ The house has all utilities^ For sale with partial ownership^ Has a garage for a car^ It has been completely renovated, there is permanent water, gas, sewerage^ Has fruit treesTranslated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/16928508,House is Finished,,
House,Stone,200 sq.m.,1,2,1,,,No Renovation,100 sq.m.,,,,,,Armavir › Shahumyan,"$25,000",USD,"A half-built private house is for sale in Shahumyan village of Etchmiadzin, on the central street. He has a small plot of land. There is a European window and an iron door. Real people want to call. For sale urgently.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/16953499,,,
House,Stone,700 sq.m.,1,5,1,Not available,1 spot,Old Renovation,350 sq.m.,,,,,,"Գորկու 5 նրբ 13, Արմավիր","$50,000",USD,Hot stone tunaA very suitable house for a large familyUtility with all amenitiesReal buyers will callTranslated from Armenian,Dec-12-2022_21-10,,,https://list.am/en/item/18616373,House is Finished,,
House,Stone,250 sq.m.,2,7,1,By agreement,1 spot,Cosmetic Renovation,780 sq.m.,,,,,,"Yekmalyan street, Yerevan","$90,000",USD,"0400311Private house for sale in Zvartnots.There is a greenhouse of 260 square meters, 2 garages.Very close to the main road.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18522599,House is Unfinished,,
House,Monolith,92 sq.m.,1,3,1,By agreement,1 spot,Major Renovation,180 sq.m.,,,,,,"Երևանյան փողոց, Արմավիր","$89,000",USD,"1300084The mansion is newly built, monolithic.Corner plot with 10 and 18 meter fronts. All communications are available, there is internet in the area.The area of the building is a little more than 91 square meters, hall, kitchen, living room, bathroom and 2 bedrooms. The ceiling height is 3.20 meters. The house will be handed over with the yard completely improved, the gate painted.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18470950,House is Finished,,
House,Stone,250 sq.m.,2,7,1,By agreement,1 spot,Major Renovation,780 sq.m.,,,,,,Armavir › Echmiadzin,"$94,000",USD,"04003217-room mansion for sale in ZvartnotsThe house is fully renovatedHas all utilitiesThere is a 260 square meter greenhouse, 2 garagesCode 0400321Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18401731,House is Finished,,
Country House,Stone,100 sq.m.,1,3,1,Available,2 spots,Partial Renovation,,,,,,,Armavir › Armavir,"$45,000",USD,"A summer house is for sale in Armavir region, a stone house, 100 sq. M. Մ. It has a big basement, permanent water, the floor of the entrance hall, the kitchen is tiled, the bathroom is tiled with a separate toilet, there is an outdoor toilet, an orchard of 1500 sq. M. Մ. The house is on the main road. European windows are installed, the area of the house is fenced, the price is negotiable.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/14408040,House is Finished,,
House,Stone,300 sq.m.,2,8+,2,Not available,1 spot,Old Renovation,1200 sq.m.,,,,,,Armavir › Armavir,"$50,000",USD,"A two stored house is for sale in Armavir village, Armavir region, near the main street. The inner area of the house is 300 square meters, the area of the land is 1200 square meters.It has a built-in garage, a boiler house, 13 bedrooms, a living room and a storage room, 2 bathrooms, an open balcony.There is a 22 square meter cattle barn on the land.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/17313898,House is Finished,,
House,Stone,400 sq.m.,2,8+,1,Available,3 or more spots,Cosmetic Renovation,2000 sq.m.,,,,,,Armavir › Griboyedov,"45,000,000 ֏",AMD,"The house is located 22 km from Yerevan, 7 km away from Etchmiadzin, it is provided with gas, three-phase electricity, permanent drinking water and sewerage, the total land area is 2000 sq. M., of which 1500 sq. M., large hall, entrance hall, 4 bedrooms, kitchen, bathtub, bathroom, big hallway, pantry, garage, refrigerator, capacity 36 sq. M.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/15837824,House is Finished,,Swimming pool
House,Stone,145 sq.m.,1,5,2,Partial Furniture,1 spot,Euro Renovation,1700 sq.m.,,,,,,Armavir › Armavir,"$40,000",USD,"A one-story stone house for sale in Aknalich village, has 5 rooms, 2 bathrooms, 2 outbuildings, a large orchard, a garage in excellent condition, a large cattle shed, and a large basement. 35 km from Yerevan, near the highway. The price is negotiable.Translated from Armenian",Dec-12-2022_21-10,,,https://list.am/en/item/18319686,House is Finished,,
