Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Parking,Links,Construction Type
Office Space,140 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,By Agreement,"Saryan Street, Yerevan","$2,500",USD,"A commercial space is for rent on Saryan StreetNear the Saryan Tumanyan intersectionCapital renovatedIt has a heating systemSuitable for office activitiesArea: 140 square metersCost: $2500For details, call the indicated numbersTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17942789,
Multifunctional Space,165 sq.m.,,,,,,,,,"Փավստոս Բուզանդի փողոց, Երևան","$3,000",USD,"PROFITABLE OFFERCommercial space for rent on Buzand streetIt is located near the Karen Demirchyan intersectionIt consists of two floors: Semi-basement and basementIt has several large stained glass windowsIt is very suitable for various offices, cosmetology, shops and educational centers.For details, call the indicated numbers.For other similar offers, click on the ""name-surname"" button.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17455091,
Multifunctional Space,150 sq.m.,By agreement,Available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,"Մխիթար Հերացու փողոց 20, Երևան","$3,000",USD,"Վարձով է տրվում հասարակական նշանակությամբ տարածք1-ին գիծՀարևանությամբ մեքենա կայանելու բավականին մեծ տարածությունՏրվում է բացառապես երկարաժամկետԱռաստաղի բարձրությունը գրեթե 3մԲաղկացած է 4 մեծ սենյակներից (36 քառ/մ), որոնցից մեկը կիսված է ընդունարանի և կաբինետիԱռկա են 2 սանհանգույց և մեկ խոհանոցԱպահովված է եռաֆազ հոսանքովՏեղադրված են 3 կոնդիցիոներՑանկության դեպքում կարող է տրվել գույքի հետ միասինСдается в аренду помещение общественного назначения1-я линияРядом большая парковкаПредлагается исключительно на длительный срокВысота потолков почти 3 метраСостоит из 4 больших комнат (36 кв/м), одна из которых общая со стойкой ресепшн и кабинетом.Есть 2 ванные комнаты и одна кухняОснащен трехфазным токомустановлены 3 кондиционераПри желании можно отдать вместе с недвижимостьюTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/16791605,
Office Space,400 sq.m.,,,,,,,,,"Amiryan Street, Yerevan","$10,000",USD,"Office space for rent on Amiryan StreetNear the Mashtots intersectionThe building is front lineThe space is located on the 4th floorIt is in a state of capital repairNatural lighting is providedArea: 400 square metersCost: $10,000Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17961344,
Retail Space,62 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,By Agreement,"Hanrapetutyun street, Yerevan","1,300,000 ֏",AMD,"A commercial space is for rent on Hanrapetut street• Has a beautiful stained glass look• Provided with utilities• The area is 62 square meters• The cost is 1,300,000 AMDSuitable for various activities.For details, call the indicated numbers.For other similar offers, click on the ""name-surname"" button.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/16805132,
Multifunctional Space,110 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,By Agreement,"Saryan Street, Yerevan","$3,000",USD,"Commercial area is for rentIt is located on Saryan Street, one of the best streets in YerevanIt has wide stained glass windowsLocated on the ground floorIt has the possibility of installing a ventilation systemSuitable for cafe or shop activitiesThe area is 110 square metersThe cost is $ 3500Call the listed phone numbers for detailsTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17945357,
Multifunctional Space,35 sq.m.,Available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,"Saryan Street, Yerevan","1,000,000 ֏",AMD,"A commercial space is for rent on Saryan streetHas a permit to install outdoor tables, 10-15m frontageFirst lineThe price of 36 square meters is AMD 1 millionFor details, call the indicated numbers.For other similar offers, click on the ""name-surname"" button.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17948483,
Retail Space,60 sq.m.,,,,,,,,,"Davit Bek street, Yerevan","150,000 ֏",AMD,"The first line is the area near the Dimitrov crossroads, it is suitable for any activity, it has all the living conditions.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17081675,
Multifunctional Space,140 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,"Komitas Avenue, Yerevan","$3,000",USD,"A multi-purpose space is for rent or for sale on Komitas avenueNear Georgian CrossroadsIt's the first lineWith a wide stained-glass frontIt has two entrance doorsThe total area is 140 square metersThe rental price is $3,000Sale price $600,000For other information, you can call the indicated phone numbersTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17707597,
Retail Space,9 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,6 months,By Agreement,Not included,Yerevan › Shengavit,"150,000 ֏",AMD,"For sale, a group of units adjacent to the Metro. All the facilities are there to work. There is constant hot and cold water. Check for details. MobileTranslated from Armenian",Nov-24-2022_22-13,OUtdoor parking,https://list.am/en/item/17635196,
Industrial and Manufacturing,500 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,6 months,By Agreement,Not included,"Norashen block, Yerevan","70,000 ֏",AMD,"For rent: 500 square meters, 140 square meters building, 70 square meters basement with a height of 4 meters, 2 rooms and a garage. Call for more information.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18190424,
Everything Else,680 sq.m.,,,,,,,,,Yerevan › Kanaker-Zeytun,"$6,000",USD,"Open Space office space for rent in Kanaker-Zeytun, Davit Anhaght street.It is located on the 7th floor of a 7-story building.The total area is 680 square meters.Communications are available.Rent: 6000 USDCode: GS-04KTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/14854807,
Multifunctional Space,97 sq.m.,,,,,,,,,Yerevan › Nor Nork,"$2,800",USD,"Realty Consult ID: IC 168Public complex for sale or rent.Nor Nork, Galshoyan street.The plot of land: 97 square meters.Residential building 203 square meters, 2 floors + basement, stone, ceiling: 3.0 m.PRICE: $200,000. SALARY: $2800The complex is equipped with the following communications and systems: Water, sewage, electricity, gas.The building is built according to modern standards, equipped with modern engineering networks, systems and communications.Entrance doors: Metal-plastic, internal doors: High-quality wood, windows: High-quality metal-plastic.The interior decoration of the building is in good condition, made using quality building materials and finishing elements.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17505464,
Office Space,127 sq.m.,,,,,,,,,Yerevan › Ajapnyak,"450,000 ֏",AMD,"For rent, call for detailsTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18087700,
Hotel,20 sq.m.,,,,,,,,,"Ohanov street, Yerevan",100 ֏,AMD,"Վարձով են տրվում սենյակներ կապիտալ վերանորոգված, հարմարավետ, կատարյալ մաքուր, բոլոր կոմունալ հարմարություններով, մանրամասների համար զանգահարել նշված համարին։Ստանդարտ համար4 ժամ 5000 դրամ12 ժամ 9000 դրամ24 ժամ 15000 դրամԱվտոտնակով համար5 ժամ 7000 դրամ12 ժամ 13000 դրամ24 ժամ 22000 դրամՋակուզիով համար3 ժամ 6000 դրամ12 ժամ 12000 դրամ24 ժամ 22000 դրամСдаются комнаты, с ремонтом, уютные, идеально чистые, со всеми коммуникациями, подробности по телефону.Rooms are for rent, fully renovated, comfortable, perfectly clean, with all utilities, for details call the mentioned number.",Nov-24-2022_22-13,,https://list.am/en/item/15073326,
Warehouse,160 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,1 year,By Agreement,Not included,"Avetis Aharonyan street, Yerevan","350,000 ֏",AMD,"Furnace wall ramp, separate office, cameras, can be used as a refrigeratorTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17274472,
Office Space,100 sq.m.,,,,,,,,,Yerevan › Kentron,"500,000 ֏",AMD,"Realty Consult ID` M 301Վարձով է տրվում հասարակական սպասարկման տարածք` 100 քմ:Ազատության փողոց4/1 հարկ, քարե, առաստաղ՝ 3 մԱմսական վարձը ՝ 500 000 ՀՀ դրամ:Մոտքի դուռը, ներքին դռները և պատուհանների շրջանակները՝ մետաղապլաստե: Առկա են վիտրաժներՃակատային հատվածում:Տարածքի ներքին հարդարանանքը գտնվում է լավ վիճակում, իրականացված է որակյալ շինանյութերի ևՀարդարման տարրերի կիրառմամբ:Տարածքը համալրված է հետևյալ կոմունիկացիաներով և համակարգերով՝ ջուր, կոյուղի,Էլեկտրականություն, գազ, ջեռուցում:Տարածքը ի տեղադրությունը, դիրքը, հարող տարածքների առկայությունը բարենպաստ ենԳրասենյակային կամ այլ հասարակական սպասարկման գորրծունեություն կազմակերպելու նպատակով:Realty Consult ID M 301Public service area is for Rent, surface- 100 sqm.Azatutyan street4 /1 floor, stoneMonthly rent: 500 000 AMDThe interior of the premises is in good condition, with the use of quality building materials and finishing elementsInterior doors are made of wood, windows – metal-plastic.The area is gasified, there is a heating systemThe location, availability of adjacent areas are favorable for organization of office or other public service activities.Realty Consult ID M 301Коммерческое/офисное помещение в аренду.Улица Азатутян4 / 1 этаж, камень, высота потолка 3 м.Аренда: 500 000 драм в месяц.Входная дверь, межкомнатные двери и оконные рамы из металлопластика. В фасадной части есть витражи.Внутренняя отделка помещения в хорошем состоянии, выполнена с применением качественныхСтроительных материалов и элементов отделки.Помещение оборудовано следующими коммуникациями: Вода, канализация, электричество, газ, отопление.Место расположения помещения и наличие близко прилегающих территорий способствуют организацииОфисной или другой общественной деятельности.",Nov-24-2022_22-13,,https://list.am/en/item/18188452,
Office Space,152 sq.m.,,,,,,,,,"Ազատության պողոտա 24/27, Երևան","730,000 ֏",AMD,"Rus/ArmЯвляюсь собственником имущества. Здание находится прямо по соседству бизнес центров ""Бизнесплаза"" и ""Ераз"".На фотографиях эскиз проекта, согласно которому будет отремонтировано после согласования с клиентом и заключения с ним договора. В случае предворительного согласия возможен пересмотр дизайна или проекта.*Общая площадь - 152 кв. М.*Высота потолка - 4 м.Для более подробной информации звоните или пишите в WhatsApp._Ես սեփականատերն եմ։ Նկարներում նախագիծն է, ըստ որի արվելու է վերանորոգումը հաճախորդի հետ համաձայնեցնելու և պայմանագրի կնքումից հետո։ Հնարավոր է դիզայնի կամ պռոյեկտի փոփոխություն փոխհամաձայնության դեպքում, որը կարող է նաև փոփոխել ամսավարձի չափը։* Ընդհանուր տարածքը՝ 152քմ* Առաստաղի բարձրությունը՝ 4մՄանրամասների համար զանգահարել։Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18231631,
Industrial and Manufacturing,190 sq.m.,,,,,,,,,"Azatutyan Avenue 24/11, Yerevan","300,000 ֏",AMD,"I am renting a furniture production area in Raikom, at 24/27 Azatutyan Avenue (see below) The production area is in 2 pieces, a total of 150m + a separate dyehouse of 40m. There are large Soviet machines working in the workshop: Fugue, reismus, etc.In case of prior agreement, repairs can be made according to the purpose - storage, office, or other.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/15317418,
Retail Space,70 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,3 years,2 months,Not included,"Kievyan street 14, Yerevan","520,000 ֏",AMD,"Տրվում է վարձով Տարածք Կիևյան փողոց 14շ․ 1-ին գիծ, հարմար է ամեն տեսակի գործունեության համար, շատ աշխույժ հատված է և մարդկային մեծ հոսքի վայր, զրոյական մուտք, կանգառին մոտ։ Ունի առանձնացված 4 սենյակ, Տարածքում հիմնական պատերը քիչ է, հնարավորություն ունի ձևափոխելու, ունի սանհանգույց և 2-րդ․ մուտք շքամուտքից։ Ընդհանուր մակերեսը 70 մ2։Հարմար է ցանկած առևտրային գործունեության համար - Դեղատուն, ատամնաբուժարան, առևտրի, գրասենյակի և այլ։Նշված գինը առանց 10% եկամտահարկի Է։Գործակալները չզանգեն!Арендная плата - 520 000 драм. Сдается офисное помещение площадью 70 квадратных метров в Арабкире. 1 санузел, имеет 2 входа, нулевой с улицы и с подъезда, фасадная часть имеет окно и дверь 7,6м. , подходит для обслуживания, торговли, производства и других видов деятельности. Этаж с 0-й улицы, 1-ая линия. Киевян 14.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18306388,
Warehouse,110 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,6 months,By Agreement,Included,Yerevan › Davitashen,"400,000 ֏",AMD,"Refrigerator storage is provided. It has 3 cabins, each of 30 square metersTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17665174,
Industrial and Manufacturing,80 sq.m.,,,,,,,,,"Աշոտ Հովհաննիսյանի փողոց 14/3, Երևան","100,000 ֏",AMD,Safe big space convenient for everythingTranslated from Armenian,Nov-24-2022_22-13,,https://list.am/en/item/18281942,
Multifunctional Space,140 sq.m.,,,,,,,,,"Hanrapetutyun street, Yerevan","1,000,000 ֏",AMD,"The area is suitable for different types of activities, it is the first line, it has 10 m. The front part, two stained glass windows, is in a very busy area.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17882822,
Office Space,180 sq.m.,,,,,,,,,"Yeznik Koghbatsi street, Yerevan","$2,500",USD,"Multifunctional area for rent / 3-room, with 3 bathrooms / in a new building on Yeznik Koghbatsi streetIt can be rented as a residential apartment, both furnished and empty.Code 0504Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/13820606,
Office Space,46 sq.m.,,,,,,,,,"Khanjyan Street, Yerevan","450,000 ֏",AMD,"46 sq. M. For rent․ area in Khanjyan, next to the Pedagogical University.The area is fully repaired.Code 0526Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/15389047,
Office Space,300 sq.m.,,,,,,,,,"Grigor Lusavorich street, Yerevan","$5,000",USD,"Newly renovated, with a separate entrance, has a lobby and 3 spacious hall. In case of long-term rent, a discount is possible.Code 0601Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/16936823,
Office Space,35 sq.m.,,,,,,,,,"Charents street, Yerevan","150,000 ֏",AMD,"Office space for rent on Yervand Kochar street, next to Sas supermarket.Code 0520Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/13278633,
Office Space,65 sq.m.,Not available,Not available,Second Line,Common from the Courtyard,Direct Lease,6 months,1 month,Not included,"Nairi Zaryan street, Yerevan","350,000 ֏",AMD,"Office space is for rent on Nairi Zaryan street.It has separate rooms, it is capitally renovated (on the first floor of a newly built building)The area is given without property.Code 0591Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/14280230,
Office Space,80 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,1 year,1 month,Not included,"Yervand Kochar street, Yerevan","400,000 ֏",AMD,A commercial space is for rent on Yervand Kochar street.The area is suitable for office activities of various nature.Code 0584Translated from Armenian,Nov-24-2022_22-13,,https://list.am/en/item/14211226,
Office Space,400 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,Direct Lease,1 year,1 month,Not included,"Marshal Khudyakov Street 224, Yerevan","600,000 ֏",AMD,"Located in Avan, first line, near Yerevan City.It is suitable for IT sector, logistics, kindergarten and other similar activities.The space will be provided in a cosmetically renovated state.Code AV01Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/16691440,
Office Space,10 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,6 months,1 month,Not included,"Charents street, Yerevan","90,000 ֏",AMD,"The area is cosmetically renovated, suitable for various types of activities, entrance from the street, 1st line.Code 10276Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/14458352,
Multifunctional Space,50 sq.m.,,,,,,,,,"Marshal Baghramyan avenue, Yerevan","300,000 ֏",AMD,"The area is on the first line, the entrance is separate, it has a stained glass door and window. Suitable for various types of activities.Code Rim02Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/14280006,
Office Space,60 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,6 months,1 month,Not included,"Mamikonyan street, Yerevan","350,000 ֏",AMD,"Office space for rent on Mamikonyants street, first line, separate entrance.The area consists of 2 halls + bathroom. It is completely renovated, has hot and cold water, internet, air conditioning, will be available from OctoberCode V0212Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/15206412,
Restaurant,780 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,1 year,2 months,Not included,"Abovyan street, Yerevan","$10,000",USD,"Ready restaurant, 2 floors, 3 large halls, 3 bathrooms on each floor / total 6 /, 2 elevators: Passenger and truck, 2 kitchens, 2 stone barbecues, 2 bars, property, appliances, three-phase electricity, gas,code 14738:Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/16820012,
Multifunctional Space,150 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,2 months,Not included,"Amiryan Street, Yerevan","$3,000",USD,"Newly built, under renovation, 2 bathrooms, air conditioning system, kitchen area, security, 24/7 working hours, parking facilityCode: 24841Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/9329793,
Office Space,375 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,2 months,Not included,Yerevan › Nork-Marash,"$4,500",USD,"375 sq. M. Office space on the 2nd floor of a 3-storey new building, capitally renovated, heating, 2 bathrooms, euro windowscode 24702:Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17043711,
Multifunctional Space,180 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,2 months,Not included,"Bashinjaghyan street, Yerevan","600,000 ֏",AMD,"Fully renovated, with stained glass windows, 1st floor and basementCode 18699Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/15069584,
Multifunctional Space,125 sq.m.,,,,,,,,,"Orbeli Brothers street, Yerevan","625,000 ֏",AMD,Areas of 125-1200 square meters are for rent. 1 square meter - 5000 AMD. Renovations are currently underway. The area is handed over in a renovated state.Code RB-12Translated from Armenian,Nov-24-2022_22-13,,https://list.am/en/item/17989737,
Multifunctional Space,33 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,1 month,Not included,"Halabyan Street, Yerevan","330,000 ֏",AMD,"Commercial space for rent on Halabyan street, first line. The space is renovated. All utilities are available. The windows are stained glass, it is equipped with a security system.Code MK-33Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18117383,
Automotive Service,32 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,1 month,Not included,Yerevan › Erebuni,"130,000 ֏",AMD,Garage for rent. Suitable for car service.Code GL-32Translated from Armenian,Nov-24-2022_22-13,,https://list.am/en/item/18168833,
Everything Else,70 sq.m.,Available,Not available,Other,Common from the Street,Direct Lease,6 months,By Agreement,By Agreement,"Դուրյան թաղամաս 39, Երևան","250,000 ֏",AMD,"The area has three-phase electricity, water, bathroom. Can be used for student lessons. Will work great for drawing classes like this. Call for other questions.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17758331,
Retail Space,200 sq.m.,,,,,,,,,"Davit Bek street, Yerevan","150,000 ֏",AMD,"Plaster cement bunker for rent with all its conveniences. For detailed information, call if necessary. Additional space will be provided.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/16575356,
Multifunctional Space,45 sq.m.,,,,,,,,,"Avet Avetisyan Street, Yerevan","300,000 ֏",AMD,"Commercial area is for rent. The area is located on the ground floor of a residential building. There is a hall, a hall, a bathroom. The area is renovated. Suitable as an office, massage parlor, etc.The area is also for sale.Code MR-45Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17905023,
Office Space,260 sq.m.,Available,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,"Բագրատունյաց փողոց 69/3, Երևան","600,000 ֏",AMD,"Furnished office space for sale or rent at Bagratunyats 69, Shengavit administrative district (the entire 2nd floor), 500m from the Factory metro. The area is provided with internet connection, electricity, water. There are 3 bathrooms.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18125657,
Retail Space,50 sq.m.,,,,,,,,,"Մովսես Խորենացու փողոց 93, Երևան","250,000 ֏",AMD,"2 rooms with vertical and horizontal ratio. It is located on the street.It has constant hot and cold water, bathroom, suitable for both office and trade.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17468260,
Office Space,20 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,1 month,Included,"Alek Manoukyan street, Yerevan",$38,USD,"Office space for rent in the business center. Areas of 20 - 500 square meters are available. 1 square meter - $38. The space comes with a private parking space. The amount also includes utilities, security, cleaning.Code AR-20Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18344675,
Office Space,180 sq.m.,Not available,Not available,Second Line,Separate from the Street,Direct Lease,1 year,1 month,Not included,"Vagharsh Vagharshyan street, Yerevan","$2,350",USD,Commercial space for rent. The area is fully renovated. It consists of one large hall and 2 offices. It has large stained glass windows. Located on line 2.Code AR-18Translated from Armenian,Nov-24-2022_22-13,,https://list.am/en/item/18350168,
Office Space,67 sq.m.,,,,,,,,,"Kasyan street, Yerevan","450,000 ֏",AMD,"Сдается помещение на Касьяна. В прошлом медицинский кабинет. Но можно использовать, как любой офис.",Nov-24-2022_22-13,,https://list.am/en/item/18365348,
Retail Space,10 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,2 years,1 month,Not included,"Նելսոն Ստեփանյանի փողոց 11/2, Երևան","40,000 ֏",AMD,"A booth is for rent in the 2nd Massiv, suitable for tailoring, shoe repair, hairdressing or other similar activities.It can also serve as a fruit/vegetable and farm produce outlet.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18329468,
Retail Space,35 sq.m.,,,,,,,,,Yerevan › Nor Nork,"200,000 ֏",AMD,"Nor-Nork 1st mass, 1st line, newly renovatedTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18365307,
Office Space,50 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,2 months,Not included,"Եղիշե Չարենցի փողոց 70/1, Երևան","300,000 ֏",AMD,"For rentoffice spaces70/10 Charents Street2nd floor entrance from the streetcommon balcony for 3 apartments, recently renovated, they have a bathroom and a small kitchenFees are not issued for the Logger's OfficeTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18298567,
Retail Space,68 sq.m.,,,,,,,,,"Vardanants Street 22, Yerevan","$1,800",USD,"Newly built two-story commercial space suitable for any type of activity, Vardanants street, in front of Gnuni market. The area has beautiful stained glass windows, automatic blinds. It has two entrances and the floors can be used separately if desired.Rented by the owner.A new commercial two-story building is for rent for any activity on ul. Vardanants, opposite the building market.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17745512,
Retail Space,10 sq.m.,,,,,,,,,"Ծովակալ Իսակովի պողոտա 16/4, Երևան","25,000 ֏",AMD,Area for rent. Suitable for sewing vegetables and shoes in a vegetable workshop. Does not have a toilet.Translated from Armenian,Nov-24-2022_22-13,,https://list.am/en/item/16624740,
Retail Space,8 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,1 year,1 month,Not included,"Գյուրջյան փողոց 12/8, Երևան","70,000 ֏",AMD,"A space for rent, a booth, suitable for a shawarma restaurant, pie donut and similar activities, the device, a small stove and other necessary things are placed, it is located in front of the gas station on the road from Nork to Massiv, there is natural gas, water, electricity.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17554373,
Retail Space,200 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,2 years,By Agreement,Not included,"Marshal Khudyakov street 70, Yerevan","$1,900",USD,"Commercial space for rent at 70 Avan Khudiakov StreetSuitable for a variety of activitiesCurrently operating as a grocery store200 sq/m has an office, a storage area, a bathroomIt has a separate space for a pharmacyAvan (white building) first floorTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18302512,
Warehouse,2000 sq.m.,Not available,Available,First Line,Common from the Street,Direct Lease,1 year,1 month,Not included,"Գյուլիքեվխյան փողոց, Երևան","1,000 ֏",AMD,"Տրվում է վարձով տարածքներ 50 - 2000 քմ: Հարմար է պահեստի, արտադրության, գրասենյակի համար: Գտնվում է 4-րդ մասիվի դատարանի մոտ, նախկին հացի գործարանն է:",Nov-24-2022_22-13,,https://list.am/en/item/17966589,
Office Space,60 sq.m.,,,,,,,,,"Rubiniants street 2/2, Yerevan","450,000 ֏",AMD,"A newly renovated space with high-quality lighting is for rent. There is hot and cold water, ramp, internet, cameras with 3-day video recording function inside and outside, security system. In the neighborhood there is 1-dental clinic, 2-food outlet, 3-playground 4-Zimmer Biomet official office for importing medical implants, if desired, furnishing with the furniture you need, also the possibility of separating the office. We will cooperate with real estate agencies. Price negotiableTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17555173,
Office Space,60 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,2 months,Not included,"Mesrop Mashtots Avenue, Yerevan","$1,200",USD,"Office space near Mashtots and Paronyan intersections is for urgent rent. The office area is 60 square meters, located on the 1st floor of a 5-story building. The area has been renovated in a capital designer style, air-conditioning and a bax system have been installed. The floor is covered with parquet. The rooms are separated, two-way position. The space has beautiful lighting. Kitchen furniture, bathroom is tiled and equipped with sanitary ware. Internet communications are available. The area is provided with all amenities. Suitable for office and any activity. It has an outdoor parking space, first line, entrance from the street and the yard.CODE: 18364983Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18364983,
Multifunctional Space,50 sq.m.,Available,Not available,First Line,Separate from the Street,Direct Lease,6 months,Without prepayment,Included,"Isahakyan block 2/1, Yerevan","80,000 ֏",AMD,"""RUSSO"" beauty salon rents barber chairs for both men's and women's hairdressing. The salon is fully renovated, fully furnished, has all the necessary facilities: Hot and cold water, bathroom, kitchen, etc.It is located in Avan, Isahakyan district. 2/1, next to the district administration. It has been operating for about 10 years.Barber chairs are rented for a fixed fee of 80,000 AMD per month.Without an intermediary.Beauty salon, barber shop, salon, commercial space, hairdresser, hairdresser, makeup artist, beautician, beauticianTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17449754,
Office Space,70 sq.m.,,,,,,,,,"Garegin Nzhdeh Street, Yerevan","200,000 ֏",AMD,Basement area clean condition. Hot mountain water. Toilet. Arandzin room on the 1st floor. Entrance from the yard. Suitable for everything.Translated from Armenian,Nov-24-2022_22-13,,https://list.am/en/item/18143427,
Automotive Service,200 sq.m.,,,,,,,,,"Davtashen 3rd Block 31/1, Yerevan","500,000 ֏",AMD,"Space for rent (150 square meters), currently used as a car repair shop. There is a den, an office room. It is also suitable for use in other activities: Office, production, etc. It is located near Yerevan City, Reebok, Justice Academy, Ovir.Autoservice. Avtoservis avtoservizTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/18185569,
Everything Else,150 sq.m.,Available,Not available,Second Line,Separate from the Courtyard,Direct Lease,1 month,By Agreement,Included,"Davidashen 3-rd block, Yerevan","50,000 ֏",AMD,"Sports hall for rent.The gym is professional level.It is provided with the necessary sports equipment and conditions for training.Daily wage: 5,000 per hourIn case of monthly rental, other conditions apply.For details, call the indicated phone numberTranslated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17741986,
Everything Else,150 sq.m.,,,,,,,,,"Manandyan Street 29, Yerevan","4,000 ֏",AMD,"Dance Studio for rent.Dance studio is for rent in Shengavit community.There is a modern renovated dance hall, a waiting room, 2 cloakrooms in the area.The cost of 1 hour is 4000 AMD.The main free hours are 11: 00-16: 00Discount is available in case of renting fixed hours per month.For details, call the mentioned phone number.IDANCE ACADEMY:Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17429064,
Industrial and Manufacturing,380 sq.m.,Available,Available,Other,Separate from the Street,Direct Lease,1 year,2 months,Not included,"Gagarin street, Yerevan","470,000 ֏",AMD,"A production-storage area is for rent, a basement with its own garage, with a separate entrance. The area is located near Noy district, near the Bank intersection. The area has its own heating system, production elevator, bathroom, storage area. Suitable for various production activities.Translated from Armenian",Nov-24-2022_22-13,,https://list.am/en/item/17343810,
