Construction Type,New Construction,Elevator,Floors in the Building,The House Has,Parking,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Window Views,Address,Price,Currency,Description,Datetime,Type,Garage,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Appliances,Links,Amenities
Monolith,Yes,Available,10,,,47 sq.m.,2,1,from 3 m,7.0,Open balcony,Available,Designer Renovation,,"Kalinini street, Dilijan station","24,200,000 ֏",AMD,"In a beautiful place of Dilijan, an apartment is for sale in a newly built building, renovated, with kitchen furniture and built-in cupboards.It is suitable both for residence and delivery.It will be commissioned in December 2023. Payment in installments according to agreement.For details: Call.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18345945,
Stone,No,Not available,5,,,78 sq.m.,3,1,from 3 m,5.0,Multiple balconies,,Cosmetic Renovation,,"Ankakhutyan Street, Ijevan","18,000,000 ֏",AMD,For sale very urgently‼️‼️NOT FOR RENT‼️‼️ Also exchange with 1 or 2 rooms for an additional fee. Will also sell with furniture and appliances.Translated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17991732,
Stone,No,Not available,5,,,94 sq.m.,4,1,from 2.8 m,3.0,Closed balcony,Available,Partial Renovation,,Tavush › Berd,"13,900,000 ֏",AMD,"4-room apartment for sale in Berd City, at 12 Mashtots Ave. , the total area of the apartment is 94 square meters, it has open-closed balconies, the closed one of which can be used as a bedroom. It is possible to add an apartment with 1 room. The apartment is in good condition. For sale with almost all the property. Call for more details.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16759068,
Stone,No,Not available,5,,,56 sq.m.,3,1,from 2.8 m,2.0,Open balcony,,Cosmetic Renovation,,"Erevanyan street 10, Ijevan","$10,000",USD,"It is located in Kayanavan, Aygehovit village of Ijevan. Good condition, it also has a large garage next to the sunny building. The price is negotiable.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17614164,
Stone,No,Not available,5,,,77 sq.m.,3,1,from 3 m,5.0,Open balcony,,Euro Renovation,,"Ankakhutyan Street, Ijevan","$49,000",USD,"An apartment is for sale at 8/48 Azatamartiki Street, Ijevan, next to the 5th school, next to the Tashir Kindergarten. The house has been renovated, the floors are tiled and laminated, the interior doors are wooden, the windows are Euro-made, the heating system is Baksi, there is a structure serving as a basement next to the house, and there is also a garage with its facilities. For more information call.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18062820,
Bricks,No,Not available,2,,,120 sq.m.,5,1,from 2.75 m,2.0,Closed balcony,Available,Old Renovation,,Tavush › Berd,"$5,500",USD,It is located in the upper red village. It is negotiable to exchange it with a carTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17839750,
Stone,No,Not available,5,,,70 sq.m.,3,1,from 2.8 m,4.0,Closed balcony,By agreement,Major Renovation,,"Գայի փողոց 76, Դիլիջան","14,000,000 ֏",AMD,"A renovated, sunny, bright, dry apartment with 2 rooms turned into 3 is for sale in a beautiful place of Dilijan, right next to Yeghevniner street. The apartment is big and spacious, with a high ceiling. A beautiful view opens from the window. There is a kindergarten, shops, entertainment places, school, bakery, bus stop in the immediate vicinity. The apartment is equipped with all utilities, property, equipment. It has a basement on the 1st floor, and a spacious storage room in the porch. For sale with property and large equipment. The price is AMD 15,000,000. It is also possible to sell without property, in which case the price is AMD 14,000,000. Only real and cash buyers should write and call. All conditions are presented, the apartment is as it is in the pictures. In the case of a real buyer, the price will be negotiated.Please consider that the price of the dollar is very low now. The apartment is sold in drams, do not make comparisons with dollars.Partial repayment of the amount is possible within the agreed period (with a notary)Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16863305,
Stone,No,Not available,4,,,36 sq.m.,2,1,from 2.5 m,4.0,Not available,,Cosmetic Renovation,,Tavush › Berd,"$22,000",USD,"It is in good condition, the windows are euro (to be replaced), the entrance door has been changed, hot and cold water, gas is drawn, on Mashtots street 22/13 at the intersection of the hospital, also exchange with a 3 / 4 room apartment in Berd for an additional fee from us.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18266060,
Stone,No,Not available,5,,,45 sq.m.,1,1,from 2.7 m,1.0,Not available,,No Renovation,,Tavush › Azatamut,"$5,000",USD,Urgent 15 buildings for saleTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17712427,
Panels,Yes,Not available,5,,,80 sq.m.,3,1,from 2.8 m,2.0,Closed balcony,Available,Designer Renovation,,Tavush › Ijevan,"$65,000",USD,"3-room apartment is for sale in the most central part of Ijևn, capitally renovated, two bedrooms, one spacious living room, to which is added a closed balcony, the kitchen is also added, and spacious, the apartment is fully furnished with household appliances, the front door is metallic, the yard is installed, hot and cold water is available 24 hours a day, the house is located in a very busy area, on the ground floor of the mentioned apartment there is a SUPERMARKET, PHARMACY, խանութ shops of different nature, there is a school, college, kindergarten, sports school, art school, hairdressing salon, dental clinic, bank, medical center, two different parks, cafe, restaurant, hotels, round-the-clock bakery, construction materials and household store, for questions you can call the number, the price is not negotiableTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16818199,
Panels,No,Not available,3,,,39 sq.m.,2,1,from 2.7 m,1.0,Open balcony,Not available,Euro Renovation,,Tavush › Dilijan,"$19,000",USD,"An apartment is for sale in Dilijan.1 room converted into two, 36.2 square meters, 1 floor 1/3The apartment is renovated in Euro, the windows are Euro, the floor is laminated.The corridor is tiled.The price is $19,000Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18309846,
Monolith,No,Not available,1,,,77 sq.m.,3,1,from 2.8 m,1.0,Not available,,Cosmetic Renovation,,"Շամախյան փողոց 1Ա, Դիլիջան","$30,000",USD,"The apartment has 77 sq. M. Մ. Area. It is located around the districts of Dilijan. For details, please call.You can call the same numberTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17751803,
Panels,No,Available,9,,,72 sq.m.,4,1,from 2.8 m,9.0,Closed balcony,Available,Euro Renovation,"YArd view, street view, city view",Tavush › Ijevan,"$35,000",USD,"Three (converted four-room) apartments for sale in a high-rise building on Bbulyan St. The floors of the kitchen and hallwayare tiled, the bathroom is tiled with European-made tiles, the entrance door is iron, the interior doors are made of wood, the windows are European-made, the roof is completely renovated, there is gas, water, electricity, there is a water tank with a capacity of 500 liters, the floor of the living room is parquet, the bedrooms the floor is laminate, all electric wires and water pipes have been completely changed. The bus stop is very close, shops, kindergarten, school are nearby. For sale with all property 16000000 without property 13000000Translated from Armenian",Nov-25-2022_14-07,,,,,,,,"FRidge, stove, washing machine",https://list.am/en/item/17054905,
Stone,No,Not available,5,,,120 sq.m.,5,1,from 2.7 m,1.0,Not available,,Euro Renovation,,"Ankakhutyan Street, Ijevan","40,000,000 ֏",AMD,Iron European windowsConditioner. BucksTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18249766,
Stone,,,5,,,65 sq.m.,2,,,5.0,,,,,"Barekamutian street, Noyemberyan","$10,000",USD,"Շտապ վաճառվում է 2 սենյականոց բնակարան Այրում քաղաքի կենտրոնում, նոռմալ վերանորոգված, ունի բալկոն 6 ք/մ։",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/15053734,
Stone,No,Not available,5,,,200 sq.m.,6,3+,from 2.7 m,2.0,Open balcony,,Euro Renovation,,"Getapnya Street, Dilijan","$220,000",USD,"DilijanApartment for sale in the center of Dilijan.Address: Getapnya 68 (2 floors)The total area is 200 m2 (3 apartments connected together)4 rooms with their own bathrooms, a large balcony with their own fireplace. Renovated and furnished.For sale with furniture.Square meter: $1100For more details, call the given number.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/13881610,
Panels,No,Not available,3,,,80 sq.m.,3,1,from 2.7 m,1.0,Open balcony,,Old Renovation,,Tavush › Dilijan,"$27,000",USD,"(Code 10/ 018) 3-room apartment for sale in Dilijan city, the area is 80.1 sq/m, it has an open balcony, it is gasified, it has water, electricity, the windows in the living room and kitchen are of European manufacture, and the other windows are of Moscow manufacture. The price is 27,000 USD. The apartment is also exchanged for a car worth up to $4,000 along with your down payment. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. For those who do not understand, we repeat once again, no address is provided by phone.Code 10-018Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18275305,
Stone,No,Not available,5,,,71 sq.m.,2,2,from 2.8 m,5.0,Closed balcony,Available,Major Renovation,,Tavush › Dilijan,"17,000,000 ֏",AMD,"(Code 10/012) A 2-room apartment is for sale in Dilijan, the area is 71.4 sq/m, it has a closed balcony, part of which is connected to the kitchen, and the other part has been transformed into a bedroom, it is gasified, it has water, electricity, the windows are of European production, the entrance door is wooden, the floor is laminate and tiled, it has a heating system - Bugsi. The apartment is fully renovated and is sold with kitchen and living room furniture, the price is AMD 14,000,000. The apartment is also sold together with the entire property, the price is AMD 15,500,000. Call at least 1 day in advance to view the apartment. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. We repeat once again, no address is provided over the phone.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18020458,
Stone,No,Not available,5,,,78 sq.m.,3,1,from 2.6 m,5.0,Open balcony,,Cosmetic Renovation,,"Kamo Street, Dilijan","$30,000",USD,"An apartment for sale in Dilijan, 3-4 furnished rooms, on Kamoi street, renovated, ready for living, no taxi, water pipes, electric wires have been changed, roof newly repaired, call for details. Whatsapp for picturesTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17476803,
Stone,No,Not available,5,,,63 sq.m.,2,1,from 2.8 m,2.0,Multiple balconies,Available,Old Renovation,,"Մեսրոպ Մաշտոցի փողոց 84Ա, Բերդ","$31,000",USD,"2-room apartment with furniture, spacious garage, located near the entrance of the building, for sale. There is a dry and spacious basement.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16566171,
Panels,No,Available,9,,,70 sq.m.,2,1,from 2.7 m,8.0,Closed balcony,,Old Renovation,,"Մետաղագործների փողոց 2/2, Իջևան","$25,000",USD,"A comfortable two-room apartment is for sale on Methalvostneri Street, Ijevan. It is located on the 8th floor of a 9-story panel building and the total area is 70 square meters. M.: The old renovation has been done, the ceiling height is 2.7 m. There is gas, water, electricity. The floor of the apartment is parquet. The elevator is working.Only real buyers should call.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18251330,
Stone,Yes,Available,5,PLayground,COvered parking,100 sq.m.,3,2,from 2.75 m,4.0,Open balcony,By agreement,Euro Renovation,YArd view,Tavush › Dilijan,"$150,000",USD,"It is on the 5th/4th floor of a newly built building, it has an open balcony, internet, playground, the building is guarded by cameras, a garage.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,"STove, washing machine",https://list.am/en/item/18213996,
Stone,No,Not available,2,,,65 sq.m.,3,1,from 3 m,2.0,Open balcony,Available,Old Renovation,,"Հայկ Նահապետի փողոց 12, Բերդ","$26,000",USD,It has a basement of 20 sq. M.Negotiable!Translated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16714940,
Stone,No,Not available,5,,,80 sq.m.,3,1,from 3 m,5.0,Open balcony,By agreement,Old Renovation,,Tavush › Ijevan,"$45,000",USD,An apartment is for sale on Azatamartikneri street (in the center) of Ijjan city. The apartment is for sale with property. The building has all the communal facilities. Most of the windows are of European production. It also has a pantry. Only real buyers should call.Price is negotiable.Translated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17664600,
Stone,No,Not available,5,,,51 sq.m.,2,1,from 2.7 m,3.0,Open balcony,,Major Renovation,,Tavush › Dilijan,"21,500,000 ֏",AMD,"(Code 10/1) A 2-room apartment is for sale in the center of Dilijan, on Getapnya Street, the area is 51.2 sq/m, it has an open balcony with a view of the beautiful nature and the river, it is gasified, it has water, electricity, the windows are of European manufacture, the entrance door is iron, the floor is tiled, it has a heating system - Bugsi. The apartment is fully renovated (renovated in 2021), already rented for AMD 100,000 per month and sold together with the property, the price is AMD 21,500,000. Call at least 1 day in advance to view the apartment. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. We repeat once again, no address is provided over the phone.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17988732,
Stone,No,Not available,5,,,85 sq.m.,4,1,from 2.7 m,3.0,Closed balcony,,Partial Renovation,,Tavush › Ijevan,"25,000,000 ֏",AMD,"(Code 01/007) 4-room apartment for sale in the center of Ijevan, the area is 85.8 sq/m, it has a closed balcony, an open balcony, it is gas-fired, it has water, electricity, a stone garage (without a certificate), a basement, the windows are Moskovian are made, the floor is parquet, the price is AMD 25,000,000 along with the garage. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. I repeat once again, no address is provided over the phone.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17444041,
Stone,No,Not available,5,,,78 sq.m.,3,1,from 2.5 m,2.0,Open balcony,,Cosmetic Renovation,,"Անկախության փողոց 22, Իջևան","$18,500",USD,"Urgent apartment for sale in Azatamut, on the 2nd floor of the 9th building, in normal condition, the bathroom and the kitchen is ideal. It also has a garage. 12 km away from Azatamut village.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/11043430,
Stone,No,Not available,5,,,78 sq.m.,3,1,from 3.5 m,5.0,Open balcony,Available,Cosmetic Renovation,,"Գայի փողոց 76, Դիլիջան","26,000 ֏",AMD,"3 rooms cosmetic renovation, good conditionTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/11811713,
Stone,No,Not available,2,,,61 sq.m.,2,1,from 2.7 m,1.0,Closed balcony,Not available,No Renovation,,Tavush › Noyemberyan,"$7,500",USD,"Գտնում է Տավուշի մարզի, Բագրատաշեն գյուղում, Բագրատաշեն անցակերից 1 կմ հեռավորության վրա: Վաճառվում է նաև դիմացը գտնվող սեփական տունը, 240 քմ 11500 USD",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/14159034,
Stone,No,Not available,5,,,80 sq.m.,4,1,from 2.75 m,4.0,Open balcony,,Partial Renovation,,"Արցախյան փողոց 114, Իջևան","12,000,000 ֏",AMD,Apartment for sale in IjjanTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16610201,
Stone,No,Not available,5,,,60 sq.m.,3,1,from 2.8 m,1.0,Not available,,Euro Renovation,,Tavush › Ijevan,"$30,000",USD,"(Code 02/2) 3-room apartment is for sale in Ijjan city, the area is 60 sq. M., it is gasified, has water, electricity, heating system, bugs, the windows are of European production, the entrance door is iron, and the floor of the living room and bathroom is heated is priced at $ 30,000. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with a real estate agency. Do not write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address by phone. We hope you will understand. Citizens who speak in unison or do not answer calls do not call, we do not work with you. I repeat once, no address is provided by phone.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17326139,
Stone,No,Not available,5,,,76 sq.m.,3,1,from 2.75 m,1.0,Closed balcony,Not available,No Renovation,,"Գայի փողոց 76, Դիլիջան","$24,000",USD,"Apartment for sale in In Dilijan, it is located in a very convenient position, it has a garage, 1st floor 3 m above the ground.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17428921,
Stone,No,Not available,5,,Outdoor parking,60 sq.m.,2,1,from 2.7 m,5,Open balcony,Available,Major Renovation,,"Улица Гетапня 86, Станция Дилижан","350,000 ֏ monthly",AMD,"В армянской Швейцарии, неподалеку от международной школы, на берегу реки сдается в аренду 2-х комнатная квартира, после капитального ремонта с новой мебелью. Имеется wi-fi, кабельное телевидение, необходимая кухонная и постельная инвентарь на несколько человек. Квартира освободится 5-го января 2023 года.",Dec-12-2022_23-08,,,4,Yes,Yes,Not included,By Agreement,"Fridge, stove, washing machine, water Heater, iron",https://list.am/en/item/18400585,"Television, internet, parking space"
Stone,Yes,Not available,2,,,800 sq.m.,4,1,from 3.5 m,2,Open balcony,Available,Major Renovation,,"Getapnya street, Dilijan station","25,000 ֏ daily",AMD,"It is an OWN HOUSE. NOT AN APARTMENT, BUT A PRIVATE HOUSE.For the weekend: A house in the heart of Dilijan's cozy nature.CLICK TO BOOK.The holiday home is equipped with all utilities.There is a summer house, barbecue, parking space, dishes, bedding, etc.Up to 8-10 people can be accommodated.There is a shopping center, 24 hours hot and cold water.Parz lake, Haghartsin monastery complex, Gosh church... Are located nearby.PRICE CONTRACTUAL (price change is possible depending on the number of people)Translated from Armenian",Dec-12-2022_23-08,,,8+,Yes,Yes,By Agreement,By Agreement,,https://list.am/en/item/16674968,
Stone,Yes,Not available,3,,Outdoor parking,55 sq.m.,3,1,from 2.8 m,1,Not available,Available,Designer Renovation,"Yard view, street view, city view, park view","Улица Мясникяна 40, Дилижан","370,000 ֏ monthly",AMD,"Лофт АпартаментыКвартира полностью оборудованВсё новоеНе заселёнНа против Гостиница Туфенкяна (50м.)Супер локацияСобственный двор, беседка, мангалПодробности по телефонуЕсть ещё новый двухспальная кроватьЕсть подробное видео если интересно напишите на ватсап отправлюЦена 370.000амд на долгосрочную! На новый год с 30.12-05.01 450.000амд!",Dec-12-2022_23-08,,,5,Yes,Negotiable,Not included,1 month,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron",https://list.am/en/item/18671085,"Television, internet"
Stone,No,Not available,4,,,46 sq.m.,2,1,from 2.5 m,4,Open balcony,Available,Designer Renovation,,"Ստեփան Շահումյանի փողոց, Դիլիջան","20,000 ֏ daily",AMD,"Ձեր անմոռանալի հանգստի համար առաջարկում ենք «Բարով եկաք» բնակարանը, որը գտնվում է Դիլիջանում՝ եղեւնիների փողոցում։Այն ունի 2 սենյակ, նաեւ՝ բաց պատշգամբ՝ գեղեցիկ տեսարանով։«Բարով եկաք» բնակարանում բոլոր պայմաններն առկա են, որ Դուք «բարով գաք» եւ «բարով վայելեք» Ձեր կատարյալ հանգիստը՝ կապիտալ վերանորոգված եւ ժամանակակից ու հարմարավետ կահույքով կահավորված բնակարանում։Բնակարանը գտնվում է Շահումյան 28 բն 12 հասցեում՝ դեպի Պարզ լիճ տանող ճանապարհին։Անմիջապես շենքի բակում կա սուպերմարկետ նաեւ դեղատուն, պատշգամբի տակ կանգառն է, կա քաղաքային տրանսպորտ, իսկ եթե մեքենայով եք, ռեստորանները, սրճարանները գտնվում են տնից 7 րոպե հեռավորության վրա։Բնակարանն ունիԽոհանոցՀյուրասենյակՆնջարանՍանհանգույց՝ բոլոր անհրաժեշտ պարագաներովԲաց պատշգամբ։«Բարով եկաք» բնակարանը կահավորված է անհրաժեշտ ամեն ինչով՝Հեռուստացույց սմարթWifiԱնհրաժեշտ կահույքԽոհանոցի սպասք եւ այլն.Ինչու՞ ընտրել հենց մեզ, որովհետեւ մենք սիրով սպասում ենք Հե՛նց Ձեզ։Բնակարանը տրվում է օրավարձով։Ամրագրումը նախապես պարտադիր է:Для вашего незабываемого отдыха предлагаем квартиру ""Добро пожаловать"", которая находится г. Дилижане (улица елок)Квартира двухкомнатная, есть открытый балкон, вид на горы.В квартире ""Добро пожаловать"" есть все условия, чтоб вы ""добро пожаловали"" и наслаждались хорошим отдыхом. В отремонтированной квартире есть современная и комфортная мебель для вашего удобства.Квартира находится по адресу ул. Шаумяня 28 кв. 12 (20 минут езды до озера ""Парз лич"")В доме есть супермаркет, аптека, через дорогу - автобусная остановка общественного транспорта, кафе, рестораны в 7 минутах езды.В квартире естьКухняГостиннаяСпальняВанная комната со всеми необходимыми аксесуарами.Квартира ""Добро пожаловать"" оборудована всем необходимымТВ смартWifiНеобходимая мебель, посуда и т. Д.Почему выбрать ИМЕННО нас?Потому что мы с любовью ждем ИМЕННО ВАС!Сдается только посуточно.Бронирование заранее обязательно.",Dec-12-2022_23-08,,,6,Yes,No,Included,By Agreement,,https://list.am/en/item/18540358,
Panels,No,Available,9,,,88 sq.m.,3,1,from 3 m,6,Open balcony,Available,Cosmetic Renovation,,"Getapnya street 10, Dilijan station","150,000 ֏ monthly",AMD,3-room apartment on Getapnya StreetTranslated from Armenian,Dec-12-2022_23-08,,,5,Yes,Negotiable,Not included,By Agreement,,https://list.am/en/item/18676112,
Stone,No,Not available,5,,,35 sq.m.,2,1,from 3.5 m,1,Closed balcony,Available,Major Renovation,,"Getapnya street, Dilijan station","10,000 ֏ daily",AMD,"2-room apartment is for rent on Getapnya street, 35 sq. M. M, high upTranslated from Armenian",Dec-12-2022_23-08,,,3,Yes,No,By Agreement,By Agreement,,https://list.am/en/item/17669207,
Stone,No,Not available,5,Playground,Outdoor parking,72 sq.m.,3,1,from 2.8 m,3,Open balcony,Available,Major Renovation,"Yard view, street view, city view, park view",Tavush › Ijevan,"150,000 ֏ monthly",AMD,Has permanent waterTranslated from Armenian,Dec-12-2022_23-08,,,4,Negotiable,No,By Agreement,4 months,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18657454,"Television, air conditioner, internet, parking space"
Stone,Yes,Available,5,,,85 sq.m.,3,1,from 2.8 m,3,Open balcony,Available,Euro Renovation,,Tavush › Dilijan,"25,000 ֏ daily",AMD,"3-room apartment for rent in the central district of Dilijan, near the city hall, where you can easily find shopping centers, banks and pleasant promenades. The apartment is located in a newly built building with an elevator and a parking space in the basement. It is equipped with all necessary facilities (light, gas, water, air conditioning, heating, washing machine) It is equipped with TV and wi-fi. The apartment has 2 bedrooms and 1 living room. It also has a comfortable kitchen with an open balcony, equipped with household appliances, where you can have breakfast around a round table. The house is for rentis for rent to trusted persons, mainly families, intended for 4-6 persons (including children)The minimum rental period is 3 days (75,000 AMD)In case of longer stay, there will be discounts.7 days: 150,000 AMD.10 days: 220,000 AMD.We wish you a happy holiday.Translated from Armenian",Dec-12-2022_23-08,,,4,Yes,No,By Agreement,By Agreement,,https://list.am/en/item/17966636,
Panels,No,Not available,5,,,100 sq.m.,3,1,from 3 m,1,Not available,,Designer Renovation,,Tavush › Dilijan,"5,000 ֏ daily",AMD,3-room apartment is for rent on Shahumyan street (deer district) with all communal amenities.Translated from Armenian,Dec-12-2022_23-08,,,,,,,,,https://list.am/en/item/17614680,
Panels,No,Not available,3,,,73 sq.m.,3,1,from 2.6 m,2,Open balcony,,Cosmetic Renovation,,"Moldovakan street, Dilijan station","200,000 ֏ monthly",AMD,"Сдается в аренду 3-х комнатная квартира.Г. Дилижан, ул. МолдоваканОтоплениеГорячая водаИнтернет",Dec-12-2022_23-08,,,4,Yes,No,Not included,1 month,,https://list.am/en/item/18541623,
Stone,No,Not available,3,,,1200 sq.m.,8+,3+,from 2.8 m,3,Multiple balconies,Available,Cosmetic Renovation,,"Kamo Street, Dilijan","15,000 ֏ daily",AMD,"One room is intended for 3-4 people, heating, constant hot-cold water, tv, refrigerator, all rooms are 2-room, according to the days, there will be discounts on the number of rooms.Wifi, tennis, pavilions, parkingHouse, guest house, rest house, private house, Dilijan, house for daily rent, rest in DilijanThree-storey stone townhouse in Dilijan, 1000 sq. M. Մ. , 3 + bathrooms, large plot/ item / 11511076:Translated from Armenian",Dec-12-2022_23-08,,,8+,Yes,Yes,Included,By Agreement,,https://list.am/en/item/17123262,
Stone,No,Not available,5,,,53 sq.m.,1,1,from 2.75 m,1,Closed balcony,,Major Renovation,,Tavush › Dilijan,"220,000 ֏ monthly",AMD,"В квартире имеется интернет с Wi-Fi-ом, телевизор, Посудомойка, паровое отопления с собственным котлом, мебель, постельные принадлежности и всё необходимое для комфортного проживания. Есть ещё отдельный гараж возле подъезда.",Dec-12-2022_23-08,,,2,Yes,No,Not included,Without prepayment,,https://list.am/en/item/18476359,
Stone,Yes,Not available,2,Playground,"Outdoor parking, covered parking",90 sq.m.,3,1,from 2.5 m,1,Open balcony,Available,Major Renovation,"Yard view, park view","Հակոբջանյան փողոց, Դիլիջան","150,000 ֏ monthly",AMD,"The 1st floor of a two-story private house is for rent with all utilities, it has a large garden, I will let you both long and short term.Call for detailsTranslated from Armenian",Dec-12-2022_23-08,,,5,Yes,Negotiable,By Agreement,By Agreement,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18693505,"Television, internet, parking space"
Stone,No,Not available,4,Playground,Outdoor parking,64 sq.m.,3,1,from 2.7 m,1,Open balcony,Available,Designer Renovation,"Yard view, street view, park view","Գայի փողոց, Դիլիջան","350,000 ֏ monthly",AMD,"Available for long-term and short-term rentfully renovated apartment in Dilijan-Jrhogherin the district, constant hot and cold water supply,gasified-individual heating system,windows and doors of European production,2 bedrooms, open balcony 14 square meters, internet wifi,beautiful view, call for details.Translated from Armenian",Dec-12-2022_23-08,,,5,Yes,Negotiable,Not included,2 months,"Coffee maker, iron, hair dryer",https://list.am/en/item/18646383,"Internet, parking space"
Stone,No,Not available,4,,,35 sq.m.,1,1,from 2.7 m,4,Open balcony,,Euro Renovation,,"Улица Степана Шаумяна 26, Дилижан","10,000 ֏ daily",AMD,"Hot water, cold water, the internet is flooded with snipersTranslated from Armenian",Dec-12-2022_23-08,,,,,,,,,https://list.am/en/item/17762396,
Stone,No,Not available,4,,,31 sq.m.,2,1,from 2.75 m,2,Open balcony,Available,Designer Renovation,,"Շահումյան փողոց 26, Դիլիջան","10,000 ֏ daily",AMD,"Newly renovated luxury apartments in Dilijan's Ekhevniri street, with new property and new household appliances, open balcony and beautiful view, only for family couples, only for families, not for 1 day, 5,000 AMD per person, 1 day, minimum 2 days.New Year 31-5 150,000 dramsTranslated from Armenian",Dec-12-2022_23-08,,,2,No,No,Included,Without prepayment,,https://list.am/en/item/16160622,
Stone,No,Not available,4,,,33 sq.m.,1,1,from 2.7 m,2,Open balcony,,Euro Renovation,,"Շահումյան փողոց 26, Դիլիջան","5,000 ֏ daily",AMD,"Newly renovated apartments with new property on Yeghniner street in Dilijan for daily rent, with all amenities, 2 persons 10,000 AMD per day, only for families, not for 1 day, minimum 2 days, social security. By package or transferTranslated from Armenian",Dec-12-2022_23-08,,,2,No,No,Included,Without prepayment,,https://list.am/en/item/17844808,
Stone,Yes,Not available,2,,,110 sq.m.,3,1,from 2.7 m,2,Open balcony,,Major Renovation,,Tavush › Dilijan,"30,000 ֏ daily",AMD,"The second floor of a private house is for rent. The private house has 2 bedrooms, a living room, a kitchen, a bathroom. The private house is completely renovated. It has a large balcony, a yard. It is designed for 5-6 people. It is located on the road leading to the ancient monastery complex, in the lap of nature, next to the Dili Jazz restaurant complex.Translated from Armenian",Dec-12-2022_23-08,,,,,,,,,https://list.am/en/item/17995583,
