Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Address,Price,Currency,Description,Datetime,Land Area,Appliances,Service Lines,Facilities,Links,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities
House,Stone,70 sq.m.,1,3,1,,,Cosmetic Renovation,Lorri › Spitak,"$20,000",USD,"Продаю новый капитальный дом из бетона и камня. 89897615167-вацап. Есть газ, свет, вода, канализация. В доме 3 спальни, 1 большой зал, 1 кухня, 1 ванная комната, 1 прихожка, 1 котельня. Участок 400м2. Земля хорошая, ухоженная, все растёт прекрасно, также есть разные деревья. Имеется забор. Очень крепкий дом. Есть чистовой ремонт. Вам остается только ламинат постелить и мебель собрать, и можно жить, место прекрасное, тихое, рядом через дорогу есть большое поле для вашего скота. Срочно продаю. Торг.",Nov-25-2022_00-21,400 sq.m.,,,,https://list.am/en/item/18023862,,,,,,
House,Stone,280 sq.m.,2,4,1,Not available,1 spot,Major Renovation,"Երիտասարդական փողոց 11, Ստեփանավան","$50,000",USD,It is in good condition. The first floor is residential. The bathroom is renovatedthere is a garage and a summer kitchenFor more information callTranslated from Armenian,Nov-25-2022_00-21,300 sq.m.,,,,https://list.am/en/item/18363474,,,,,,
House,Stone,110 sq.m.,1,2,1,,,Major Renovation,"Zaqaryan street, Vanadzor","$47,000",USD,"Own house is located in front of the rectory.All utilities are available. One part of the house has been fully renovated. There are also built-in wardrobes. There is a heating system.There is a large garage in front of the house.There is also another small house nearby, not renovated. After renovation, it can become rooms. The price is negotiable.Translated from Armenian",Nov-25-2022_00-21,110 sq.m.,,,,https://list.am/en/item/17551810,,,,,,
House,Stone,328 sq.m.,2,8+,3+,,,No Renovation,Lorri › Stepanavan,"$15,000",USD,"A two-storey private house is for sale in the cozy town of Stepanavan. The building is half-built. With all utilities. After construction, it can be used as a summer house or as a guest house business.Price is negotiable.Translated from Armenian",Nov-25-2022_00-21,440 sq.m.,,,,https://list.am/en/item/16846295,,,,,,
House,Stone,110 sq.m.,2,3,1,By agreement,2 spots,Old Renovation,Lorri › Tashir,"$28,000",USD,"Продается 2-х етажный каменный дом в городе Ташире, с хорошим удобством, на втаром этаже дома есть все коммунальные удобство, проведен газ, горячая и холодная вода, на втором этаже росположен душевая комната и кухня, на первом этаже дома росположен летняя кухня и большой гараж, в Доль огорода расположен канюшня, в цене возможен торг для реальных покупателей, в россрочку не продается, срочно!",Nov-25-2022_00-21,300 sq.m.,,,,https://list.am/en/item/18146032,,,,,,
House,Monolith,110 sq.m.,3,4,1,,,Old Renovation,"Alek Manoukyan street, Spitak","$29,000",USD,Hurry! Address c. Spitak Pyunik district. Negotiable to real buyer.Translated from Armenian,Nov-25-2022_00-21,1600 sq.m.,,,,https://list.am/en/item/18233043,,,,,,
Country House,Stone,68 sq.m.,1,2,1,,,No Renovation,"Forest Street, Stepanavan","6,500,000 ֏",AMD,"The price is negotiableCALL OFFER YOUR PRICEOwn house for sale in Amrakit village, Lori marz. It has 2 rooms, one basement, it has utilities: Electricity, gas, water must be brought to the house from the road, the distance is about 10m. It has a barn attached to the house, and a separate cattle shed. It is in a poor condition, the price is mainly related to the area and the plot of land. It has a garden adjacent to the house, and a 3000 square meter plot of land (privatized) next to the house. The plot of land is very suitable for developing an agricultural business.Saint Nicholas the Wonderworker Church of Amrakitsi is located here (Russian: Церковь Николая Чудотворца), a Russian-Orthodox church in Amrakitsi village, Lori region, Armenia. It was built in 1848 (according to other data in 1879) for the Russian-Orthodox of the village of Nikolaevka (now Amrakit) founded by Ukrainian Cossacks. In 1910-1914, it was rebuilt to its current appearance.The house is adjacent to the international road leading to Georgia.About 12 km away is the Sochut recreation area of Gyulagarak, ""Hekiat"" guest house,""Ashot Yerkat"" historical and cultural landmark of Lori Berd community is located at a distance of about 10 km.About 7 km away is the Stepan Shahumyan House Museum.""Major Dzor"" attraction is located about 5 km away...Translated from Armenian",Nov-25-2022_00-21,3000 sq.m.,,,,https://list.am/en/item/16730691,,,,,,
House,Stone,56 sq.m.,1,4,1,,,Partial Renovation,Lorri › Vanadzor,"$14,000",USD,"The apartment is located in a newly built district of Shahumyan community. Pasture with communal facilities. There is a garage, an orchard and arable land next to the house. The apartment has 3 bedrooms, a spacious living room, a kitchen and two basements. URGENT for saleTranslated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/14415562,,,,,,
House,Monolith,300 sq.m.,3,7,3+,Available,1 spot,Partial Renovation,Lorri › Vanadzor,"$100,000",USD,"Առանձնատունը գտնվում է քաղաքի կենտրոնում եկեղեցու հարևանությամբ, մոնոլիտ է։",Nov-25-2022_00-21,,,,,https://list.am/en/item/14238553,,,,,,
House,Monolith,290 sq.m.,3,8+,3+,,,Cosmetic Renovation,"Vardanants Street, Vanadzor","$99,000",USD,"Two-storey private house with an attic is for sale:Vardanants 62b address. Newly built stone building, has a basement, the internal renovation works are unfinished.Translated from Armenian",Nov-25-2022_00-21,427 sq.m.,,,,https://list.am/en/item/17876773,,,,,,
House,Stone,2000 sq.m.,2,3,1,,,No Renovation,"3rd lane 3rd street 8, Darpas","$8,000",USD,"Half-built house, there is a ready-made barn, the whole area is full of productive trees, together there is 1 ha of arable land, 1 ha of pasture, not at the address indicated on the map, I will listen to reasonable exchange offers, call whatsapp or ViberTranslated from Armenian",Nov-25-2022_00-21,1000 sq.m.,,,,https://list.am/en/item/17679977,,,,,,
House,Bricks,200 sq.m.,2,4,1,,,No Renovation,Lorri › Tashir,"$7,000",USD,"Срочно продается дом с участком. Таширский район, село Лернаовит. На участке плодовые деревья. Реальному покупателю торг уместен. Возможен обмен с машиной.",Nov-25-2022_00-21,700 sq.m.,,,,https://list.am/en/item/18252540,,,,,,
House,Stone,110 sq.m.,1,4,1,,,Partial Renovation,"Բաղրամյան փողոց 11, Ստեփանավան","17,000,000 ֏",AMD,"4-room private house for sale in the city center, hot and cold water, internet, heating, beautiful garden.Translated from Armenian",Nov-25-2022_00-21,1000 sq.m.,,,,https://list.am/en/item/17526966,,,,,,
House,Wooden,450 sq.m.,1,4,1,Not available,Not available,No Renovation,Lorri › Spitak,"$10,000",USD,"Fruit orchard, communal facilities.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/11698327,,,,,,
House,Stone,140 sq.m.,2,6,1,Not available,Not available,Partial Renovation,"Նիզամի փողոց 68/1, Վանաձոր","$65,000",USD,"The most important thing is far from the street noise. Two-storey private house, each floor is 70 square meters.The land area is 600 square meters. Մ. There is a garage in front of the house, if you want you can park a car in the back of the house, there is a road in the back of the house, there are big gates, you can build a garage in that part, you can build another house, you have two roads to the house Nardos and Nizami There are gates on both sides of the streets. Fruit garden, fruit trees.There are apple, pear, peach, hazelnut trees, big walnut tree, raspberry bushes. It is located in a quiet place away from the noise of the city and the street.Sewer and water lines were changed in 2020, it has permanent water, gas, light.There is no plaster only in front of the house.The roof is plastered behind the house, it has just been changed.There are no photos on the first floor, only photos of a few rooms in the house.Translated from Armenian",Nov-25-2022_00-21,600 sq.m.,,"ELectricity, water supply, natural gas, sewerage",,https://list.am/en/item/17052013,,,,,,
House,Stone,479 sq.m.,2,4,1,,,Old Renovation,"Jravazani street, Alaverdi","$22,000",USD,"The walls are basalt and tuff, garden, large yardTranslated from Armenian",Nov-25-2022_00-21,94 sq.m.,,,,https://list.am/en/item/18002670,,,,,,
House,Stone,110 sq.m.,1,3,1,By agreement,Not available,Partial Renovation,Lorri › Stepanavan,"6,200,000 ֏",AMD,"A house is for sale on the Yerevan-Stepanavan interstate highway, 3 km from the resort Stepanavan, in the village of Amrakit.The house is suitable for both residence and business.Translated from Armenian",Nov-25-2022_00-21,1500 sq.m.,,,,https://list.am/en/item/17338623,,,,,,
House,Stone,95 sq.m.,1,4,1,Available,1 spot,Partial Renovation,"Площадь имени Сурена Аветисяна 7, Спитак","12,500,500 ֏",AMD,"Продается жилой одноэтажный дом в Лори марз с землей, д. Гурсалы. Площадь участка 2750 кв. М, общая площадь дома 94,7 кв. М. Качественный одноэтажный дом, имеются 4 комнаты. Дом крытый хорошей крышей. Кухня, коридор, зал и спальня используется. Остальные комнаты в наличии. В саду много разных плодоносящих деревьев всех видов. Имеется место для скота, гараж, вагончик и домик. Свет, газ, вода в наличии. Высокий подвал под весь дом с погребом. Дом построен с сейсмостойкими зонами, толщина стен подвала 60 см, толщина стен дома 40 см (туф), крыша из оцинкованного листа. Ограждено со всех сторон. Есть железные ворота... Около дома протекает речка... Прекрасная природа! Цена 12 500 000 драм.Помимо дома с землей есть 4 пахотных участка. Продается отдельно.Լոռու մարզ, Ղուրսալի համայնք, 5 փ. , 3փակ. , տ. 6",Nov-25-2022_00-21,2750 sq.m.,,,,https://list.am/en/item/18072849,,,,,,
House,Cassette,94 sq.m.,1,5,2,Not available,2 spots,Cosmetic Renovation,"3rd lane 3rd street 8, Darpas","$28,000",USD,"Adjacent to the cottage, there are 2 garages for 2 stone mansions, a basement, a garden with fruit trees, an adjacent plot with fruit trees.Translated from Armenian",Nov-25-2022_00-21,500 sq.m.,,,,https://list.am/en/item/16298105,,,,,,
House,Stone,160 sq.m.,2,5,2,,,Partial Renovation,"1-й тупик Мясникяна 14, Ванадзор","$39,700",USD,Город Ванадзор 1-й тупик Мясникяна дом 12Стоит одельно летний Венгерский домЗвоните обсудим,Nov-25-2022_00-21,700 sq.m.,,,,https://list.am/en/item/16820804,,,,,,
House,Stone,110 sq.m.,2,6,1,By agreement,1 spot,Partial Renovation,Lorri › Arjut,"$55,000",USD,"There are all the communal conditions, there are 2 barns in the area, one small house, 1 foundation for building a house, Garage, gardens, one small greenhouse.There is a fuel heating system in the house.There is an adjoining area inside the village.Living area 220 sq. M. M.:Exchange with own house in VanadzorTranslated from Armenian",Nov-25-2022_00-21,6000 sq.m.,,,,https://list.am/en/item/17640115,,,,,,
House,Stone,78 sq.m.,1,3,1,,,Partial Renovation,"Dprotsi street, Vanadzor","$48,000",USD,For sale with propertyTranslated from Armenian,Nov-25-2022_00-21,100 sq.m.,,,,https://list.am/en/item/18361105,,,,,,
House,Stone,185 sq.m.,1,8+,1,,,Old Renovation,"Գետափնյա փողոց 5, Ստեփանավան","$20,000",USD,Call for more informationTranslated from Armenian,Nov-25-2022_00-21,682 sq.m.,,,,https://list.am/en/item/17808599,,,,,,
House,Stone,132 sq.m.,2,5,2,,,Old Renovation,Lorri › Vanadzor,"$32,000",USD,"A 2-story stone house with all utilities is for sale at Lorva 6, Vanadzor. The house is in good condition, the area is 132 square meters. It has a garage, boiler room, basement, balcony.There are 2 rooms, a bathroom on the 1st floor, 3 rooms, a bathroom, a kitchen on the 2nd floor.For details, call the indicated phone number.Price negotiableTranslated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/18321225,,,,,,
House,Stone,157 sq.m.,2,5,1,,,Old Renovation,Lorri › Vanadzor,"$37,000",USD,"A 2-story stone house with all utilities is for sale at Lorva 6, Vanadzor. The house is in good condition, the area is 157 square meters. It has a garage, a boiler room, a basement, a balcony, a small plot of land. There is 1 more parking space in the yard.For details, call the indicated phone number.The price is negotiable.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/18276786,,,,,,
House,Stone,268 sq.m.,2,5,1,Not available,1 spot,Cosmetic Renovation,Lorri › Lernantsk,"9,113,000 ֏",AMD,"The property is the Bank's collateral, which is in the BANKRUPTCY auction.Lori region, c ․ Lernantsq, 15 st. , residential house located at No. 3, 268․2 sq. M., land plot - 1100 sq. M. The building is two-storey, stone, the mezzanine is reinforced concrete, the roof is slate, the windows, the interior doors are wooden, metal-plastic, the floor is parquet, tiled, the bathroom is tiled, there is a heating system.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and actions will be performed by the successful bidder.Translated from Armenian",Nov-25-2022_00-21,1100 sq.m.,,,,https://list.am/en/item/17744653,,,,,,
House,Stone,139 sq.m.,2,3,1,,,Old Renovation,Lorri › Vanadzor,"$20,000",USD,"Дом двухэтажный, построен из туфа. Верхние этажи жилые со старым ремонтом, первый этаж - кухня. На территории имеется гараж, отдельная пристройка под жилую площадь, а также сад с плодовыми деревьями. Санузел находится во дворе. Вода проведена, газ проходит в 1 метре от дома. Дом располагается по адресу: Лорийская область, поселок Памбак, Первая улица, 17. В отличном месте, на первой полосе от трассы",Nov-25-2022_00-21,6 sq.m.,,,,https://list.am/en/item/18326192,,,,,,
,Stone,1500 sq.m.,,7,,,,,Lorri › Tashir,"$30,000",USD,"Վաճառվում է երկհարկանի տուն, ներքին հարդարման աշխատանքները անավարտ են (11,4×12) մ, մանսարդ։ Ընդհանուր հողամասը 1500 քմ։ առկա է շինանյութ օժանդակ կառույցի համար։ Հասցեն Լոռու մարզ, քաղաք Տաշիր, Բաղրամյան (Կրուպսկայա) 1 ա, հասանքը և ջրամատակարարումը առկա, գազաֆիկացված չէ, գազատարը մոտ 10մ։Տարածքը ցանկապատված է։ Շինության նախագիծում նախատեսված է բազմաֆունկցիոնալ կիրառում, բնակելի, հյուրանոց սննդի և այն ըստ նպատակի։ Տարածքը հարմար է անասնապահություն կազմակերպելու տեսանկյունից։ գինը 30000 $ սակարկելի։Հնարավորա նաև փոխանակել բնակարանի հետ Երևանում:",Nov-25-2022_00-21,,,,,https://list.am/en/item/11481665,,,,,,
House,Stone,70 sq.m.,1,2,1,,,Cosmetic Renovation,"Բուլղարական ավան 2-րդ թաղամաս 172, Վանաձոր","$6,000",USD,"The house is for urgent sale. It is located in Bazum district. It has an adjacent garden with productive trees. It also has a separate greenhouse in the yard. The house has electricity, gas, water. It is in good condition. The price is final.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/18360497,,,,,,
Country House,Stone,129 sq.m.,2,3,2,,,Partial Renovation,Lorri › Pushkino,"$65,000",USD,"СРОЧНО! Продаётся 2 дачи с земельным участком. Паралейные двухэтажные здании, первая здания со всеми удобствами для проживания, вторая для гаража, второй этаж свободный можно спокойно из нее сделать комн аты /билиардный. Отлично подходит для Гостиницы/Хостела Готовы к сотрудничеству тоже!",Nov-25-2022_00-21,1700 sq.m.,,,,https://list.am/en/item/17923940,,,,,,
House,Bricks,132 sq.m.,2,6,1,,,Partial Renovation,"Улица Ереванян 194, Ташир","$20,000",USD,"В доме есть постоянная вода, газ, свет. Рядом находятся школа, детский сад, от центра пешком 10 минут. Можно использовать как дача, гостиница. Спокойное, тихое место.",Nov-25-2022_00-21,600 sq.m.,,,,https://list.am/en/item/18261822,,,,,,
House,Stone,633 sq.m.,3,8+,3+,By agreement,3 or more spots,Designer Renovation,Lorri › Vanadzor,"$150,000",USD,"Built after the earthquake, walled, has a monolithic basement, 3 bathrooms, 3 kitchens, a playroom, 6 bedrooms - all rooms have parquet floors, a built-in garage for 2 cars, a shed, wooden doors, living room, 3 balconies, windows with bars, entrance doors (3 units), there is a heating system and there is constant water.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/18091810,,,,,,
House,Stone,90 sq.m.,2,3,1,By agreement,Not available,Cosmetic Renovation,"Erevanyan street 45, Vardenis","$20,000",USD,Utility with all amenities. Heating butter greek mailTranslated from Armenian,Nov-25-2022_00-21,1300 sq.m.,,,,https://list.am/en/item/17237547,,,,,,
House,Bricks,94 sq.m.,4+,4,1,,,Partial Renovation,"Meqenashinararneri district, Vanadzor","13,000,000 ֏",AMD,"The apartment is located in Taron 4 district of Vanadzor city, the building is in good condition, there are shops, a pharmacy, 2 schools, a kindergarten in the yard, the house is on the 4th floor of a 4-story building, it is in normal condition, it has 4 rooms, a total area of 94 square meters, 2 balcony, has all utilities, gas, water, electricity.The price is final, do not call for price reduction.Translated from Armenian",Nov-25-2022_00-21,94 sq.m.,,,,https://list.am/en/item/18359689,,,,,,
House,Stone,140 sq.m.,2,5,2,,,Old Renovation,Lorri › Lermontovo,"12,500,000 ֏",AMD,"The house has constant water, you can draw gas if you wish, it has 2 bathrooms, the stairs to the 2nd floor are from inside the house, there is also a basement inside the house.Translated from Armenian",Nov-25-2022_00-21,3124 sq.m.,,,,https://list.am/en/item/18100541,,,,,,
House,Stone,250 sq.m.,2,5,1,,,Cosmetic Renovation,"3rd lane 3rd street, Darpas","$46,000",USD,"A two-storey private house is for sale urgently in Darpas community near Vanadzor. The outer walls are made of tuff, two-layer. On a solid foundation, with a large yard, spacious balconies, a summer room, a garage (designed for 2 cars) A strong wall 3 meters high was built in the lower part of the house to strengthen the foundation. It is heated with individual heating system (Petersburg system), both gas and wood, there is a fireplace in the living room. With all the necessary furniture and appliances.With the house will be given arable land, 1700 sq / m, also 2000 sq / m land suitable for cattle breeding, greenhouses or other type of business.Negotiable, exchange with a car is possible.Translated from Armenian",Nov-25-2022_00-21,2000 sq.m.,,,,https://list.am/en/item/15850904,,,,,,
House,Stone,252 sq.m.,2,7,1,,,Old Renovation,Lorri › Spitak,"$25,000",USD,"A two-story stone house. The location of the place is very good, first line, approximately one km away from the center. The walls are thick, nothing happened to the earthquake. It is in old condition and needs major repairs.Tumanyan 39 (Shiroyan Karleni's house)Translated from Armenian",Nov-25-2022_00-21,500 sq.m.,,,,https://list.am/en/item/18359336,,,,,,
House,Stone,120 sq.m.,2,4,1,,,Cosmetic Renovation,Lorri › Spitak,"$24,000",USD,"Продам дом в районе Узбекакан, дом частично ремонтирован, есть вода, газ, электричество. Санузел в плитке. Ремонт в комнатах чуток устарел но жыть можно. Полы ламинат, плитка. Окна евро. За доплату оставлю мебель (в хорошем состоянии) в доме есть все необходимое для жизни. Заехать и жить без личних трат.",Nov-25-2022_00-21,600 sq.m.,,,,https://list.am/en/item/17753515,,,,,,
House,Stone,600 sq.m.,2,8+,2,,,No Renovation,Lorri › Stepanavan,"$5,500",USD,"A half-built two-storey house is for sale in Stepanavan. On the left bank, V Hambardzumyan str. , Is the former Ardshinbank street, the land area is 600 square meters, the floor area of the house is 120 square meters. It is marked with a yellow mark on the map.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/14332279,,,,,,
House,Stone,200 sq.m.,2,3,2,,,Partial Renovation,"Sayat-Nova street 22, Vanadzor","$25,000",USD,"In good condition, call for questionsTranslated from Armenian",Nov-25-2022_00-21,500 sq.m.,,,,https://list.am/en/item/18314248,,,,,,
House,Stone,81 sq.m.,2,4,1,By agreement,1 spot,Partial Renovation,"Улица Вазгена Сарксяна, Yerevan","$50,000",USD,Two-story stone house with all utilitiesTranslated from Armenian,Nov-25-2022_00-21,1200 sq.m.,,,,https://list.am/en/item/18041950,,,,,,
House,Stone,137 sq.m.,1,5,1,,,Old Renovation,Lorri › Spitak,"$22,000",USD,"Продается крепкий дом 1993 года постройки из каменного туфа в селе Катнаджур ул. Первая. Крыша - металлочерепица, имеется бетонный подвал 25 кв. М, гараж в доме 21 кв. М, паровое отопление, электричество 220в, водопровод, рядом с забором проходит газопровод на расстоянии 5 метров, участок огорожен каменным туфом высотой 1,7м, на участке имеются плодотворные деревья - яблони и груши, сливы 10 шт. , имеется беседка из металлоконструкции. На окнах стоят декоративные фигурные решетки. Дом расположен в центре населенного пункта, 100м от автобусной остановки, магазины рядом, в деревне имеется школа, детский сад, деревня полностью заасфальтирована в 2021 году, в деревне проживают очень добрые люди, чистый воздух и хорошая экология, реальным покупателям торг. Переселенцам НКО хорошая скидка. Подробности по whatsup",Nov-25-2022_00-21,1300 sq.m.,,,,https://list.am/en/item/17662412,,,,,,
House,Stone,250 sq.m.,2,3,1,,,Old Renovation,Lorri › Stepanavan,"$7,000",USD,"A house for sale in Lori, Stepanavan region. Yagdan. The house has two floors, the first floor is used as a storage room, it can also be made residential, and the second floor is completely residential. There is a large plot of land and another building in front of the house. The price is only $7,000.Translated from Armenian",Nov-25-2022_00-21,1500 sq.m.,,,,https://list.am/en/item/18041362,,,,,,
House,Stone,120 sq.m.,2,5,2,,,Old Renovation,Lorri › Vanadzor,"$28,000",USD,"Private house for sale in Vanadzor,For details, please call those who really want. Part 3:Translated from Armenian",Nov-25-2022_00-21,250 sq.m.,,,,https://list.am/en/item/17906222,,,,,,
House,Panels,240 sq.m.,2,5,1,Not available,3 or more spots,Major Renovation,"Երևանյան խճուղի, Վանաձոր","$60,000",USD,"The house is located on the sidewalk directly in front of the Glori sewing factory. The first floor is not renovated, it is very convenient to use as a workshop, the second floor is renovated and is not inhabited and has never been. Water and electricity availableTranslated from Armenian",Nov-25-2022_00-21,500 sq.m.,,,,https://list.am/en/item/18070656,,,,,,
Country House,Stone,1000 sq.m.,2,4,1,Not available,Not available,No Renovation,Lorri › Stepanavan,"8,000,000 ֏",AMD,The price is negotiable in Agarak villageTranslated from Armenian,Nov-25-2022_00-21,100 sq.m.,,,,https://list.am/en/item/16939610,,,,,,
House,Stone,2000 sq.m.,1,3,1,,,Partial Renovation,Lorri › Arjut,"$10,000",USD,"It has a stable, a pantry, a garage, a plot of land with mature trees.Translated from Armenian",Nov-25-2022_00-21,1750 sq.m.,,,,https://list.am/en/item/18254518,,,,,,
House,Stone,120 sq.m.,2,8+,3+,,,No Renovation,Lorri › Stepanavan,"$15,000",USD,"Unfinished house, shop, land, city Stepanavan Charents 143Translated from Armenian",Nov-25-2022_00-21,300 sq.m.,,,,https://list.am/en/item/15969029,,,,,,
House,Stone,2000 sq.m.,1,2,1,Not available,1 spot,No Renovation,Lorri › Spitak,"$20,000",USD,"Վաճառվում է կիսակառույց տուն ունի մշտական ջուր խմելու և ոռոգման, լույս, գազը գտնվում է տանից ոչ հեռու։ Ունի պտղատու ծառեր և ամուր սարքած գոմ 15 խոշոր անասունի համար նախատեսած։ Ամբողջովին պարիսպապատված։",Nov-25-2022_00-21,,,,,https://list.am/en/item/17900897,,,,,,
House,Stone,335 sq.m.,2,6,1,,,No Renovation,Lorri › Vanadzor,"8,000,000 ֏",AMD,"A two-story private house for sale, it has all utilities, a garage, the house is located in the 3rd part, on Charentsi streetTranslated from Armenian",Nov-25-2022_00-21,53 sq.m.,,,,https://list.am/en/item/18356184,,,,,,
House,Wooden,53 sq.m.,1,2,1,,,Partial Renovation,Lorri › Pushkino,"$19,000",USD,"A country house with its own plot of land is for sale in Pushkino community, Lorva marz. The house is partially renovated and heated.It has a kitchen, a bedroom, a living room and a large covered terrace. The summer house has a cellar, a barn, a pantry, gardens and a vegetable garden. There is 400 square meters of land next to the summer house.The garden has tall fir trees, fruit trees, berriosas and vines.In the yard there is a barbecue, a summer kitchen, a besetka (for 20 people)Appliances, furniture and dishes are included in the price.Call only between 10:00 and 21:00. Price is negotiable for real buyers.Translated from Armenian",Nov-25-2022_00-21,2470 sq.m.,,,,https://list.am/en/item/18355799,,,,,,
House,Stone,200 sq.m.,1,8+,3+,,,Partial Renovation,Lorri › Vanadzor,"$40,000",USD,Private house at 5 Paronyan Street has 3 entrances to a very big houseTranslated from Armenian,Nov-25-2022_00-21,,,,,https://list.am/en/item/15958069,,,,,,
House,Stone,500 sq.m.,2,6,1,,,No Renovation,"Zoravar Andranik street 22, Vanadzor","$29,900",USD,Needs repairOn the sidewalk in front of the driving schoolNEGOTIABLETranslated from Armenian,Nov-25-2022_00-22,500 sq.m.,,,,https://list.am/en/item/18296086,,,,,,
House,Stone,400 sq.m.,3,6,2,,,No Renovation,"Իսահակյանի փողոց 2/5, Վանաձոր","20,000,000 ֏",AMD,Near the front seatfruit treesThe building was built in 1994Call for questions.Translated from Armenian,Nov-25-2022_00-22,1000 sq.m.,,,,https://list.am/en/item/17064485,,,,,,
House,Wooden,100 sq.m.,1,2,1,Not available,Not available,Old Renovation,"Sankt Peterburg street, Vanadzor","800,000 ֏",AMD,"URGENT: For sale or for rent. 2-room house, hallway, small kitchen, bathroom, toilet, quiet, permanent water, possibly for living, also as building material, only real buyers should call.Translated from Armenian",Nov-25-2022_00-22,150 sq.m.,,"ELectricity, water supply, sewerage",,https://list.am/en/item/18096733,,,,,,
Townhouse,Stone,350 sq.m.,4+,8+,3+,Not available,2 spots,No Renovation,"Հակոբյան փողոց 2/6, Վանաձոր","50,000,000 ֏",AMD,"Unfinished house with a total area of 350 m, 1st floor - garage basement. 2 floors - 3 bedrooms, living room, kitchen, 2 bathrooms. 3 floors - 3 bedrooms from 3 bathrooms, living room with open balcony. 4 floors - attic with two open balconies. , Gas light water. The land is 1200 m fenced. There is a project that can still be changed as you wish, next to the stadium. The renovation of the stadium will be completed this year. There will be a new asphalt road to the house. A large recreation complex is being built above the house. It will also be convenient as a guest house.Translated from Armenian",Nov-25-2022_00-22,800 sq.m.,,,,https://list.am/en/item/17857984,,,,,,
House,Stone,60 sq.m.,1,1,1,Not available,Not available,No Renovation,"Մոսկովյան փողոց 48Ա, Վանաձոր","$5,300",USD,"Urgent land for sale with a half-built building, located in the center of the city, near the bus station, negotiable to the real buyer, I will exchange it with a carTranslated from Armenian",Nov-25-2022_00-22,,,,,https://list.am/en/item/17415201,,,,,,
House,Stone,211 sq.m.,2,3,1,Not available,Not available,Old Renovation,Lorri › Alaverdi,"$14,000",USD,"A two-story, 3-room detached house is for sale in the Debed (Katsotsk) district of Alaverdi city, it has land, basements, communal facilities: Water, electricity, the price is negotiable, we will also exchange it with a 2-room apartment for an additional fee, for details, call the indicated phone number.Translated from Armenian",Nov-25-2022_00-22,,,,,https://list.am/en/item/18075944,,,,,,
Country House,Stone,200 sq.m.,2,4,1,,,Partial Renovation,Lorri › Stepanavan,"$100,000",USD,"Operating guest house in Gargar village. It is equipped with all utilities. The price is final.It is also available on a daily basis, starting from AMD 30,000 per day. You can call for details.Exchange with real estate in Yerevan is possible.Translated from Armenian",Nov-25-2022_00-22,1800 sq.m.,,,,https://list.am/en/item/17136053,,,,,,
House,Stone,225 sq.m.,2,5,1,,,Partial Renovation,"Сottage 4th street 4, Vanadzor","$40,000",USD,"House for sale!With all utilities225 sq. M. House, garage800 square meters of land65 square meters - livestock buildingplot with fruit treesTranslated from Armenian",Nov-25-2022_00-22,800 sq.m.,,,,https://list.am/en/item/17781823,,,,,,
House,Monolith,120 sq.m.,3,4,2,,,Old Renovation,"Estonakan street, Yerevan","1,000 ֏",AMD,"Three-storey private house, in the Estonian district of Spitak, comfortable for living, exchange with the apartment is possible (other questions during the meeting or during the telephone conversation), there is water, electricity. There is also a garage area.Translated from Armenian",Nov-25-2022_00-22,100 sq.m.,,,,https://list.am/en/item/16582100,,,,,,
House,Stone,440 sq.m.,1,3,1,,,Old Renovation,"Ռոմանոս Մելիքյան փողոց, Վանաձոր","$25,000",USD,"A private house with a total area of 440 square meters is for sale, 300 meters from the Lakes of Vanadzor (land - 280 square meters, new garage - 48 square meters)Address: R. Melikyan street, house 12.Translated from Armenian",Nov-25-2022_00-22,280 sq.m.,,,,https://list.am/en/item/18173550,,,,,,
House,Stone,120 sq.m.,2,5,1,,,No Renovation,Lorri › Stepanavan,"$10,000",USD,"The house is located in Amrakits village of Stepsnavan community. It is a two-storey building, gas, electricity, water are availableCan be used as a summer house, has 800 square meters of land.PRICE NEGOTIABLE.Translated from Armenian",Nov-25-2022_00-22,800 sq.m.,,,,https://list.am/en/item/17438026,,,,,,
House,Panels,120 sq.m.,2,5,2,,,Cosmetic Renovation,Lorri › Spitak,"$30,000",USD,"The house was built after the earthquake with a special Swiss design. The doors and windows of the house are of European production, made of wood. We lived for only four years in 1995-1999. There are 14-15 trees in the land: Walnut, cherry, apple, pear.Translated from Armenian",Nov-25-2022_00-22,380 sq.m.,,,,https://list.am/en/item/17810630,,,,,,
