Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking
Hotel,Stone,1020 sq.m.,,,,,Tavush › Dilijan,"$650,000",USD,"Гостевой дом Karin B& B расположен в Дилижане, в живописном месте, на улице Саят-Нова. В здании 6 уютных номеров с санузлами, в которых можно разместить до 17 человек. На мансардном этаже есть дополнительно 7 спальных мест. Гостевой дом Karin известен своей экологической чистотой и является идеальным местом для семейного отдыха на природе. Здание полностью отремонтировано по современным стандартам, имеется кухня со всем необходимым оборудованием для приготовления пищи, несколько открытых павильонов, банкетный зал на 40–50 мест, два мангала для барбекю. Удобства включают Wi-Fi, парковку, горячую воду с солнечной системой нагрева, крытую гостиную с камином, бильярд и настольный теннис.Предлагается вариант бронирования отдельных комнат включая завтрак, возможна долгосрочная аренда всего дома, также его продажа. Общая площадь участка 2800 м2, площадь застройки 1020 м2.Karin B& B հյուրատունը գտնվում է Դիլիջանում, գեղատեսիլ վայրում՝ Սայաթ-Նովա փողոցում։ Շենքն ունի 6 հարմարավետ սենյակ՝ սանհանգույցներով, որոնք կարող են ընդունել մինչև 17 մարդ։ Մանսարդային հարգում կա 7 հավելյալ մահճակալ։ Հայտնի է իր բնապահպանական բարեկեցությամբ՝ Կարին հյուրատունը իդեալական վայր է բնության գրկում ընտանեկան հանգստի համար: Շենքը հիմնովին վերանորոգված է ժամանակակից չափանիշներով, առկա է խոհանոց՝ ճաշ պատրաստելու համար անհրաժեշտ բոլոր սարքավորումներով, մի քանի բաց տաղավարներ, 40-50 հոգու համար նախատեսված բանկետների սրահ, երկու խորովածի գրիլ։ Հարմարությունները ներառում են Wi-Fi, ավտոկայանատեղ, արևային տաք ջուր, բուխարիով փակ լաունջ, բիլիարդ և սեղանի թենիս:Առաջարկվում է անհատական սենյակների՝ ներառյալ նախաճաշի ամրագրման տարբերակը, հնարավոր է նաև ամբողջ տան երկարաժամկետ վարձակալություն, ինչպես նաև վաճառք։ Հողամասի ընդհանուր մակերեսը 2800 մ2 է, շինության մակերեսը՝ 1020 մ2։Guest house Karin B& B is situated in Dilijan, on Sayat Nova street. Fully renovated building with fully equip kitchen and all necessities for cooking. The building has a total of 6 cozy rooms with private toilets in each suite that can fit up to 17 people. Additionally in the attic there are spare beds for any extra sleeping place if needed for another 7 people. Karin guesthouse is well known for its cleanness and is a perfect place for a family holiday in nature. Facilities include wifi, parking, hot water with solar heating system, indoor living room with tables and fire place, billiard, ping-pong and several outdoor pavilions including a banqueting hall for 40-50 people and two BBQ places.The property is available for bookings of singular rooms including breakfast and is also possible for long term rent as a whole house. The property is also for sale, has a total area of 2800m2 and the building area is 1020 m2.",Nov-24-2022_22-01,https://list.am/en/item/18070735,,,,,
Industrial and Manufacturing,Stone,1591 sq.m.,,,,,Tavush › Berd,"7,059,664 ֏",AMD,"The property is the Bank's collateral, which is at the ARCS auction.Tavush region, Berd community, Paravakar village, 12 street, administrative building No. 3, 1590.97 sq. M., public construction land: 785 sq. M. The building has two floors, has a semi-basement, twenty-eight rooms, the walls are made of tuff stone, plastered from the outside, the mezzanine roof is made of solid concrete, the base is made of solid concrete, the windows are wooden, the entrance door is wooden, the inner doors are wooden, with glass. Electricity, water, parking in the yard.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and actions will be performed by the successful bidder.Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/13831162,,,,,
Building,Panels,690 sq.m.,,,,,"Մյասնիկյան փողոց 62, Դիլիջան","$245,000",USD,"A three-storey, half-built building is for sale in the center of Dilijan, with a total area of 690 square meters. Completion rate of the building is 50%. The total land area is 273 square meters. The building is suitable for any commercial activity (hotel, hotel, apartment building, business center, etc.)Address: C. Dilijan, Myasnikyan 62/2Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/12365204,,,,,
Functioning Business,Monolith,500 sq.m.,,,,,Tavush › Ijevan,"55,000,000 ֏",AMD,"Готовая многофункциональная здания. Зал 165кв. Метров. 3 занузла. 1 душевая кабина, кухня, барная стойка, комната для отдыха, комната для посудомойки, складская комната, навес для 2 машин, автостоянка для 10 машин. Электричество и постоянная вода.Есть закрытый подземный этаж 500 кв. М. , высота подземного этажа 10 метров. Адрес объекта город Иджеван, улица Василян 4\20 (Напротив ГАИ) Собственник один.",Nov-24-2022_22-01,https://list.am/en/item/17373185,,,,,
Office Space,Stone,230 sq.m.,Not available,Not available,First Line,Separate from the Street,Tavush › Ijevan,"$25,500",USD,"(Code 5 /5) Urgent sale of real estate in the city of Ijevan, in the area close to the Center, the area is 62.8 sq. M., and the size of the plot is 230 sq. M. The given structure is an old building, but the location is very suitable for an office or shopping hall. The building has gas, water, electricity, the price is 25,500 USD. Attention, call only honest and conscientious people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions.Code 05-5Translated from Armenian",Nov-24-2022_22-01,https://list.am/en/item/17102411,,,,,
Everything Else,Stone,600 sq.m.,,,,,Tavush › Dilijan,"$180,000",USD,Hotel or restaurant area for sale in Dilijan. Partial sale is possible. Price is negotiableTranslated from Armenian,Nov-24-2022_22-01,https://list.am/en/item/15851124,,,,,
Retail Space,Panels,340 sq.m.,,,,,"Улица Шаумяна 10, Дилижан","$140,000",USD,Есть газ вода свет два фаза и три ваза есть подробно звонитеШаумяна 12в Аренду тоже,Nov-24-2022_22-01,https://list.am/en/item/16443846,,,,,
Office Space,,32 sq.m.,,,,,Tavush › Dilijan,"150,000 ֏",AMD,"Տրվում է վարձով կոմերցիոն տարացք Դիլիջան Քաղաքում 32 ք. Մ.Сдаётся помещение для бизнеса на длительный срок. Площадь помещения составляет 32 м. Помещение находится на улице Калинина 220. Помещение есть кондиционер, свет, вода и туалет. Помещение сдаётся на длительный срок не меньше одного года.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18579498,,,,,
Hotel,,500 sq.m.,,,,,Tavush › Dilijan,"15,000 ֏",AMD,"Euro renovated, two-storey, with communal facilities, hot-cold water, two-room double bed, folding sofa, TV, bathroom. One room, two-bed, open sofa, TV, bathroom. Free Wi-FiTranslated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/16055096,,,,,
Hotel,,280 sq.m.,,,,,Tavush › Dilijan,"50,000 ֏",AMD,"The guest house is designed for up to 12 people. Euro-renovated 5 rooms, living room and kitchen with all utilities, hot and cold water, gas. Pavilion on the river, spacious yard, swimming pool, free Wi-Fi.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/16055902,,,,,
Office Space,,100 sq.m.,Not available,Not available,First Line,Separate from the Street,Tavush › Bagratashen,"250,000 ֏",AMD,"The facility is located next to the Bagratashen customs office, and can serve in various fields as you wishTranslated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18006953,Direct Lease,6 months,By Agreement,Not included,
Office Space,,28 sq.m.,Not available,Not available,First Line,Separate from the Street,"26 Commissars Street, Dilijan station","100,000 ֏",AMD,In the central part of the cityTranslated from Armenian,Dec-12-2022_20-22,https://list.am/en/item/18591738,Direct Lease,6 months,3 months,Not included,Outdoor parking
Retail Space,,70 sq.m.,Available,Not available,First Line,Common from the Street,"Թբիլիսյան խճուղի, Դիլիջան","80,000 ֏",AMD,"For rent or for sale.The price is negotiable.In case of questions, call the indicated phone number.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18628844,Direct Lease,1 year,By Agreement,Not included,
Industrial and Manufacturing,,2000 sq.m.,Not available,Not available,Other,Common from the Street,"Անկախության փողոց, Իջևան",100 ֏,AMD,"A public area with a total area of 2000 square meters is for rent, of which 796 square meters is a building. The area is located in the city of Ijevan. There is three-phase current in the building.It can also be rented in parts, in this case the price is negotiable.Sale is also possible.It can serve as a production area, warehouse, drying room, refrigerator, slaughterhouse.It is also possible to sell partially: AMD 1000 per square meter.A SPECIAL TERM IS AVAILABLE: AMD 1 per square meter for large electricity consumers.#refrigerator#refrigerator:#warehouse#space for rentTranslated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/16078444,Direct Lease,6 months,1 month,Not included,
Multifunctional Space,,70 sq.m.,Not available,Not available,First Line,Common from the Street,"Улица 28 Мая, Иджеван","150,000 ֏",AMD,"Сдается помещение для любого бизнеса, все коммунальные услуги редусмотрены, есть отдельный туалет. Подробности по телефону 70 кв",Dec-12-2022_20-22,https://list.am/en/item/18704358,Direct Lease,1 year,By Agreement,By Agreement,
Retail Space,,30 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,"Kamo Street, Dilijan","90,000 ֏",AMD,"It is located on the 1st line in Dilijan, just below the speedometer coming from Yerevan. "" The area is suitable for a shop or office. It has a large area. Call for details. Negotiable:Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/16764783,Direct Lease,6 months,2 months,By Agreement,
Hotel,,1000 sq.m.,,,,,Tavush › Dilijan,"700,000 ֏",AMD,"A hotel-restaurant is for rent in Dilijan, in the part of Galavino village, right next to the Yerevan-Dilijan highway, on the bank of the river.The hotel has 7 rooms with separate bathrooms. Four of the rooms are economy, three are semi-luxury and deluxe.They are partially furnished.In the courtyard there is a beautiful spacious outdoor pavilion with separate tables.There is a multifunctional bakery. The hotel has a separate kitchen, as well as laundry facilities.There are also two spacious unrenovated rooms.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18407500,,,,,
Everything Else,,50 sq.m.,Available,Not available,First Line,Common from the Street,Tavush › Koghb,"40,000 ֏",AMD,A building with a spare part of 50 square meters is for rent in Koghb villageTranslated from Armenian,Dec-12-2022_20-22,https://list.am/en/item/17634506,Direct Lease,2 years,By Agreement,Included,
Office Space,,85 sq.m.,By agreement,Not available,First Line,Common from the Street,"Erevanyan street, Ijevan","250,000 ֏",AMD,"The 2nd floor of a two-story building, next to the M-4 highway, is for rent.Near YSU Ijevan Branch. The 1st floor is a functioning business, working as a Food-Court. The second floor is not renovated, it can be renovated in the way you like. Address c. Ijevan, Yerevanyan st. , 65: For more information call:Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18339872,Direct Lease,1 year,Without prepayment,Not included,
Warehouse,,100 sq.m.,,,,,Tavush › Ayrum,"60,000 ֏",AMD,"First lane, drinking water, three-phase electricity on the side of Ayrum Haghtanak road for rentSuitable for the refrigeratorTranslated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/17595624,,,,,
Office Space,,500 sq.m.,,,,,Tavush › Ijevan,"$1,000",USD,A pass for the IT sector in the center of the inn is providedTranslated from Armenian,Dec-12-2022_20-22,https://list.am/en/item/18034886,,,,,
Hotel,,40 sq.m.,Available,Not available,First Line,Common from the Courtyard,Tavush › Dilijan,"40,000 ֏",AMD,"Do you want to spend New Year's holidays in a pleasant and cozy environment, come to us. We offer you an unforgettable stay in an amazing guest house located in Haghartsin village of Dilijan. A wonderful landscape opening in front, clean and pristine air, affordable conditions. The guest house consists of two rooms, it is furnished, it has utility and all living facilities, it is renovated. Designed for 4 - 6 people. It is suitable for spending good time with the family and making the New Year holidays memorable. The price is indicated for one day. Utility payments are included in the price. For long-term rent, other, more affordable conditions will apply, already in the form of a monthly payment. For more detailed information, call the above phone number, Viber, Whatsapp.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18418761,Direct Lease,1 month,By Agreement,Included,Outdoor parking
Retail Space,,72 sq.m.,Available,Not available,First Line,Common from the Street,"Ankakhutyan Street, Ijevan","$100,000",USD,Two well-profitable shops for sale in the center of Ijani (Meat Passage and Yammy fast food outlet) will not be lacking in customers. For sale together with the whole property.Translated from Armenian,Dec-12-2022_20-22,https://list.am/en/item/16014227,Direct Lease,1 month,Without prepayment,Included,
Multifunctional Space,,32 sq.m.,Not available,Not available,First Line,Separate from the Street,"Улица Калинина, Дилижан","150,000 ֏",AMD,Помещение сдаётся на длительный срок.,Dec-12-2022_20-22,https://list.am/en/item/18579022,Direct Lease,1 year,3 months,Not included,
Office Space,,20 sq.m.,,,,,Tavush › Ijevan,"110,000 ֏",AMD,"In the center of Ijevan, suitable for various activities…Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/17901076,,,,,
Multifunctional Space,,240 sq.m.,,,,,Tavush › Ijevan,"150,000 ֏",AMD,"Торговый центр в с. Хаштарак - магазин, кафе, хлебопекарня.",Dec-12-2022_20-22,https://list.am/en/item/17395109,,,,,
Multifunctional Space,,240 sq.m.,,,,,Tavush › Ijevan,"150,000 ֏",AMD,"Торговый центр в с. Хаштарак - магазин, кафе, хлебопекарня.",Dec-12-2022_20-22,https://list.am/en/item/17395107,,,,,
Multifunctional Space,,240 sq.m.,,,,,Tavush › Ijevan,"150,000 ֏",AMD,"Торговый центр в с. Хаштарак - магазин, кафе, хлебопекарня.",Dec-12-2022_20-22,https://list.am/en/item/17395111,,,,,
Multifunctional Space,,75 sq.m.,Available,Not available,First Line,Common from the Street,"Erevanyan street, Ijevan","130,000 ֏",AMD,The first floor of the building is for rent. The first entrance is 40 m. The second entrance to the warehouse is 35 m. Safe water toilet with three-phase current.Translated from Armenian,Dec-12-2022_20-22,https://list.am/en/item/17428419,Direct Lease,1 year,1 month,Not included,
Multifunctional Space,,200 sq.m.,Available,Available,First Line,Common from the Street,"Улица Калинина 220, Дилижан","1,000 ֏",AMD,"A new building of 200 square meters with 3 floors is for rent, it has all the facilities, it is located in the city of Dilijan on the road to Vanadzor.The price is contractualTranslated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18225113,Direct Lease,2 years,1 month,Included,
Office Space,,60 sq.m.,Available,Not available,First Line,Separate from the Street,Tavush › Ijevan,"180,000 ֏",AMD,"With all utilities: Separate offices, common work hall with furniture, separate bathroom, kitchenette, internet access.Call during business hours.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18598834,Direct Lease,1 year,By Agreement,Not included,Outdoor parking
Retail Space,,55 sq.m.,Not available,Not available,First Line,Common from the Street,"Երևանյան փողոց, Իջևան","150,000 ֏",AMD,"Office, commercial or production space for rent on Yerevanyan Street, Ijevan, (M-4 road) in front of the market, 2nd floors of a 2-story building, each 55 square meters. 110 square meters, price 300,000 drams. There is three-phase current. It is located next to Baze supermarket. For more information call.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/16056491,Direct Lease,1 year,By Agreement,Not included,
Hotel,,1020 sq.m.,Available,Not available,First Line,Common from the Street,Tavush › Dilijan,"1,100,000 ֏",AMD,"Гостевой дом Karin B& B расположен в Дилижане, в живописном месте, на улице Саят-Нова. В здании 6 уютных номеров с санузлами, в которых можно разместить до 17 человек. На мансардном этаже есть дополнительно 7 спальных мест. Гостевой дом Karin известен своей экологической чистотой и является идеальным местом для семейного отдыха на природе. Здание полностью отремонтировано по современным стандартам, имеется кухня со всем необходимым оборудованием для приготовления пищи, несколько открытых павильонов, банкетный зал на 40–50 мест, два мангала для барбекю. Удобства включают Wi-Fi, парковку, горячую воду с солнечной системой нагрева, крытую гостиную с камином, бильярд и настольный теннис.Предлагается вариант бронирования отдельных комнат включая завтрак. Возможна долгосрочная аренда всего дома. Общая площадь участка 2800 м2, площадь застройки 1020 м2.Karin B& B հյուրատունը գտնվում է Դիլիջանում, գեղատեսիլ վայրում՝ Սայաթ-Նովա փողոցում։ Շենքն ունի 6 հարմարավետ սենյակ՝ սանհանգույցներով, որոնք կարող են ընդունել մինչև 17 մարդ։ Մանսարդային հարգում կա 7 հավելյալ մահճակալ։ Հայտնի է իր բնապահպանական բարեկեցությամբ՝ Կարին հյուրատունը իդեալական վայր է բնության գրկում ընտանեկան հանգստի համար: Շենքը հիմնովին վերանորոգված է ժամանակակից չափանիշներով, առկա է խոհանոց՝ ճաշ պատրաստելու համար անհրաժեշտ բոլոր սարքավորումներով, մի քանի բաց տաղավարներ, 40-50 հոգու համար նախատեսված բանկետների սրահ, երկու խորովածի գրիլ։ Հարմարությունները ներառում են Wi-Fi, ավտոկայանատեղ, արևային տաք ջուր, բուխարիով փակ լաունջ, բիլիարդ և սեղանի թենիս:Առաջարկվում է անհատական սենյակների՝ ներառյալ նախաճաշի ամրագրման տարբերակը, հնարավոր է նաև ամբողջ տան երկարաժամկետ վարձակալություն։ Հողամասի ընդհանուր մակերեսը 2800 մ2 է, շինության մակերեսը՝ 1020 մ2։Guest house Karin B& B is situated in Dilijan, on Sayat Nova street. Fully renovated building with fully equip kitchen and all necessities for cooking. The building has a total of 6 cozy rooms with private toilets in each suite that can fit up to 17 people. Additionally in the attic there are spare beds for any extra sleeping place if needed for another 7 people. Karin guesthouse is well known for its cleanness and is a perfect place for a family holiday in nature. Facilities include wifi, parking, hot water with solar heating system, indoor living room with tables and fire place, billiard, ping-pong and several outdoor pavilions including a banqueting hall for 40-50 people and two BBQ places.The property is available for bookings of singular rooms including breakfast and is also possible for long term rent as a whole house. The property has a total area of 2800m2 and the building area is 1020 m2.",Dec-12-2022_20-22,https://list.am/en/item/18687274,Direct Lease,1 month,By Agreement,By Agreement,"Outdoor parking, covered parking"
Functioning Business,,600 sq.m.,Available,Not available,First Line,Separate from the Street,"Շահումյան փողոց, Դիլիջան",100 ֏,AMD,"Сдается в аренду готовый, прибыльный, действующий бизнес (на данный момент АВТОСЕРВИС + КАФЕ), коммерчиские помещения и площадь в г. Дилижане. Предоставляется права на изменения типа бизнеса, заниматься любой другой деятельностью! Имеется возможность для разширения (общ. Площадь 600кв/м)! Подходят для реализации услуг в разных сферах: Кафе-бар-ресторан, отель, посуточая сдача комнат, котеджей (1 уже имеется), салон красоты, магазины, офисные помещения, склады, …Цена договорная! Цена договорная! Свяжитесь по телефону! На письма не отвечаем!Ready-made, profitable, operating business for rent (at the moment CAR SERVICE + CAFE), commercial premises and an area in Dilijan. The right to change the type of business is granted, to engage in any other activity! There is an opportunity for expansion (total area 600 sq / m)! Suitable for the implementation of services in various areas: Cafe-bar-restaurant, hotel, daily rent of rooms, cottages (1 already available), beauty salon, shops, office space, warehouses... The price is negotiable! Contact by phone! We do not reply to messages.Տրվում են վարձով կոմերցիոն տարածքներ Դիլիջանում: Հարմար են ծավալելու ցանկացած գործունեություն՝ օրավարձով և երկարաժամկետ սենյակներ, խանութներ, գեղեցկության սրահ, օֆիսներ, գրասենյակներ, պահեստներ, ավտոտեխսպասարկում, սպասարկում ցանկացած ոլորտում. Գործել են որպես ավտոլվացման և ավտոտեխսպասարկման կետեր, սրճարան-բար-ռեստորան: Առկա է նաև նորակառույց քոթեջ:Մանրամասների համար զանգահարեք: Հաղորդագրություններին չենք պատասխանում:",Dec-12-2022_20-22,https://list.am/en/item/16806331,Direct Lease,1 year,By Agreement,Not included,
Multifunctional Space,,380 sq.m.,Available,Not available,First Line,Separate from the Street,Tavush › Dilijan,"$15,000",USD,"A 3-storey guest house is for rent in Dilijan, one of the main tourist centers of Armenia. It is located in one of the best areas, close to the dense forest.The total area of the land is 1,100 square metersTotal area of the building: 380 square metersThe guest house has:spacious living room with its own fireplacelarge kitchen with access to the balcony5 bedrooms, 3 of them with separate bathrooms2 more bathroomslaundry roomgaming hallsummer kitchen with its grill3 open balconiesIt has an antique facade and a loft-style interior. There are floor-to-ceiling windows. Furnished with high-end furniture and equipped with necessary household appliances. Heating is carried out using boilers.The area is fenced and has 2 entrances. It has beautiful exterior lighting. Security and fire protection systems are installed.Thanks to its location, the guest house offers a wonderful view, and the well-kept and green yard gives you the opportunity to feel happy and enjoy your rest.This wonderful complex can become yours, and each of the thousands of tourists visiting Dilijan can become your customer.• Kind Regards #AsatryanConsulting teamThe best for you!Best for you!Best for you!The best for you!The best for you!Most suitable for you!Code 18397682Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18397682,Direct Lease,6 months,By Agreement,Not included,
Retail Space,,500 sq.m.,,,,,"Անկախության փողոց 23, Իջևան","950,000 ֏",AMD,"Existing shop, opened in 2014, is an operating business, if desired, can be used for other services, restaurant, clinic, supermarket, bank, etc. , has the possibility of expansion, has parking and all utilities, up to 500 m, has a basement floor,as a warehouse, close to the center, call for details ""Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/17385667,,,,,
Industrial and Manufacturing,,"20,000 sq.m.",Available,Not available,First Line,Separate from the Street,"Արցախյան փողոց 7, Իջևան","400,000 ֏",AMD,For rentCall in case of questionsTranslated from Armenian,Dec-12-2022_20-22,https://list.am/en/item/18649021,Direct Lease,6 months,By Agreement,Not included,"Outdoor parking, covered parking"
Office Space,,152 sq.m.,Not available,Not available,First Line,Common from the Street,"Մելիքբեկյան փողոց 4, Իջևան","260,000 ֏",AMD,"Located in the city center, the entire second floor is for rent, the total area is 152 square meters, the working area is 133 square meters, it is divided into 7 rooms. There is one bathroom, it needs renovation.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18124660,Direct Lease,3 years,Without prepayment,Not included,
Multifunctional Space,,315 sq.m.,By agreement,Available,First Line,Common from the Street,"Улица Ереванян 7/7, Иджеван","450,000 ֏",AMD,"Տրվում է վարձով կոմերցիոն եռահարկ շինություն բոլոր տեսակի հասարակական գործունեության համար, առկա է ավտոկայանատեղի ։Сдается трехэтажное коммерческое здание для всех видов общественной деятельности, есть автостоянка.",Dec-12-2022_20-22,https://list.am/en/item/15663933,Direct Lease,1 year,By Agreement,Not included,
Everything Else,,400 sq.m.,Available,Available,First Line,Separate from the Courtyard,Tavush › Dilijan,"30,000 ֏",AMD,"Code 0111Daily rental booths on Clear Lake Road.In the garden, private area, water, electricity, bathroom, barbecuePrice by quantityBig booth for 40 people, 40,000 dramsSmall booth for 25 people, AMD 30,000Provisions+ Entry 13.00 Exit 12.00+ If you stay until evening, the price of 1 more day will be charged+ PREPAYMENT is REQUIRED to reserve the house.+ If you cancel the reservation, the advance payment is NOT refundable+ Other cases related to advance payment are subject to negotiation (eg canceling one house booking another house through us)+ After presenting the advance payment voucher (Viber, WhatsApp or other option) BOOKING IS CONFIRMED.Dear customer, click on the NAME to get acquainted with all our announcements.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Code 0111-Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/17687501,Direct Lease,1 month,By Agreement,Included,
Retail Space,,36 sq.m.,,,,,"Erevanyan street, Ijevan","100,000 ֏",AMD,"In front of the market, two-storeyTranslated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/17988790,,,,,
Office Space,,48 sq.m.,Available,Not available,First Line,Common from the Street,Tavush › Noyemberyan,"100,000 ֏",AMD,"Million accessories store is for rent, suitable as a commercial or office space, next to a supermarket.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/17048068,Direct Lease,1 year,By Agreement,By Agreement,
Multifunctional Space,,133 sq.m.,Not available,Not available,First Line,Common from the Street,"Erevanyan street, Ijevan","200,000 ֏",AMD,"Հարմար է և առևտրային և գրասենյակային տարածքի համար։ Գտնվում է քաղաքի կենտրոնում ՝ գետի ափին։ Հարակից ունի նաև 273 ք․ մ կանաչապատ տարածք։ Ունի կոմունալ հարմարություններ (լույս, գազ, ջուր) ։ Տարածքը տրվում է անմիջապես սեփականտիրոջից։Մանրամասների համար զանգահարել։Подходит как для коммерческих, так и для офисных помещений. Расположен в центре города, на берегу реки. Также имеет 273 кв. М зеленая территория. Есть необходимые условия (свет, газ, вода) Помещение предоставляется напрямую от собственника.Для получения дополнительной информации позвоните.Suitable for both commercial and office spaces. Located in the city center, on the banks of the river. Also has 273 sq. M green area. There are necessary conditions (electricity, gas, water) The property is provided directly from the owner.Call for more information.",Dec-12-2022_20-22,https://list.am/en/item/18608915,Direct Lease,1 year,Without prepayment,Not included,Outdoor parking
Industrial and Manufacturing,,2700 sq.m.,,,,,"Yerevanyan street, Noyemberyan","150,000 ֏",AMD,"Предлагаю производственное помещение (мебельное производство из древесины) со всеми необходимыми станками, полностью готовой к работе. Помещение состоит из производственного цеха 480 м2, подсобное помещение, 2 гаража, складское помещение и открытая площадка для складирования груза.Территория полностью загорожена с каменным забором из туфа, проведено электричество на 380v.Очень удобный трафик, находится рядом с государственной магистрали Армения - Грузия, всего 10 км от границы с Грузией. Можно переквалифицировать на любое другое производство (блоки, черепица, тротуарный камень...), или использовать для складирования транзитных грузов.Бизнес готовый и не требует больших вложении!По всем вопросам просим связаться по телефонам:",Dec-12-2022_20-22,https://list.am/en/item/18034856,,,,,
Retail Space,,20 sq.m.,,,,,"Getapnya Street, Dilijan","40,000 ֏",AMD,"Commercial area is for rent. Suitable for shop, beauty salon, training center. Lease for long term only (not less than 6 months)Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/17959280,,,,,
Retail Space,,20 sq.m.,,,,,"Getapnya street, Dilijan station","40,000 ֏",AMD,"A commercial area is for rent near the 1st kindergarten. Suitable for clothing store, training groups, beauty salon. Only for long-term rent (minimum 6-12 months)Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/17959275,,,,,
Hotel,,1000 sq.m.,,,,,"Kamo Street, Dilijan station","$2,000",USD,"A hotel-restaurant is for rent in Dilijan, in the part of Galavino village, right next to the Yerevan-Dilijan highway, on the bank of the river.The hotel has 7 rooms with separate bathrooms. Four of the rooms are economy, three are semi-luxury and deluxe.They are partially furnished.In the courtyard there is a beautiful spacious outdoor pavilion with individual tables.There is a multifunctional bakery. The hotel has a separate kitchen, as well as laundry facilities.There are also two spacious unrenovated rooms.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18435501,,,,,
Retail Space,,98 sq.m.,,,,,"Մայիսի 28 փողոց 2, Իջևան","90,000 ֏",AMD,"2 rooms, total 100 square meters, are for rent. May 28 street, Ijevan. There is water and electricity in the area. It is under repair. It is suitable as a workshop, car service,to use a spare parts store.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18022713,,,,,
Retail Space,,45 sq.m.,,,,,"Բլբուլյան փողոց 93, Իջևան","60,000 ֏",AMD,Commercial space is for rent together with the property in Ijan city.Translated from Armenian,Dec-12-2022_20-22,https://list.am/en/item/17981997,,,,,
Multifunctional Space,,500 sq.m.,,,,,Tavush › Ijevan,"500,000 ֏",AMD,"Ночной клуб Ijevan Purple Club. Зал 165кв. Метров. 3 занузла. 1 душевая кабина, кухня, барная стойка, комната для отдыха, комната для посудомойки, складская комната, навес для 2 машин, автостоянка для 10 машин.Есть подземный этаж (на фото) 500 кв. М. , высота подземного этажа 8 метров.",Dec-12-2022_20-22,https://list.am/en/item/18270831,,,,,
Industrial and Manufacturing,,600 sq.m.,,,,,Tavush › Ijevan,"500,000 ֏",AMD,"Electricity, water.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18268450,,,,,
Retail Space,,20 sq.m.,,,,,Tavush › Dilijan,"120,000 ֏",AMD,"An operating meat and food store, everything can be said to be new.For rentTranslated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18324254,,,,,
Everything Else,,300 sq.m.,,,,,Tavush › Dilijan,"20,000 ֏",AMD,"The pavilion is located on the way to Haghartsin church, on the river bank.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/17599836,,,,,
Everything Else,,500 sq.m.,,,,,Tavush › Dilijan,"25,000 ֏",AMD,"The pavilion is rented on a daily basis, it is located next to the Haghartsin church.Translated from Armenian",Dec-12-2022_20-22,https://list.am/en/item/18058221,,,,,
