Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Links,Condition,Service Lines,Facilities
Country House,Stone,40 sq.m.,1,1,1,Designer Renovation,5000 sq.m.,4,Yes,Yes,Included,By Agreement,Gegharkunik › Sevan,"15,000 ֏ daily",AMD,"One-room cottage for daily rent in Sean, Lavanda City recreation areaFurnished, clean, property, appliances, disheswith all amenitiesTranslated from Armenian",Nov-24-2022_22-58,Available,Not available,,,https://list.am/en/item/17758645,,,
House,Stone,110 sq.m.,1,4,2,Major Renovation,,8+,Yes,Yes,Included,By Agreement,"Yerevanyan highway, Սևան","100,000 ֏ daily",AMD,"The mansion LAVANDA CITY is available for daily rent for family vacations, as well as for organizing events.It is also given monthly, the price is AMD 450,0003 large and comfortable bedroomsConstant hot and cold water2 Bathroomsliving room, kitchen, WI-FI, refrigerator, TV HTB +grillfireplaceTranslated from Armenian",Nov-24-2022_22-58,Available,3 or more spots,,,https://list.am/en/item/14445906,,,
House,Stone,64 sq.m.,1,3,1,Designer Renovation,112 sq.m.,6,Yes,No,By Agreement,By Agreement,Gegharkunik › Sevan,"40,000 ֏ daily",AMD,"Angar SevanThree-bedroom stone cottages on the shores of Lake Sevan for daily rent, with a beautiful view of the lake, a coastal area, for 6 people.Code Angar:Translated from Armenian",Nov-24-2022_22-58,Available,Not available,,,https://list.am/en/item/18189653,,,
House,Stone,440 sq.m.,3,6,3+,Designer Renovation,860 sq.m.,8+,Yes,No,By Agreement,By Agreement,"Isakov street, Tsamakaberd","220,000 ֏ daily",AMD,"Cross Villa Sevan:A very nice private house in Sevan.With a view of the Sevan peninsula. With its own yard, swimming pool. It has 5 bedrooms, a bathroom, a kitchen, an open balcony with a view of Lake Sevan.Translated from Armenian",Nov-24-2022_22-58,By agreement,Not available,,,https://list.am/en/item/16600748,,,
Country House,Stone,50 sq.m.,1,4,1,Cosmetic Renovation,1000 sq.m.,,,,,,Gegharkunik › Sevan,"10,000 ֏ daily",AMD,"Premises for rest are for daily rent. Stone cottages like cottages with all its communal amenities. You can spend a summer miner with us. For more details, call for details. Prices are negotiable. NEAR MUKUCHITranslated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17988631,,,
House,Stone,120 sq.m.,1,4,2,Designer Renovation,200 sq.m.,8+,Yes,Yes,Included,Without prepayment,"Yerevanyan highway, Սևան","30,000 ֏ daily",AMD,"Spend your vacation in the cozy and cozy corner of Sean.In Lavanda City,Cottages for daily rent1 furnished living room,3 bedrooms2 bathroomsLarge kitchen with all necessary utensilsHas a balcony.Equipped with necessary dishes and linen.With heating systemPlayground.Summer pavilion.Barbecue, necessary items for making barbecue.Swimming poolParking.Guard post.#relaxation #Lavendasite #Shanalich#ShanouHangyangyan #day rentals #houses #cottage #Sanoumoghotj # daily rent #house # lake #rest #Armenia# Quarters for rent:# Home left:# sevan:#Hotel:Attention: On Fridays, Saturdays and Sundays, the price is fifty thousand drams.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/16058954,,,
Country House,Cassette,60 sq.m.,1,2,1,Cosmetic Renovation,90 sq.m.,4,Yes,No,By Agreement,By Agreement,Gegharkunik › Sevan,"15,000 ֏ daily",AMD,"Recreation zone in Sevan, beach, cabin, besetka. TrailerTranslated from Armenian",Nov-24-2022_22-58,Available,Not available,,,https://list.am/en/item/18083791,,,
House,Stone,150 sq.m.,2,4,2,Major Renovation,600 sq.m.,8+,Yes,No,Included,By Agreement,Gegharkunik › Sevan,"70,000 ֏ daily",AMD,"2-storey private house on the shore of Lake Sanaa* 4 bedrooms* 2 bathrooms* Mangal,* Tableware, bedding (for 8 people)* Pavilion* WI-FI:Spend your vacation in Sean.Check-in: Arrival at 14:00Check-out: Exit 12:00For more information call.Code PanSevanTranslated from Armenian",Nov-24-2022_22-58,Available,Not available,,,https://list.am/en/item/17896328,,,
Country House,Wooden,150 sq.m.,1,4,1,Major Renovation,200 sq.m.,,,,,,Gegharkunik › Sevan,"35,000 ֏ daily",AMD,"Summer house on the shore of Lake Sjana, very close to the lake, designed for up to 15 people, has communal facilities, call for detailsTranslated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17908674,,,
Country House,Stone,55 sq.m.,1,3,1,Major Renovation,500 sq.m.,,,,,,Gegharkunik › Sevan,"25,000 ֏ daily",AMD,"3-room cottage is for rent in Sevan Lavanda City recreation area. It is very suitable for family rest, it is provided with all conditions.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17858393,,,
House,Stone,100 sq.m.,1,4,2,Designer Renovation,"13,500 sq.m.",6,Yes,Yes,Not included,By Agreement,"1st Street, Shorzha","80,000 ֏ daily",AMD,"GIVEN FOR DAILY WAGEA unique private house in Sevan, which is located close to the coast, at a height from which part of the house you will see the BEAUTIFUL SEVAN of Kaputachian.The mansion has 2 bedrooms, 2 bathrooms, 1 living room + studio kitchen and dining room.It is equipped with electricity, hot and cold water, internet.The house is monitored by cameras and 24/7 guard mode.In the evenings, you can sit by the stained-glass window, next to the fireplace and enjoy the peaceful view of the blue-eyed beauty of Sevan.To be here once... It will become continuous to enjoy this beauty again.For additional questions, call the indicated numbers.We will gladly wait for your call.NOT AN AGENCYCode 0000Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17852967,,,
House,Stone,256 sq.m.,2,6,1,Euro Renovation,500 sq.m.,,,,,,Gegharkunik › Geghamavan,"200,000 ֏ monthly",AMD,"Two-storey private house for rent, hot and cold water, gas, spacious yard, garden, outdoor pavilion, large land in Geghamavan village, Gegharkunik region, 7 km away from Sevan city, all the roads are asphalted.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17479106,,,
Country House,Stone,80 sq.m.,1,4,1,Designer Renovation,,6,Yes,No,Not included,By Agreement,"Sevani street, Yerevan","30,000 ֏ daily",AMD,"Cottage for rent in Lavanda City, Sean. It has constant hot and cold water, a gas tank next to the gas. 1 day 30,000 2 days 25,000 3 days more 20,000Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/8580752,,,
House,Stone,100 sq.m.,1,4,1,Partial Renovation,,,,,,,"Գարեգին Նժդեհի փողոց, Մարտունի","70,000 ֏ monthly",AMD,A house is for rent in MartuniTranslated from Armenian,Nov-24-2022_22-58,,,,,https://list.am/en/item/17882245,,,
Country House,Stone,800 sq.m.,2,5,3+,Major Renovation,,8+,Yes,No,By Agreement,By Agreement,Gegharkunik › Sevan,"300,000 ֏ daily",AMD,For daily rent in SyanEquipped with all utilitiesIndividual heating systemAir conditionerNecessary dishes and linen are availableEquipped with furniture and appliances5 bedrooms3 living roomsWardrobeOpen balconyBeautiful view of Lake SanaaBook in advanceThe cost varies depending on the number of days and peopleH. Գ. Please call 11: 00-20: 00Code 7760Translated from Armenian,Nov-24-2022_22-58,Available,Not available,,,https://list.am/en/item/12758114,,,
House,Stone,120 sq.m.,2,4,1,Partial Renovation,250 sq.m.,,,,,,"Գարեգին Նժդեհի փողոց 202, Ճամբարակ","30,000 ֏ monthly",AMD,"Տունը տրվում է վարձով: Գտնվում է նորմալ վիճակում, ունի 3 հողամաս ավտոտնակ և անասնագոմ:",Nov-24-2022_22-58,,,,,https://list.am/en/item/18168548,,,
Country House,Stone,60 sq.m.,1,3,1,Euro Renovation,,,,,,,"Երևանյան խճուղի 3, Սևան","25,000 ֏ daily",AMD,"LAVANDA CITY offers a private house for daily rent for family vacations, as well as for organizing events.3 bedrooms, 1 dining room, 1 bathroom, kitchen.Constant hot and cold water, refrigerator, TV,barbecue, there is also a wooden chair and table in the yard.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/18009152,,,
House,Stone,200 sq.m.,2,6,1,Old Renovation,2000 sq.m.,8+,Yes,Yes,Not included,6 weeks,"Մյասնիկյան փողոց 47/1, Մարտունի","100,000 ֏ monthly",AMD,"Only the first floor of a 2-storey house is for rent in the city of Martuni, it needs cosmetic renovationTranslated from Armenian",Nov-24-2022_22-58,Not available,1 spot,,,https://list.am/en/item/17473947,,,
Country House,Stone,50 sq.m.,1,4,1,Cosmetic Renovation,500 sq.m.,,,,,,Gegharkunik › Lchap,"40,000 ֏ daily",AMD,"️️️Տրվում է վարձով առանձնատուն անմիջապես Սևանի ափինԲաղկացած է 3 ննջասենյակներից, ստուդիո հյուրասենյակից (միաժամանակ նաև խոհանոց), սանհանգույցից։ Վերանորոգված է:Տանը կից կա բաց տաղավար ծածկով (տեռասսա), որտեղ կարող է տեղավորել մինչև 10 անձ, ինչպես նաև մեծ խոտածածկ խաղահրապարակ (վոլեյբոլ խաղալու հարմարությամբ) ։ Առկա է մանղալ, խորովածի շիշ, սպասք, անկողնային պարագաներ։Առանձնատունը գտնվում է Սեվանի ափից 50մ հեռավորության վրա, այսինքն Սևանի ափին;)Օրավարձը 1 շաբաթ ամրագրելու դեպքում - 17 000դր,Աշխատանքային օրերին - 35 000դր,Հանգստյան օրերին - 40 000դր։Առանձնատուն Սևանում, տուն Սևանի ափինСдается частный дом прямо на берегу СеванаДом состоит из 3 спален, гостиной-студии, ванной комнаты. Отремонтированный.Рядом с домом находится открытая беседка (терраса), в которой могут разместиться до 10 человек, а также большая игровая площадка с травяным покрытием (с удобством для игры в волейбол) Есть мангал, посуда, постель. ․․Дом находится на 50м от озера Севан, то есть на берегу Севана;)Посуточная плата,При бронировании на 1 неделю - 17 000драмВ рабочие дни - 35000 драм,В выходные - 40 000 драм РА.Дом в Севане, дача в Севане",Nov-24-2022_22-58,,,,,https://list.am/en/item/17599571,,,
Country House,Cassette,300 sq.m.,1,2,1,Cosmetic Renovation,500 sq.m.,,,,,,Gegharkunik › Sevan,"25,000 ֏ daily",AMD,"Enjoy your vacation in Syan!The cottage is located 25-30 meters from the lake. The cottage has 2 bedrooms, a dining room, a bathroom, a bath, permanent water, a secure parking lot, separated by a fence.Lake Seana, Sean, Cottage, HouseTranslated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17684160,,,
Country House,Bricks,35 sq.m.,1,2,1,Major Renovation,3000 sq.m.,5,Yes,Yes,Included,By Agreement,Gegharkunik › Sevan,"8,000 ֏ daily",AMD,"2-room cabins for daily rent on the banks of Sevan, on Antarai Meghed beach,Furnished, clean cabins with bathrooms + FREE stallsPrices from 8 to 15 thousand AMD for 1 dayTranslated from Armenian",Nov-24-2022_22-58,Available,Not available,,,https://list.am/en/item/17872362,,,
House,Stone,120 sq.m.,1,3,2,Major Renovation,"50,000 sq.m.",6,Yes,Yes,Included,By Agreement,Gegharkunik › Gavar,"20,000 ֏ daily",AMD,"Guesthouse Only one floor is for rent, capitally renovated, in Gavar.Translated from Armenian",Nov-24-2022_22-58,,,,,https://list.am/en/item/17500487,,,
Country House,Stone,800 sq.m.,2,5,3+,Designer Renovation,,5,Negotiable,Negotiable,By Agreement,By Agreement,Gegharkunik › Sevan,"250,000 ֏ daily",AMD,Luxurious mansion on the shores of Lake SanaaThe balcony offers a beautiful view of Lake ShanaA comfortable place to spend your vacation to the fullestThe house is fully renovatedIt is provided with all utilitiesTranslated from Armenian,Nov-24-2022_22-59,Available,3 or more spots,,,https://list.am/en/item/12756862,,,
Country House,Bricks,60 sq.m.,1,3,1,Major Renovation,1 sq.m.,,,,,,Gegharkunik › Sevan,"30,000 ֏ daily",AMD,Cottage on the banks of SevanAll amenities are thereFor more information callTranslated from Armenian,Nov-24-2022_22-59,,,,,https://list.am/en/item/18120571,,,
House,Stone,110 sq.m.,1,3,1,Major Renovation,500 sq.m.,,,,,,"Isakov street, Ցամաքաբերդ","45,000 ֏ daily",AMD,"For daily and short-term rentprivate house on the beach, 2 bedrooms, spacious living room,permanent hot-cold water supply, heating system,heating floor, refrigerator, washing machine, gas stove, TV,internet, dishes, bedding, beautiful view, fresh air.If desired, we can provide 4-7 cars.Call the number for details.Translated from Armenian",Nov-24-2022_22-59,,,,,https://list.am/en/item/17680760,,,
House,Stone,300 sq.m.,2,4,1,Major Renovation,3000 sq.m.,,,,,,Gegharkunik › Sevan,"70,000 ֏ monthly",AMD,"Վարձով է տրվում երկհարկանի քարե առանձնատուն, Սևանա լճից 500 մետր հեռավորության վրա Լճաշեն գյուղում։ Առանձնատան ընդհանուր մակերեսը 300 մ2, պարասպապատ։ Առաջին հարկը կապիտալ վերանորոգված, ունի սանհանգույց, խոհանոց, հյուրասենյակ, երեք ննջասենյակ։ Առկա է գազ, լույս, ջուր։ Առանձնատունը ունի ավտոտնակ, նկուղ, անասնագոմ։ Հողատարծքի մակերեսը 3000 մ2, պտղատու այգով։Сдается двухэтажный каменный дом 500 метров от озера Севан в селе Лчашен. Общая площадь дома 300 м2 огороженный. Первый этаж полностью отремонтирован и имеет ванную комнату, кухню, гостиную, три спальни. Есть газ, электричество, вода. В доме есть гараж, подвал, сарай. Площадь участка 3000 м2, с фруктовым садом.Two-storey stone house for rent 500 meters from Lake Sevan. The total area of the house is 300 m2 fenced. The first floor is completely renovated and has a bathroom, kitchen, living room, three bedrooms. There is gas, electricity, water. The house has a garage, basement, shed. Plot area 3000 m2, with orchard.",Nov-24-2022_22-59,,,,,https://list.am/en/item/18159290,,,
Country House,Stone,54 sq.m.,1,3,1,Euro Renovation,500 sq.m.,,,,,,"Երևանյան խճուղի 3, Սևան","$25,000",USD,"A summer house for sale in Sean, in the resort area of Lavanda City. It is located in a closed controlled area, there are all conditions for rest. The area is green, has closed and open parking, 2 satellite dishes, veranda, doors and windows of European production and networked, heated floor tiles, living room with open built-in kitchen, 2 bedrooms, bathroom with tiled kitchen, bathroom with kitchen. For sale one-bedroom cottage on the shore of Sevana with all amenities, 3 rooms with Euro renovationTranslated from Armenian",Dec-12-2022_21-09,Available,2 spots,,,https://list.am/en/item/16978002,House is Finished,,
House,Stone,220 sq.m.,1,5,2,Major Renovation,1000 sq.m.,,,,,,Gegharkunik › Martuni,"$145,000",USD,"The house has all the communal facilities, it is capitally renovated, two bathrooms, sewerage system is built from both sides of the house, it works uninterrupted, there is deep water (buravo), there is also a water meter, 24-hour water supply, there are fruit trees in the plot. There are two garages next to it, there are bas-chulas almost on the surface of the house.Translated from Armenian",Dec-12-2022_21-09,By agreement,2 spots,,,https://list.am/en/item/17695887,House is Finished,,
House,Stone,143 sq.m.,1,8+,2,No Renovation,2265 sq.m.,,,,,,Gegharkunik › Lichk,"$35,000",USD,"The price is negotiable, in case of questions call.Translated from Armenian",Dec-12-2022_21-09,Not available,Not available,,,https://list.am/en/item/18696889,House is Unfinished,,
House,Stone,150 sq.m.,1,4,1,Old Renovation,1500 sq.m.,,,,,,"2-nd street, Geghakar","$20,000",USD,"Arzni Charentsavan, Abovyan, for sale or exchange, 4560 meters of arable land. Gekhamasar village is located 2 km from Lake SvanaTranslated from Armenian",Dec-12-2022_21-09,Available,Not available,,,https://list.am/en/item/17928186,House is Finished,,
House,Stone,2000 sq.m.,2,4,1,Old Renovation,2000 sq.m.,,,,,,"Ազատության փողոց 21, Սևան","$120,000",USD,* own house* 500 m distance from Lake Sevana* house 240 m2*cattle 100 m2 and 60 m2Translated from Armenian,Dec-12-2022_21-09,By agreement,1 spot,,,https://list.am/en/item/18661039,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,240 sq.m.,2,8+,1,Cosmetic Renovation,10 sq.m.,,,,,,Gegharkunik › Noratus,"1,800,000 ₽",RUB,"Продаётся большой двухэтажный дом общей площадью 10×12. По адресу с. НОРАТУС УЛ. СЕВАНА пер. 2, туп. 3 дом 7. Дом из базальта, делали для себя. Дом на участке 10 соток. Есть фруктовые деревья. В доме есть газ, вода и, естественно, и электричество. Дом находится рядом с небольшой речкой. Место красивое и спокойное. Дорога грунтованная. Первый этаж: Кухня, ванная с туалетом, зал-гостиная, спальня, есть и подсобка, и на первом этаже расположен гараж, в который есть вход через зал. Второй этаж: 4 спальни, один балкон с выходом через спальню в сторону речки, второй балкон с выходом через зал обращён в сторону двора; большой зал-гостиная. Дом, в принципе, укомплектован для житья: В каждой комнате есть своя мебель, ничего не увезли, всё там оставили, есть посуда даже, одним словом для жизни есть там всё. Есть возможность продажи дома и в рассрочку. Дополнительно фото по запросу. Можно обращаться и по ватсап, и по Вайбер. Все подробности по телефону:",Dec-12-2022_21-09,,,,,https://list.am/en/item/18131608,,,
Country House,Stone,80 sq.m.,1,3,1,Euro Renovation,600 sq.m.,,,,,,"Erkatughayinneri 6-th street, Yerevan","$18,000",USD,"Summer house for sale on the bank of Sevan, 30 meters from the water, with separate entrance, renovated in Euro, with furniture, all conditions are present, constant light, land leased for 100 yearsExchangedalso equivalent to the car or with an additional fee from me. I will listen to reasonable suggestions.Translated from Armenian",Dec-12-2022_21-09,Available,Not available,,,https://list.am/en/item/18057746,House is Finished,,
House,Stone,280 sq.m.,2,6,2,Euro Renovation,600 sq.m.,,,,,,Gegharkunik › Sevan,"$60,000",USD,Call for more detailsTranslated from Armenian,Dec-12-2022_21-09,Available,3 or more spots,,,https://list.am/en/item/18256503,,,
House,Stone,200 sq.m.,2,5,1,Old Renovation,800 sq.m.,,,,,,"1st Street, Shorzha","$55,000",USD,"ПРОДАЕТСЯ ДОМ НА БЕРЕГУ ОЗЕРА СЕВАН (АРМЕНИЯ)Собственный 2-x эт. Дом 200 кв. М каждый этажНа 1- ом этаже 5 помещений + гаражНа 2- ом 5 комнатС хорошим климотомПриусадебный участок. , электричество, интернетвода, газ, фруктоввй сад, рядомАвто. Трасса, железная дорогаВозможно подстроить под отельПляж, один из лучших для купанияПродаем не дорого, в связи с переездом",Dec-12-2022_21-09,Not available,2 spots,,,https://list.am/en/item/17406836,House is Finished,,
House,Stone,259 sq.m.,2,4,1,Old Renovation,1400 sq.m.,,,,,,Gegharkunik › Gegharkunik,"$82,000",USD,"Code ART876:2-storey house is for sale in Berdkunk. The total area is 1400 square meters, and the living area is 259 square meters. The house is old renovated. The windows are partially changed, the bathroom is tiled. On the 1st floor there is a living room, a kitchen, a bathroom. On the 2nd floor. There is an entrance hall, 3 bedrooms. There is an open balcony with a beautiful view of Lake Sanaa. There are fruit trees in the yard.Code ART-876Translated from Armenian",Dec-12-2022_21-09,By agreement,2 spots,,,https://list.am/en/item/16711230,House is Finished,,
House,Stone,120 sq.m.,2,8+,2,Partial Renovation,8 sq.m.,,,,,,Gegharkunik › Gavar,"6,000,000 ֏",AMD,"I am selling my own two-story house, located on Gavari st. In the neighborhood of the university, 50 m away from the main road, gas and light transmission from a distance of 10-20 m, water connection, divided into rooms inside, has a basement half of the surface of the building, the location is very convenient. Buy you won't regret itTranslated from Armenian",Dec-12-2022_21-09,Not available,3 or more spots,,,https://list.am/en/item/18301134,,,
House,Stone,1000 sq.m.,1,5,1,Old Renovation,3000 sq.m.,,,,,,"1-й переулок 14-й улицы Шаумяна 97, Ереван","$35,000",USD,"House for sale, Sevan, Village Varser... With a large plot of land... Barn. The bakery. Pantry. Garage... Fruit trees. Pemzaclok mud (will sell anything related to mud)Translated from Armenian",Dec-12-2022_21-09,Available,1 spot,,Fridge,https://list.am/en/item/18693255,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,100 sq.m.,1,2,1,Old Renovation,1000 sq.m.,,,,,,Gegharkunik › Sarukhan,"$20,000",USD,"A one-story house with its own plot of land is for sale in the village of Sarukhan.For details, call the following numbersTranslated from Armenian",Dec-12-2022_21-09,Available,2 spots,,,https://list.am/en/item/18462048,House is Unfinished,,
House,Stone,340 sq.m.,1,3,1,Partial Renovation,2240 sq.m.,,,,,,Gegharkunik › Gavar,"8,500,000 ֏",AMD,"The residential house is two-storey, the entrance door is iron, the walls are made of tuff stone, metal roof, it is located on Mikaelyan street, with all communal facilities.Barn - 122 sq. M.Coverage - 54 sq. M.Barn - 59 sq. M.Code 2-21Translated from Armenian",Dec-12-2022_21-09,Not available,3 or more spots,,,https://list.am/en/item/12053948,House is Finished,,
Country House,Stone,47 sq.m.,1,3,1,Cosmetic Renovation,,,,,,,"Nairyan St, Sevan","$17,000",USD,"Urgently for sale, a stone summer house, completely renovated and furnishedTranslated from Armenian",Dec-12-2022_21-09,Available,Not available,,,https://list.am/en/item/15242726,House is Finished,,
House,Stone,130 sq.m.,2,5,1,Cosmetic Renovation,2400 sq.m.,,,,,,"Գարեգին Նժդեհի փողոց, Ճամբարակ","$35,000",USD,"Տունը գտնվում է Անտառամեջ գյուղում, գեղատեսիլ վայրում: Առանձին վաճառվում է նաև գյուղատնտեսական հող 13.000 քմ.Дом находится в селе Антарамеч, в живописном месте. Отделно продается 13.000 кв. М Сель-хоз участок.",Dec-12-2022_21-09,By agreement,1 spot,,,https://list.am/en/item/18694454,House is Finished,"Electricity, water supply",
House,Stone,200 sq.m.,2,4,1,No Renovation,900 sq.m.,,,,,,Gegharkunik › Martuni,"$37,000",USD,"European windows, availability of communications, without interior finishing worksTranslated from Armenian",Dec-12-2022_21-09,Not available,Not available,,,https://list.am/en/item/18460408,House is Finished,,
House,Stone,125 sq.m.,1,5,1,Old Renovation,400 sq.m.,,,,,,Gegharkunik › Sevan,"$20,000",USD,Has a garage for 4 cars.He has a cattle barn.Has a plot of land with fruit trees.Those who wish can call the mentioned numbers via viber or whatsappPrice is negotiableAddress: Geghama 26Translated from Armenian,Dec-12-2022_21-09,Available,3 or more spots,,,https://list.am/en/item/17177626,House is Finished,,
House,Stone,120 sq.m.,2,4,1,Cosmetic Renovation,,,,,,,Gegharkunik › Artanish,"8,500,000 ֏",AMD,There are 2 garages and a barnTranslated from Armenian,Dec-12-2022_21-09,,,,,https://list.am/en/item/18047109,,,
House,Stone,60 sq.m.,1,2,1,Old Renovation,1248 sq.m.,,,,,,Gegharkunik › Areguni,"$9,000",USD,"It has not been inhabited for a long time, there are fruit treesUrgently negotiableExchange for a carTranslated from Armenian",Dec-12-2022_21-09,Not available,Not available,,,https://list.am/en/item/18167311,,,
House,Stone,1450 sq.m.,2,8+,2,No Renovation,,,,,,,Gegharkunik › Vardenis,"$27,000",USD,"Very urgently! ! ! A two-storey house with a plot of land is for sale at an affordable price. The total area is 1450 square meters, of which 300 square meters are residential.Has a built-in garage.• Ground floor: Two spacious living rooms, bathroom, kitchen and door to garage.• Second floor: 5 bedrooms, balcony ույց bathroom.Price is negotiableVardenis:Translated from Armenian",Dec-12-2022_21-09,,,,,https://list.am/en/item/11488083,,,
House,Stone,150 sq.m.,2,4,2,Old Renovation,670 sq.m.,,,,,,Gegharkunik › Gavar,"11,000,000 ֏",AMD,Own house in Gavar for sale. The house is in good condition.Translated from Armenian,Dec-12-2022_21-09,Not available,Not available,,Stove,https://list.am/en/item/18694430,House is Finished,"Electricity, water supply, natural gas, sewerage",Gazebo
House,Stone,180 sq.m.,2,7,2,Euro Renovation,6000 sq.m.,,,,,,Gegharkunik › Sevan,"$30,000",USD,"A two-story private house is for sale, renovated, provided with hot and cold water, gasified, has an individual heating system, there is a separate tea house, cattle barn in the yard. It has a large land area of 7000 square meters near the house. There is also a garage. Together with the house, I will give 5 hectares of my own land of village significance. The price is final. The house is located in the village of Semyonovka.Translated from Armenian",Dec-12-2022_21-09,Available,1 spot,,,https://list.am/en/item/18595969,House is Finished,"Electricity, water supply, natural gas, sewerage","Fireplace, barbecue oven, gazebo"
House,Stone,260 sq.m.,2,8+,1,Partial Renovation,1700 sq.m.,,,,,,"Շահումյան փողոց, Սևան","$75,000",USD,"A private house is for sale in PROSHYAN STREET, Sevan, the address of the house is wrong in the announcement, the website does not accept the correct address. The second floor of the house is partially renovated, it also has a garage and adjacent buildings. Additional information already by phone or on the spot.Own house for sale in Sevan city. The two-story house, the second floor, is partially renovated, there is a garage and buildings, additional information on site or by phone.Translated from Armenian",Dec-12-2022_21-09,By agreement,1 spot,,,https://list.am/en/item/18421668,,,
House,Stone,100 sq.m.,1,3,1,Partial Renovation,,,,,,,Gegharkunik › Vardenis,"$18,000",USD,"Total land area - 1460-m2, house - 100-m2, there is a tonratun - 100-m2, outdoor kitchen - 10-m2. The house is provided with gas, electricity, constant hot and cold water, all water խողով drainage pipes are changed, the house is partially renovated, there are big fruit trees, strawberries, raspberries, vines in the garden. The house is located in the center of Vardenis. Call for more information.Translated from Armenian",Dec-12-2022_21-09,Available,1 spot,,,https://list.am/en/item/8605053,House is Unfinished,,
House,Stone,200 sq.m.,2,6,1,Partial Renovation,,,,,,,"Buniatyan St, Gavar","$27,000",USD,A two-story stone house in the province. Price: Negotiable. For sale or exchange with accommodation.Translated from Armenian,Dec-12-2022_21-09,By agreement,1 spot,,,https://list.am/en/item/18065545,House is Finished,,
House,Stone,240 sq.m.,2,8+,2,Major Renovation,1300 sq.m.,,,,,,Gegharkunik › Gavar,"35,000,000 ֏",AMD,"The house is located in the village of Gandzak, Gegharkunik marz, it is fully renovated, provided with constant cold and hot water, heating system, gasification, connected to the community sewer line. There is a garden with fruit trees on the side of the mansion, a 1300 square meter cultivated plot in front of which there is a 65 square meter stone building on the left side.Translated from Armenian",Dec-12-2022_21-09,Available,3 or more spots,,,https://list.am/en/item/18236607,House is Finished,,
Country House,Stone,189 sq.m.,2,4,1,Old Renovation,1500 sq.m.,,,,,,Gegharkunik › Vardenis,"$25,000",USD,"It is located in an ambush in Gegharkunik region village, it has 4 rooms, a balcony, a basement with 2 entrances, it has a tonir and fruit trees, the house is next to the school, the house has a beautiful view of Lake Sana and Geghama mountains.Translated from Armenian",Dec-12-2022_21-09,Not available,1 spot,,,https://list.am/en/item/16261111,House is Finished,,
House,Stone,107 sq.m.,1,3,1,Old Renovation,130 sq.m.,,,,,,Gegharkunik › Vardenis,"$20,000",USD,"The house is in normal condition, it is gasified, has a storage room, a barn, a kitchen-bathroom with a separate area outside, negotiable in case of a real buyerTranslated from Armenian",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/17164361,House is Finished,,
House,Stone,155 sq.m.,2,5,1,Cosmetic Renovation,1300 sq.m.,,,,,,"Գարեգին Նժդեհի փողոց 127/2, Ճամբարակ","$20,000",USD,It is given both on a daily basis and on a long-term basisTranslated from Armenian,Dec-12-2022_21-10,Available,2 spots,,,https://list.am/en/item/18411019,House is Finished,,
House,Stone,250 sq.m.,2,6,1,No Renovation,,,,,,,Gegharkunik › Vardadzor,"$32,000",USD,"The house is located in the village of Vardadzor, Gegharkunik Region, for details, call the indicated number.Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/18709682,House is Finished,,
House,Stone,420 sq.m.,2,6,1,Partial Renovation,1750 sq.m.,,,,,,Gegharkunik › Artanish,"$15,000",USD,"2-storey building of public significance is for sale near Lake Sanaa, address: V. Artanish, about 300 m from the track, about 500 m from the lake. The area of the building is 420 sq / m, land is 1750 sq / m. Price $ 13,000.Translated from Armenian",Dec-12-2022_21-10,Not available,3 or more spots,,,https://list.am/en/item/17341174,House is Finished,,
House,Stone,613 sq.m.,2,7,3+,Partial Renovation,1500 sq.m.,,,,,,"Sayadyan street, Gavar boundary","$75,000",USD,Garage 12.8 e 4.9 lBasementBakerybathroom and kitchen tiledFor more information callTranslated from Armenian,Dec-12-2022_21-10,,,,,https://list.am/en/item/17492368,,,
House,Stone,285 sq.m.,2,4,1,Cosmetic Renovation,,,,,,,Gegharkunik › Gavar,"$30,000",USD,"A two-storey private house is for sale in the central part of Gavar, near the Orphanage Park. It has all the communal facilities, it is in good condition, the bathroom is tiled, it also has a big yard with fruit trees, a garage. Price is negotiable.Translated from Armenian",Dec-12-2022_21-10,By agreement,Not available,,,https://list.am/en/item/14114470,House is Finished,,
