Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Appliances,Window Views,Parking,Amenities,The House Has,Links
Panels,No,Not available,4.0,61 sq.m.,2.0,1,from 2.7 m,4.0,Open balcony,Cosmetic Renovation,"Minas Avetisyan street, Gyumri","95,000 ֏ monthly",AMD,"It is for rent to honest people for the mahrams, don't be unreasonable, don't bother, 58 district, the house is in the back of the university, the house is for sale together with the property, negotiableTranslated from Armenian",Nov-24-2022_17-53,Available,3,Yes,No,Not included,1 month,,,,,,https://list.am/en/item/17801965
Stone,Yes,Not available,4.0,65 sq.m.,3.0,1,from 2.7 m,1.0,Closed balcony,Major Renovation,Shirak › Gyumri,"100,000 ֏ monthly",AMD,Call for questionsTranslated from Armenian,Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/18220330
Stone,No,Not available,5.0,45 sq.m.,2.0,1,from 2.7 m,3.0,Not available,Major Renovation,Shirak › Gyumri,"70,000 ֏ monthly",AMD,"Available with property, call for detailsTranslated from Armenian",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/18220298
Stone,Yes,Not available,1.0,130 sq.m.,3.0,1,from 2.8 m,1.0,Not available,Euro Renovation,"Ghorghanayn Street, Gyumri","25,000 ֏ daily",AMD,"Օրավարձով է տրվում տուն՝Գյումրու կենտրոնում: Տունը կապիտալ վերանորոգված է, տեղադրված են եվրո պատուհաններ և միջսենյակային փայտյա դռներ: Հատակը սալիկապատված է, ննջասենյակում՝ մանրահատակ: Տունն ապահովված է շուրջօրյա ջրամատակարարմամբ և գազամատակարարմամբ։Տունը նախատեսված է 6-7 անձի համար։Տունն ունի խոհանոց ՝իր բոլոր հարմարություններով, լոգարան և լոգասենյակ։ ՈԻՆԻ 2 ԿԱՅԱՆԱՏԵՂ. «Сдается дом в центре Гюмри посуточно. Дом полностью отремонтирован, установлены евро окна, межкомнатные деревянные двери. Пол выложен плиткой, в спальне - паркет. Дом обеспечен круглосуточной водой и газом. Дом рассчитан на 7-8 человек. В доме есть кухня со всеми удобствами, ванна, душевая. Две парковки",Nov-24-2022_17-53,,,,,,,,,,,,https://list.am/en/item/17978019
Stone,No,Not available,2.0,30 sq.m.,1.0,1,from 2.8 m,1.0,Open balcony,Designer Renovation,"Gorki Street 33, Gyumri",$800 monthly,USD,"Բնակարանը գտնվում է քաղաքի կենտրոնում: Հնարավոր է նաև վարձակալել օրավարձով` 45 դոլլար: Բնակարանում կարող են հյուրընկալվել առավելագույնը երեք անձ:Квартира на сдачу в центре Гюмри. Максимум 3 гостя. Оплата за месяц- 800 долларов, за день - 45 долларов.",Nov-24-2022_17-53,,2,Yes,No,Not included,2 weeks,,,,,,https://list.am/en/item/17513423
Stone,No,Not available,5.0,74 sq.m.,3.0,1,from 2.7 m,5.0,Multiple balconies,Cosmetic Renovation,"Սաշա Գրիգորյանի փողոց, Գյումրի","80,000 ֏ monthly",AMD,"The apartment is located in the railway station, hot and sunny, has constant hot and cold water, close to the bus stop, there are 27 schools, shops nearbyTranslated from Armenian",Nov-24-2022_17-54,,8+,Yes,No,Not included,1 month,,,,,,https://list.am/en/item/18252492
Stone,Yes,Not available,5.0,72 sq.m.,2.0,1,from 2.5 m,3.0,Closed balcony,Cosmetic Renovation,"Yerevan Highway, Gyumri","130,000 ֏ monthly",AMD,"A 2-room apartment is for rent, with all amenities, with a cash system, euro windows and an iron door.THE APARTMENT WILL BE AVAILABLE FROM FEBRUARYTranslated from Armenian",Nov-24-2022_17-54,,8+,Yes,No,Not included,2 months,,,,,,https://list.am/en/item/17505043
Stone,Yes,Not available,3.0,80 sq.m.,3.0,1,from 2.7 m,2.0,Not available,Euro Renovation,"13th Street 8/3, Gyumri","15,500 ֏ daily",AMD,"Վարձով է տրվում 3 սենյականոցբ բնակարան Գյումրի քաղաքի Անի (58) թաղամասում, գերարագ ինտռնետ, կբհ, գազ լույս տաք և սառը ջուր, ջեռուցում 3/2 հարկ: Չբնակեցված, կահույքով, անկողնային պարականներով, խոհանոցային պարագաններ (ամբողջ կոմպլեկտ), հեռուստացույց, արդուկ, փոշեկուլ, ֆեն.Ավտոմեքենայի կայանատեղի:Ամսավճարը 150000 դրամ:Г. Гюмри.Уютные апартаменты класса комфорт в новом доме. Супермаркеты, рынок, аптеки, банкоматы -рядом (200-600м) Скоростной интернет, питьевая вода 24/7, теплая вода, отоп.В квартире есть всё необходимое для комфортного проживания.Кровать двухспальная, диванБытовая техника (стиральная машина, газовая плита, холодильник, чайник,Кухонные принадлежности, посуда, утюг, фен, пылесос.Влажная уборка после каждого гостя. Новое постельное бельё и полотенца.Цена зависит от количества гостей, длительности проживания и сезона. Уточняйте окончательную стоимость по телефону. Цена 150 000 драм.",Nov-24-2022_17-54,Available,5,Yes,Yes,Not included,2 months,,,,,,https://list.am/en/item/17852488
Stone,Yes,Not available,4.0,55 sq.m.,2.0,1,from 3 m,2.0,Not available,Euro Renovation,"Sayat Nova avenue 1, Gyumri","25,000 ֏ daily",AMD,"Բնակարանները վաձով է տրվում և օրավարձով, և ամսեկան վարձով: Բնակարանը կապիտալ վերանորագված է, գտնվում է քաղաքի կենտրոնում, ջեռուցում, ինտերնետ, կոմունալ բոլոր հարմարություններով:Unoccupied apartments with all communal facilities and property are for rent in the center of the city. It is possible for a daily rent.Сдаются квартира со всеми коммунальными удобствами и имуществом в центре города. Возможна посуточная аренда.Վարձով/ վարցով /օրավարձով բնակարան գյումրիում/օրավարցով բնակարան գյումրիում",Nov-24-2022_17-54,,,,,,,,,,,,https://list.am/en/item/15590331
Stone,No,Not available,1.0,50 sq.m.,2.0,1,from 2.5 m,1.0,Not available,Euro Renovation,"Furmanov street, Gyumri","13,000 ֏ daily",AMD,Օրավարձով սեփական տուն կոմունալ բոլոր հարմարություններով քաղաքի կենտրոնում։Посуточный Гостевой дом со всеми ком. Услугами. Дом находится в центре города.Daily Guest house with all utilities. The house is located in the city center.,Nov-24-2022_17-54,,,,,,,,,,,,https://list.am/en/item/12639707
Stone,Yes,Not available,3.0,40 sq.m.,1.0,1,from 2.5 m,3.0,Open balcony,Euro Renovation,"Shirakatsi street, Gyumri","100,000 ֏ monthly",AMD,"An apartment for rent in the center of Gyumri city, with all utilities,Apartment for rent in the center of Gyumri city with all amenities.Translated from Armenian",Nov-24-2022_17-54,,,,,,,,,,,,https://list.am/en/item/18005829
Stone,No,Not available,5.0,68 sq.m.,3.0,1,from 2.75 m,5.0,Open balcony,Old Renovation,"Շիրակացու փողոց 7Բ, Գյումրի","100,000 ֏ monthly",AMD,"The apartment is in good condition. With all utilities, ARISTON gas boiler, complete property. There is a separate basement.Translated from Armenian",Nov-24-2022_17-54,,,,,,,,,,,,https://list.am/en/item/18181148
Stone,Yes,Not available,1.0,30 sq.m.,1.0,1,from 2.5 m,1.0,Open balcony,Euro Renovation,"Furmanov street, Gyumri","15,000 ֏ daily",AMD,"House for daily rent in the center of Gyumri, newly renovated, one room with all communal facilities kayanatexo baseinov 3 hogu texTranslated from Armenian",Nov-24-2022_17-54,,4,Yes,Yes,Included,Without prepayment,,,,,,https://list.am/en/item/15699279
Monolith,Yes,Not available,4.0,50 sq.m.,1.0,1,from 2.7 m,2.0,Closed balcony,Cosmetic Renovation,"P.Sevak St, Գյումրի","130,000 ֏ monthly",AMD,An apartment with communal facilities is for rentTranslated from Armenian,Nov-24-2022_17-54,Available,2,Yes,No,By Agreement,1 month,,,,,,https://list.am/en/item/17878478
Panels,No,Not available,4.0,49 sq.m.,1.0,1,from 2.8 m,3.0,Not available,Major Renovation,"Մինաս Ավետիսյանի փողոց 29, Գյումրի","120,000 ֏ daily",AMD,"(58) թաղամասում Մինաս Ավետիսյան փողոցում օրավարձով է տրվում բնակարան կոմունալ բոլոր հարմարություններով, 3 + 1 անձ, wi-fi, տաք և սառը ջուր, գազաֆիկացված և կահավորված: Նոր վերանորոգված: Լուսավոր և տաք տուն: Գտնվում է արևելյան կողմում:Сдается на одинь день 1-комнатная квартира со всеми коммунальными удобствами и с мебелом в доме Минаса Аветисяна (58 округ) 3 + 1 человек. В квартире есть Wi-fi, холодная и горячая вода, газ, санузел облицован плиткой. Квартира теплая, светлая. Рядом школа, детский сад и супермаркет. Подробности можно узнать по телефону.",Nov-24-2022_17-54,,3,Yes,No,Not included,1 month,,,,,,https://list.am/en/item/15925654
Panels,No,Not available,5.0,70 sq.m.,2.0,1,from 2.8 m,4.0,Open balcony,Major Renovation,"Խրիմյան Հայրիկ մայրուղի 15/2, Գյումրի","40,000 ֏ daily",AMD,"Կայարանամերձ հրապարակում 4 հականի շենքի 4 հարկում գտնվում է 3 սենյականոց կապիտալ վերանորոգված նոր բնակարան:Տրվում է օրավարձով:Բնակարանը ապահովված է կոմունալ բոլոր հարմարություններով, առկա է wi-fi",Nov-24-2022_17-54,,4,Yes,No,Not included,1 month,,,,,,https://list.am/en/item/18151640
Stone,Yes,Not available,2.0,70 sq.m.,2.0,1,from 3 m,1.0,Not available,Designer Renovation,"Garegin Nzhdeh Avenue 7/15, Gyumri","12,000 ֏ daily",AMD,Apartments for daily rent in GyumriTranslated from Armenian,Nov-24-2022_17-54,,,,,,,,,,,,https://list.am/en/item/12475152
Stone,No,Not available,4.0,65 sq.m.,2.0,1,from 3 m,4.0,Not available,Designer Renovation,"Իսահակյան փողոց 8Ա, Գյումրի","12,000 ֏ daily",AMD,Daily rentApartments for rent 12000 AMDTranslated from Armenian,Nov-24-2022_17-54,,,,,,,,,,,,https://list.am/en/item/11338064
Stone,Yes,Not available,3.0,100 sq.m.,4.0,1,from 2.7 m,3.0,Open balcony,Cosmetic Renovation,"Բագրատունյաց հրապարակ 8, Գյումրի","12,000 ֏ daily",AMD,"Գյումրիում, քաղաքի կենտրոնում վարձով է տրվում 4 սենյականոց բնակարան իր բոլոր կոմունալ հարմարություններով: Բնակարանը շատ հարմարատեվ է, արևոտ, չոր, ունի մշտական տաք և սառը ջրամատակարարում, գազաֆիկացված է և տրվում է բոլոր անհրաժեշտ պարագաների ու գույքի հետ միասին: Հարակից գտնվում են Կառոնա սուպերմարկետը, ժամանցի տարբեր վայրեր, Կրուիզ սրճարանը, Հացատունը, Ֆայտոնը, և այլ սպասարկման կետեր ու խաղասրահներ: Տրվում է օրավարձով, կամ ամսական վարձով:",Nov-24-2022_17-54,Available,6,Yes,No,By Agreement,By Agreement,,,,,,https://list.am/en/item/16047240
Panels,No,Available,5.0,54 sq.m.,1.0,1,from 2.6 m,3.0,Not available,Euro Renovation,"Aram Khachatryan Street, Gyumri","120,000 ֏ monthly",AMD,"(58) թաղամասում Մինաս Ավետիսյան փողոցում օրավարձով է տրվում բնակարան կոմունալ բոլոր հարմարություններով, 3 + 1 անձ, wi-fi, տաք և սառը ջուր, գազաֆիկացված և կահավորված: Նոր վերանորոգված: Լուսավոր և տաք տուն: Գտնվում է արևելյան կողմում:Сдается на одинь день 1-комнатная квартира со всеми коммунальными удобствами и с мебелом в доме Минаса Аветисяна (58 округ) 3 + 1 человек. В квартире есть Wi-fi, холодная и горячая вода, газ, санузел облицован плиткой. Квартира теплая, светлая. Рядом школа, детский сад и супермаркет. Подробности можно узнать по телефону.",Nov-24-2022_17-54,,3,Yes,No,Not included,1 month,,,,,,https://list.am/en/item/16440227
Stone,No,Not available,4.0,49 sq.m.,1.0,1,from 2.8 m,3.0,Not available,Major Renovation,"Minas Avetisyan street, Gyumri","120,000 ֏ daily",AMD,"(58) թաղամասում Մինաս Ավետիսյան փողոցում օրավարձով է տրվում բնակարան կոմունալ բոլոր հարմարություններով, 3 + 1 անձ, wi-fi, տաք և սառը ջուր, գազաֆիկացված և կահավորված: Նոր վերանորոգված: Լուսավոր և տաք տուն: Գտնվում է արևելյան կողմում:Сдается на одинь день 1-комнатная квартира со всеми коммунальными удобствами и с мебелом в доме Минаса Аветисяна (58 округ) 3 + 1 человек. В квартире есть Wi-fi, холодная и горячая вода, газ, санузел облицован плиткой. Квартира теплая, светлая. Рядом школа, детский сад и супермаркет. Подробности можно узнать по телефону.",Nov-24-2022_17-54,,3,Yes,No,Not included,1 month,,,,,,https://list.am/en/item/16255093
Stone,No,Not available,3.0,50 sq.m.,1.0,1,from 3.2 m,1.0,Not available,Major Renovation,Shirak › Gyumri,"15,000 ֏ daily",AMD,"A completely newly renovated, uninhabited, furnished 1-room apartment with all utilities (internet, cable TV) is for daily rent in the center of Gyumri city.В центре г. 1-room apartment for rent in Gyumri with all amenities / new euro renovation, internet, cable television.Translated from Armenian",Nov-24-2022_17-54,Available,4,Yes,Negotiable,Included,By Agreement,"FRidge, stove, washing machine",,,TElevision,,https://list.am/en/item/18024825
Stone,Yes,Not available,4.0,85 sq.m.,3.0,1,from 3 m,4.0,Open balcony,Designer Renovation,"Սայաթ-Նովա փողոց 9, Գյումրի","300,000 ֏ monthly",AMD,The apartment is located in the city center...Translated from Armenian,Nov-24-2022_17-54,Available,2,No,No,Not included,1 month,,,,,,https://list.am/en/item/18311883
Stone,No,Not available,4.0,70 sq.m.,2.0,1,from 3 m,2.0,Not available,Major Renovation,"Улица Шаумяна 188А, Гюмри","250,000 ֏ monthly",AMD,"Квартира в центре города, рядом с площадью Вардананц со всеми удобствами.",Nov-24-2022_17-54,,3,Yes,No,Not included,1 month,,,,,,https://list.am/en/item/18248704
Stone,No,Not available,4.0,70 sq.m.,2.0,1,from 3 m,2.0,Not available,Major Renovation,"Улица Шаумяна 188А, Гюмри","230,000 ֏ monthly",AMD,"Сдается 2-х комнатная квартира на длительный срок, в центре города, рядом с площадью Вардананц. В квартире холодильник, стиральная машина, газовая плита, wi fi, постельные принадлежности, паровое отопление, новый ремонт. Всё в идеальном состоянии. Квартира предусмотрено для троих.Վարձով է տրվում բնակարան Գյումրիում, քաղաքի կենտրոնում, Վարդանանց հրապարակի հարևանությամբ։Բնակարանը վերանորոգված է, ապահովված կոմունալ բոլոր հարմարություններով՝ մշտական տաք և սառը ջուր, անհատական ջեռուցման համակարգ։ Բնակարանում առկա է անկողնային պարագաներ և սպիտակեղեն, սպասք, ամբողջությամբ կահավորված, WI-Fi սառնարան, լվացքի մեքենա:",Nov-24-2022_17-54,Available,3,Yes,No,Not included,1 month,"FRidge, stove, coffee maker, washing machine","YArd view, street view",OUtdoor parking,"TElevision, internet, parking space",PLayground,https://list.am/en/item/18030375
Stone,Yes,Not available,1.0,35 sq.m.,1.0,1,from 3 m,1.0,Not available,Euro Renovation,"Վահան Տերյանի փողոց 95/6, Գյումրի","15,000 ֏ daily",AMD,"Քաղաքի կենտրոնում, Սերգեյ Մերկուրովի տուն-թանգարանի (Ձիթողցոնց) հարևանությանբ Օրավարձով է տրվում 1 սենյականոց նորաոճ բնակարան։ Բնակարանը կահավորված է, ջեռուցվում է, խոհանոցում կա սպասք, անհրաժեշտ տեխնիկա։Կախված օրերից և բնակիչների քանակից հնարավոր է գնային փոփոխությունIn the city center near the house-museum of S. D. Merkurov, a new-fangled apartment is rented by the dayThe apartment has all the necessary equipment, furniture, heating and refreshment systemsDepending on the number of days and guests, the price can be changedВ центре города рядом дом-музей С. Д. Меркурова посуточно сдается в аренду новомодная квартираАпартамент имеет всю необходимую технику, мебель, системы отопления и освеженияВ зависимости от количества дней и гостей, цена может быть изменен",Nov-24-2022_17-54,,4,Yes,Yes,Included,By Agreement,,,,,,https://list.am/en/item/17575628
Stone,Yes,Not available,4.0,45 sq.m.,1.0,1,from 2.7 m,2.0,Open balcony,Designer Renovation,"Մուշ 2 թաղամաս 4/23, Գյումրի","100,000 ֏ monthly",AMD,"Сдается однокомнатная квартира в городе Гюмри, Муш 2 ул. Алабян 3. Со всеми удобствами.Недолгосрочно - от 3 до 6 месяцев 100 000 драм + депозитПо суточно 10 000 драм.Неделя 50 000 драм.Для подробностей звонить по телефону или viber С 10:00 до 20:00КВАРТИРА БУДЕТ СВОБОДНА С 04.12.2022Շտապ վարձով է տրվում բնակարան Գյումրի Մուշ 2 փող. Հալաբյան 3 - մեկ սենյականոց, կոմունալ բոլոր հարմարություններով, կահավորված, կենցաղային տեխնիկայով:Կարճաժամկետ `3-ից 6 ամիս 100,000 դրամ + դեպոզիտՕրական - 10,000 դրամ:Շաբաթական - 50,000 դրամ:Մանրամասների համար զանգել հեռ: Կամ viber ժամը 10: 00-ից 20:00ԱԶԱՏ ԿԼԻՆԻ 04.12.2022-իցFor rent one-room apartment in Gyumri, Mush 2 district st. Halabian 3. With all facilities.Short-term - from 3 to 6 months 100,000 drams + depozitDaily 10,000 drams.Weekly 50,000 dram.For details call or write viber From 10 a. M. To 8 p. M.It will be free from 04.12.2022",Nov-24-2022_17-54,Available,2,Yes,No,Not included,1 month,"FRidge, washing machine",,,"TElevision, internet",,https://list.am/en/item/17569251
Stone,Yes,Not available,5.0,65 sq.m.,2.0,1,from 2.8 m,5.0,Closed balcony,Old Renovation,"Khrimyan Hayrik Highway, Gyumri","200,000 ֏ monthly",AMD,Сдаётся двухкомнатная квартира на длительный срок со всеми удобствами. Вся бытовая техника и мебель новая,Nov-24-2022_17-54,,4,Yes,No,Not included,1 month,,,,,,https://list.am/en/item/18347853
Stone,No,Not available,4.0,72 sq.m.,3.0,1,from 2.8 m,4.0,Closed balcony,Major Renovation,"Ghandilyan street 22ա, Gyumri","50,000 ֏ daily",AMD,"On the 4th floor of a 4-storey building in the square near the station, there is a new 3-room fully renovated apartment.Available for daily rent.The apartment is equipped with all utilities, Wi-Fi is availableTranslated from Armenian",Nov-24-2022_17-54,,4,Yes,No,Not included,1 month,,,,,,https://list.am/en/item/18142296
Stone,No,Not available,2.0,75 sq.m.,3.0,1,from 2.8 m,1.0,Not available,Major Renovation,"13th Street 8/3, Gyumri","150,000 ֏ monthly",AMD,"Վարձով է տրվում 3 սենյականոցբ բնակարան Գյումրի քաղաքի Անի (58) թաղամասում, գերարագ ինտռնետ, կբհ, գազ լույս տաք և սառը ջուր, ջեռուցում 3/2 հարկ: Չբնակեցված, կահույքով, անկողնային պարականներով, խոհանոցային պարագաններ (ամբողջ կոմպլեկտ), հեռուստացույց, արդուկ, փոշեկուլ, ֆեն.Ավտոմեքենայի կայանատեղի:Բնակարանը պատրաստ կլինի վարձակալության 16.11.2022թ:Г. Гюмри. Ани м/р,Уютные апартаменты класса комфорт в новом доме. Супермаркеты, рынок, аптеки, банкоматы -рядом (200-600м) Скоростной интернет, питьевая вода 24/7, теплая вода, отоп.В квартире есть всё необходимое для комфортного проживания.Кровать двухспальная, диванБытовая техника (стиральная машина, газовая плита, холодильник, чайник,Кухонные принадлежности, посуда, утюг, фен, пылесос.Влажная уборка после каждого гостя. Новое постельное бельё и полотенца.Цена зависит от количества гостей, длительности проживания и сезона. Уточняйте окончательную стоимость по телефону. Квартира готова будет для проживания 16.11.2022г.ПРИ ЗАСЕЛЕНИИ ПРЕДЪЯВЛЯЕТСЯ ПАСПОРТ.Translated from Armenian",Nov-24-2022_17-54,,6,Yes,Yes,By Agreement,2 months,,,,,,https://list.am/en/item/18222654
Monolith,Yes,Not available,4.0,85 sq.m.,2.0,1,from 2.75 m,4.0,Closed balcony,Major Renovation,"Trdat Architector street, Gyumri","200,000 ֏ monthly",AMD,"Г. Гюмри. Сдается трехкомнатная квартира м/р Ани (58) Супермаркеты, рынок, аптеки, банкоматы -рядом (200-600м) Скоростной интернет, питьевая вода 24/7, теплая вода, отоп.В квартире есть всё необходимое для комфортного проживания.Кровать двухспальная, диванБытовая техника (стиральная машина, газовая плита, холодильник, чайник,Кухонные принадлежности, посуда, утюг, пылесос.Депозит.ПРИ ЗАСЕЛЕНИИ ПРЕДЪЯВЛЯЕТСЯ ПАСПОРТ.Վարձով է տրվում 3 սենյականոցբ բնակարան երկարատև հիմունքններով (1 տարի) Գյումրի քաղաքի Անի (58) թաղամասում, գերարագ ինտռնետ, կաբելային հեռուստատեսություն (DELTA TV), կբհ, գազ լույս տաք և սառը ջուր, ջեռուցում, եվրոպատուհաններ, դիրքը՝ արևելք-արևմուտք, 2րդ հարկ, կահույքով, անկողնային պարականներով, խոհանոցային պարագաններ (ամբողջ կոմպլեկտ), սառնարան, լվածքի մեքենա, հեռուստացույց, արդուկ, փոշեկուլ, ֆեն.Г. Гюмри.",Nov-24-2022_17-54,Available,8+,Yes,No,Not included,2 months,,,,,,https://list.am/en/item/18200096
Panels,No,Not available,4.0,80 sq.m.,3.0,1,from 2.7 m,4.0,Closed balcony,Major Renovation,Shirak › Gyumri,"140,000 ֏ monthly",AMD,"Բնակարանը գտնվում է իդեալական վիճակում կոմունալ բոլոր հարմարություններով։ Ապահովված է տեխնիկայով հագեցած է կենցաղային բոլոր հարմարություններով' առկա է ջեռուցման baxi համակարգ։Բնակարանը գտնվում է Պարույր Սևակ Շիրակի պետական համալսարանի դիմաց։Մնացած հարցերի դեպքում զանգահարել նշված հեռախոսահամարներով։Квартира в отличном состоянии со всеми удобствами. Оснащен техникой, обеспечен всеми удобствами, есть автономная система отопления.Квартира расположена напротив Ширакского государственного университета.В случае возникновения других вопросов просьба звонить по указанным номерам телефонов.",Nov-24-2022_17-54,Available,3,No,No,Not included,1 month,,,,,,https://list.am/en/item/17853643
Monolith,Yes,Not available,4.0,50 sq.m.,1.0,1,from 2.7 m,2.0,Closed balcony,Cosmetic Renovation,"Trdat Architector street, Gyumri","12,000 ֏ daily",AMD,A one-room apartment is for rent in 58 district. It has all the amenities. Call for details.Translated from Armenian,Nov-24-2022_17-54,,2,Yes,No,Not included,1 month,,,,,,https://list.am/en/item/17877015
Stone,Yes,Not available,5.0,52 sq.m.,1.0,1,from 2.8 m,5.0,Open balcony,Cosmetic Renovation,Shirak › Gyumri,"150,000 ֏ monthly",AMD,Details by call:Code 7000900Translated from Armenian,Nov-24-2022_17-54,,3,Yes,Yes,Not included,By Agreement,,,,,,https://list.am/en/item/17623722
Stone,Yes,Not available,5.0,37 sq.m.,1.0,1,from 2.8 m,4.0,Open balcony,Major Renovation,"Միխայիլ Սալտիկով-Շեդրինի փողոց 7Ա, Գյումրի","12,000 ֏ daily",AMD,"An apartment for daily rent in Gyumri city is located 2 km from the center, it is equipped with property, appliances, hot and cold water, it is suitable for 2 people.Translated from Armenian",Nov-24-2022_17-54,,2,Yes,No,Included,By Agreement,,,,,,https://list.am/en/item/18183692
Stone,No,Not available,4.0,78 sq.m.,3.0,1,from 3 m,1.0,Closed balcony,Euro Renovation,"Երևանյան խճուղի 133, Գյումրի","100,000 ֏ monthly",AMD,"For rent, a bright and spacious three-room apartment in Gyumri city. It is completely renovated, the windows and doors are Euro, it has a basement of 20 square meters, two hot tubs, constant hot and cold water, as well as WiFi Internet. The apartment is very warm, the position is facing the sun. And west facing. It is located on the first floor of a four-storey building, the entrance is separate from the outside. It is in perfect condition, it is sold together with the property. The apartment is located next to the King supermarket, there are many shops, cafes and parks nearby.Code 1334Translated from Armenian",Nov-24-2022_17-54,,,,,,,,,,,,https://list.am/en/item/18300805
Stone,No,Not available,4.0,80 sq.m.,3.0,1,from 3 m,2.0,Not available,Euro Renovation,"Gorki Street 67, Gyumri","15,000 ֏ daily",AMD,"A 3-room apartment with all utilities, appliances, dishes, bedding, cable TV and internet is for daily rent in the city center. The distance from the central square is only 500 meters. It is suitable for organizing a family holiday.Translated from Armenian",Nov-24-2022_17-54,,,,,,,,,,,,https://list.am/en/item/18136891
Stone,Yes,Not available,2.0,35 sq.m.,1.0,1,from 2.8 m,1.0,Open balcony,Designer Renovation,"Ջիվանի փողոց 72, Գյումրի","6,000 ֏ daily",AMD,"Comfortable, bright. (Adjacent to Florence Restaurant, Technopark.)Translated from Armenian",Nov-24-2022_17-54,Available,3,Yes,No,Included,By Agreement,,,,,,https://list.am/en/item/17727086
Stone,Yes,Not available,2.0,40 sq.m.,2.0,2,from 2.8 m,2.0,Open balcony,Major Renovation,"Ջիվանի փողոց 72, Գյումրի","5,000 ֏ daily",AMD,"It is located in the center of the city, next to the French restaurant, provided with all the conditions for a bright and comfortable restTranslated from Armenian",Nov-24-2022_17-54,Available,6,Yes,No,Included,By Agreement,,,,,,https://list.am/en/item/16343000
Panels,No,Not available,5.0,80 sq.m.,3.0,1,from 2.7 m,5.0,Open balcony,Old Renovation,"Khrimyan Hayrik Highway, Gyumri","50,000 ֏ monthly",AMD,"The apartment is in state condition. The apartment has permanent cold water, gas stove and partial property.Translated from Armenian",Nov-24-2022_17-54,,,,,,,,,,,,https://list.am/en/item/17554287
Stone,No,Not available,5.0,45 sq.m.,2.0,1,from 3 m,2.0,Not available,Major Renovation,"Sayat Nova avenue, Gyumri","10,000 ֏ daily",AMD,Fully renovated and with matching property.Translated from Armenian,Nov-24-2022_17-54,Available,5,Yes,No,By Agreement,By Agreement,,,,,,https://list.am/en/item/18226003
Stone,No,Not available,4.0,40 sq.m.,1.0,1,from 2.7 m,1.0,Not available,Cosmetic Renovation,"Gorki Street, Gyumri","10,000 ֏ daily",AMD,"ЗанятоДо 20 декабряКвартира находится в центральной части ГюмриЕсть хороший интернет, телевидение с росс и местными каналами, отопление, горячая вода круглосуточно, кухня с газовой плитой где можно приготовить еду, нормальная ванная комната. Чистое постельное белье и полотенца.Translated from Armenian",Nov-24-2022_17-54,Available,4,Yes,No,By Agreement,By Agreement,,,,,,https://list.am/en/item/17693784
Monolith,Yes,Not available,5.0,80 sq.m.,3.0,1,from 2.7 m,3.0,Multiple balconies,Euro Renovation,Shirak › Gyumri,"10,000 ֏ daily",AMD,"Բնակարանը վերանորոգված է, ապահովված է կոմունալ բոլոր հարմարություններով՝ մշտական տաք և սառը ջուր, անհատական ջեռուցման համակարգ։ Բնակարանում առկա է անկողնային պարագաներ և սպիտակեղեն, սրբիչներ, սպասք, ամբողջությամբ կահավորված` Հեռուստացույց, WI-Fi սառնարան, լվացքի մեքենա. Հարևանությամբ՝ սուպերմարկետ և այլ խանութներԿախված ամրագրված օրերից, ժամերից և բնակիչների քանակից հնարավոր է գնային փոփոխությունКвартира с евроремонтом, обеспечена всеми коммунальными удобствами: Постоянная горячая-холодная вода, индивидуальная система отопления. В квартире есть постельное белье, полотенца, посуда, Телевизор, WI-Fi холодельник, стиральная машина. В непосредственной близости: Супермаркет и другие магазины.",Nov-24-2022_17-54,Available,4,Yes,Yes,By Agreement,By Agreement,,,,,,https://list.am/en/item/16264950
Panels,No,Available,3.0,34 sq.m.,1.0,1,from 2.5 m,2.0,Open balcony,Major Renovation,"Tigran Mets Avenue, Gyumri","7,000 ֏ daily",AMD,"Сдаю по суточно, (месячно) хорошую уютную и теплую квартиру в центре Гюмри, в квартире есть все необходимое.Хорошая мебель, удобства, душь, посуда, и все принадлежности. Звоните договоримся.",Nov-24-2022_17-54,Available,5,Yes,No,By Agreement,Without prepayment,"FRidge, stove, washing machine, iron, hair dryer",STreet view,,"TElevision, internet, parking space",,https://list.am/en/item/18329132
