Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,The House Has,Parking,Amenities,Appliances,Window Views,Links
Cassette,No,Not available,1.0,50 sq.m.,3.0,1.0,from 3 m,1.0,Not available,Euro Renovation,4,Yes,Yes,Not included,1 month,Gegharkunik › Chkalovka,"200,000 ֏ monthly",AMD,"2-3 room cabins for rent, 60 kilometers from Yerevan, 5 kilometers from Sevan city, has all utilities, Wi-Fi, constant hot and cold water, 2 hectares of land. I'm coming backTranslated from Armenian",Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18451482
Panels,No,Not available,4.0,100 sq.m.,4.0,1.0,from 2.75 m,4.0,Open balcony,Partial Renovation,6,Yes,No,Not included,By Agreement,"Եղիշե Չարենցի փողոց 2, Մարտունի","40,000 ֏ monthly",AMD,Apartment for rent in In Martuni. On E. Charents StreetTranslated from Armenian,Nov-27-2022_18-50,Available,,,TElevision,"FRidge, coffee maker, washing machine",STreet view,https://list.am/en/item/18587567
Panels,No,Available,9.0,84 sq.m.,3.0,1.0,from 2.75 m,4.0,Not available,Cosmetic Renovation,5,Yes,Yes,Not included,2 months,"Գրիբոեդով փողոց 5, Սևան","200,000 ֏ monthly",AMD,Сдаётся 3-х комнатная квартира в городе Севан,Nov-27-2022_18-50,Available,,,,,,https://list.am/en/item/18517017
Panels,No,Not available,5.0,45 sq.m.,1.0,1.0,from 2.8 m,5.0,Closed balcony,Partial Renovation,4,Yes,No,Not included,1 month,"Ա․ Սեսմանուկյան փողոց 1-ին նրբանցք 14, Վարդենիս","50,000 ֏ monthly",AMD,"A 1-room apartment with a closed balcony is for rent on Sesmanukyan Street in Vardenis. It is furnished, there is hot and cold water, household appliances. Call for more information.Translated from Armenian",Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18565484
Panels,No,Available,9.0,62 sq.m.,2.0,1.0,from 2.7 m,8.0,Closed balcony,Old Renovation,3,Yes,No,Not included,By Agreement,"Улица Саркиса Севанеци 19, Севан","100,000 ֏ monthly",AMD,"Квартира находится в 15мин от озера. Солнечная сторона, есть эл. Колонка, постоянная вода, посуда, постель.",Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18565457
,,,,,,,,,,,,,,,,"Lernagorts Street, Vardenis","80,000 ֏ monthly",AMD,3-room apartment for rent in Vardenis cityTranslated from Armenian,Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18353313
Panels,Yes,Available,9.0,50 sq.m.,2.0,1.0,from 3 m,2.0,Closed balcony,Old Renovation,5,Yes,No,Included,By Agreement,"Nairyan Street, Sevan town","70,000 ֏ monthly",AMD,"It is for rent.3 converted into a 2-room apartment. The windows have been replaced throughout the apartment. There is a heating system. Completely new and new sink. The apartment is comfortable on the sunny side, the yard is completely paved. It has a comfortable and large basement inside the apartment. The bathroom and toilet are in good condition.We can also provide necessary items8000 per day is also availableTranslated from Armenian",Nov-27-2022_18-50,Not available,PLayground,OUtdoor parking,"TElevision, parking space","FRidge, coffee maker, washing machine","YArd view, street view, city view",https://list.am/en/item/18533941
Stone,Yes,Not available,5.0,72 sq.m.,3.0,2.0,from 2.5 m,5.0,Closed balcony,Cosmetic Renovation,8+,Yes,No,Not included,1 month,"Խ․ Ստեփանյան փողոց 19, Վարդենիս","50,000 ֏ monthly",AMD,"For partial property, call for detailsTranslated from Armenian",Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18551635
Stone,No,Not available,5.0,80 sq.m.,3.0,1.0,from 2.7 m,2.0,Not available,Euro Renovation,6,Yes,Yes,Not included,1 month,Gegharkunik › Sevan,"350,000 ֏ monthly",AMD,"A fully furnished apartment with all utilities (automatic washing machine, gas stove, refrigerator, TVs and WIFI) is for rent.The yard is completely paved.Ready for occupancy.Translated from Armenian",Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18442982
Stone,No,Not available,5.0,50 sq.m.,1.0,1.0,from 2.6 m,3.0,Closed balcony,Major Renovation,3,Yes,No,By Agreement,By Agreement,"Nalbandyan street, Sevan town","120,000 ֏ monthly",AMD,.После кап ремонта. WhatsApp. Viber.,Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18548347
Stone,No,Not available,5.0,70 sq.m.,2.0,1.0,from 2.75 m,2.0,Open balcony,Cosmetic Renovation,8+,Yes,Yes,By Agreement,By Agreement,"Սարգիս Սևանեցու փողոց 21, Սևան","120,000 ֏ monthly",AMD,"The apartment has all utilities, 2 floors, 2 roomsTranslated from Armenian",Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18451412
Stone,No,Not available,5.0,50 sq.m.,2.0,1.0,from 2.7 m,1.0,Not available,Cosmetic Renovation,,,,,,"Էներգետիկների փողոց 2, Սևան","60,000 ֏ monthly",AMD,"The apartment is in normal condition, with necessary property.With hot and cold water, the bathroom is renovatedTranslated from Armenian",Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18105776
Panels,No,Available,9.0,36 sq.m.,2.0,1.0,from 3.2 m,1.0,Not available,Partial Renovation,,,,,,Gegharkunik › Sevan,"10,000 ֏ daily",AMD,"I am renting an apartment in the city of Sevan. The apartment is located on the first floor of a 9-story building, the entrance is separate from the outside. It has all the amenities, ready for occupancy. For details, you can call Sh.Translated from Armenian",Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18416137
Stone,No,Not available,5.0,80 sq.m.,3.0,1.0,from 2.8 m,3.0,Not available,Cosmetic Renovation,,,,,,Gegharkunik › Sevan,"8,000 ֏ daily",AMD,"Квартира находится в городе Севан, рядом с церковью. Коммунальная со всеми удобствами. Звоните, чтобы задать вопросы.",Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18411167
Stone,No,Not available,5.0,34 sq.m.,1.0,1.0,from 2.8 m,5.0,Closed balcony,Partial Renovation,,,,,,"Միքայել Նալբանդյանի փողոց 61, Սևան","70,000 ֏ monthly",AMD,Normal utilityTranslated from Armenian,Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18404026
Stone,No,Not available,5.0,70 sq.m.,2.0,1.0,from 3 m,5.0,Multiple balconies,Old Renovation,,,,,,Gegharkunik › Sevan,"50,000 ֏ monthly",AMD,"WiFi, гоячая холодная вода, электричество есть. В сумму не входит коммунальные расходы. Только нету природного газа. Большая просорная квартира. Большой коридор, кухня кладовка. На балконе всегда солнце, тоже можно использовать как спальня.",Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18379036
Stone,Yes,Not available,2.0,94 sq.m.,3.0,1.0,from 3 m,1.0,Open balcony,Euro Renovation,,,,,,"Նաիրյան փողոց 179, Սևան","120,000 ֏ monthly",AMD,"Տրվում է վարձով երկարաժամկետСдается квартира!Имеет всe условия, газ свет вода, вайфай, короче смотрите на фотках все понятно) если что набирайте по телОтвечу на любые вопросы!Насчет цены договоримся зависит от срока арендыОтправлю фотки дворика по вацапу!",Nov-27-2022_18-50,,,,,,,https://list.am/en/item/18377135
