Type,Floor Area,Address,Price,Currency,Description,Datetime,Prepayment,Links,Utilities
Garage,25 sq.m.,Kotayk › Hrazdan,"$1,500",USD,"For sale 22 sq. M. Մ. Surface with concrete walls, garage c. Hrazdan, next to the Bread Factory.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17490693,
Garage,20 sq.m.,"Kentron block, Hrazdan","$1,500",USD,"Land for garage, all taxes are paid, documents are normalTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17110097,
Garage,24 sq.m.,"Նաիրյան փողոց 16, Աբովյան","$9,700",USD,"Renovated, + 5 sq. M. With basement, + yamk, select garage. Price is negotiable.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/16477755,Electricity
Garage,18 sq.m.,"Yeritasardakan street, Abovyan","$5,000",USD,"URGENT. Near the 14 youth building, it has a yama, the roof is in good condition, call for details.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17837896,
Garage,30 sq.m.,"4th microdistrict, Abovyan","$10,000",USD,The garage is located right behind the 4th micro Hay Economy Bank. There is a separate entrance leading to the garage. Call for questions.Garage:Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17569046,
Garage,40 sq.m.,Kotayk › Nor Hachen,"$4,000",USD,Two-storey garageTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17653999,
Garage,24 sq.m.,Kotayk › Hrazdan,"$3,500",USD,"Stone garage for sale, c. In Hrazdan, in the center district, next to school # 13, it is the second in a row of garages, it also has a 24 sq. M. BasementThe price does not include cadastral costs about $ 600Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17674346,
Garage,18 sq.m.,"Hatis street, Abovyan","400,000 ֏",AMD,"Garage, located at 7 dormitory addressIt is rented for 10,000 months. The area is not privatized.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17993100,
Garage,27 sq.m.,"Միկրոշրջան թաղամաս 220, Հրազդան","$1,500",USD,The garage is located next to the micro 222 building. Negotiable.It is for rentTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/17910853,
Garage,18 sq.m.,Kotayk › Abovian,"$6,500",USD,Garage in the 3rd micro-district.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/16092356,
Garage,20 sq.m.,"4th microdistrict, Abovyan","700,000 ֏",AMD,"Urgent, there is no land building only, the land is in the garages behind the 4th micro 72 buildingTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/16333934,
Garage,18 sq.m.,"Երևանյան փողոց 5, Հրազդան","$2,200",USD,"A concrete garage is for sale in the area between the ""Apple Garden restaurant"" of 44 Yerjanyan building. It has a box, the roof is concrete - tin. The garage can be demolished and moved. It is for sale urgently.Translated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17923010,
Garage,45 sq.m.,"Saralangi street 24, Abovyan","$10,000",USD,The garage is located in SaralanjIt has a basementTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18230374,
Garage,18 sq.m.,"Saralangi street, Abovyan","$3,000",USD,"It is in good condition, I will exchange it for a car with my surchargeTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/15583493,
Garage,,Kotayk › Abovian,"$8,000",USD,37qarakusi taky yama nuyn chapi,Dec-12-2022_18-39,,https://list.am/en/item/13924938,
Garage,19 sq.m.,Kotayk › Abovian,"$6,000",USD,"Stone garage with basement for sale, call for detailsTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18017455,
Parking Space,1400 sq.m.,"Ստեփան Շահումյանի փողոց, Հրազդան","$50,000",USD,"Car service station with its own substation, water. Can also serve close to homeTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/18287840,
Garage,30 sq.m.,"Kentron block, Hrazdan","$7,990",USD,The garage is located in the area adjacent to building 41. Area: 30 square meters.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18482203,
Garage,23 sq.m.,"Yeritasardakan street 6, Abovyan","$5,500",USD,The garage is made of stone (dry) and has a Yama. It is a property area (legal)Price is negotiableTranslated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/16669613,
Garage,20 sq.m.,Kotayk › Byureghavan,"1,450,000 ֏",AMD,A garage is for sale in the city of Byureghavan. The garage is located next to the 6th building. The area is about 20 square meters. It has a basement.Translated from Armenian,Dec-12-2022_18-39,,https://list.am/en/item/18091140,
Garage,21 sq.m.,"2-րդ փողոց 1, Մայակովսկի","$5,000",USD,"Two-storey garage for sale.The garage is in very good condition.If you have any questions, callto the following phone number:If you call you will get a 30% discountTranslated from Armenian",Dec-12-2022_18-39,,https://list.am/en/item/17237544,
