Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,Appliances,Window Views,The House Has,Parking,Links,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities
Stone,No,Not available,5,78 sq.m.,3,1,from 2.75 m,1,Closed balcony,,Partial Renovation,"Paruyr Sevak street, Vanadzor","$23,000",USD,"The apartment for sale is located in Paruyr Sevak district / former Alaverdyan St. / The apartment is on the first floor, partially repaired iron door, with all utilities, has a basement. / For more details, call the indicated phone number/Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18344098,,,,,,
Stone,No,Not available,4,25 sq.m.,1,1,from 2.7 m,4,Open balcony,Not available,Old Renovation,"Debet district, Alaverdi","$4,000",USD,"Sunny, warm house.Needs a little cosmetic repair.It has a separate storage room and basement, which is not included in the price.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18090317,,,,,,
Monolith,No,Not available,3,100 sq.m.,4,1,from 2.8 m,2,Closed balcony,,Major Renovation,Lorri › Tashir,"$30,000",USD,Хорошая чистая квартираХороший ремонтМонолитное строениеЦентр городаБольшой гараж,Nov-25-2022_14-08,,,,,https://list.am/en/item/17314959,,,,,,
Stone,No,Not available,5,87 sq.m.,3,1,from 2.8 m,4,Multiple balconies,,Old Renovation,Lorri › Vanadzor,"11,000,000 ֏",AMD,"3-room apartment for sale in Dimats district, P ․ On Saki street. It is a very bright and warm apartment. The apartment has closed-open balconies, a storage room, the floor is parquet. For sale together with a stone garage.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/16928578,,,,,,
Stone,No,Not available,5,74 sq.m.,2,1,from 2.7 m,2,Open balcony,,Partial Renovation,"Nersisyan street, Vanadzor","$29,600",USD,"The apartment is located in a sunny, strong, tuff building.The price is calculated for 1 square meter = $400.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18062034,,,,,,
Panels,No,Not available,9,64 sq.m.,2,2,from 2.7 m,4,Open balcony,Not available,Old Renovation,"Улица Грибоедови 3, Ванадзор","$13,000",USD,"The apartment has 2 rooms, but it has an open balcony, it can be converted into 3 rooms, there is a basement in the porch, the floor is completely tiled.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/16353287,,,,,,
Stone,No,Not available,5,79 sq.m.,3,1,from 2.7 m,2,Closed balcony,By agreement,Partial Renovation,"Կարեն Դեմիրճյան փողոց Ц6/8, Վանաձոր","21,000,000 ֏",AMD,"Karen Demirchyan Street 6-8, converted 3 to 4 rooms (a beautiful children's room was added in 2022), a very sunny, bright apartment with a garage, in the center, next to the station park, is for sale. It is a Czech project. It is in a normal, clean, habitable condition (it is currently inhabited), the renovation is 15 years old. The bathroom and shower room are tiled. European windows and Baxi heating system (2021) are installed. The garage, directly under the window, has the possibility to increase.The price is ABSOLUTELY non-negotiable.Call 16:00-22:00.Do not write to Mail.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17909573,,,,,,
Panels,No,Not available,9,75 sq.m.,3,1,from 3 m,2,Closed balcony,Not available,Old Renovation,"Nersisyan lane 18, Vanadzor","11,000,000 ֏",AMD,"There is also a garage, not included in the price, there is a water yard on the roof.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18285996,,,,,,
Stone,No,Not available,5,50 sq.m.,1,1,from 2.7 m,4,Open balcony,Available,Partial Renovation,"Tumanyan street, Alaverdi","$4,500",USD,"The apartment is located in Lori region, in Odzun village, on the 4th floor of a 5-storey building, it is possible to exchange it for landTranslated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/12729869,,,,,,
Stone,Yes,Not available,3,42 sq.m.,2,2,from 2.7 m,3,Open balcony,Not available,Euro Renovation,"S.Avetisyan St, Spitak","$30,000",USD,"It has a plot of 325 square meters. For questions, call the indicated number.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/15610922,,,,,,
Monolith,Yes,Not available,5,113 sq.m.,4,2,from 3 m,3,Multiple balconies,Not available,Partial Renovation,"Տավրոս 10-րդ փողոց 5, Վանաձոր","11,000,000 ֏",AMD,"Срочно продается 4-х комнатная квартира в новостройке Тарон 1, в городе Ванадзор. Общая жилплошадь-113 кв. Метра.Квартира находится на 3-ем этаже 5-и этажного дома, имеет 3 закрытые балконы, с которыми -120кв. М. Жилплошадь, просторный зал и кухня, большие и маленькие спальни. Обсепечена всеми коммунальными удобствами- постоянная вода, свет, газ, высокоскоростной Wi-Fi интернет, локалнаой системой отопления BAXI. Туалет и ванная- отдельны. Отремонторована на 60 %. Поблизости- школы (автобус бесплатно возит детей), магазин, почта, работает транспорт (19 номер), остановка возле дома. С вопросами обращаться по телефону или пишите.*Շտապ վաճառվում է 4 սենյականոց բնակարան՝ Վանաձորի Տարոն 1 թաղամասում՝113 քմ մակերեսով: Շենքը երկրաշարժից հետո է կառուցվել: Բնակարանը գտնվում է 3-րդ հարկում, արևկող է, ունի 3 փակ պատշգամբ, ընդարձակ հյուրասենյակ և խոհանոց, մեծ ու փոքր ննջասենյակներ: Լոգարանն ու սանհանգույցը՝ առանձին: Ապահովված է կոմունալ բոլոր հարմարություններով: Ապրելու ենթակա վիճակում է: Ունի լոկալ ջեռուցման համակարգ: Վերանորոգված է 60 %-ով: Մոտ է տրանսպորտային կանգառին (19 համարի գիծ) :",Nov-25-2022_14-08,,,,,https://list.am/en/item/17375041,,,,,,
Stone,Yes,Not available,4,87 sq.m.,3,1,from 2.8 m,2,Open balcony,Available,Major Renovation,Lorri › Stepanavan,"$48,000",USD,"Comfortable apartment for saleQ. In Stepanavan (former Sos Sragsyan street) next to the park.The apartment is located in a residential building of a new building4/1 high floorArea 86.7 square meters2 roomsIt is capitally renovated, it is not inhabited.The floor is fully tiled, heatedAvailable:Heating SystemEuro windows are barredExterior door completely barredAll utilitiesGas, water, lightThe window sills are tiled with marble imported from Greece. The living room is partially furnished. The tiles of the whole house and the materials are mainly bought and imported from Europe. The bathroom together.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/16337341,,,,,,
Stone,No,Not available,5,63 sq.m.,3,1,from 2.7 m,5,Multiple balconies,,Major Renovation,Lorri › Vanadzor,"17,000,000 ֏",AMD,Newly renovated with furniture for sale.There is a plot of land with a concrete structure in the yard. With. 60-80 / 120 sq / m. Like:Translated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/14771288,,,,,,
Panels,No,Available,9,77 sq.m.,3,1,from 2.7 m,9,Open balcony,Not available,No Renovation,"Cherkasy street 1, Vanadzor","7,000,000 ֏",AMD,The building was reinforced after the earthquake with an anti-earthquake mechanism.Translated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/18134302,,,,,,
Stone,No,Not available,5,114 sq.m.,3,2,from 2.75 m,5,Multiple balconies,,No Renovation,"Chukhajyan street 36, Vanadzor","$22,000",USD,"2 adjoining apartments, 2 and 1 room, are for sale at 36 Chukhajian Street. Both apartments have niches, covered and open balconies. The apartments are located on the 5th floor of a 5-story stone building, they are bright and dry. There is also a storage - cellar built into the attic porch. Apartments are sold together. They are in good condition, the floor is parquet. They need repair. They have not been inhabited since 2001. There are no document problems. The price is negotiable. For details, call Vahe on Viberi numberTranslated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18312145,,,,,,
Stone,No,Not available,5,68 sq.m.,3,1,from 2.7 m,3,Open balcony,,Major Renovation,"Կարեն Դեմիրճյան փողոց 6, Վանաձոր","$43,000",USD,It is a beautiful and convenient apartment with all amenities. For sale only with property and equipment. Call for details. Negotiable for a real buyer. Karen Demirchyan 6/3Translated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/17821655,,,,,,
Stone,No,Not available,5,82 sq.m.,3,1,from 2.75 m,3,Closed balcony,Available,Partial Renovation,"Vardanants Street 49, Vanadzor","$67,000",USD,Doors and windows changed heating system top pole thick stone walls bedrooms in need of cosmetic repairsTranslated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/16560154,,,,,,
Stone,Yes,Not available,5,44 sq.m.,1,1,from 2.7 m,5,Open balcony,,Partial Renovation,"Sukhumi street 2, Vanadzor","$16,900",USD,"The apartment is located in Vanadzor city, Bazum district. With all utilities: Gas, electricity, water. The apartment is sold with furniture, the kitchen furniture is new. Iron front door, euro windows. Call on WhatsApp for detailsTranslated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18145871,,,,,,
Stone,Yes,Not available,5,37 sq.m.,1,1,from 2.8 m,2,Closed balcony,Available,Cosmetic Renovation,"Улица Ованнеса Туманяна 1/10, Ванадзор","$20,500",USD,Residential 2-storey sunny closed prison 2*6 emergencyTranslated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/17984018,,,,,,
Bricks,Yes,Not available,4,79 sq.m.,2,1,from 3 m,1,Not available,,Major Renovation,"Տարոն-4 թաղամաս 1, Վանաձոր","$37,000",USD,"A capitally renovated apartment is for sale. I will send the pictures of the whole house to the real buyer. It is pasture, it is not a damp house.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17699921,,,,,,
Stone,No,Not available,5,80 sq.m.,3,1,from 2.7 m,4,Closed balcony,Not available,Old Renovation,"Улица Мхитара Гераци 7, Ванадзор","$45,000",USD,"Улица Мхитара Гераци 7, Ванадзор. Рядом с 11 школи. Болшая уютная квартира.",Nov-25-2022_14-08,,,,,https://list.am/en/item/18352118,,,,,,
Stone,No,Not available,3,62 sq.m.,3,1,from 3 m,1,Closed balcony,,Partial Renovation,"Gr. Lusavorich St, Vanadzor","$38,000",USD,"Բնակարանը գտնվում է Վանաձորի շուկայի հարակից տարածքում: Առաջին հարկ: Դիրքը հարմար է կոմերցիոն գործունեություն իրականացնելու կամ որպես պահեստարան օգտագործելու համար: Երեք սենյակ, շուկայի տարածքում, «Թիֆլիս» ռեստորանին կից,առաջին հարկ, ընդհանուր մակերեսը 61.50 քառ/մ, ավտոտնակ 30 քառ/մհարմար է որպես պահեստարան կամ մանր արտադրության համար:",Nov-25-2022_14-08,,,,,https://list.am/en/item/9988073,,,,,,
Stone,Yes,Not available,5,70 sq.m.,3,2,from 2.8 m,1,Open balcony,Not available,Partial Renovation,"Rustavi street 7, Vanadzor","$19,000",USD,"The apartment is half renovated, has a basement, heating system. Do not write a message.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18072858,,,,,,
Panels,No,Available,9,81 sq.m.,3,1,from 3 m,7,Not available,,Major Renovation,"Tigran Mets Avenue 34, Vanadzor","$56,000",USD,"Exchange with a private house is possible.3-room apartment is for sale in the center of the city, Artsakh Park, on the 7th floor of a 9-storey building (Kodak building) The elevator works, permanent water, gas, electricity, all communal facilities, pasture, heating system, wooden parquet floor, living room.The apartment does not need renovation. It is possible with property!Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/13692793,,,,,,
Monolith,Yes,Not available,4,105 sq.m.,4,2,from 2.8 m,4,Open balcony,,Partial Renovation,"ГСК-4 20, Ванадзор","11,000,000 ֏",AMD,"A bright, sunny 4-room apartment with a basement is for sale URGENTLY in Taron-2 district. The building is located in the busiest and well-developed district. There is no problem with the roof of the building. Nearby there is a beautiful park, kindergartens, schools, polyclinic, gas station, gas station. It is close to the station. It is sold together with property and equipment for 11,000,000 drams.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17802413,,,,,,
Stone,No,Not available,5,135 sq.m.,4,1,from 2.75 m,3,Multiple balconies,,Old Renovation,"Улица Тпагричнери, Ванадзор","$65,000",USD,"Անհատական ջեռուցման համակարգ, նկուղ։ Գինը վերջնական է։",Nov-25-2022_14-08,,,,,https://list.am/en/item/17805844,,,,,,
Panels,No,Available,9,85 sq.m.,3,3+,from 2.8 m,5,Open balcony,,Cosmetic Renovation,Lorri › Vanadzor,"$49,000",USD,Bucks euro windows look at the big street Tigran is for saleTranslated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/16191479,,,,,,
Stone,No,Not available,5,74 sq.m.,3,1,from 2.7 m,3,Open balcony,Not available,Partial Renovation,Lorri › Vanadzor,"$19,500",USD,"Apartment in Gugark, fortified after the earthquake, on the 3rd floor of a 5-storey building, pasture, has an open balcony. Has a basement տարածք garage area (38 m) with a certificate of ownership.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/13132411,,,,,,
Stone,No,Not available,4,27 sq.m.,1,1,from 2.7 m,3,Open balcony,Not available,Major Renovation,"Agayan street 63, Vanadzor","800,000 ₽",RUB,It is being implemented urgentlyTranslated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/17643628,,,,,,
Stone,No,Not available,4,56 sq.m.,3,1,from 2.6 m,2,Closed balcony,,Partial Renovation,"Isahakyan street, Vanadzor","$21,000",USD,"An apartment converted from 2 to 3 rooms is for sale in Vanadzor, Dimats district, buildings in front of the Vayenkomat. 2nd floorThe pipes have been changed, partially repaired, the outer door is made of iron, the inner doors have been changed, and there is a backup system.It is a sunny, dry apartment.It has a large basement that can be converted into a garage.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18318070,,,,,,
Stone,No,Not available,5,105 sq.m.,4,1,from 2.5 m,4,Closed balcony,Available,Designer Renovation,"Tumanyan street 11, Vanadzor","25,000,000 ֏",AMD,The house is newly renovatedTranslated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/17537728,,,,,,
Stone,No,Not available,5,92 sq.m.,4,1,from 2.75 m,4,Multiple balconies,By agreement,Cosmetic Renovation,"Lazyan street 35, Vanadzor","23,000,000 ֏",AMD,"The apartment is located in the city center, next to VAN BOULANGE, bright, sunny, with all utilities, call for detailsTranslated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18267223,,,,,,
Bricks,Yes,Not available,4,66 sq.m.,2,1,from 2.8 m,1,Closed balcony,Not available,Partial Renovation,Lorri › Vanadzor,"7,000,000 ֏",AMD,"2-room apartment for sale in Vanadzor, Taron 4, storage room, basement, garage land, the land is in front of the building.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17756126,,,,,,
Stone,No,Not available,5,39 sq.m.,2,1,from 2.7 m,1,Not available,Not available,No Renovation,"Улица Газароса Агаяна 86, Ванадзор","$12,500",USD,Прадаетса 2 комнотная квартира. Ахаян 86. Падробности по телефону.,Nov-25-2022_14-08,,,,,https://list.am/en/item/18190839,,,,,,
Stone,No,Not available,5,41 sq.m.,2,1,from 2.7 m,5,Multiple balconies,Not available,No Renovation,"Արևելյան փողոց 26, Ստեփանավան","$15,000",USD,"The windows of the apartment are of European manufacture, the pipes and wires have been changed, it has constant hot and cold water; two balconies, basement, the roof is repaired, it is sunny. The apartment is also for rent.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18114571,,,,,,
Stone,No,Available,9,62 sq.m.,3,1,from 2.5 m,7,Open balcony,Available,Old Renovation,"Myasnikyan street 3, Vanadzor","1,800,000 ₽",RUB,"Девятиэтажка на пересечении улиц Мясникяна и Г. Люсаворич. Рынок, вещевой рынок, универмаг- в шаговой доступностиВо дворе- театр им. ОбелянаТребуется ремонт.",Nov-25-2022_14-08,,,,,https://list.am/en/item/18146103,,,,,,
Panels,No,Available,9,75 sq.m.,3,2,from 2.7 m,1,Open balcony,,Partial Renovation,"Isahakyan street, Vanadzor","10,000,000 ֏",AMD,"Isahakyan 4/2 - 3-room apartment on the first floor of an earthquake-resistant building. Large basement, large open balcony that can be converted into a separate large room, garage space in front of the house. High ceilings. It is a dry, bright big house. It is suitable for both residence and business activities. K. B. H. It is gasified, a tile and a heating turbo-stove are installed, electricity, water. We are also considering an exchange with a 1 or 2-room apartment, with an additional fee from the buyer.Price: 10 million drams.In order to see it, it is necessary to make an appointment in advance with the indicated phone number.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18132253,,,,,,
Stone,No,Not available,5,140 sq.m.,6,2,from 2.8 m,4,Open balcony,By agreement,Designer Renovation,"Ղազարոս Աղայանի փողոց 87, Վանաձոր","23,500,000 ֏",AMD,"Two-storey apartment, 4th and 5th floors connected. 4 spacious rooms turned into 6 rooms. It has 3 bedrooms, 2 bathrooms. There is a heating system, permanent hot-cold water, 500-liter water tank with individual pump (water pump) automated. The water pipes are changed, the roof is tiled with 2 open balconies with arches and barbecues.The building was fortified in 2002 (made by Usilit)There is a plot of land in the yard of the building.Call the mentioned phone numbers for details.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17456909,,,,,,
Stone,No,Not available,5,100 sq.m.,4,1,from 2.8 m,2,Open balcony,Available,Old Renovation,"Nairi street, Vanadzor","$36,000",USD,"Stone building, Czech project, 100 square meters, a large basement in the yard on which there is a possibility to build a garage, gas, electricity meter for day and night, there is also a water tank of 200 liters. With capacity. The house is completely renovated, at the moment it needs cosmetics, there are two large balconies next to the bedrooms and three built-in chulans (cladovka) For detailed information, call the indicated phone number.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18296005,,,,,,
Stone,No,Not available,5,90 sq.m.,4,1,from 2.8 m,5,Multiple balconies,,Partial Renovation,Lorri › Vanadzor,"$38,000",USD,"4 rooms for sale ․ Apartment in Vanadzor near the market. It is partially renovated, has 2 open and 1 closed balconies, it is a very warm։ apartment. Near the entrance there is also a (kladovka) For details, call the mentioned phone number.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17212734,,,,,,
Panels,No,Available,9,87 sq.m.,4,1,from 2.75 m,4,Closed balcony,,Old Renovation,"Խաչատուր Աբովյանի փողոց 1/1, Վանաձոր","$56,000",USD,"A spacious apartment is for sale in the city park area with partial property and equipment.Baxi system, water yard, built-in wardrobes are installed.All the utilities are available, the elevator has uninterrupted water for 24 hours.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17606940,,,,,,
Stone,No,Not available,5,59 sq.m.,2,1,from 2.5 m,2,Multiple balconies,By agreement,Old Renovation,"Tumanyan street 11, Vanadzor","$30,000",USD,"Բնակարանն ունի 2 սենյակ և նիշա: Արևկող է լուսավոր ու տաք: Գազաֆիկացված է, կա տաք և սառը ջուր:Ունի մառան (кладовка) : Գտնվում է Թումանյան 11 հասցեում, 6-րդ դպրոցի տարածքում: Մանրամասների համար զանգահարել նշված հեռախոսահամարներով:",Nov-25-2022_14-08,,,,,https://list.am/en/item/18043290,,,,,,
Stone,No,Not available,3,64 sq.m.,2,1,from 2.7 m,1,Open balcony,,Cosmetic Renovation,Lorri › Spitak,"$30,000",USD,"The apartment is located in Lori region, c. In Spitak, a little above the church, at 14 Suren Avetisyan Street. The apartment is in good condition. There is gas, water, baxi. 2 rooms, open balcony.A partially renovated basement is for sale with the apartment, which can serve as one room. Podval is included in the value of the house.URGENTTranslated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/16923108,,,,,,
Stone,No,Not available,4,36 sq.m.,2,2,from 3 m,1,Not available,,Cosmetic Renovation,"Ереванское шоссе 76, Ванадзор","6,000,000 ֏",AMD,"2-комн. Квартира, Ереванское шоссе, 36 кв. М. , высокие потолки, 1/4 этаж, каменное зданиеԲնականը գտնվում է Ք Վանաձորում Գլորիա ֆաբրիկայի դիմաց (էմտես) 2սենյակ, 1հարկ ցանկալի ե վերանորոգել լոգարանը և խոհանոցըTranslated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17706293,,,,,,
Panels,No,Available,9,75 sq.m.,3,1,from 2.7 m,8,Open balcony,,No Renovation,Lorri › Vanadzor,"5,400,000 ֏",AMD,"A 3-room apartment is for sale at 7 Amiryan street, on the 8th floor of a 9-story building. The apartment is in mint condition but ready for tiling. The rooms have a separate entrance, there is also a large open balcony. There is also a cellar at the entrance. For questions, call the indicated number. The price is negotiable.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18145068,,,,,,
Panels,No,Available,9,80 sq.m.,4,1,from 2.75 m,5,Open balcony,By agreement,Major Renovation,"Улица Черкаси 4, Ванадзор","16,000,000 ֏",AMD,"It is a very sunny and warm apartment, fully renovated (except for 1 room), heating boiler,constant hot and cold water, all water and sewer pipes replaced, electrical wiring completely replaced, each room with a separate fuse_switch. Negotiable, I will listen to an exchange offer with my own house or an apartment in Yerevan (with an additional fee from me)Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18255647,,,,,,
Panels,No,Not available,4,68 sq.m.,2,1,from 2.8 m,4,Multiple balconies,Not available,No Renovation,"Պրոմեթևսի փողոց 28, Ստեփանավան","$10,500",USD,The apartment needs renovation.Translated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/17787536,,,,,,
Stone,No,Not available,5,75 sq.m.,3,1,from 3 m,5,Closed balcony,,Partial Renovation,"Ղազարոս Աղայանի փողոց 87Ա, Վանաձոր","$26,500",USD,"Energy building 10 \ 18 apartmentUrgent!The apartment is located in Dimats district.Has all the utilities.Along with the price of the house, there is also a concrete garage at the back of the building. The house is not for sale separately.The price is not final.The exact price will be determined after liking (seeing) the house.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17227182,,,,,,
Stone,No,Not available,2,59 sq.m.,2,1,from 3 m,2,Not available,,Cosmetic Renovation,Lorri › Tashir,"$25,000",USD,"Apartment in good condition. It is located in the center of Karen Demrchyan: 3 buildings, 11 apartments.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18225253,,,,,,
Stone,No,Not available,4,64 sq.m.,4,2,from 2.8 m,3,Multiple balconies,,Partial Renovation,Lorri › Stepanavan,"$20,000",USD,"4-room apartment on the 3rd floor of a round building is for sale. All the rooms are bright, the floor is wooden (parquet) It is provided with a heating system, it has 2 balconies. The price is $ 20,000. Call for details, the price is negotiable.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17518491,,,,,,
Stone,No,Not available,4,55 sq.m.,3,1,from 2.5 m,1,Multiple balconies,By agreement,Designer Renovation,"Ղազարոս Աղայանի փողոց 63, Վանաձոր","$30,000",USD,Completely renovated with all amenities.Call the number for detailsTranslated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/17391038,,,,,,
Stone,No,Not available,5,35 sq.m.,1,1,from 2.7 m,1,Closed balcony,Available,Cosmetic Renovation,Lorri › Vanadzor,"$13,500",USD,"Вачарвум э 1.5 сеняканоц бнакаран (НИШАОВ) г. Ванадзор. (БАЗУМ) ул. Сохуми дом 14, 1-ий этаж. Уни патшгамб апакепатвац патуаннеров (еркатя решотка) размеры 2 * 6 м. Патшгамби так мец падвал. ТОРГИм эл. Почтан lernik.gevorkyan@yandex.ru",Nov-25-2022_14-08,,,,,https://list.am/en/item/8284160,,,,,,
Panels,No,Available,9,90 sq.m.,4,1,from 2.7 m,7,Closed balcony,,Cosmetic Renovation,"Գրիգոր Լուսավորչի փողոց 52/13, Վանաձոր","$45,000",USD,4-room apartment is for saleTranslated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/8339749,,,,,,
Stone,No,Not available,5,72 sq.m.,3,1,from 2.8 m,5,Closed balcony,By agreement,Euro Renovation,"Երևանյան խճուղի, Վանաձոր","$27,000",USD,"The apartment is located in front of the apartment, it is renovated, it has a basement, we can exchange it for a 1-room apartment, withTranslated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17723061,,,,,,
Stone,No,Not available,5,75 sq.m.,3,1,from 2.75 m,1,Multiple balconies,,Partial Renovation,Lorri › Vanadzor,"$25,000",USD,"3-room flat. It is residentialcan be used as an office or shop, on the street, the address is Aghayan 86 apartment 4 near the parkTranslated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17890511,,,,,,
Bricks,Yes,Not available,5,65 sq.m.,2,1,from 2.8 m,3,Open balcony,Not available,Partial Renovation,"Մեքենաշինարարների 46, Վանաձոր","6,500,000 ֏",AMD,The apartment is for sale together with the property. Taron 4:Translated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/17758886,,,,,,
Stone,No,Not available,5,45 sq.m.,1,1,from 2.7 m,2,Closed balcony,,Old Renovation,"Tumanyan street, Vanadzor","10,500,000 ֏",AMD,Bright and sunny apartment in the center. Price negotiableTranslated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/18215494,,,,,,
Stone,No,Not available,5,66 sq.m.,2,2,from 3 m,4,Open balcony,,Old Renovation,Lorri › Alaverdi,"$13,000",USD,"2-room apartment for sale in Sanahin Kayaran district, has 2 balconies, the building is near the schoolTranslated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17406736,,,,,,
Stone,No,Not available,5,42 sq.m.,1,1,from 2.5 m,3,Open balcony,,No Renovation,"Khudyakov street, Alaverdi","$10,000",USD,1 room apartmentTranslated from Armenian,Nov-25-2022_14-08,,,,,https://list.am/en/item/18086544,,,,,,
Stone,No,Not available,5,45 sq.m.,1,1,from 2.8 m,2,Not available,,Old Renovation,"Tumanyan street, Vanadzor","10,500,000 ֏",AMD,"Tumanyan 4/3, call for details, price is negotiableTranslated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18178478,,,,,,
Stone,No,Not available,2,140 sq.m.,5,2,from 2.8 m,2,Open balcony,,Old Renovation,Lorri › Stepanavan,"$27,000",USD,"The apartment is in good condition, call for detailsTranslated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17746259,,,,,,
Stone,No,Not available,5,85 sq.m.,3,1,from 3 m,3,Open balcony,Available,Designer Renovation,Lorri › Vanadzor,"$69,000",USD,"A 3-room apartment is for sale in the center of Vanadzor, in the printers district, near the apartment is the city hospital, the city park, and the city sports school. 85 square meters, the house is completely elegantly and qualitatively renovated, there is a bax system, there is an open balcony, the entrance door is of high quality, iron, a beautiful view opens from the balcony. The apartment is sold with furniture, the price is $76,000For more information call:Translated from Armenian",Nov-25-2022_14-08,,,PLayground,OUtdoor parking,https://list.am/en/item/16866699,,,,,,
Stone,No,Not available,5,694 sq.m.,3,1,from 2.75 m,4,Open balcony,,Old Renovation,"Rustavi street 5, Vanadzor","1,300,000 ₽",RUB,"The apartment is located on a sunny front, the rooms are bright, spacious, the floor is parquet.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17564680,,,,,,
Stone,No,Not available,5,65 sq.m.,3,1,from 2.75 m,5,Closed balcony,,Old Renovation,Lorri › Alaverdi,"9,000,000 ֏",AMD,"A three-room apartment for sale in In a five-story stone building in Alaverdi. The house is empty, there is no inhabitant; For more information call.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/18018724,,,,,,
Stone,No,Not available,5,80 sq.m.,3,1,from 2.7 m,1,Closed balcony,Not available,Old Renovation,"Isahakyan street, Vanadzor","8,000,000 ֏",AMD,"It is in good condition, a 15m lily pad has been added, it has a basementTranslated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/14043152,,,,,,
Stone,Yes,Not available,4,70 sq.m.,3,1,from 2.8 m,2,Not available,,Major Renovation,Lorri › Spitak,"$32,000",USD,"3-room apartment for saleWhite apartmentin the city (Shahumyan 1/6at: 2nd floor of a 4-storey buildingtaxation. Living area702, has a basement. Nearby there is school No. 3, a kindergarten and a supermarket open until late at nightpharmacy.Translated from Armenian",Nov-25-2022_14-08,,,,,https://list.am/en/item/17638316,,,,,,
