Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Amenities,Appliances,Window Views,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,The House Has,Parking,Links
Monolith,Yes,Available,8,44 sq.m.,2,1,from 2.7 m,5,Open balcony,,Euro Renovation,,,,,,,,,"Խաչիկ Մուրադյանի փողոց 11, Ծաղկաձոր","25,000 ֏ daily",AMD,"Сдаётся квартира в Цахкадзоре, Мори плаза. Сдаётся от собственника. Горячая вода, отопление. Имеются все удобства. Открывается красивый вид из балкона. Цена зависит от количества гостей а также в праздничные дни цены могут меняться.",Nov-24-2022_16-44,,,https://list.am/en/item/17920049
Stone,Yes,Available,11,33 sq.m.,1,1,from 3 m,9,Not available,,Designer Renovation,,,,,,,,,Kotayk › Tsakhkadzor,"20,000 ֏ daily",AMD,"A one-room apartment is for daily rent in Tsakhkadzor, which has all its amenities. It has one bedroom, a living room, a bathroom. It is designed for 4 people. You can call the mentioned phone numbers for details.Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/17169271
Stone,Yes,Not available,2,100 sq.m.,7,1,from 3 m,2,Not available,,Major Renovation,,,,,,,,,Kotayk › Hrazdan,"100,000 ֏ monthly",AMD,"The apartment is in very good condition. There is a big garden with different trees. There is also drinking water in the village. There is a school, a kindergarten and a lot of sights.Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/17619789
Monolith,Yes,Available,8,38 sq.m.,1,1,from 2.7 m,1,Open balcony,Available,Designer Renovation,,,,3,Yes,Yes,Included,By Agreement,"Խաչիկ Մուրադյանի փողոց 11, Ծաղկաձոր","18,000 ֏ daily",AMD,"I offer a pleasant rest in the comfortable apartment of the newly built Mori-Plaza complex in Tsakhkadzor.The apartment is located 1.5 km away from the center. It is a one-room beautifully renovated furnished apartment, which has all the amenities, including a kitchen, equipped with all the necessary utensils. The apartment is provided with hot and cold water. It is designed for a maximum of 4 people (there is an opening sofa) It has a balcony, from which a beautiful forest view opens, it has a separate entrance.Nearby is a sports complex with a large swimming pool, which can also be used.A pleasant surprise awaits the newlyweds.Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18002031
Monolith,Yes,Available,12,80 sq.m.,3,1,from 3 m,9,Multiple balconies,Available,Major Renovation,,,,6,Yes,Yes,Not included,2 months,Kotayk › Tsakhkadzor,"$1,000 monthly",USD,"Օրավարձով է տրվում գեղեցիկ դիզայնով բնակարան նորակառույց շենքում• 2 ննջարան,• հյուրասենյակ,• Կահույք, տեխնիկա• Սպասք, անկողնային պարագաներ,• ինտերնետ wi-fi,3 սենյակ - 80 m2 – 9/12հարկԿարող է տեղավորել մինչև 6 անձԱնցկացրեք ձեր հանգիստը գեղատեսիլ Ծաղկաձորում։Ամրագրելու համար զանգահարել նախապես:_Красиво оформленная квартира сдается посуточно в новостройке.• 2 спальня,• гостинная,• Мебель, техника• Посуда, постельное белье,• wi-fi интернет,3 комнаты - 80м2 – 9/12 эт.Вмещает до 6 человекПроведите отпуск в прекрасном Цахкадзоре.Звоните заранее, чтобы сделать заказ._An apartment with amazing design is for daily rent in the newly built.• 2 bedroom• Furniture, equipment• Kitchenware, bedding• Playground• Wifi internet• 3 rooms of 80sq m, 9 floor of 12.• For up to 6 peopleArrange your rest in picturesque Tsaghladzor.Please call for reservations",Nov-24-2022_16-44,,,https://list.am/en/item/17533795
Stone,No,Not available,5,63 sq.m.,3,1,from 2.75 m,5,Not available,,Euro Renovation,,,,4,Yes,No,Not included,1 month,Kotayk › Tsakhkadzor,"300,000 ֏ monthly",AMD,"Furnished, with all necessary equipment and property, completely renovated and clean. With hot and cold water, WiFi. On the 5th floor of 5 of the stone building. It is located in the very center of Tsaghkadzor. Nearby: Supermarkets, shops, cafes, banks.Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18367589
Monolith,Yes,Available,12,36 sq.m.,1,1,from 3 m,2,Open balcony,Available,Designer Renovation,,,,3,Yes,Yes,Included,Without prepayment,Kotayk › Tsakhkadzor,"20,000 ֏ daily",AMD,"A 1-room apartment is for rent in a newly constructed building in Tsaghkadzor. Discounts apply on weekdays and in case of renting for more than 4 days. The apartment has a smart TV, a refrigerator, a gas refrigerator, a folding sofa, a double bed, hot and cold water. Zipline, Kecharis Church are located nearby. Tsakhkadzor TsakhkadzorTsakhkadzor TsakhkadzorKechi house. Alvina complex. Zipline panorama Dilijan Aghveran JermukCode TsakhkadTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/17115721
Monolith,Yes,Available,9,25 sq.m.,1,1,from 3 m,6,Open balcony,Available,Designer Renovation,,,,2,Yes,Yes,Included,Without prepayment,Kotayk › Tsakhkadzor,"20,000 ֏ daily",AMD,"Օրավարձով վարձով է տրվում 1 սենյականոց բնակարան Ծաղկաձորում նորակառույց շենքում։Հեռավորությունը՝Կեչառիս եկեղեցուց -500մԿենտրոնից - 800մԱպարտամենտում առկա են՝Երկտեղանոց մահճակալԱնկողինՍրբիչՍառնարանԼվացքի մեքենաՍալօջախԹեյնիկՍպասքՖենՀիգիենայի պարագաներՀեռուստացույց + Wi-FiԾախկաձորՀարմար է ընտանիքով հանգստի համար ։ԾախկաձորումСдаётся 1 комнатная квартира в Цахкадзоре в новом комплексе, на 6 этаже.Комплекс расположен в 3 минутах езды от центра города и в 5 минутах езды от горнолыжных подъёмников, а также 300м от Казино Шангри Ла.В комнате есть двухместная кровать, раскладной диван, Smart Телевизор, Wi-Fi, холодильник, стиральная машина, электрическая плита, чайник и вся необходимая кухонная посуда. Постельное бельё, полотенца, шампунь, и т. Д. , отопление и горячая вода.К услугам гостей бесплатная парковкаRent apartment TsaxkadzorՕրավարձով Kechi HouseЦахкадзор",Nov-24-2022_16-44,,,https://list.am/en/item/17920094
Monolith,Yes,Available,12,33 sq.m.,1,1,from 3 m,7,Open balcony,Available,Designer Renovation,,,,3,Yes,Yes,Not included,Without prepayment,Kotayk › Tsakhkadzor,"250,000 ֏ monthly",AMD,Apartment for rent in Tsaghkadzor with all utilities. The apartment has all the basic necessities. The apartment is located in a newly constructed building. Tsakhkadzor.Owner! TsakhkadzorTranslated from Armenian,Nov-24-2022_16-44,,,https://list.am/en/item/17611055
Monolith,Yes,Available,11,32 sq.m.,1,1,from 3 m,7,Open balcony,Available,Designer Renovation,,,,3,Yes,Yes,Included,Without prepayment,Kotayk › Tsakhkadzor,"20,000 ֏ daily",AMD,"Apartment for rent in a newly built building in Tsaghkadzor. The apartment has all the basic necessities: Towels, plates, iron, hair dryer, pots. Operates 24 hours. Tsaghkadzor Kechi house.500 meters from the ziplineKecharis Church 800 metersMulti-rest 400 mShangri-La 400 mTsakhkadzorTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18262292
Stone,Yes,Not available,1,20 sq.m.,1,1,from 2.7 m,1,Not available,Available,Major Renovation,,,,2,Yes,Yes,Included,1 month,"2nd Street 34, Aramus village","100,000 ֏ monthly",AMD,"Newly built building in Aramus village, 1 bedroom, refrigerator, Wi-Fi, fully furnishedTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/15753110
Stone,Yes,Available,12,35 sq.m.,1,1,from 3 m,7,Closed balcony,Available,Major Renovation,,,,4,Yes,No,Not included,By Agreement,"Олимпийская улица, Цахкадзор","370,000 ֏ monthly",AMD,"С 25 декабря сдаётся на длительный срок или посуточно новая стильная/дизайнерская уютная квартира/студия 35 кв. М с высокими потолками с видом на живописные горы в новом ЖК КЕЧИ ХАУЗ, который находится в самом живописном месте горнолыжного курорта Цахкадзор, около Главного спортивного комплекса. Расстояние от Еревана 50 км, от канатной дороги/подьемников 1 км, в 10 минутах ходьбы от монастыря XI-XIII веков Кечарис. 3-4 минуты езды до центра, где магазины и множество отличных кафе и ресторанов.Студия обставлена всей необходимой мебелью и техникой. Шкаф-гардеробная, двуспальная кровать, раскладной диван-кровать, встроенный кухонный гарнитур, холодильник, стиральная машина, варочная панель, смарт-телевизор, скоростной WI-FI, постельное белье и полтенца, шампунь/гель/мыло, фен, комплект посуды. Бесплатная парковка на территории комплекса. Продуктовый магазин на первом этаже.Круглосуточная охрана.Сбор за уборку (для длительного срока) оплачивается отдельно (минимальная плата)Посуточная оплата- 20000 драм30000 драм (январь)Арендная плата за 1 месяц - 370000 драм (за январь) + коммунальные платежи.*Максимальное число гостей - 3 или 2 взрослых/2 детей до 14 лет.При длительном сроке аренды- залог в размере месячной арендной платы.! Запрещено- Курить и проводить шумные мероприятия!",Nov-24-2022_16-44,,,https://list.am/en/item/17508650
Monolith,Yes,Available,12,62 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"Ծաղկաձոր քաղաքի բարձրադիր և անտառապատ վայրում նորակառույց Կեչի Հաուս համալիրում տրվում է օրավարձով երկու սենյականոց բնակարան առանձին ննջասենյակով (նախատեսված 3-4 հոգու համար՝ առկա է բացվող բազմոց), կաբելային հեռուստատեսություն և ինտերնետ, լվացքի մեքենա ու բոլոր անհրաժեշտ պարագաները Ձեր բարձրակարգ հանգիստը կազմակերպելու համար: Բնակարանը գտնվում է Ծաղկաձորի Կեչառիս եկեղեցիից ոչ հեռու ։ Առկա են բոլոր հարմարությունները ձեր հաճելի հանգիստը կազմակերպելու համար ։Квартира находится рядом с церковью Кечарис. Квартира недавно отремонтирована в 2022г. Имеется двуспальная кровать, а так же в основной комнате установлен диван-кровать. Предусмотрены все удобства для полноценного проживания.-Apartment for rent (for 3-4persons) in the Tsaghkadzor, near the church Kecharis. The apartment is newly (2022) There is a bedroom for two, and a sofa for two persons.Կոդ Kechi",Nov-24-2022_16-44,,,https://list.am/en/item/18266084
Monolith,Yes,Available,8,52 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"(WITHOUT INTERMEDIARY)Suit Rest Tsaghkadzor invites newlyweds (and not only) to spend your vacation in this newly built apartment.* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* there are 3 elevators 3 elevators* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zipline, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The guest houseDaily wageNew constructionA buildingComplexRestTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18204024
Monolith,Yes,Available,8,52 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"(WITHOUT INTERMEDIARY)Suit Rest Tsaghkadzor invites newlyweds (and not only) to spend your vacation in this newly built apartment.* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* there are 3 elevators 3 elevators* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zip line, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The guest houseDaily wageNew constructionA buildingComplexRestBy diaryAlvinaCode AlvinaTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18266137
Monolith,Yes,Available,12,62 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zip line, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The apartment is located near the church of Kecharis. The apartment was recently renovated in 2022. There is a double bed, and a sofa bed is installed in the main room. All amenities are provided for a full-fledged stay.-Apartment for rent (for 3-4 persons) in the Tsaghkadzor, near the church Kecharis. The apartment is new (2022) There is a bedroom for two, and a sofa for two persons.Code KechiTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18267172
Monolith,Yes,Available,12,63 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* there are 3 elevators 3 elevators* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zip line, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The apartment is located near the church of Kecharis. The apartment was recently renovated in 2022. There is a double bed, and a sofa bed is installed in the main room. All amenities are provided for a full-fledged stay.-Apartment for rent (for 3-4 persons) in the Tsaghkadzor, near the church Kecharis. The apartment is new (2022) There is a bedroom for two, and a sofa for two persons.Code KechiTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18271036
Monolith,Yes,Available,8,52 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"(WITHOUT INTERMEDIARY)Suit Rest Tsaghkadzor invites newlyweds (and not only) to spend your vacation in this newly built apartment.* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* there are 3 elevators 3 elevators* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zipline, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The guest houseDaily wageNew constructionA buildingComplexRestTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18079002
Monolith,Yes,Available,12,62 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* there are 3 elevators 3 elevators* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zip line, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The apartment is located near the church of Kecharis. The apartment was recently renovated in 2022. There is a double bed, and a sofa bed is installed in the main room. All amenities are provided for a full-fledged stay.-Apartment for rent (for 3-4 persons) in the Tsaghkadzor, near the church Kecharis. The apartment is new (2022) There is a bedroom for two, and a sofa for two persons.The house is located in Tsakhkadzor.Code KechiTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18271066
Monolith,Yes,Available,8,52 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"(WITHOUT INTERMEDIARY)Suit Rest Tsaghkadzor invites newlyweds (and not only) to spend your vacation in this newly built apartment.* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* there are 3 elevators 3 elevators* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zip line, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The guest houseDaily wageNew constructionA buildingComplexRestNew constructionCode AlvinaTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18271067
Stone,No,Available,8,85 sq.m.,3,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,7,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"35,000 ֏ daily",AMD,"(WITHOUT INTERMEDIARY)* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 2 bedrooms (double bed)* If you book 3 days or more, there will be significant discounts* suitable for family vacations* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 6-8 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zip line, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The guest houseDaily wageNew constructionA buildingComplexRestCode AlvinaTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18352046
Monolith,Yes,Available,8,52 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"(WITHOUT INTERMEDIARY)Suit Rest Tsaghkadzor invites newlyweds (and not only) to spend your vacation in this newly built apartment.* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* there are 3 elevators 3 elevators* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zip line, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The guest houseDaily wageNew constructionA buildingComplexRestCode Alvina1Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18352062
Monolith,Yes,Available,8,52 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"(WITHOUT INTERMEDIARY)Suit Rest Tsaghkadzor invites newlyweds (and not only) to spend your vacation in this newly built apartment.* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* there are 3 elevators 3 elevators* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zip line, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The guest houseDaily wageNew constructionA buildingComplexRestCode AlvinaTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18284510
Monolith,Yes,Available,12,52 sq.m.,1,1,from 3 m,1,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"(WITHOUT INTERMEDIARY)Suit Rest Tsaghkadzor invites newlyweds (and not only) to spend your vacation in this newly built apartment.* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* there are 3 elevators 3 elevators* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zipline, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The guest houseDaily wageNew constructionA buildingComplexRestCode AlvinaTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/17311073
Monolith,Yes,Available,12,62 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"20,000 ֏ daily",AMD,"* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* there are 3 elevators 3 elevators* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zipline, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The apartment is located near the church of Kecharis. The apartment was recently renovated in 2022. There is a double bed, and a sofa bed is installed in the main room. All amenities are provided for a full-fledged stay.-Apartment for rent (for 3-4 persons) in the Tsaghkadzor, near the church Kecharis. The apartment is new (2022) There is a bedroom for two, and a sofa for two persons.Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18334606
Panels,No,Available,9,62 sq.m.,2,1,from 2.5 m,7,Closed balcony,Available,Euro Renovation,"TElevision, parking space","FRidge, microwave, washing machine, water heater","YArd view, street view, city view",2,Negotiable,No,Not included,Without prepayment,"3rd microdistrict 5, Abovyan","230,000 ֏ monthly",AMD,"Имеется холодная и горячая вода, находится вблизи магазин, кафе, больницы, автобусной стоянки, церкви, лифт работает. Есть паровое отопление.",Nov-24-2022_16-44,PLayground,OUtdoor parking,https://list.am/en/item/17934073
