Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Facilities,Appliances,Links,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities
House,Monolith,130 sq.m.,2,5,3+,Not available,2 spots,No Renovation,334 sq.m.,Kotayk › Tsakhkadzor,"$180,000",USD,"For sale are 2 private houses under construction in a unique style, which will be ready in a few months. The apartments have a beautiful view, are sunny and are in a very convenient location. The apartments are separated from each other by a wall on 4 sides. The building is monolithic, with two walls, only high-quality building materials are used. The apartments will be delivered as planned for the building. With permission and pictures attached. The exterior works are completely done, water and electricity have been drawn, and sewerage has been installed. The apartments will have solar energy, which will be used for heating. Actual utility costs will be free (except for water) The yard has parking space for 2-3 cars. In the yard, there is a barbecue, an outdoor kitchen, a pavilion for 20 people, and there is a rest area next to it. The courtyard also has a uniquely styled seating area around an outdoor fireplace. On the first floor of the apartments there is a living room, a kitchen and a bathroom, on the second floor there are 3 bedrooms, one of which has its own bathroom, there is also 1 separate bathroom for a total of two bedrooms. All bedrooms have an open balcony with a beautiful view.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18255395,,,,,,
House,Monolith,180 sq.m.,2,7,2,,2 spots,No Renovation,301 sq.m.,Kotayk › Kasagh,"$300,000",USD,"For details, call the indicated phone numberTranslated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17611060,,,,,,
House,Stone,4700 sq.m.,3,6,2,,,Partial Renovation,"10,000 sq.m.","Sportain street, Nor Hachin","$300,000",USD,For more information call:Translated from Armenian,Nov-24-2022_23-08,,,,https://list.am/en/item/17235681,,,,,,
House,Stone,300 sq.m.,2,4,2,Available,2 spots,Major Renovation,200 sq.m.,"1st Street 150, Zovuni","1,100,000 ֏",AMD,"2-storey private house for rent with all utilities, urgent negotiation with 1 month depositTranslated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17418985,,,,,,
House,Stone,160 sq.m.,2,4,2,Not available,1 spot,Cosmetic Renovation,250 sq.m.,"Zovuni 16 street, Zovuni","$95,000",USD,A cosmetically renovated stone house is for sale. Urgently negotiableTranslated from Armenian,Nov-24-2022_23-08,,,,https://list.am/en/item/18002266,,,,,,
Country House,Stone,55 sq.m.,2,2,2,Available,Not available,Partial Renovation,500 sq.m.,"Այգեգործների փողոց 159, Նուռնուս","$35,000",USD,"Summer house for sale in Nurnus, 1 line, 100 meters from the highway, which is completely asphalted up to the summer house, has 1 living room, kitchen and bathroom on the 1st floor, 1 bedroom and an open balcony on the 2nd floor. The Summer House has a beautiful fruit garden, electricity, drinking and irrigation water, and the gas pipe runs past the Summer House.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18350017,,,,,,
House,Stone,280 sq.m.,2,7,3+,Not available,Not available,No Renovation,510 sq.m.,"7-րդ միկրոշրջան 11, Աբովյան","$129,000",USD,"URGENT. A three-storey, fenced stone house is for sale, c. Abovyan, in the beginning of the 7th micro-district, adjacent to the 1st line, two-way road, the area of each floor of the house is 110 square meters, plus the third floor of the attic is 70 square meters. The walls are double, the roofs are monolithic, one meter above the ground, a solid building, the end is November 10, 2021. All the utilities are connected. There are no partitions, windows or doors. The roof and wall works are completed. If you wish, we can organize unfinished cosmetic works, after the final completion it will be $ 600 per square meter. In this area only the price of land fluctuates in the range of 25-30 thousand dollars. Negotiable. Do not call meaningless.It is possible to exchange with the apartment for an additional fee.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17773853,,,,,,
House,Stone,170 sq.m.,1,5,1,Not available,2 spots,No Renovation,1000 sq.m.,Kotayk › Nor Geghi,"$45,000",USD,"A one-story private house is for sale on the first line of Nor Gegh road. Residential 170 square meters, 1000 square meters garden. There is water, electricity, gas. The house is subject to repair, it has entrances from 2 sides.Code 3384Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18301118,,,,,,
House,Stone,170 sq.m.,1,5,3+,Not available,2 spots,No Renovation,800 sq.m.,"Gevorg Chaush street, Yerevan","$75,000",USD,"Newly built private house for sale in Proshyan, has 4 bedrooms, living room, kitchen, 3 bathrooms. It has a basement. It has a beautiful tosaran from Masis to Aragats. It is a very solid structure, only real buyers should call.Code 3567Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18301115,,,,,,
House,Stone,250 sq.m.,2,5,1,Not available,2 spots,Old Renovation,1600 sq.m.,Kotayk › Hatsavan,"$85,000",USD,"A private house for sale in Hatsavan at a price lower than the urgent market price, 2 buildings, 1600 sq. M. Orchard ․ Has 4 bedrooms, living room, entrance hall, kitchen, bathroom, large basements, swimming pool in the yard ․ Auxiliary structure in the yard, suitable for any business purpose, or can be used as a house, and 2, 3 car garage ․ Beautiful view to Mount Ararat ․ There is permanent drinking water, gas, electricity ․The price is a bit negotiable ․Code 5124Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17751496,,,,,,
House,Stone,300 sq.m.,3,5,2,Available,2 spots,Major Renovation,500 sq.m.,Kotayk › Dzoraghbyur,"$47,000",USD,"A three-story summer house for sale in Dzoraghbyur, each floor is 120 square meters, 500 square meters of garden. The summer house is fully renovated, has 2 bathrooms, 5 bedrooms, living room, kitchen, basement, storage room, open terrace, open balcony with a beautiful view. There is irrigation water, electricity, no drinking water, but there is a possibility, also a possibility of gas.The price is a little negotiable.Code 3688Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18086563,,,,,,
House,Stone,450 sq.m.,3,8+,3+,Not available,1 spot,No Renovation,600 sq.m.,Kotayk › Jrvezh,"$55,000",USD,"Urgent three-storey half-built private house for sale in Jrvezh summer house, near the bus stop, 450 sq. M. Residential, 900 sq. M. Garden ․ The communicators are close to ․Code 1463Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17782704,,,,,,
House,Stone,120 sq.m.,2,4,2,,,Partial Renovation,238 sq.m.,Kotayk › Zovuni,"$100,000",USD,"URGENT!Attention.A newly built two (2) storey private house is for sale in the area near the military unit adjacent to Davitashen.Davitashen ""City"" supermarket is only 2.5 km from the house.The house is built of tuff stone, on a very solid foundation.Wall thickness - two rows.️The covers are monolithic.On the first floor of the house:Dining room;️ kitchen;bathroom;GarageOn the second floor of the house:Three bedrooms (3)BathroomOpen balcony️Under the roof of the house, a high attic, which you can use as a playroom, entertainment zone, a large room, or divide it into rooms according to your wish.️The entrance area of the house is tiled with travertine stone.️The area in front of the balcony and the entrance is bordered by bulavas.️The clean decoration of the walls inside the house (plaster/plaster) is finished.Euro windows (metal-plastic)️ All electrical installations have been completed.Water is in the house.Sewage.The total area of the two floors of the house is 120 square metersThe dimensions of the house are 6x10Total plot area: 238 square meters.All stages of construction are painted.Call to talk, I'll send you a message, viber.️I will exchange it with a 2-room apartment, with an additional fee from you.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/16660302,,,,,,
House,Monolith,160 sq.m.,2,5,2,,,Partial Renovation,800 sq.m.,Kotayk › Nor Hachen,"$180,000",USD,"A private house is for sale in the adjacent area of Nor Hachn. The house is two-story, the living area of each floor is 155 square meters. The house also has a basement. On the 1st floor, there is a summer kitchen, rooms, a basement room, a garage, and a summer bathroom. The 2nd floor is residential with a high-quality heating system, it has sewage, irrigation, drinking water, telephone, internet, and the 1st and 2nd floors are gasified. 4 bedrooms, 1 office, kitchen and a large living room.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18037784,,,,,,
Country House,Stone,500 sq.m.,3,3,1,By agreement,2 spots,Old Renovation,,Kotayk › Nurnus,"$30,000",USD,"3-storey summer house for sale in Nurnus (20 km from Yerevan)with its 500 sq / m irrigated land, fruit trees. Adjacent to the asphalt roadI will also exchange it with a carDacha dom zagorodom, with a view of the canyon (beautiful view to the gorge)Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/11563918,,,,,,
Country House,Stone,120 sq.m.,3,3,1,By agreement,2 spots,Old Renovation,500 sq.m.,Kotayk › Nurnus,"$30,000",USD,"Private house (dacha) in Nurnus, first line (next to the asphalt) Orchard, irrigation water, Soviet overhaul. It needs to be renovated in order to live, we will agree on the price after seeing you.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17614678,,,,,,
Country House,Stone,120 sq.m.,3,4,1,By agreement,1 spot,Partial Renovation,500 sq.m.,Kotayk › Dzoraghbyur,"$39,000",USD,"Շտապ!Վաճառվում է ամառանոց/առանձնատուն Ձորաղբյուրի ամառանոցային հատվածում։ Առանձնատան մակերեսը՝ 120քմ, հողատարածքը՝ 525քմ։ Առանձնատունը եռահարկ է, տուֆից, առաջին հարկը՝ չնորոգված, երկրորդ հարկում՝ վերանորոգված հյուրասենյակ է, ԲՈՒԽԱՐԻՅՈՎ, մանրահատակով, երրորդ հարկում՝ մանսարդային մեծ ննջասենյակ, (կրկին մանրահատակով), որը կարելի է դարձնել երկու ննջասենյակ։ Բաղնիք/պետքարանը միասին է, հին վերանորոգումով, գտնվում է առաջին հարկում, բակում կա ծածկով ավտոկայանատեղի։ Առաջին և երկրորդ հարկերի պատուհանները փոխված են, տեղադրված են բարձրորակ եվրոպատուհաններ։ Երրորդ հարկից երևում են Արագածը, Արան ու Հատիսը, գեղեցիկ, խաղաղ ու ներդաշնակ տեսարան։ Այգում կան պտղատու ծառեր՝ ծիրանենի, խնձորենի, կեռաս, բալ, յասամաններ։Խմելու ջուր և գազ առայժմ ՉԿԱ, կա՝ հոսանք և ոռոգման ջուր։ Տեղադրված են՝ 3,5; 1,5; 0,5 տոննա ջրի բաքեր, վերջինը՝ երկշերտ, նախատեսված՝ ԽՄԵԼՈՒ ջրի համար, սերտիֆիկատով։Ամառանոցը գտնվում է հիմնական ճանապարհից 1,5 կմ հեռավորության վրա, ամառանոց չհասած, 200 մետր ճանապարհը գրունտային է: Ձմռանը՝ բարձր ավտոմեքենա ունենալու դեպքում հասանելի է։ Ամառանոցը սեփականաշնորհված է։Արժեքը՝ սակարկելի։Շնորհակալություն՝ Ձեր ժամանակի, և ուշադիր կարդալու համար։Текст на русскомПродается собственный дом/дача, 3 этажный, 132квм. На первом этаже можно построить летнюю кухню, на втором этаже отремонтированная светлая большая гостиная с камином, на третьем этаже мансардная комната, из которой можно получить две спальни. Окна на первом и втором этаже заменили на европейские.Ванная комната на первом этаже. Во дворе есть стоянка с укрытием. 500кв. М. Сад с фруктовыми деревьями: Абрикосы, вишня, черешня, яблоки, груши, сливи, виноград.От центра города 16 километров.Ключевые слова:Дом, дача, участок, загородный дом, бюджетный дом",Nov-24-2022_23-08,,,,https://list.am/en/item/16656304,,,,,,
House,Stone,180 sq.m.,2,4,2,,,Partial Renovation,800 sq.m.,"Dzagavank 2nd lane, Առինջ գյուղ","$115,000",USD,Call for all details.Translated from Armenian,Nov-24-2022_23-08,,,,https://list.am/en/item/17842860,,,,,,
House,Stone,450 sq.m.,2,6,2,,,Cosmetic Renovation,450 sq.m.,"Առինջի 2-րդ փողոց 6, Առինջ","66,150,000 ֏",AMD,"A detached house for sale in Arinj, a two-story stone building with an orchard.Total land: 430 square metersThe area of the building is 243 square metersIt has a garage, an open balcony of 24 square meters--The apartment is shown after signing the mediation contract. Appear only with an identity document.Agency commission is 2%.--An exhibition contract is signed for exhibitions. Please have an identity document with you.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18015403,,,,,,
Country House,Stone,95 sq.m.,1,3,1,Not available,Not available,Old Renovation,500 sq.m.,Kotayk › Teghenik,"$25,000",USD,"Каменный дом с старым ремонтом. Площадь земли 500 кв. М, плодовые деревья. Заброшенная дача. Абовянский район",Nov-24-2022_23-08,,,,https://list.am/en/item/18226627,,,,,,
House,Stone,200 sq.m.,3,6,2,,Not available,Old Renovation,3500 sq.m.,Kotayk › Hatsavan,"$60,000",USD,Call for details. The house needs repairs.Translated from Armenian,Nov-24-2022_23-08,,,,https://list.am/en/item/18135898,,,,,,
House,Stone,700 sq.m.,1,1,1,Not available,Not available,No Renovation,560 sq.m.,Kotayk › Jraber,"$35,000",USD,"Located on 2 streets, has irrigation water, drinking water, fruit treesTranslated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17637228,,,,,,
House,Stone,200 sq.m.,3,4,2,,,Euro Renovation,1300 sq.m.,"Մուշ 8-րդ փողոց 1, Քասախ","$250,000",USD,For more information call.Translated from Armenian,Nov-24-2022_23-08,,,,https://list.am/en/item/17647762,,,,,,
House,Stone,424 sq.m.,2,4,1,Not available,3 or more spots,Old Renovation,2100 sq.m.,Kotayk › Charentsavan,"$60,000",USD,"I am selling a two-storey private house in Alapars village of Kotayk region. The private house is located 《thirty-five km from Yerevan։.Suitable for dacha, has gas, water, electricity. The house is very sunny.It is possible to live in an apartment at the moment. For details, please call the mentioned phone numbers.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/16956194,,,,,,
House,Stone,97 sq.m.,2,4,1,,,Partial Renovation,1000 sq.m.,Kotayk › Mrgashen,"$60,000",USD,"Own house for sale 8 km from Davtashen.Fruit production. General The area is 97 square meters, kitchen: 28 square meters, stone garage, san loop, boiler room, 1000M plot of land. Price: $60,000Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/16507539,,,,,,
House,Stone,110 sq.m.,2,4,2,Available,1 spot,Cosmetic Renovation,150 sq.m.,Kotayk › Zovuni,"$81,500",USD,"Ունի բակսի համակարգ, եվրո լուսամուտներ, բոլոր հոսանքի լարերը պղինդ 150 կարակուսի հողի վրայա սարգաց",Nov-24-2022_23-08,"ELectricity, water supply, natural gas, sewerage",,,https://list.am/en/item/18347823,,,,,,
Country House,Stone,500 sq.m.,2,5,1,,,Partial Renovation,410 sq.m.,Kotayk › Dzoraghbyur,"$45,000",USD,"The building is three-storey, on the first floor there is a parking space for 2 cars, a basement and a bathroom. The second floor is renovated and has a bedroom, kitchen and living room. The third floor is not renovated, there are two large rooms. Third floor entrance from outside. The building has 4 balconies. The garden has three floors. A yard of irrigation water is 6 tons. There is no drinking water. Not gasified.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18037314,,,,,,
House,Panels,259 sq.m.,1,3,1,Available,3 or more spots,Partial Renovation,,"9-րդ փողոց 80, Զովունի","$55,000",USD,"In Zovuni, 9 street, house 80, apt. 4, one of the 1/2 of any floor of private house is for sale, 2 bedrooms, hall, kitchen, bathroom on each floor, sewerage, drinking water, gas, electricity, with all communal facilities. For sale very urgently, details by phone. Karine... We will agree on a price...Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/15695097,,,,,,
House,Panels,259 sq.m.,1,3,1,Available,3 or more spots,Major Renovation,,"9-րդ փողոց 80, Զովունի","$55,000",USD,"In Zovuni, 9 street, house 80, apt. 4, one of any floors of one / two-storey private house is for sale, 2 bedrooms, hall, kitchen, bathroom on each floor, sewerage, drinking water, gas, electricity, with all communal facilities. For sale very urgently, details by phone. Karine. We will agree on a priceTranslated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/15695225,,,,,,
Country House,Monolith,90 sq.m.,2,3,2,,,Major Renovation,1600 sq.m.,"Marshal Babajanyan street, Երևան","$142,000",USD,For more information callTranslated from Armenian,Nov-24-2022_23-08,,,,https://list.am/en/item/17905479,,,,,,
House,Monolith,220 sq.m.,2,4,2,Available,3 or more spots,Designer Renovation,1200 sq.m.,"Bagrevand 46 street, Yerevan","$550,000",USD,"The house is built according to the project. It has all the necessary connections: Gas, water, electricity. Trying to lower the price will make it more expensive. ️Please do not bother the agents and do not try to contact them, as well as do not hold a base, otherwise we will meet in court.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18225264,,,,,,
House,Panels,75 sq.m.,1,4,1,,,No Renovation,270 sq.m.,Kotayk › Kasagh,"45,000,000 ֏",AMD,"Newly built private house in Mush district + gift: FREE installation of solar system.Two-storey and one-storey newly built private houses are for sale in Mush district.The private houses are located in Kasakh, near Davtashen (Melkumov street) and Ajapnyak communities, at a distance of 200-500 meters, behind the ""Red Cross"".The private houses do not have attached walls, they are fenced.The private houses are built of double tuff stone, 1-storey (75-100 sq. M. + 93-120 sq. M. Used roof) and 2-storey (155-180 sq. M. + 93-120 sq. M. Used roof) (+ concrete filling) and high quality materials (Russian)The private houses have a used flat roof and beautiful view to Ararat and Aragats mountains.The road leading to private houses is completely asphalted.Values:1-storey private house - starting from 45,000,0002-storey private house - starting from 52,000,000The private houses are 75-200 square meters, the land is 300 square meters.Houses of any size you choose can also be built.If desired, it will be delivered with interior decoration.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/16916813,,,,,,
House,Stone,140 sq.m.,1,4,1,,Not available,Partial Renovation,4500 sq.m.,Kotayk › Goght,"$250,000",USD,"Private house (guest house) for sale with 4500 land, first line, in which there is an orchard (high quality cherries and apples)Suitable for a recreation area, for setting up a restaurant.It is provided with all the communal facilities (permanent water, electricity, gas) Price is negotiable.For details, call the mentioned numberTranslated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17305483,,,,,,
House,Stone,83 sq.m.,1,3,1,,,Old Renovation,1300 sq.m.,"10-րդ փողոց 18, Ալափարս","$20,000",USD,"1-storey detached house for sale in Alapars village, Kotayk region. The house has a land area of 1300 m/sq.It is provided with constant water, electricity and gas. There is also irrigation water.Old renovated, needs renovation, call for price, we will negotiate/NEGOTIABLE/.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17872645,,,,,,
House,Stone,300 sq.m.,2,5,1,,,Partial Renovation,1000 sq.m.,Kotayk › Aghveran,"$57,000",USD,"House, plot, village In Arzakan.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/16981393,,,,,,
House,Monolith,345 sq.m.,3,6,2,Not available,Not available,No Renovation,575 sq.m.,Kotayk › Abovian,"$75,000",USD,"Վաճառվում կամ փոխանակվում է Աբովյան կամ Երևան քաղաքներում 3 և ավելի սենյականոց կապիտալ վերանորոգված բնակարանի հետ Աբովյան քաղաքի 7 միկրոշրջանում գտնվող կիսակառույց/առանց ներքին հարդարման աշխատանքների/առանձնատունը: Տունը գտնվում է շատ լավ տեղ, Փարվանա ռեստորանի դիմացի հատվածում: Վերանորոգումից հետո կունենաք ձեր երազանքի տունը; Զանգեն միայն ռեալ գնորդները:",Nov-24-2022_23-08,,,,https://list.am/en/item/18363685,,,,,,
Country House,Monolith,210 sq.m.,3,4,2,Not available,Not available,No Renovation,650 sq.m.,"3-րդ փողոց 5, Գետարգել","$110,000",USD,"Newly built, 2 floors, 4 rooms, 2 bathrooms + massage, monolithic building, fenced, water, electricity, drainage available.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18210820,,,,,,
House,Stone,120 sq.m.,1,5,2,,3 or more spots,Major Renovation,4500 sq.m.,Kotayk › Fantan,"$180,000",USD,"Cattle barn, barn, farm, houseFarm 400 sq. M.House 120 sq. M.Land area 4500 square metersTranslated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17983920,,,,,,
House,Stone,560 sq.m.,2,8+,2,Available,2 spots,Major Renovation,880 sq.m.,Kotayk › Kasagh,"$180,000",USD,"2-storey house for sale in the beginning of Kasakh (near the Red Cross) 2 residential floors and basement with the whole territory of the house. Permanent water, gas, light, Baxi system. There are sad fruit trees, parking for 2 cars. 2 Open balcony. For sale urgently.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17979440,,,,,,
House,Stone,304 sq.m.,2,8+,1,,,Partial Renovation,2300 sq.m.,Kotayk › Hrazdan,"$80,000",USD,"A stone house for sale in Hrazdan, Kochor district.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18073026,,,,,,
House,Stone,460 sq.m.,2,6,2,,,Cosmetic Renovation,1750 sq.m.,"Geghard Highway 11, Garni","$155,000",USD,"Дом расположен рядом с главной дорогой при въезде в Гарни. Капитальное строение. Вода,электричество, все коммуникации. Большая площадка двора с возможностью парковки 3 автомашин + гараж (каменный) Во дворе беседка и бассейн. Плодовый сад 1100 кв. М, яблони, ореховые деревья, абрикос, виноград. Подвал 120 кв. М. Сухой. Оборудован комнатой для хранения фруктов зимой.Первый этаж, большая прихожая, кухня, гостевой зал 60 кв. М, ванная + санузел, лестница на второй этаж.Второй этаж. Хол с выходом на крытый балкон с прекрасным видом 60 кв. М.4 спальни, санузел с душевой.Звоните, с удовольствием отвечу на интересующие Вас вопросы.",Nov-24-2022_23-08,,,,https://list.am/en/item/16717677,,,,,,
House,Stone,170 sq.m.,1,3,1,,,Cosmetic Renovation,1000 sq.m.,Kotayk › Zovuni,"$70,000",USD,"A private house is for sale, 4 rooms, 2 living rooms, with 1000 square meters of land.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/13857339,,,,,,
House,Stone,274 sq.m.,3,6,2,,,Euro Renovation,600 sq.m.,Kotayk › Kanakeravan,"$170,000",USD,"A fenced stone house for sale, very close to Davitashen, along with an orchard in the Aragil district of Zovuni.Very suitable for quiet lovers. It is very windy in summer. Evenings very pleasant.The area has a swimming pool, barbecue, individual sewerage, individual solar water heating system, two garages (one of which can park two cars)2-story private house, and the attic on the 3rd floor: 4 bedrooms, 1 living room, 1 spacious room that can be a movie theater, billiard room or recreation room.It is renovated, there are euro windows, an open balcony, a basement, 2 tiled bathrooms, kitchen furniture, appliances.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17328029,,,,,,
House,Stone,537 sq.m.,2,5,1,Available,3 or more spots,Old Renovation,1000 sq.m.,Kotayk › Alapars,"$60,000",USD,"House located in Alapars, has all the communal facilities, has INTERNET CAMERAS, EXCHANGE WITH APARTMENT IN YEREVANTranslated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/16253691,,,,,,
House,Stone,110 sq.m.,1,2,1,,,Partial Renovation,,Kotayk › Jrvezh,"$55,000",USD,"Located near the Yerevan Chocolate Factory. It has a basement, all utilities are availableTranslated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18072806,,,,,,
House,Stone,100 sq.m.,1,3,1,,,Partial Renovation,100 sq.m.,Kotayk › Zovuni,"$70,000",USD,"4 rooms, kitchen, bathroom. Light: For permanent water, sewage, solar water heater questions, call: Very urgentlyTranslated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17871344,,,,,,
House,Stone,675 sq.m.,1,3,1,,,No Renovation,,Kotayk › Solak,"$13,500",USD,"Solak village. The total area of the plot is 675 square meters. M, next to the house, the house is 65 square meters. M. There are fruit trees on the land, two poppy seeds, a sour pear, etc. , a barn, water, electricity. The roof does not leak, the walls are made of basalt stone, but the house needs repair. The documents of the house are normal. The price is negotiable.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18207671,,,,,,
House,Stone,150 sq.m.,2,8+,2,,,Partial Renovation,1454 sq.m.,Kotayk › Yeghvard,"$120,000",USD,"Do Beautiful Street. Has permanent water, gas. The windows are euro, there is a solar water heater (300 l), a solar station (10 k/v), an orchard, irrigation water, a half-built swimming pool, the pond is completely fenced.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/16058309,,,,,,
House,Stone,300 sq.m.,3,7,2,,,Major Renovation,600 sq.m.,"Jrvezh 13-th street, Jrvej","$235,000",USD,"A beautiful 3-storey private house is for sale in Jrvezh.• The house was built in 2018, consists of 3 floors:On the ground floor there is a garage for 2 cars.2nd floor: Hall, 3 bedrooms, bathroom and storage room.On the 3rd floor, a spacious kitchen, an open balcony with a wonderful view of Ararat, a large living room and 2 bedrooms.• The house is fully renovated, equipped with furniture and appliances, European windows are installed, wooden interior doors.• The floors are covered with German tiles and laminate.• Heating is carried out by gas boiler.• The house has a beautiful green yard with trees, flowers, summer kitchen with barbecue.• School, kindergarten, bus stop, necessary shops are nearby.For other details, write or call the mentioned numbers.The house is displayed under a real estate display contract.Service commission - 2% of the sale price.Code SKP175Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17851453,,,,,,
Country House,Stone,110 sq.m.,3,5,1,Not available,Not available,No Renovation,500 sq.m.,Kotayk › Argel,"$37,000",USD,"Private house for sale. In Lusakert, the interior is not done. There is a possibility to withdraw gas, call for other questionsTranslated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17065782,,,,,,
Country House,Stone,109 sq.m.,3,4,1,,,No Renovation,500 sq.m.,Kotayk › Argel,"$37,000",USD,"Private house for sale. In Lusakert, the interior is not done. There is a possibility to withdraw gas, call for other questionsTranslated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17364708,,,,,,
Country House,Monolith,270 sq.m.,3,5,2,By agreement,2 spots,Partial Renovation,600 sq.m.,Kotayk › Nurnus,"$75,000",USD,"20 km away from Yerevan, in a quiet place of a summer house, a well-kept garden, fruit trees, there is drinking water as well as repair water. The house is built of polished tuff, partially renovated, the rest is plastered. There is also a beautiful pavilion. It is possible to exchange with a space, an apartment or a house. Like the one with the 2010 high-end car for an extra charge.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17890023,,,,,,
Country House,Stone,300 sq.m.,3,5,2,,,Major Renovation,,"Tumanyan street, Nor Hachin","$300,000",USD,"Նորակառույց առանձնատուն, հարակից հացատուն, ավտոտնակ, հողամասի ընդհանուր մակերեսը 800 մետր, առանձնատան մակերերսը 300 մետր, հացատան մակերեսը 80 մետր, դեռեւս չբնակեցված, այգին՝ ծառատունկ։",Nov-24-2022_23-08,,,,https://list.am/en/item/15451404,,,,,,
House,Monolith,150 sq.m.,3,4,2,Available,2 spots,Major Renovation,500 sq.m.,"Jrvezh 1-st street, Yerevan","$225,000",USD,"Three-story stone house for sale in Jrvezh, three bedrooms, two bathrooms, capitally renovated, heating system, air conditioning, beautiful garden with its pavilion. The house is sold with all the furniture and appliances. For more information call …Code 1111Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/18185470,,,,,,
House,Stone,105 sq.m.,1,4,1,,,Partial Renovation,530 sq.m.,"Kotayq street, Abovyan","$85,000",USD,"The house is partially renovated, the bathroom is tiled, the floor is stone, the heating system is iron, the interior doors are laminate, the windows are of European production. It has 16 square meters in the yardAlong with the house, a 30 sq. M. Commercial area on the first line on the street is also for sale for an additional fee.Translated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/16890447,,,,,,
House,Stone,2000 sq.m.,2,6,2,,,No Renovation,2000 sq.m.,Kotayk › Hrazdan,"$49,000",USD,"2-storey stone house for sale in Marmarik village, total area 2000 square meters, the house was built in 1990, the ceilings are monolithic (concrete), the roof is made of asbestos cipherTranslated from Armenian",Nov-24-2022_23-08,,,,https://list.am/en/item/17424651,,,,,,
House,Stone,490 sq.m.,1,3,1,,,Partial Renovation,400 sq.m.,"8-րդ փողոց 13, Կամարիս","$40,000",USD,The house is located in the middle of the school and the kindergarten and is provided with drinking water and gasTranslated from Armenian,Nov-24-2022_23-08,,,,https://list.am/en/item/18037823,,,,,,
House,Stone,69 sq.m.,1,3,1,,,Cosmetic Renovation,1200 sq.m.,"3-րդ փողոց 6, Արա","$20,000",USD,"Վաճառվում է ՝Շտապ սեփական տուն Արա գյուղում, ունիմ 1200քմ, հողամաս առանձին, անասնագոմ, տունը վերանորոգված է ․․ սանհանգույցը սալիկապատված ․․ ունի մշտական ջուր, էլեկտրաեներգիա, ունի կից պատեր, մանրամասների համար զանգահարել։Կոդ 0003",Nov-24-2022_23-08,,,,https://list.am/en/item/17848074,,,,,,
