Construction Type,New Construction,Elevator,Floors in the Building,The House Has,Parking,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Amenities,Appliances,Window Views,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Links
Bricks,No,Not available,5,,,80 sq.m.,3,1,from 2.8 m,4,Not available,,Cosmetic Renovation,,,,5,Yes,Yes,Not included,1 month,"Meqenashinararneri district, Vanadzor","80,000 ֏ monthly",AMD,"3-комнатная квартира, город Ванадзор, улица Мекенашинарарнери. Квартира расположена на 4 этаже 5 этажного кирпичного дома, общая площадь 80 кв. М, окна выходят во двор. В квартире косметический ремонт. Оперативный показ.В пешей доступности расположены продуктовые магазины, продуктовый рынок, детские сады, школа, а также отделение банка, салон красоты, остановка общественного транспорта.",Nov-27-2022_18-51,https://list.am/en/item/18434135
Stone,No,Not available,5,,,70 sq.m.,3,1,from 2.8 m,3,Not available,Available,Major Renovation,,,,6,Yes,No,Not included,1 month,"Tavros 4-th street 1st lane, Vanadzor","200,000 ֏ monthly",AMD,"3 комнатная квартира с хорошим ремонтом, 70 кв. М, отопление есть, вся необходимая мебель и техника есть",Nov-27-2022_18-51,https://list.am/en/item/18478770
Stone,No,Not available,4,,OUtdoor parking,44 sq.m.,2,1,from 2.7 m,3,Open balcony,Available,Cosmetic Renovation,"TElevision, internet","FRidge, stove, coffee maker, washing machine, water heater","STreet view, city view",4,Yes,No,Not included,Without prepayment,"Myasnikyan street, Vanadzor","8,000 ֏ daily",AMD,"Apartment for daily rent in Vanadzor, apartment for daily rent in Vanadzor, with all utilities, internet, sunny and warm, 2 rooms, heated with gas, constant hot and cold water.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18611150
Stone,No,Not available,3,,OUtdoor parking,36 sq.m.,1,1,from 3.2 m,2,Not available,Available,Euro Renovation,"TElevision, internet","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer",CIty view,2,Negotiable,Negotiable,Included,Without prepayment,"Tigran Mets Ave, Vanadzor","8,000 ֏ daily",AMD,"Сдается однокомнатная квартира в центре города Ванадзор. Евроремонт, мебилированна польностью, отопление, горячая вода, интернет имеются.",Nov-27-2022_18-51,https://list.am/en/item/18602264
Stone,No,Not available,5,,,68 sq.m.,2,1,from 2.75 m,4,Open balcony,Available,Old Renovation,,,"STreet view, city view",5,Yes,No,Not included,By Agreement,Lorri › Vanadzor,"45,000 ֏ monthly",AMD,Звонить остални вопроси,Nov-27-2022_18-51,https://list.am/en/item/18624729
Panels,No,Available,9,,,80 sq.m.,3,1,from 2.75 m,9,Not available,Available,Designer Renovation,,,,4,Yes,No,Not included,1 month,"Tigran Mets Avenue 59, Vanadzor","220,000 ֏ monthly",AMD,"Սեփանակատիրոջ կողմից Վանաձորի ամենաբանուկ հատվածում տրվում է վարձով գեղեցիկ կապիտալ վերանորոգված և ամբողջությամբ կահավորված 3 սենյականոց բնակարան։Բնակարանը կահավորված է որակյալ գույքով և կենցաղային տեխնիկայով, սպասքով։Մշտական սառը և տաք ջուր, ինքնավար ջեռուցում։От собственника в самом оживленном районе Ванадзора сдается красивая, полностью обставленная 3-х комнатная квартира.Квартира оснащена качественной мебелью, бытовой техникой, посудой.Постоянная холодная и горячая вода, автономное отопление.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18526200
Stone,No,Not available,5,,,75 sq.m.,3,1,from 2.8 m,4,Open balcony,Available,Cosmetic Renovation,,,,8+,Yes,No,Not included,1 month,Lorri › Vanadzor,"120,000 ֏ monthly",AMD,"A 3-room apartment is urgently for rent in the city of Vanadzor, in the 3rd part. The apartment is sunny. The bathroom is renovated. Urgent, negotiable.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18510094
Stone,No,Not available,5,,,41 sq.m.,1,1,from 2.8 m,2,Not available,,Euro Renovation,,,,,,,,,Lorri › Vanadzor,"75,000 ֏ monthly",AMD,"Կոմունալ բոլոր հարմարություններով, կահավոված է, գտնվում է քաղաքի կենտրոնում",Nov-27-2022_18-51,https://list.am/en/item/17469016
Stone,No,Not available,4,,,41 sq.m.,2,1,from 3 m,4,Not available,,Cosmetic Renovation,,,,,,,,,Lorri › Vanadzor,"80,000 ֏ monthly",AMD,"Furnished, kbh, pasture, located in the city centerTranslated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/17467481
Stone,No,Not available,5,,,40 sq.m.,2,1,from 2.8 m,2,Closed balcony,,Cosmetic Renovation,,,,,,,,,"Chukhajyan street, Vanadzor","60,000 ֏ monthly",AMD,"2 rooms for rent. Apartment, WITHOUT PROPERTY, EMPTY, Chukhajyan str. Acquisition of property at the expense of monthly paymentTranslated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18410334
Panels,No,Not available,4,,,63 sq.m.,2,1,from 2.7 m,3,Closed balcony,,Cosmetic Renovation,,,,3,Yes,No,Not included,2 months,"Տարոն-2 թաղամաս 10-1, Վանաձոր","70,000 ֏ monthly",AMD,"It is located next to the polyclinic. For the rest, call.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18524789
Stone,No,Not available,5,,,62 sq.m.,2,1,from 3 m,2,Multiple balconies,Available,Cosmetic Renovation,"TElevision, internet","FRidge, stove, washing machine","YArd view, street view",3,Yes,No,Not included,1 month,Lorri › Vanadzor,"130,000 ֏ monthly",AMD,"The apartment is located at Myasnikyan 7/25, it is the apartment above the carpet store. It has all the facilities, it is furnished, there is a refrigerator, gas stove, washing machine, TV, Wi-Fi, taxi, etc.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18378179
Stone,No,Not available,5,,,40 sq.m.,2,1,from 2.75 m,2,Closed balcony,,Partial Renovation,,,,,,,,,"Shinararneri str,","60,000 ֏ monthly",AMD,Մեկ սենյակ նիշայով /գինե վերջնական Լամպեր թաղամաս /տունե Վանաձորում է լավ նայեք նոր զանգեք,Nov-27-2022_18-51,https://list.am/en/item/18174738
Panels,No,Not available,4,,,68 sq.m.,2,1,from 2.8 m,3,Closed balcony,Available,Cosmetic Renovation,,,,3,Yes,No,Not included,By Agreement,Lorri › Alaverdi,"60,000 ֏ monthly",AMD,"Apartment for rent c. In Baghramyan district of Alaverdi, it has 2 rooms, it has all utilities. For details, call the following phone numberTranslated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18539749
Stone,No,Not available,4,,,90 sq.m.,3,1,from 3 m,1,Closed balcony,,Old Renovation,,,,4,Yes,No,Included,2 months,"Tigran Mets Avenue, Vanadzor",$500 monthly,USD,"Со всеми удобствами. Квартира находится в центре города. Красная линия. Тигран Меци дом 38. Кому интересен, можно купить.",Nov-27-2022_18-51,https://list.am/en/item/18538790
Stone,Yes,Not available,4,,,81 sq.m.,3,1,from 2.7 m,1,Not available,,Old Renovation,,,,5,Yes,Yes,Included,By Agreement,"Garegin Nzhdeh street, Stepanavan","16,000 ֏ daily",AMD,Задается в аренду посуточноrented by the day,Nov-27-2022_18-51,https://list.am/en/item/18508668
Stone,No,Not available,5,INtercom entry,OUtdoor parking,100 sq.m.,3,1,from 2.7 m,5,Open balcony,Available,Euro Renovation,"TElevision, internet","FRidge, stove, coffee maker, washing machine, iron, hair dryer","YArd view, street view",2,Negotiable,No,Not included,By Agreement,"Tigran Mets Avenue 50, Vanadzor","250,000 ֏ monthly",AMD,"Located next to the gallery, warm and sunny apartmentTranslated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18634133
Stone,Yes,Not available,4,PLayground,"OUtdoor parking, garage",64 sq.m.,2,1,from 2.8 m,2,Open balcony,Available,Major Renovation,"TElevision, internet, parking space","FRidge, stove, coffee maker, washing machine, water heater, iron, hair dryer","YArd view, street view, city view, park view",2,Negotiable,No,Not included,By Agreement,"Hakob Meghapart street, Stepanavan","130,000 ֏ monthly",AMD,"A 2-room apartment is for rent in the center of the city of Stepanavan, in a newly built district, with all utilities, fully furnished.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18634086
Stone,No,Not available,5,,,76 sq.m.,3,1,from 2.8 m,5,Open balcony,Available,Old Renovation,TElevision,"FRidge, stove, washing machine",,4,Yes,No,Not included,1 month,Lorri › Vanadzor,"50,000 ֏ monthly",AMD,"An apartment is for rent on the 5th floor of a 5-story stone building in Nersisyan cul-de-sac, Vanadzor city. The apartment has furniture and appliances. The apartment has an open and closed storage room, built-in closets and a basement. It is provided with a mandatory deposit.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18633959
Stone,No,Not available,4,,,70 sq.m.,4,2,from 3 m,1,Closed balcony,Available,Major Renovation,,,,4,Yes,Yes,Not included,1 month,"Myasnikyan street 12, Vanadzor","200,000 ֏ monthly",AMD,"Сдаётся квартира в центре города Ванадзор, на длительный срок. Солнечная сторона, все условия для хорошей жизни! Для дополнительной информации пишите или звоните по ватсапу! Цена в рублях 35.000.Есть и вторая квартира в том же здании! С новым ремонтом и хорошей мебелью и техникой! Подробности по переписке.",Nov-27-2022_18-51,https://list.am/en/item/18386061
Monolith,No,Available,9,,,80 sq.m.,3,1,from 2.7 m,1,Not available,,Euro Renovation,,,,6,Yes,No,Not included,1 month,Lorri › Vanadzor,"60,000 ֏ monthly",AMD,"A 3-room apartment is for rent, in the building 70/1 of Yerevanyan highway, 80 sq. M. , high ceilings, 1/9Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18558290
Stone,No,Not available,5,,,65 sq.m.,2,1,from 2.75 m,4,Closed balcony,Available,Major Renovation,"TElevision, internet",WAter heater,"STreet view, city view",5,Yes,No,Not included,Without prepayment,"Տիգրան Մեծ պողոտա, Վանաձոր","100,000 ֏ monthly",AMD,"VANADZORAn apartment is for rent in Vanadzor, on Tigran Metsi street (Taxis)The apartment is completely renovated, has all utilities, furniture and household appliances are availableTranslated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18632803
Stone,Yes,Not available,5,,,70 sq.m.,2,1,from 2.7 m,2,Open balcony,,Euro Renovation,,,,,,,,,Lorri › Vanadzor,"100,000 ֏ monthly",AMD,"The apartment is sunny.All utilities are available.Kitchen furniture (washing machine, refrigerator), bedroom furniture, living room furniture (TV)Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18416820
Stone,No,Not available,5,,OUtdoor parking,57 sq.m.,2,1,from 2.8 m,2,Closed balcony,Available,Cosmetic Renovation,"TElevision, internet","FRidge, stove, coffee maker, washing machine, water heater",STreet view,4,Yes,No,Not included,Without prepayment,"Zaqaryan street, Vanadzor","8,000 ֏ daily",AMD,"Apartment for daily rent in Vanadzor. With all utilities, internet, constant hot and cold water. Sunny and warm, heated with gas.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18615433
Panels,No,Not available,5,,,67 sq.m.,2,1,from 3 m,5,Open balcony,Available,Cosmetic Renovation,,,,4,Yes,Yes,By Agreement,1 month,"Улица Лазян 25, Ванадзор","140,000 ֏ monthly",AMD,"Сдается двух комнатная квартира в центре города, рядом почта, парк.В квартире все есть для проживания.Расматриваем с животными, но цена будет другая.",Nov-27-2022_18-51,https://list.am/en/item/18506074
Stone,No,Not available,5,,OUtdoor parking,57 sq.m.,2,1,from 2.7 m,3,Open balcony,Available,Cosmetic Renovation,"TElevision, parking space","FRidge, stove, washing machine, water heater",YArd view,4,Yes,No,Not included,1 month,"Grigor Lusavorich street 31, Vanadzor","100,000 ֏ monthly",AMD,"2 rooms + niche furnished. Very bright and warm apartment facing the sun. It is heated with a gas stove, it is given with a long-term deposit of one month. Call for other questions.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18596203
Panels,No,Not available,5,,,50 sq.m.,1,1,from 2.7 m,2,Closed balcony,Not available,Cosmetic Renovation,,,,2,Yes,No,Not included,By Agreement,Lorri › Vanadzor,"50,000 ֏ monthly",AMD,"Светлая уютная кв, теплая, без мебели, без отопления) С нисшей (1,5 комнатыПишите на вайберЗалог 20000 драмЗоравар Андраник 101Пишите только на вайбер, тут не отвечаю",Nov-27-2022_18-51,https://list.am/en/item/18566322
Stone,No,Not available,5,,,74 sq.m.,3,1,from 3 m,1,Not available,Available,Cosmetic Renovation,"TElevision, internet","FRidge, stove, microwave, washing machine, water heater","STreet view, park view",4,Yes,No,Not included,1 month,"Moskovyan street, Vanadzor","190,000 ֏ monthly",AMD,"От собственника сдаётся уютная 3-х комнатная квартира недалеко от центра города (2-2.5км) Квартира полностью обеспечена техникой (стиральная машина, холодильник, телевизор, интернет и Т. Д.) и мебелью. В квартире так же присутствует индивидуальная система отопления, ванная комната и туалет отдельно. Рядом находятся продуктовый и фруктовые магазины, почта, аптека. Сдаётся гостей без животных, минимум срок аренды 6 месяца, с обязательным депозитом. Для получения дополнительной информации можете позвонить.",Nov-27-2022_18-51,https://list.am/en/item/18629923
Panels,No,Available,9,,,65 sq.m.,2,2,from 2.75 m,4,Closed balcony,Available,Old Renovation,,,,6,Yes,No,Not included,1 month,"Usanogakan street, Vanadzor","100,000 ֏ monthly",AMD,It is for rent at 16 Studenta Street(Opposite district)The military commissariat is located near the building. Agricultural College. Polytechnic University. VTC (Technological Center)There is a geyser in the bathroom. There is only cold water in the kitchen. Heating by a gas stove. Washing machine. There is no refrigerator yet.Translated from Armenian,Nov-27-2022_18-51,https://list.am/en/item/18538930
Panels,No,Available,9,,,65 sq.m.,2,1,from 2.8 m,6,Open balcony,Available,Euro Renovation,,,,4,Yes,No,Not included,1 month,"Agayan street 59/1, Vanadzor","100,000 ֏ monthly",AMD,"A 2-room apartment is for rent, close to the center, with all utilities and necessary property.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18426094
Stone,No,Not available,5,,,64 sq.m.,2,1,from 2.6 m,4,Open balcony,,Old Renovation,,,,3,Yes,No,Not included,By Agreement,Lorri › Vanadzor,"90,000 ֏ monthly",AMD,"Квартира имеет 2 комнаты с нишей, ванна с туалетом, большая кухня, холодильник, телевизор, есои нужен интернет то можем сделать, так же большая спальная комната.",Nov-27-2022_18-51,https://list.am/en/item/18569961
Stone,No,Not available,5,,,42 sq.m.,1,1,from 3.5 m,5,Not available,Available,Euro Renovation,,,,2,Yes,No,Not included,By Agreement,"Zaqaryan street, Vanadzor","120,000 ֏ monthly",AMD,"The apartment is renovated, has all living facilities. It is a furnished, sunny, comfortable apartment. Has gas, electricity. Heating with light.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18529786
Stone,No,Not available,5,,,34 sq.m.,1,1,from 2.8 m,5,Open balcony,Available,Euro Renovation,,"FRidge, stove, washing machine, water heater",STreet view,2,Yes,No,Not included,1 month,"Tigran Mets Avenue 79, Vanadzor","100,000 ֏ monthly",AMD,"Տրվում է վարձով 1 սենյականոց բնակարան քարե 5 հարկանի շենքի 5 հարկում: Տանիքը վերանորոգված, ապահովված է կոմունալ բոլոր հարմարություններով, արևոտ է: Տան ընդհանուր մակերեսը 34մ2, առաստաղի բարձրությունը՝ 2.8մ: Տունը կահավորված է, ապահովված է կենցաղային տեխնիկայով (սառնարան, լվացքի մեքենա, գազօջախ), կա հնարովորություն ապահովելու գերարգ ինտերնետ հեռավար աշխատելու համար Գինը՝ 100000դրամ: Առկա է ջեռուցում: Հասցեն՝ ք. Վանաձոր, Տիգրան Մեծի պողոտա, 79 շենք, 23 բնակարան:Ծանուցում.Մենք միջնորդների հետ չենք աշխատում: Վարձակլության տրվում է առնվազն 6 ամիս:Сдается в аренду 1 комнатная квартира на солнечной стороне, на 5-ом этаже 5-и этажного дома. Крыша заменена на оцинкованную, обеспечено всеми удобствами. Общая площадь: 34м2, высота потолка: 2.8м. В доме имеется мебель, обустроено хозяйственными приборами: Холодильник, стиральная машина, газовая плита. Есть возможность подключиться к высокоскоростному интернету для онлайн работников. Стоимость аренды: 100000драм. Имеется отопление. Адрес: Проспект Тиграна Меца, дом 79, квартира 23.Примечание:Мы с посредниками не работаем! Квартира сдается в аренду не менее на 6 месяцев.",Nov-27-2022_18-51,https://list.am/en/item/18391634
Monolith,Yes,Not available,4,,,100 sq.m.,4,1,from 3 m,3,Closed balcony,Available,Major Renovation,"TElevision, internet, parking space","FRidge, stove, coffee maker, washing machine, water heater, iron","YArd view, street view, city view",5,Yes,No,Not included,By Agreement,"Վիրահայոց փողոց 78Ա, Ստեփանավան","130,000 ֏ monthly",AMD,"With all utilities, constant hot and cold water, gas heating, fully furnished.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18454768
Stone,Yes,Not available,2,,,60 sq.m.,3,1,from 3 m,2,Open balcony,Available,Major Renovation,"TElevision, internet, parking space","FRidge, stove, coffee maker, washing machine, drying machine, iron","YArd view, street view, city view",5,Yes,Yes,Not included,By Agreement,"Եկեղեցու փողոց 4, Ստեփանավան","130,000 ֏ monthly",AMD,"It is located in the center of the city, next to the church. The house has all utilities: Gas, hot and cold water/permanent/, heating. It is fully furnished, including kitchen utensils, washing machine, etc.There is a parking space in the yard. It has an open balcony for relaxation.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18454662
Panels,No,Not available,4,PLayground,OUtdoor parking,75 sq.m.,3,1,from 2.5 m,4,Multiple balconies,Available,Partial Renovation,,,,8+,Yes,Negotiable,Not included,By Agreement,Lorri › Stepanavan,"40,000 ֏ monthly",AMD,"Located in the Romanian district, it has all the amenities.Call for detailsNegotiable!For rent!Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18613943
Stone,No,Not available,5,,,25 sq.m.,6,1,from 2.5 m,2,Closed balcony,Available,Old Renovation,,,,3,Yes,Negotiable,By Agreement,6 months,"Կարեն Դեմիրճյան փողոց 16, Վանաձոր","50,000 ֏ monthly",AMD,"The photos of the rooms and floor plan are attached to the description. The rent for 6 months will be paid from the beginning with a monthly payment of 50,000 drams. For details, please call the indicated phone number. Thank you.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18626065
Stone,No,Not available,5,PLayground,,60 sq.m.,2,1,from 2.7 m,2,Multiple balconies,Available,Partial Renovation,INternet,,"YArd view, street view",8+,Yes,Negotiable,Not included,By Agreement,"Grigor Lusavorich street, Vanadzor","110,000 ֏ monthly",AMD,"Сдается квартира в центре Ванадзора. В квартире есть 2 комнаты + застеклённый балкон, который может служить и спальней, есть все коммуникации, ванная комната и туалет полностью отремонтированы, есть система отопления BAXI.",Nov-27-2022_18-51,https://list.am/en/item/18625978
Stone,Yes,Not available,2,,,60 sq.m.,2,1,from 2.8 m,2,Multiple balconies,Available,Major Renovation,"TElevision, internet, parking space","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer",,8+,Yes,Yes,Included,Without prepayment,Lorri › Stepanavan,"100,000 ֏ monthly",AMD,Всем привет меня зовут ВаагЯ предоставляю жилье в городе Степанаван у меня есть много вариантов начиная от 130.000 + коммунальные услуги есть и дома и квартиры и гостиничные номераПомогу найти подходящий вариант,Nov-27-2022_18-51,https://list.am/en/item/18407585
Stone,Yes,Not available,4,,,40 sq.m.,1,1,from 2.75 m,1,Not available,Available,Cosmetic Renovation,,,,3,Yes,Yes,Not included,1 month,"Garegin Nzhdeh street, Stepanavan","80,000 ֏ monthly",AMD,"Երկարաժամկետ Վարձով է տրվում մեկը դարձրած երկու սենյականոց բնակարան Ստեփանավանի կենտրոնում, կենտրոնական հրապարակի և քաղաքային այգու հարևանությամբ; անհրաժեշտ գույքով; հարցերի համար զանգեք ցանկացած ժամի; сдается одна. Пер; на полную двухкомнатную квартиру со всеми удобствами в центре Степанавана рядом с центральной площади и городской центральной парки. 3а месяц всего 80 000 драм. Пишите или 3воните в любое время сутки. Владелец",Nov-27-2022_18-51,https://list.am/en/item/17632522
Stone,No,Not available,5,,,83 sq.m.,3,1,from 2.75 m,3,Multiple balconies,Available,Cosmetic Renovation,,,,4,Yes,Negotiable,Not included,By Agreement,"Tumanyan street 7, Vanadzor","90,000 ֏ monthly",AMD,"Сдаётся трёхкомнатная квартира в центре Ванадзора. Есть все удобства, частично обставлена мебелью, при желании можно что-то добавить. В квартире есть 2 открытых и 1 остекленный балкон. Квартира свежая, чистая. Ремонт новый. Из балкона открывается красивый вид на горы. По вопросом звонитеՎարձով է տրվում 3 սեն. Բնակարան, Վանաձոր քաղաքի կենտրոնում՝ կոմունալ բոլոր հնարավորություններով: Բնակարանը մասնավոր կահավորված է, ցանկության դեպքում կավելացվի գույք, ունի 1 փակ և 2 բաց պատշգամբ:",Nov-27-2022_18-51,https://list.am/en/item/18404040
Panels,No,Available,12,,,90 sq.m.,3,1,from 2.5 m,8,Open balcony,Available,Partial Renovation,,,,3,Yes,No,Not included,2 months,"Vardanants Street 51, Vanadzor","80,000 ֏ monthly",AMD,"The apartment is located in the Erebuni building, the elevator works normally, it is a very sunny house. It is rented to families for a long time.He will be free from November 1.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/17979931
Stone,No,Not available,2,,,54 sq.m.,1,1,from 2.5 m,1,Open balcony,,Euro Renovation,,,,4,Yes,No,Not included,By Agreement,Lorri › Vanadzor,"7,000 ֏ daily",AMD,"Բնակարանը գտնվում է նորմալ վիճակում։ Կոմունալ և կենցաղային բոլոր հարմարություններով։ Կա ինտերնետ կապ։ Առկա է նաև անկողնային պարագաներ։ Մնացած հարցերի դեպքում խնդրում ենք զանգահարել նշված հեռախոսահամարով։Квартира в нормальном состоянии. Со всеми коммуникациями и бытовыми удобствами. Есть подключение к интернету. Есть также постельные принадлежности. В случае возникновения других вопросов просьба звонить по указанному номеру телефона.The apartment is in good condition. With all communications and amenities. There is an internet connection. In case of other questions, please call the indicated phone number.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18490173
Stone,No,Not available,1,,,32 sq.m.,1,1,from 2.7 m,1,Not available,,Designer Renovation,,,,3,Yes,No,Included,By Agreement,"Garegin Nzhdeh Street, Vanadzor","10,000 ֏ daily",AMD,"A 1-room apartment in the center of Vanadzor city is for daily rent or long-term rent. All utilities are available, the apartment is heated. I will negotiate in case of long-term reservation.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18566123
Stone,No,Not available,1,,,39 sq.m.,1,1,from 2.7 m,1,Not available,,Designer Renovation,,,,3,Yes,No,Included,By Agreement,"Garegin Nzhdeh Street, Vanadzor","10,000 ֏ daily",AMD,"1-room apartment in the center of Vanadzor city for daily rent or long-term rent. All utilities are available, the apartment is heated. I will negotiate in case of long-term reservation.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18566126
Panels,No,Available,1,,,76 sq.m.,3,1,from 2.8 m,1,Not available,,Designer Renovation,,,,6,Yes,No,Included,By Agreement,"Moskovyan street, Vanadzor","14,000 ֏ daily",AMD,"A 3-room apartment in the center of Vanadzor city is for daily rent or long-term rent. All utilities are available, the apartment is heated. I will negotiate in case of long-term reservation.Translated from Armenian",Nov-27-2022_18-51,https://list.am/en/item/18566155
Monolith,Yes,Not available,4,PLayground,OUtdoor parking,82 sq.m.,3,1,from 2.8 m,4,Multiple balconies,Available,Cosmetic Renovation,TElevision,"FRidge, stove, microwave, coffee maker, iron, hair dryer","YArd view, street view, park view",4,Yes,No,Not included,By Agreement,"Տարոն-2 թաղամաս 10-1 , Վանաձոր","80,000 ֏ monthly",AMD,A 3-room apartment is for rent in Taron 2 districtTranslated from Armenian,Nov-27-2022_18-51,https://list.am/en/item/18607047
Stone,Yes,Not available,4,,,65 sq.m.,2,1,from 2.7 m,2,Open balcony,,Cosmetic Renovation,,,,4,Yes,Yes,Not included,By Agreement,"Տարոն-4 թաղամաս 1, Վանաձոր","130,000 ֏ monthly",AMD,"Сдаётся 2-х комнатная квартира по адресу город Ванадзор Квртал Тарон 4.Сделан ремонт, есть все коммуникации, в квартире так же присутствует индивидуальная система отопления.Квартира предоставляется вместе с имуществом. Второй этаж, есть открытой балкон.Цена 130000 драмов или 350 долларов.",Nov-27-2022_18-51,https://list.am/en/item/18484652
Stone,Yes,Not available,5,PLayground,OUtdoor parking,86 sq.m.,3,1,from 2.7 m,3,Multiple balconies,By agreement,No Renovation,,,YArd view,5,Yes,Yes,Not included,6 months,"Vardanants Street 47, Vanadzor","100,000 ֏ monthly",AMD,"Сдаётся трёхкомнатная квартира в центре городом Ванадзор на улице Варананц 47 дом -кв-86.4м. Находится на 3-ем этаже в солнечной стороне дома. Со всеми коммунальными услугами. В квартире частично обставлена мебель.Рядом находятся муз школа, спорт. Школа, продуктовый и фруктовые магазины, почта, стом клиника, аптека.",Nov-27-2022_18-51,https://list.am/en/item/18602743
Stone,Yes,Not available,4,,,67 sq.m.,2,1,from 2.8 m,1,Not available,Available,Euro Renovation,,,,4,Yes,No,Not included,1 month,"Azatamartikneri street, Vanadzor","180,000 ֏ monthly",AMD,"Տրվում է վարձով բնակարան՝ քաղաքի կենտրոնում, իդեալական եվրովերանորոգված իր բոլոր հարմարություններով: 2 սենյակ, 1/4 հարկ, գինը ամսական 180.000 դրամ,տրվում է նաև օրավարձով 15.000 դրամСдаётся в аренду уютная квартира с идеальным евроремонтом, в центре города. Все услуги, магазины, банки, остановки в шаговой доступности. 2-х комнатная, 1/4 этаж.Цена ежемесячно 180.000 драм,Сдаётся и ежедневно 15.000 драм",Nov-27-2022_18-51,https://list.am/en/item/18536861
Stone,Yes,Not available,4,,,85 sq.m.,3,1,from 2.8 m,3,Open balcony,Available,Designer Renovation,,,,5,Yes,Yes,Not included,By Agreement,Lorri › Stepanavan,"145,000 ֏ monthly",AMD,"Վարձով է տրվում բնակարան Ստեփանավան քաղաքի կենտրոնում, Գարեգին Նժդեհի փողոում։ Բոլոր սենյակները բավականին ընդարձակ են և արևկող։ Առկա է բաց պատշգամբ։ Տրվում է կահույքի, տեխնիկայի, խոհանոցային պարագաների հետ միասին։Сдается трёхкомнатная квартира, в центре города Степанаван, в новостройке. Квартира полностью обставлена, включая: ТВ, холодильник, стиральная машина, посуда,отопление + горячая вода,Рядом все необходимое: Магазины, рынок, банк.",Nov-27-2022_18-51,https://list.am/en/item/18525005
Stone,No,Not available,5,PLayground,OUtdoor parking,80 sq.m.,3,1,from 3.2 m,1,Closed balcony,Available,Major Renovation,"TElevision, parking space","FRidge, stove, microwave, water heater",YArd view,4,Yes,Yes,By Agreement,By Agreement,"Улица Татеракан 1/1, Ванадзор","350,000 ֏ monthly",AMD,"Сдается 3х комн. Квартира со вс. Удобствами, также как офис - квартира, 0ой этаж.",Nov-27-2022_18-51,https://list.am/en/item/18431648
Stone,No,Not available,5,,,76 sq.m.,4,1,from 2.75 m,2,Not available,,Major Renovation,,,,4,Yes,No,Not included,By Agreement,"Sukhumi street 14, Vanadzor","150,000 ֏ monthly",AMD,Utility with all amenitiesTranslated from Armenian,Nov-27-2022_18-51,https://list.am/en/item/18514406
Stone,No,Not available,5,,OUtdoor parking,42 sq.m.,2,1,from 2.8 m,3,Not available,Available,Euro Renovation,"TElevision, air conditioner, internet, parking space","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, water heater, iron, hair dryer",YArd view,6,Yes,Yes,By Agreement,By Agreement,"Улица Чухаджяна 56, Ванадзор","12,000 ֏ daily",AMD,"Внимание: - Квартира пока не готова к сдаче так как она в данный момент ремонтируется и будет готова к сдаче в конце Ноября-в начале декабря этого года. Будет выглядеть примерно как на указанных фотографий…Квартира будет оснащена всем необходим (Мебель, техника, интернет и т. Д.) Квартира находиться в очень спокойном и чистом районе на набережной в районе джунглинер. До центра на автомобиле примерно 5 минут езды. Возможна сдача на долговременное проживание, желательно русским. Спешите бронировать заранее…",Nov-27-2022_18-51,https://list.am/en/item/18490442
