Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,Parking,Appliances,Window Views,The House Has,Links,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities
Stone,No,Not available,5,88 sq.m.,3,1,from 3 m,5,Open balcony,By agreement,Partial Renovation,Armavir › Echmiadzin,"$45,000",USD,Ечмиадзин. Улица чаренца дом 16.5 и етаж. Чехакан проект. 88 квадрат метр. Пастаянй свет вода газ. Обойх старон солничнй. Телефон.,Nov-25-2022_14-04,,,,,https://list.am/en/item/17874276,,,,,,
Stone,No,Available,5,104 sq.m.,3,2,from 2.7 m,5,Not available,,Cosmetic Renovation,"Զվարթնոց թաղամաս 7, Վաղարշապատ","$55,000",USD,"3-room renovated apartment on the 5th floor of a 5-storey stone building is currently for sale.Code - 0647:Constant hot / cold waterGasifiedLaminate flooringThe bathroom is tiledThe windows are EuropeanOpen balcony, closetYou can call the mentioned agent to see, buy or get full information about the apartment.Dear customer, to see other apartment announcements, click on the Blessed House logo on the right.Real estate agency ""Blessed House""Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16853349,,,,,,
Stone,No,Not available,3,70 sq.m.,3,1,from 2.6 m,2,Closed balcony,Available,Partial Renovation,"Echmiatsin Highway, Khoronk","$20,000",USD,"The apartment is located in the waiting room, 3 rooms, partially renovated, 2 floors, very urgentTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17495521,,,,,,
Panels,No,Not available,3,61 sq.m.,2,1,from 2.7 m,3,Closed balcony,,Major Renovation,Armavir › Aknalich,"$20,000",USD,G. Aknalich 2 with 3 rooms is also available for rentTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/15794175,,,,,,
Stone,No,Not available,4,67 sq.m.,4,1,from 2.7 m,2,Closed balcony,,Old Renovation,"Եղիշե Չարենցի փողոց 36, Արմավիր","$37,000",USD,"The apartment is located behind the Armavir regional administration, in the Charents 36 building. The apartment has 2 bedrooms, 1 living room, 1 bathroom, 1 closed balcony (can easily become a full office, bedroom or balcony), 2 closets (chulan) All necessary infrastructures (shop, bank, school, kindergarten) are nearby. The apartment has all utilities. PRICE IS FINAL. I AM INTERMEDIATETranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18343693,,,,,,
Stone,No,Not available,5,82 sq.m.,4,1,from 2.8 m,4,Open balcony,,No Renovation,Armavir › Echmiadzin,"$52,000",USD,An apartment is for sale on the third floor near the city center in EtchmiadzinTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/11356797,,,,,,
Stone,No,Not available,5,75 sq.m.,3,1,from 2.8 m,5,Open balcony,,Cosmetic Renovation,Armavir › Echmiadzin,"$49,000",USD,5/5 Vram Kostanyan in a five-story building in the city of EjmiatsinTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/14060694,,,,,,
Panels,No,Not available,5,64 sq.m.,2,1,from 2.7 m,2,Closed balcony,,Old Renovation,Armavir › Metsamor,"$29,000",USD,The apartment is located next to the church. The building is in one of the very best parts of the city. It is considered one of the new buildings in the city.Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17931185,,,,,,
Stone,No,Not available,3,39 sq.m.,2,1,from 2.7 m,3,Not available,Available,Old Renovation,Armavir › Norakert,"$30,000",USD,"Apartment for sale, Armavir marz village Norakert. Stop at the end of number 205. 7 km from Yerevan. 3/3 of the stone building. The roof has been completely repaired. Constant water, light, and windows have been replaced. It needs repair. Selling with property and equipment. Price $30,000 negotiable.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17224143,,,,,,
Panels,No,Not available,5,78 sq.m.,3,1,from 2.75 m,5,Closed balcony,Available,Cosmetic Renovation,Armavir › Metsamor,"$34,000",USD,"The door is iron, the roof is new, the balcony and bedroom windows are European, the pipes անքի the electric wires are new, it has a basement. For sale together with the propertyTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17305555,,,,,,
Stone,No,Not available,3,101 sq.m.,4,1,from 3 m,1,Not available,Not available,No Renovation,"Tairov street 1, Yerevan","$45,000",USD,"Tairov, near Gai Post, with separate entrance, state condition, always. Hot, cold water, gas, water heater, air conditioner, has a small yard and basement.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17639657,,,,,,
Stone,No,Not available,5,78 sq.m.,4,1,from 2.7 m,3,Open balcony,Not available,Cosmetic Renovation,Armavir › Echmiadzin,"$58,000",USD,"The apartment is located in the center of Etchmiadzin, on the 5th/5th floor, in good condition, has all utilities, in a stone building, ceiling height 2.7m, heating system, open basement.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18023324,,,,,,
Stone,No,Not available,5,78 sq.m.,3,1,from 2.75 m,5,Open balcony,Not available,Cosmetic Renovation,Armavir › Echmiadzin,"$45,000",USD,"Apartment in the Charents district of Etchmiadzin, renovated, has communal facilities, in a stone building, has an open basement.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18019191,,,,,,
Monolith,Yes,Not available,2,70 sq.m.,3,1,from 3 m,2,Closed balcony,,Euro Renovation,"Admiral Isakov Avenue, Երևան","$80,000",USD,"Closed with a prepayment of $ 30,000. 2-storey private euro-renovated apartment is for sale. The total cost is $ 60,000. Real people can call or write. A car is possible for a part of the money. 2010 High:Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17459421,,,,,,
Stone,No,Not available,4,60 sq.m.,4,1,from 2.8 m,1,Not available,By agreement,Major Renovation,"Թորոմոնյան փողոց 20, Վաղարշապատ","$85,000",USD,"Kod-A 4-room newly built apartment is for sale in the Zvartnots community of Vagharshapat, on the 1st floor of a 2-story stone building, excellently renovated, with European windows, uninhabited, has electricity, bathroom, permanent water, all utilities, tiled and laminated floor, French stretch ceiling.The price is USD 35,000, negotiable. Address: Toromonyan, on the Yerevan-Vagharsyan highway, has a small plot of land, in the yard there is a swing, 10 fir trees, a barbecue, a car parking space, nearby there are: School, post office, supermarket, building. Shop, public transport, surrounding streets are paved.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17681240,,,,,,
Stone,No,Not available,3,60 sq.m.,2,1,from 3 m,3,Not available,,Cosmetic Renovation,"Улица Баграмяна 28, Баграмян","$27,000",USD,"Apartment for sale in Armavir region, in Baghramyan village, on the 3-rd floor of a 3-storey buildingTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16752213,,,,,,
Stone,No,Not available,3,38 sq.m.,1,1,from 2.75 m,1,Not available,By agreement,Partial Renovation,"Մեսրոպ Մաշտոցի փողոց 16, Մուսալեռ","$30,500",USD,"Has constant hot and cold water, gas, light, has two basements, added space, which you can add to the building, bathroom, toilet renovated, kitchen partially renovated, exterior walls confirmed, sunny on both sidesTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17412185,,,,,,
Panels,No,Not available,5,91 sq.m.,4,1,from 2.7 m,2,Closed balcony,,Cosmetic Renovation,"1district 28, Metsamor","$40,000",USD,"I am the owner. The apartment is cosmetically renovated. It is gasified. The electricity wires have been changed, the water pipes are made of stainless steel (inside) The apartment is in very good condition. 28/5Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16113989,,,,,,
Stone,No,Not available,4,140 sq.m.,5,2,from 3 m,4,Open balcony,,Major Renovation,Armavir › Echmiadzin,"$130,000",USD,Կոդ A0273ՎԱՃԱՌՎՈՒՄ Է 5 ՍԵՆՅԱԿԱՆԻ ԲՆԱԿԱՐԱՆԷջմիածին Քաղաքի Կենտրոնին մոտՀարկ 4Մակերեսը 140քմԱշոտԲնակարան ունի կոմունալ բոլոր հարմարությություններ:Բնակարանը բնակեցվաց չէԳույքն տեխնիկան նորՋեռուցման համակարգօդորակիչՄանրամասների համար զանգահարել...,Nov-25-2022_14-04,,,,,https://list.am/en/item/13821325,,,,,,
Stone,No,Not available,5,85 sq.m.,4,1,from 2.75 m,1,Not available,,Major Renovation,Armavir › Echmiadzin,"$46,000",USD,"A 4-room apartment is for saleEtchmiadzin city, Charents districtThe area is 80 square meters, of which 25 square metersFloor 1AshotFor more information callCode A032Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17093825,,,,,,
Stone,No,Not available,5,89 sq.m.,3,1,from 2.75 m,1,Closed balcony,,No Renovation,Armavir › Echmiadzin,"$52,000",USD,3-ROOM APARTMENT FOR SALEIn the city of Etchmiadzin Vazgen A.Floor 1:The area is 89 square metersAshotUtilitiesFor more information call:Code A0505Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17439660,,,,,,
Stone,No,Not available,5,142 sq.m.,5,2,from 2.75 m,2,Open balcony,,Designer Renovation,Armavir › Echmiadzin,"$130,000",USD,Apartment for sale together with property and equipmentAddress K. Etchmiadzin Charents districtArea 142.1 square metersFloor 2:Room 5:Bathroom 2:Open balconyAir conditionerHeating system (BAXI)The floor is being heatedCode H040Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17092461,,,,,,
Stone,No,Not available,5,68 sq.m.,2,1,from 2.7 m,1,Closed balcony,,Cosmetic Renovation,Armavir › Echmiadzin,"$60,000",USD,"An apartment for sale will also serve as a commercial areaAddress K. Etchmiadzin Vazgen A.Area 68 square metersFloor 1/5Number of rooms 3 Has an open balcony Permanent water, light, gas.Fire:For details:Code H090Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17439643,,,,,,
Stone,No,Not available,5,130 sq.m.,5,1,from 2.8 m,3,Multiple balconies,Not available,No Renovation,Armavir › Echmiadzin,"$56,000",USD,"Code A0107 processable5-room apartment for saleEtchmiadzin City, Zvartnots districtAt the beginningFloor 3The area is 130 square meters,Ashot3 shoesBasementPlot of landFor more information call...Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/14369092,,,,,,
Stone,No,Not available,5,65 sq.m.,2,1,from 2.75 m,3,Open balcony,,Cosmetic Renovation,Armavir › Echmiadzin,"$49,000",USD,"Code A0105‼ 2-ROOM APARTMENT FOR SALE+ SIGNIn the city of Etchmiadzin, close to the centerFloor 3The area is 65 square metersAshotCode A0510Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17454239,,,,,,
Stone,No,Not available,5,97 sq.m.,4,1,from 2.8 m,2,Not available,,No Renovation,Armavir › Echmiadzin,"$56,000",USD,3-room apartment for saleOn Vazgen A street in Etchmiadzin cityThe area is 97 square metersFloor 2AshotFor more information callCode A069Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17665797,,,,,,
Stone,No,Not available,5,89 sq.m.,4,1,from 2.8 m,1,Open balcony,,Euro Renovation,Armavir › Echmiadzin,"24,000,000 ֏",AMD,Code A0280:4-ROOM APARTMENT FOR SALEIn the beginning of Charents district of Etchmiadzin cityFloor 1:The area is 100 square metersAshotThe apartment has all the communal facilities.Door window changedHeating Systemnewly renovatedFor more information call...Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/13843361,,,,,,
Stone,No,Not available,4,88 sq.m.,3,2,from 2.75 m,2,Multiple balconies,,Old Renovation,Armavir › Echmiadzin,"$45,000",USD,"Code H171The price is $45,500Apartment for saleAddress K. At the beginning of Etchmiadzin Charents district, near the park Floor 2 Room 3 Residential 88 square meters Open balcony, has communal facilitiesHro:Call for details#Echmiadzin#Vagharshapat#Real_Property:#Apartment_for_saleTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17793254,,,,,,
Stone,No,Not available,5,83 sq.m.,3,2,from 2.75 m,3,Multiple balconies,,Partial Renovation,Armavir › Echmiadzin,"$49,000",USD,"Address: Etchmiadzin ZvartnotsArea 83 square metersFloor 5/3️Additional DataAn apartment for sale, in Zvartnots district, the number of rooms is 4, the floor is parquetFor more information callRuboCode R139Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17349396,,,,,,
Stone,Yes,Available,5,69 sq.m.,3,1,from 2.75 m,5,Open balcony,Not available,Designer Renovation,Armavir › Echmiadzin,"$88,000",USD,"Code A0943-room apartment for saleIn the city of Etchmiadzin, next to the SquareThe area is 70 square metersFloor 5has 2 basementsair conditionerHeating Systemsale with property is also possibleAshotFor more information callTranslated from Armenian",Nov-25-2022_14-04,,,"YArd view, street view, city view, view of ararat",,https://list.am/en/item/13674436,,,,,,
Stone,No,Not available,5,64 sq.m.,3,1,from 2.75 m,1,Not available,,Major Renovation,Armavir › Echmiadzin,"$51,000",USD,Apartment for saleAddress K. EtchmiadzinArea 63 square metersNumber of rooms with 2 floors Floor 1 Windows changed Has a garage and basementFire:Call for details#Echmiadzin# Vagharshapat#Real_Real Estate# For sale_ApartmentCode H093Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17022976,,,,,,
Stone,No,Not available,5,69 sq.m.,3,1,from 2.7 m,4,Open balcony,,Partial Renovation,Armavir › Echmiadzin,"$47,500",USD,A 3-room apartment is for sale in the Charents district of Etchmiadzin.4th floorUtilitiesThe bathroom is renovatedThe floor is tiled and parquetWindows replacedBalconyArea: 68.8 square metersCode T447Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18212900,,,,,,
Stone,No,Not available,5,71 sq.m.,3,1,from 2.75 m,1,Open balcony,,Partial Renovation,Armavir › Echmiadzin,"$60,000",USD,"3-room apartment for saleEtchmiadzin city, Charents districtFloor 1The area is 73 square metersAshotWindows changedThere are all utilitiesGaragePlot of landAuxiliary structureHeating SystemThere is a well in the garagePartial property with appliancesMercedes car for saleThe new cost is $13,000For more information callFor more information call:Code A0434Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/15255456,,,,,,
Stone,No,Not available,5,79 sq.m.,4,1,from 2.8 m,5,Multiple balconies,By agreement,Euro Renovation,"Mesrop Mashtots street 30, Vagharshapat","$62,000",USD,"A 4-room apartment is for sale on Mashtots Street in Etchmiadzin. The apartment is fully renovated and provided with all necessary utilities.There is a separate water line, pump, toilet, 2 open balconies.Exchange is also possiblewith a mansionI am not an agent.It is also possible with property for an additional fee.NOT FOR RENTTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16185719,,,,,,
Stone,No,Not available,2,123 sq.m.,5,1,from 3.5 m,2,Closed balcony,Available,Partial Renovation,"Eghegnut Roadway 7, Zartonk","$28,000",USD,"URGENT, it is a 2-storey house. A 1000m plot in the yard, has a cowshed, a deep well. The house consists of 2 floors. On the 2nd floor, 3 bedrooms, 1 corridor and a balcony. On the 1st floor, one corridor, kitchen, bathroom, large bedroom, storage room. Gasified with hot and cold water provided. Call for details.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/15732414,,,,,,
Stone,No,Not available,3,70 sq.m.,3,1,from 3 m,3,Closed balcony,,No Renovation,Armavir › Baghramyan,"$30,000",USD,Armavir regionc. Baghramyan (Parakar community)euro windowsIron entrance doorTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17383730,,,,,,
Panels,No,Not available,5,108 sq.m.,3,1,from 2.75 m,4,Open balcony,Available,Euro Renovation,"Արագած փողոց 16, Վաղարշապատ","$65,000",USD,"Վաճառվում է բնակարան Զվարթնոցի շենքերում. ՝Արագածի զանգված: Հնարավոր է վաճառք նաև գույքով ու էլեկտրոնիկայով: Ունի ավելացրած բալկոն 30 քառակուսի: Возможна продажа за российкие рубли тоже по курсу без ченджа! Продаётся с мебелью и электроникой, 2 холодийника, 2телевизора, кухонные пренадлежности!",Nov-25-2022_14-04,,,,,https://list.am/en/item/18155003,,,,,,
Stone,No,Not available,5,110 sq.m.,3,1,from 2.7 m,1,Not available,,Old Renovation,"Vazgen Arajin street 40, Vagharshapat","$55,000",USD,Большая квартира,Nov-25-2022_14-04,,,,,https://list.am/en/item/17205323,,,,,,
Stone,No,Not available,3,75 sq.m.,2,1,from 3 m,1,Not available,,Major Renovation,"Baghramyan street, Armavir","$68,000",USD,For more information callTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18150219,,,,,,
Stone,Yes,Not available,1,98 sq.m.,3,1,from 3 m,1,Closed balcony,,Partial Renovation,Armavir › Armavir,"$45,000",USD,"Own house in Maisyan village of Armavir is urgently paid for. The house is being completely renovated, the windows have been changed... The electric wires have been changed... The bathroom is tiled. It has 1400m of land, a cattle farm of 96 square meters. The house is fenced and has all utilities. At the same time, it is given as a loan. Also, a transaction with a possible mortgage or a 50% advance payment of the amount of a foreclosed house, only with a notary...Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18122635,,,,,,
Panels,No,Not available,5,75 sq.m.,3,2,from 2.75 m,5,Closed balcony,Not available,Old Renovation,"1district, Metsamor","$25,000",USD,"The apartment is complete with 3 rooms, it is in state condition, the roof is completely renovated, dry. The apartment is corner, south facing, sunny, in front of the park, great view of Ararat, close to the bus stop. Price $25,000, negotiable.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/15570748,,,,,,
Stone,No,Not available,2,65 sq.m.,2,1,from 3.5 m,1,Open balcony,Available,Cosmetic Renovation,"Shahumyan street 14, Armavir","$13,000",USD,The apartment is located near the canning factory. Shahumyan 10. It is in good condition.Translated from Armenian,Nov-25-2022_14-04,,,"YArd view, park view",,https://list.am/en/item/17727657,,,,,,
Stone,Yes,Not available,5,76 sq.m.,3,1,from 2.7 m,3,Closed balcony,Not available,Cosmetic Renovation,"1-st District, Metsamor","20,000,000 ֏",AMD,"For sale without property, 2 storage rooms, euro windows, copper wires changed, has baxi systemTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17504328,,,,,,
Stone,No,Not available,2,80 sq.m.,3,1,from 3 m,2,Open balcony,By agreement,Euro Renovation,"Բաղրամյան փողոց 7, Վաղարշապատ","$53,000",USD,"A 3-room apartment is for sale in the center of Etchmiadzin, equipped with all utilities.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18230356,,,,,,
Stone,No,Not available,2,89 sq.m.,4,1,from 2.8 m,1,Open balcony,Not available,Major Renovation,Armavir › Armavir,"$65,000",USD,"Apartment for saleArmavir, Metsavan• 4 rooms• 89 square meters• 2 / 1st floor / stone /_•renovated• Euro windows•Heating System• The bathroom is tiled• Fenced• yard• Garage• Open balconyCode VM814Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17551978,,,,,,
Stone,No,Not available,5,85 sq.m.,4,1,from 2.7 m,5,Open balcony,Available,Euro Renovation,"Baghramyan street 22, Vagharshapat","$75,000",USD,"An apartment is for sale on Baghramyan street, Echmiadzin. Fully renovated, with all utilities, open balcony.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/14479842,,,,,,
Panels,No,Not available,5,61 sq.m.,2,1,from 2.7 m,2,Open balcony,Available,Major Renovation,"Չարենցի փողոց 23, Վաղարշապատ","$57,000",USD,"2 rooms with niche. Thoroughly reconstructed. For sale with furniture and all appliances. The corridors are equipped with comfortable cupboards. It has a basement, possibility to move forward, own heating and water supply.Price Depending on exchange rate fluctuations: May change.Long term rental possible /item/18301354Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18055697,,,,,,
Stone,Yes,Not available,2,220 sq.m.,5,1,from 3 m,1,Open balcony,Not available,No Renovation,"Baghramyan street, Armavir","$16,000",USD,"Կիսակառուի 1,5 հարկանի սեփական տուն, հողի ընդհաուր մակերեսն 600 քմ մանրամասների համար զանգահարել նշված հեռախոսահամարով",Nov-25-2022_14-04,,,,,https://list.am/en/item/14558425,,,,,,
Stone,No,Not available,5,46 sq.m.,1,1,from 3.5 m,5,Not available,Not available,Euro Renovation,Armavir › Armavir,"10,500,000 ֏",AMD,Euro windows iron door for questions call very urgentlyTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18130222,,,,,,
Panels,No,Not available,5,65 sq.m.,2,1,from 2.5 m,1,Closed balcony,,Partial Renovation,Armavir › Metsamor,"$28,000",USD,Urgent saleTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18071096,,,,,,
Stone,No,Available,11,999 sq.m.,2,2,from 3 m,3,Closed balcony,By agreement,Cosmetic Renovation,"1district, Metsamor","$38,000",USD,Exchanged everything with Visotn 6 apartment with an apartment in OctoberTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/11495172,,,,,,
Stone,Yes,Not available,2,668 sq.m.,8+,2,from 3.2 m,2,Multiple balconies,Not available,No Renovation,"Անդրանիկի 4-րդ թաղամաս 19, Վաղարշապատ","$140,000",USD,"The house is made of stone, 17 m * 14.80 m in the city of Etchmiadzin, on the Echmiadzin-Yerevan bypass road. The house has two floors, the basement is located under the whole house, divided into three large rooms, respectively 11 m * 5.6 m, 7 m * 4.5 m and 7 m * 4.70 m, with the installation of three-phase power cables for the possible workshop. The total area of the house without the basement is 520 square meters, and together with the basement - 668 square meters. On the first floor there is a spacious hall, two kitchens, a living room, a large balcony, a summer kitchen, a bathroom, a shower-garage, on the second floor there are 5 bedrooms, a hall, a bathroom, a bathtub, a living room with two balconies. All windows and interior doors are wooden. The house was built in 1989-92, the interior has no final renovation, the bathrooms and showers are not plastered and tiled. E-mail Electricity and drinking water are available, the house is not provided with natural gas. The total land plot together with the house is 850 square meters, of which 520 m is mentioned in the certificate. The house is built in the middle of the plot, it is fenced on both sides. On the right side of the house there is a corridor measuring 14 m * 2.80 m, and in the inner yard there are auxiliary buildings. All three floors of the house are covered with monolithic concrete.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17513969,,,,,,
Panels,No,Not available,5,62 sq.m.,2,1,from 3 m,5,Open balcony,,Old Renovation,"Aragatsi street, Vagharshapat","$35,000",USD,"2-room apartment on the 5th floor of a 5-storey building for sale, the roof is repaired, has gas, water chapelTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17937835,,,,,,
Stone,No,Not available,5,73 sq.m.,3,1,from 3 m,5,Open balcony,,Euro Renovation,"Улица Вазгена Первого 1, Вагаршапат","$70,000",USD,Продается 3 комнатная квартира с евроремонтомКвартира продается со всем имуществомЕвроокнаЕсть отопление и кондиционер,Nov-25-2022_14-04,,,,,https://list.am/en/item/17905327,,,,,,
Stone,No,Not available,2,123 sq.m.,5,1,from 2.8 m,1,Open balcony,By agreement,Major Renovation,Armavir › Baghramyan,"$60,000",USD,"A 5-room two-story apartment is for sale in Baghramyan village between Etchmiadzin and Yerevan, where Yerevan's intra-city shuttle taxi operates. It has 5 rooms, a garage, a kitchen, 2 bathrooms, a bathroom, an open balcony.Code 17982Translated from Armenian",Nov-25-2022_14-04,,STove,YArd view,,https://list.am/en/item/17907396,,,,,,
Stone,No,Available,2,8600 sq.m.,3,2,from 3 m,2,Not available,,Partial Renovation,Armavir › Echmiadzin,"270,000 ֏",AMD,"Дом находяца в ечмиадзине 5кл в дали Воскеат сило 3 комнаты есть в доме все комуналы очень удобнопостояная халодная горачая вада калонка газ. В переди дома есть летняя кухня гараж туалет и ише комната, дом находица на трасе",Nov-25-2022_14-04,,,,,https://list.am/en/item/17102987,,,,,,
Stone,No,Not available,5,90 sq.m.,3,1,from 3 m,1,Open balcony,,Euro Renovation,Armavir › Echmiadzin,"$53,000",USD,"An apartment is for sale in Charents district of Etchmiadzin. Number of rooms 3. The house is on the 1st floor of a 5-storey building, has all the communal facilities, 2 basements, a large garage where three cars can be accommodated. The roof of the added part is new, there is a heating system (Baxi) The entrance to the house is separate.Code T009Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/13911610,,,,,,
Stone,Yes,Not available,2,350 sq.m.,6,2,from 3 m,2,Open balcony,Not available,No Renovation,Armavir › Armavir,"$60,000",USD,"A two-story stone house is for sale in the city of Armavir (Hoktemberyan) For details, call the phone number belowTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18213035,,,,,,
Stone,No,Not available,5,59 sq.m.,3,1,from 2.8 m,3,Not available,Available,Cosmetic Renovation,"Եղիշե Չարենցի փողոց 3Գ, Վաղարշապատ","$44,000",USD,Call negotiable for detailsTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17954747,,,,,,
Stone,No,Not available,2,72 sq.m.,3,2,from 2.6 m,2,Open balcony,Available,Euro Renovation,"Երևանյան խճուղի 4, Մերձավան","$55,000",USD,"3-room apartment for sale in Merdzavan community, on the central street L&LNear the supermarket. The apartment is provided with all the communal facilities, has a stone garage 170 yard of 170 square meters. There is an open balcony of 50 square meters, which is not included in 72 square meters. It has the possibility to add. The apartment has 2 entrances, besides the main entrance it has an entrance from the side. A kindergarten-school is nearby.Code Mz3367Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17095580,,,,,,
Stone,No,Not available,5,50 sq.m.,3,1,from 2.8 m,2,Closed balcony,,Major Renovation,"Улица Микаэла Налбандяна 36, Армавир","$45,000",USD,"Read carefully, then call. (the price may change depending on the dollar exchange rate)Apartment for sale c. In Armavir with an area of 50 sq/m. On the 2nd floor of a 5-story stone building located at 36 Nalbandian Street (near the market) Euro windows, air conditioner, 2 bedrooms, living room (carpet), kitchen and bathroom. There are built-in (in-wall) cupboards in the hall. The house is completely renovated, the bathroom is tiled, with a shower cabin and a water heater (80l) capacity. Has all comfort conditions. Sold with partial furniture, appliances and garage. The entrance door is made of iron and has a lock with an individually coded mechanism, which is opened by a chip. Only real buyers should call.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17777380,,,,,,
Stone,No,Not available,5,160 sq.m.,7,2,from 2.7 m,4,Open balcony,Not available,Euro Renovation,"Улица Вазгена Первого 47Г, Вагаршапат","$85,000",USD,Ка бакси 2сангут,Nov-25-2022_14-04,,,,,https://list.am/en/item/10304865,,,,,,
Stone,No,Not available,5,78 sq.m.,3,1,from 2.75 m,4,Open balcony,,No Renovation,Armavir › Echmiadzin,"$43,000",USD,"Code A0107 processable3-room apartment for saleEtchmiadzin City, Charents DistrictFloor 4The area is 78 square metersAshotFor more information call...Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17181554,,,,,,
Stone,No,Not available,5,75 sq.m.,3,2,from 2.75 m,3,Open balcony,,Partial Renovation,Armavir › Echmiadzin,"$55,000",USD,A 3-room apartment is for sale near the center of Etchmiadzin.3rd floorUtilitiesBalconyGarageLarge dining roomCall TigranCode T366Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17760192,,,,,,
Stone,Yes,Not available,5,100 sq.m.,4,1,from 2.75 m,4,Open balcony,,Partial Renovation,Armavir › Echmiadzin,"$100,000",USD,"4-ROOM APARTMENT FOR SALEEtchmiadzin City SquareFloor 4Area 101 residential, 25 square meters garageAshotFor more information call:Code A0450Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17178045,,,,,,
Stone,No,Not available,5,75 sq.m.,3,1,from 2.75 m,1,Closed balcony,,Partial Renovation,Armavir › Echmiadzin,"$57,000",USD,"Կոդ A063ՎԱՃԱՌՎՈՒՄ Է 3 ՍԵՆՅԱԿԱՆՈՑ ԲՆԱԿԱՐԱՆԷջմիածին Քաղաք Վազգեն Ա փողոցումՀարկ 1Մակերեսը 75քմ,ԱշոտԲնակարանը ունի բոլոր կոմունալ հարմարություններ: Ունի հնարավորություն ավելացնելու ունի հողակտոր պատուհան դուռ փոխված",Nov-25-2022_14-04,,,,,https://list.am/en/item/14200281,,,,,,
